Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83192,31/01/1961,0000,14,3.097826,4,154.6,,,,5.641304,5,137.9,,,35.922581,25.48,16.574194,68.516129,,
83192,28/02/1961,0000,14,2.904762,4,161.2,,,,5.142857,0,0,,,37.428571,26.545714,16.842857,64.741071,,
83192,31/03/1961,0000,14,2.849462,4,127.2,,,,5.731183,1,0.8,,,36.793548,26.241935,16.819355,67.25,,
83192,30/04/1961,0000,14,3.482222,6,102.8,,,,5.477778,2,18.6,,,35.253333,25.032,15.706667,69.358333,,
83192,31/05/1961,0000,14,3.093333,4,76.3,,,,5.731183,5,101.8,,,33.541935,23.869677,14.535484,75.282258,,
83192,30/06/1961,0000,14,3.802381,4,58.6,,,,6.444444,18,370.1,,,31.986667,23.126667,13.566667,66.466667,,
83192,31/07/1961,0000,14,3.343011,4,71.5,,,,6.698925,2,12,,,29.806452,23.243871,14.477419,71.177419,,
83192,31/08/1961,0000,14,3.526882,4,119.2,,,,5.806452,8,34.4,,,29.741935,22.692258,14.280645,69.629032,,
83192,30/09/1961,0000,9,3.4,4,141.6,,,,5.033333,1,0.6,,,32.813333,24.476,15.926667,58.716667,,
83192,30/11/1961,0000,9,3.168539,4,187.8,,,,4.662921,,0,,,35.093333,26.434667,18.206667,56.483333,,
83192,31/12/1961,0000,9,3.150538,4,197,,,,5.204301,0,0,,,36.109677,27.174194,18.2,55.241935,,
83192,31/01/1962,0000,9,2.956989,6,210.2,,,,4.537634,2,16.8,,,37.574194,29.167742,21.206452,50.403226,,
83192,28/02/1962,0000,9,2.75,4,188,,,,4.5,4,20,,,37.992857,29.707143,21.471429,48.973214,,
83192,31/03/1962,0000,14,2.827957,4,152.4,,,,5.526882,7,120.8,,,35.509677,28.003871,20.812903,54.951613,,
83192,31/05/1962,0000,9,3.097826,4,130,,,,5.315217,8,71.8,,,32.012903,25.285161,18.670968,68.612903,,
83192,30/06/1962,0000,14,3.666667,4,69.6,,,,5.866667,9,27.4,,,28.663333,23.074,16.406667,70.008333,,
83192,31/07/1962,0000,14,3.548387,4,65.4,,,,5.494624,11,41.4,,,28.116129,22.357419,15.541935,66.66129,,
83192,31/08/1962,0000,9,3.483871,4,108.2,,,,5.27957,7,6.8,,,30.129032,22.837419,15.664516,65.362903,,
83192,30/09/1962,0000,9,3.511111,4,116.4,,,,4.466667,2,4.8,,,32.02,23.508,15.546667,62.458333,,
83192,31/10/1962,0000,9,3.333333,6,155,,,,4.505376,2,2.2,,,34.780645,26.392258,18.23871,56.346774,,
83192,30/11/1962,0000,9,2.866667,4,153.6,,,,5.544444,4,42.4,,,34.753333,26.94,18.813333,54.25,,
83192,31/12/1962,0000,9,2.645161,4,186.2,,,,4.989247,5,26.2,,,36.16129,28.390968,20.716129,52.653226,,
83192,31/01/1963,0000,9,2.956989,6,202.6,,,,4.344086,0,0,,,36.56129,28.778065,20.154839,48.870968,,
83192,28/02/1963,0000,14,2.833333,6,178,,,,5.333333,6,39.8,,,35.771429,28.604286,20.292857,49.508929,,
83192,31/03/1963,0000,9,2.602151,4,180,,,,4.849462,1,6.6,,,34.748387,27.783871,20.022581,53.032258,,
83192,31/05/1963,0000,14,3.51087,4,121.6,,,,5.793478,7,71.8,,,30.841935,24.431613,16.819355,64.225806,,
83192,30/06/1963,0000,14,3.555556,4,115.4,,,,6.166667,7,17.6,,,28.28,23.086667,16.053333,72.441667,,
83192,31/07/1963,0000,14,3.72043,6,93.2,,,,6.021505,3,8.4,,,28.064516,22.010323,13.893548,64.701613,,
83192,31/08/1963,0000,9,3.795699,4,97,,,,5.548387,0,0,,,29.045161,21.962581,14.135484,65.508065,,
83192,30/09/1963,0000,9,3.277778,4,121.4,,,,5.533333,2,2.4,,,32.003333,23.453333,15.656667,63.925,,
83192,31/10/1963,0000,9,3.010753,4,165.8,,,,4.806452,1,2,,,35.012903,25.654839,17.390323,59.701613,,
83192,30/11/1963,0000,9,2.577778,4,,,,,5.166667,5,114,,,36.8,27.934667,19.613333,53.141667,,
83192,31/12/1963,0000,14,3.268817,4,,,,,6.849462,16,593.7,,,34.645161,26.779355,18.354839,56.782258,,
83192,31/01/1964,0000,9,2.698925,4,,,,,6.741935,14,364,,,34.922581,27.100645,18.890323,57.717742,,
83192,29/02/1964,0000,14,2.505747,4,,,,,5.83908,10,222.8,,,34.496552,27.118621,18.889655,56.553571,,
83192,31/03/1964,0000,9,2.774194,4,,,,,6.043011,13,223.2,,,34.103226,26.100645,17.741935,59.298387,,
83192,30/04/1964,0000,14,3.255556,4,,,,,6.5,19,573.2,,,33.326667,25.800667,16.826667,59.258333,,
83192,31/05/1964,0000,14,3.516129,4,50,,,,7.505376,22,1352.6,,,32.941935,25.076129,15.445161,58.758065,,
83192,30/06/1964,0000,14,3.355556,4,52.2,,,,6.3,13,354,,,31.726667,24.448,15.3,62.725,,
83192,31/07/1964,0000,18,3.593548,4,62.4,,,,6.795699,21,452.8,,,30.187097,23.71871,14.670968,60.83871,,
83192,31/08/1964,0000,18,3.849462,4,57.6,,,,6.451613,19,285.5,,,29.470968,23.259355,14.464516,61.032258,,
83192,30/09/1964,0000,14,3.688889,4,57.2,,,,6.211111,12,101.2,,,29.793333,23.217333,14.286667,61.083333,,
83192,31/10/1964,0000,9,2.72043,4,100,,,,5.204301,6,66.6,,,32.329032,24.748387,16.587097,60.653226,,
83192,30/11/1964,0000,14,2.844444,4,85.4,,,,5.644444,8,464.8,,,32.28,24.772,16.573333,62.625,,
83192,31/12/1964,0000,14,2.333333,4,100.2,,,,5.580645,4,172.8,,,33.264516,25.246452,16.696774,60.443548,,
83192,31/01/1965,0000,14,2.655914,4,105,,,,5.129032,4,85.2,,,33.316129,25.583226,17.135484,59.475806,,
83192,28/02/1965,0000,9,2.285714,4,105.6,,,,4.654762,3,22.8,,,35.492857,26.797857,19.492857,59.901786,,
83192,31/03/1965,0000,9,2.526882,4,121.4,,,,5,3,12.3,,,35.603226,27.803226,20.43871,55.129032,,
83192,30/04/1965,0000,14,2.666667,4,112.4,,,,5.7,9,32.5,,,34.826667,26.748,18.826667,57.358333,,
83192,31/05/1965,0000,14,2.827957,4,93.6,,,,5.677419,2,41.4,,,34.619355,26.090323,17.174194,57.112903,,
83192,30/06/1965,0000,14,3.577778,4,55.4,,,,7.166667,13,498.4,,,32.786667,24.370667,14.453333,58.383333,,
83192,31/07/1965,0000,14,3.408602,4,60,,,,6.462366,7,211,,,32.612903,23.944516,13.812903,60.862903,,
83192,31/08/1965,0000,14,3.290323,6,79.2,,,,5.451613,8,296.5,,,33.645161,24.67871,14.470968,60.403226,,
83192,30/09/1965,0000,14,3.4,6,74.1,,,,5.944444,5,148.6,,,34.453333,25.36,15.08,58.4,,
83192,31/10/1965,0000,14,2.795699,4,126.8,,,,6.27957,0,0,,,36.483871,26.909677,17.16129,58.354839,,
83192,30/11/1965,0000,14,3.344444,6,100.8,,,,6.422222,5,46.6,,,34.626667,25.936,17.053333,59.3,,
83192,31/12/1965,0000,18,3.032258,4,136.8,,,,4.784946,0,0,,,35.870968,26.590968,18.219355,59.314516,,
83192,31/01/1966,0000,14,2.892473,6,142.2,,,,6.892473,2,19.9,,,37.225806,27.282581,18.967742,61.483871,,
83192,28/02/1966,0000,14,3.666667,6,84.4,,,,8.154762,19,521.1,,,34.664286,25.902857,17.942857,61.473214,,
83192,31/03/1966,0000,14,3.387097,4,116.6,,,,6.989247,10,250.7,,,35.903226,26.170323,17.729032,63.717742,,
83192,31/05/1966,0000,14,3.543478,4,62.7,,,,7.184783,11,304.1,,,32.593548,,,74.637097,,
83192,30/06/1966,0000,14,3.711111,4,38,,,,7.844444,16,310.6,,,31.486667,,,73.133333,,
83192,31/07/1966,0000,14,3.946237,4,36.2,,,,8.301075,28,483,,,31.406452,,,71.556452,,
83192,31/08/1966,0000,18,3.860215,6,47.6,,,,7.032258,18,193.4,,,31.258065,,,71.032258,,
83192,30/09/1966,0000,14,3.644444,4,62,,,,7.133333,12,163,,,31.826667,,,71.291667,,
83192,31/10/1966,0000,18,3.709677,4,89,,,,5.548387,4,33.2,,,34.251613,,,66.306452,,
83192,30/11/1966,0000,14,3.877778,4,95.4,,,,6.588889,10,259.9,,,33.406667,,,67.175,,
83192,31/12/1966,0000,14,3.817204,4,115.4,,,,6.849462,10,201.5,,,34.309677,,,69.467742,,
83192,31/01/1967,0000,14,3.849462,4,175.6,,,,5.365591,0,0,,,34.909677,,,66.16129,,
83192,28/02/1967,0000,14,3.916667,4,131,,,,6.77381,2,49,,,34.4,,,67.3125,,
83192,30/04/1967,0000,18,3.786517,4,90.4,,,,6.730337,8,125.4,,,31.46,,,76.258333,,
83192,31/05/1967,0000,14,3.88172,4,81.8,,,,7.139785,15,303.1,,,30.522581,24.343871,17.935484,76.790323,,
83192,30/06/1967,0000,14,4.144444,8,67.4,,,,7.444444,15,207.2,,,29.46,23.578,16.45,76.216667,,
83192,31/07/1967,0000,14,2.903226,8,42.2,,,,7.139785,14,182.6,,,27.896774,22.038065,14.658065,82.943548,,
83192,31/08/1967,0000,14,2.752688,5,53,,,,5.903226,10,59.4,,,27.548387,21.241935,14.864516,87.701613,,
83192,30/09/1967,0000,14,3.577778,6,,,,,5.666667,8,90.4,,,30.18,23.145333,16.98,87.125,,
83192,31/10/1967,0000,14,3.849462,4,99.2,,,,5.473118,1,2,,,33.703226,25.172903,18.922581,79.064516,,
83192,30/11/1967,0000,14,3.511111,4,106.8,,,,5.122222,4,63.4,,,34.813333,25.526667,18.426667,78.516667,,
83192,31/12/1967,0000,14,3.72043,4,94,,,,5.709677,9,298.6,,,34.148387,24.936129,17.103226,81.258065,,
83192,31/01/1968,0000,14,3.72043,4,108,,,,5.430108,8,113.8,,,34.374194,25.474839,19.141935,82.741935,,
83192,29/02/1968,0000,14,3.712644,4,98.8,,,,5.275862,2,10,,,34.42069,25.609655,19.406897,82.705357,,
83192,31/03/1968,0000,14,3.806452,4,77,,,,6.516129,16,194,,,33.954839,24.83871,17.477419,83.532258,,
83192,31/05/1968,0000,14,4,4,36.6,,,,8.858696,25,576.4,,,28.993548,22.303226,14.593548,84.693548,,
83192,30/06/1968,0000,14,4,4,25.8,,,,8.755556,29,547.4,,,26.88,21.158667,13.52,88.408333,,
83192,31/07/1968,0000,14,4,4,33,,,,7.978495,27,343.8,,,27.348387,21.510968,14.83871,86.83871,,
83192,31/08/1968,0000,14,3.946237,4,42.4,,,,6.774194,15,105.2,,,28.006452,21.874839,15.270968,86.483871,,
83192,30/09/1968,0000,14,3.324444,4,99,,,,5.311111,6,36.5,,,27.24,23.324,20.73,85.733333,,
83192,31/10/1968,0000,14,3.096774,4,107.4,,,,5.419355,5,46.4,,,28.451613,24.061935,21.158065,84.177419,,
83192,30/11/1968,0000,14,3.522222,4,102.2,,,,6.266667,9,130.2,,,29.133333,24.204667,21.073333,82.75,,
83192,31/12/1968,0000,9,3.569892,4,114.2,,,,5.655914,2,6.6,,,33.793548,25.806452,20.783871,76.548387,,
83192,31/01/1969,0000,14,3.548387,4,101.4,,,,6.526882,16,124.8,,,33.735484,25.686452,20.793548,78.443548,,
83192,28/02/1969,0000,18,3.261905,4,110.2,,,,5.428571,9,73,,,34.135714,25.908571,20.925,76.258929,,
