Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83286,31/01/1977,0000,,,5.3,,,,,,13,173.9,,,,,,,,
83286,28/02/1977,0000,5,3.042188,6,106.6,,,,5.96875,3,18.2,,,29.333333,,,,,
83286,31/03/1977,0000,9,2.394595,6.6,,,,,4.886076,,0,,,32.886957,,,62.793478,,
83286,30/04/1977,0000,9,2.448315,6.6,135,,,201,6.988764,8,170,,,30.92,,,68.833333,,
83286,31/05/1977,0000,9,2.365432,6,100.6,,,223.5,6.195122,3,35.2,,,28.920833,,,73.1,,
83286,30/06/1977,0000,14,2.528378,6.5,,,,220.9,4.081081,,0,,,29.856522,22.233043,15.804,63.260417,,
83286,31/07/1977,0000,14,2.973333,7.5,195.5,,,314.1,2.088889,,0,,948.377778,29.974194,20.996364,13.321739,54.725,,
83286,31/08/1977,0000,5,2.654839,7.5,280.4,,,320.7,2.107527,0,0,,946.713978,32.696774,,,43.193548,,
83286,30/09/1977,0000,14,2.668889,7,250.6,,,230.2,4.244444,5,21.5,,946.475556,31.95,,,49.941667,,
83286,31/10/1977,0000,14,2.670968,5.8,185,,,220.1,5.72043,9,61.1,,945.665591,31.464516,,,61.475806,,
83286,30/11/1977,0000,14,2.195556,5.3,135.9,,,173.2,6.333333,19,107.1,,944.292222,31.283333,,,70.841667,,
83286,31/12/1977,0000,5,2.004301,5,105,,,184.2,6.462366,19,413.1,,944.284946,30.219355,,,75.395161,,
83286,31/01/1978,0000,14,2.361728,6.5,91.8,,,235.5,5.032258,12,121,,945.586022,29.535484,,,78.366667,,
83286,28/02/1978,0000,14,2.007143,5.3,66.7,,,116.3,7.178571,18,320.6,,944.778571,28.525,,,84.169643,,
83286,31/03/1978,0000,14,2.178261,5.6,83.7,,,202.9,6.184783,11,282.1,,945.813043,28.586207,,,83.383333,,
83286,30/04/1978,0000,14,1.976667,4.8,75.8,,,208.8,5.188889,10,264.7,,945.523333,28.076667,,,83.591667,,
83286,31/05/1978,0000,14,1.727957,4.6,80.8,,,245.2,4.376344,8,28.7,,946.052688,28.232258,,,80.927419,,
83286,30/06/1978,0000,14,2.275281,6.3,94.2,,,261.6,3.134831,4,9.8,,949.302247,26.863333,,,75.560345,,
83286,31/07/1978,0000,9,2.224176,6.1,141.4,,,286.5,2.978261,1,1.5,,947.745055,28.735484,21.048571,14.453571,67.708333,,
83286,31/08/1978,0000,9,2.703226,6.3,209.3,,,308.4,1.483871,0,0,,949.012903,29.958065,21.122581,13.23871,55.604839,,
83286,30/09/1978,0000,9,2.930337,6.5,247.3,,,201.2,3.258427,1,3.5,,947.151685,31.241379,23.88069,17.303333,50.568966,,
83286,31/10/1978,0000,9,2.155914,7.1,169.5,,,187.1,5.494624,12,136.6,,944.95914,31.503226,24.416129,18.803226,62.903226,,
