Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83222,31/01/1961,0000,9,3.681522,9.1,125.8,,,221.7,7.521739,9,54.1,,,31.841935,25.499355,21.293548,72.443548,,
83222,28/02/1961,0000,9,3.372619,7.4,117.7,,,255,5.666667,5,46.7,,,32.085714,25.41,20.642857,71.758929,,
83222,31/03/1961,0000,9,3.98172,9.8,118.8,,,207.5,7.44086,14,73.4,,,31.641935,25.599355,21.374194,75.112903,,
83222,30/04/1961,0000,14,2.693333,7.4,65.8,,,201.8,7,19,118.3,,,29.146667,24.099333,20.596667,82.691667,,
83222,31/05/1961,0000,14,2.401075,6.2,59,,,193.4,7.086022,19,63.7,,,27.622581,22.757419,19.487097,84.137097,,
83222,30/06/1961,0000,14,2.377778,5.6,45.6,,,174.1,7.877778,28,215.8,,,26.093333,21.711333,18.696667,87.05,,
83222,31/07/1961,0000,14,2.139785,6.6,52.3,,,190.1,7.032258,26,101.1,,,25.125806,20.488387,17.03871,85.870968,,
83222,31/08/1961,0000,14,2.288172,5.6,68,,,212.9,6.663043,20,57.5,,,25.770968,20.473548,16.441935,83.040323,,
83222,30/09/1961,0000,9,2.574444,5.6,99.9,,,248.8,5.555556,3,2.2,,,28.44,22.155333,17.23,76.1,,
83222,31/10/1961,0000,9,3.134409,6.2,110.9,,,243.8,6.290323,13,38.8,,,28.835484,23.248387,19.264516,76.959677,,
83222,30/11/1961,0000,9,3.1,6.9,156.6,,,271.6,5.477778,4,4.2,,,31.466667,24.662,19.823333,67.166667,,
83222,31/01/1962,0000,9,3.113043,9.1,153.8,,,246.8,6.054348,4,49.5,,,33.56129,26.44,21.741935,66.185484,,
83222,28/02/1962,0000,9,3.272619,9.1,151,,,264.4,4.619048,4,4.1,,,33.628571,26.371429,21.378571,66.142857,,
83222,31/03/1962,0000,9,2.598925,5.6,98.5,,,220.8,6.451613,19,158.2,,,31.06129,25.235484,21.445161,78.016129,,
83222,30/04/1962,0000,9,2.553333,8.4,69.7,,,232.5,6.777778,15,55.9,,,29.276667,24.286667,20.876667,83.408333,,
83222,31/05/1962,0000,14,2.78172,7.4,56.5,,,175.7,7.129032,18,149.6,,,27.096774,22.635484,19.758065,87.483871,,
83222,30/06/1962,0000,14,2.521111,5.6,39.8,,,174.1,7.388889,21,125.6,,,25.506667,21.15,18.336667,89.75,,
83222,31/07/1962,0000,14,2.12043,6.2,50,,,156.4,7.032258,25,92.9,,,24.86129,20.471613,17.529032,88.741935,,
83222,31/08/1962,0000,14,2.464773,5.9,53.2,,,189.2,7.091954,21,102.4,,,25.986207,21.314483,17.806897,85.758621,,
83222,30/09/1962,0000,9,2.713483,6.6,76.2,,,167.6,5.359551,13,33.6,,,27.56,22.070667,18.063333,82.55,,
83222,31/10/1962,0000,9,2.711828,5.6,102.4,,,221.1,5.16129,13,86.1,,,29.432258,23.583226,19.735484,79.306452,,
83222,30/11/1962,0000,9,2.804444,5.9,89.5,,,218.5,5.211111,10,105.2,,,29.843333,24.257333,20.3,78.8,,
83222,31/12/1962,0000,9,2.562366,6.2,94.8,,,184.8,5.537634,6,26.2,,,31.519355,25.22,21.245161,77.733871,,
83222,31/01/1963,0000,9,2.877419,6.9,129.3,,,268.2,4.655914,4,14.1,,,32.709677,25.832903,21.174194,73.822581,,
83222,28/02/1963,0000,14,2.35,4.8,85.5,,,206.2,5.928571,14,100.2,,,31.275,25.232857,20.964286,79.294643,,
83222,31/03/1963,0000,14,2.23871,5.9,89.3,,,208.5,5.483871,16,52.7,,,30.6,25.02,20.506452,79.733871,,
83222,30/04/1963,0000,14,2.067778,4.6,48.6,,,161.9,7.4,22,242.2,,,29.26,24.492667,21.023333,85.95,,
83222,31/05/1963,0000,14,2.455914,6.2,36,,,152.2,7.666667,24,104.8,,,26.235484,21.833548,18.803226,89.048387,,
83222,30/06/1963,0000,14,1.967778,5.4,34.9,,,176.1,6.522222,16,70.9,,,26.023333,21.210667,17.76,88.575,,
83222,31/01/1977,0000,14,3.309783,12.3,108.6,,,123.2,7.086957,18,129.8,,,29.66129,24.758065,21.445161,84.25,,
83222,28/02/1977,0000,14,3.157143,6.7,90.2,,,170.2,6.261905,23,195.5,,,28.467857,24.164286,21.028571,84.5625,,
83222,31/03/1977,0000,14,2.336559,4.4,128.5,,,232.1,4.247312,10,35,,,30.287097,24.967097,20.970968,79.395161,,
83222,30/04/1977,0000,14,2.615556,9.3,101.3,,,180.7,5.477778,9,66,,,29.556667,24.809333,21.596667,83.575,,
83222,31/05/1977,0000,18,2.62043,6.7,74.7,,,126.1,6.752688,22,230.1,,,26.925806,22.876129,20.145161,87.435484,,
83222,30/06/1977,0000,14,2.464444,6.7,54.2,,,142.1,6.566667,22,139.7,,,26.026667,22.164667,19.6,90.033333,,
83222,31/07/1977,0000,14,2.623656,6.7,78.5,,,161.6,5.430108,24,101.8,,,25.254839,21.308387,18.254839,86.717742,,
83222,31/08/1977,0000,14,2.52043,4.4,86.5,,,225.6,4.215054,11,49,,,26.477419,21.515484,17.816129,84.314516,,
83222,30/09/1977,0000,14,2.95,4.4,94.6,,,142.6,5.744444,14,88.9,,,26.703333,22.209333,19.01,84.475,,
83222,31/10/1977,0000,14,2.335484,4.4,89.8,,,149.4,6.483871,21,124.1,,,27.409677,23.174839,20.219355,86.983871,,
83222,30/11/1977,0000,14,2.758889,6.7,137.4,,,184.1,4.777778,6,36.7,,,30.36,24.927333,21.443333,78.883333,,
83222,31/12/1977,0000,9,2.497849,4.4,121,,,150.4,6.462366,16,109.5,,,29.929032,24.863226,21.483871,83.959677,,
