Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83221,31/01/1961,0000,14,2.608696,5,87.5,,,,4.293478,6,47.7,,,35.312903,26.78129,21.706452,71.532258,,
83221,28/02/1961,0000,14,2.535714,5,93.5,,,,3.22619,1,10.6,,,36.3,26.880714,21.017857,70.0625,,
83221,31/03/1961,0000,14,2.521505,5,82.5,,,,4.569892,6,40.1,,,34.603226,26.618065,21.374194,72.508065,,
83221,30/04/1961,0000,14,2.9,5,62,,,,4.4,7,52.1,,,33.16,25.926,21.26,74.55,,
83221,31/05/1961,0000,14,2.741935,5,64.5,,,,4.580645,4,43.3,,,30.654839,23.90129,19.119355,78.346774,,
83221,30/06/1961,0000,,,,,,,,,3,35.6,,,,,,,,
83221,31/01/1962,0000,14,2.666304,7,133,,,,4.173913,1,64.5,,,36.251613,27.186452,22.354839,67.137097,,
83221,28/02/1962,0000,14,2.369048,5,46,,,,3.630952,1,19.1,,,35.385714,26.917143,22.057143,69.330357,,
83221,31/03/1962,0000,5,2.032258,5,75,,,,4.526882,8,152.4,,,31.374194,25.430968,21.425806,75.274194,,
83221,30/04/1962,0000,14,2.088889,5,76.5,,,,4.433333,8,72.9,,,30.363333,24.835333,20.87,77.616667,,
83221,31/05/1962,0000,5,2.290323,5,59.5,,,,5.150538,9,135.9,,,28.174194,23.130968,19.396774,82.822581,,
83221,30/06/1962,0000,5,2.733333,5,42,,,,5.644444,11,208.8,,,25.673333,21.044,17.9,84.8,,
83221,31/07/1962,0000,5,3.268817,5,46.5,,,,5.655914,13,182.5,,,25.170968,20.506452,17.109677,85.637097,,
83221,31/08/1962,0000,14,2.830108,5,71,,,,4.193548,3,34.5,,,26.506452,21.497419,17.929032,81.346774,,
83221,30/09/1962,0000,14,2.855556,5,87.4,,,,3.955556,2,32.5,,,29.243333,22.805333,18.65,75.575,,
83221,31/10/1962,0000,14,2.591398,5,115,,,,4.010753,2,41.1,,,31.16129,24.52129,20.248387,73.822581,,
83221,30/11/1962,0000,14,2.1,5,91.5,,,,4.411111,6,139.8,,,31.323333,25.103333,20.993333,73.216667,,
83221,31/01/1963,0000,14,2.402174,5,113.5,,,,3.576087,1,22.4,,,34.035484,26.253548,21.680645,68.112903,,
83221,28/02/1963,0000,14,2.214286,5,88.5,,,,5.083333,6,132.8,,,31.614286,25.537143,21.532143,73.919643,,
83221,31/03/1963,0000,14,2.290323,5,107.5,,,,4.225806,4,28.1,,,31.235484,25.206452,21.212903,74.5,,
83221,30/04/1963,0000,14,2.333333,5,77.5,,,,4.833333,6,55.8,,,30.743333,24.796,21.366667,76.716667,,
83221,31/05/1963,0000,5,2.537634,5,47,,,,6.591398,22,349.6,,,26.035484,21.722581,19.048387,83.983871,,
83221,30/06/1963,0000,5,2.677778,7,55.5,,,,4.7,7,74.1,,,26.3,21.170667,18.366667,82.916667,,
83221,31/07/1963,0000,5,3.322581,5,48,,,,4.978495,14,169.1,,,25.16129,19.989677,16.577419,84.475806,,
83221,31/08/1963,0000,14,3.088172,5,76,,,,4.397849,5,25.8,,,26.245161,20.424516,16.490323,82.016129,,
83221,30/09/1963,0000,14,3.211111,5,86.5,,,,3.844444,3,28.8,,,28.776667,22.054,18.086667,78.233333,,
83221,31/10/1963,0000,23,2.666667,7,125,,,,3.451613,2,28.7,,,31.306452,24.155484,19.764516,76.008065,,
83221,30/11/1963,0000,23,2.611111,5,106.5,,,,4.044444,5,93.4,,,32.223333,25.414667,21.213333,71.85,,
83221,31/01/1964,0000,0,1.304348,5,69,,,,5.73913,16,221.7,,,30.893548,25.18,21.841935,78.491935,,
83221,29/02/1964,0000,23,1.62069,7,72,,,,4.390805,5,52.1,,,31.796552,25.643448,21.686207,75.965517,,
83221,31/03/1964,0000,36,1.962366,5,59.5,,,,4.258065,11,120,,,30.277419,24.890968,21.416129,77.612903,,
83221,30/04/1964,0000,36,2.601111,7,57,,,,5.544444,21,336.8,,,29.02,23.943333,20.56,81.075,,
83221,31/05/1964,0000,36,2.72043,7,39,,,,5.591398,17,211.2,,,26.841935,22.734839,19.922581,85.467742,,
83221,30/06/1964,0000,36,2.422222,7,44.5,,,,5,7,74.7,,,26.14,21.516,18.55,84.683333,,
83221,31/07/1964,0000,36,2.451613,7,41.5,,,,5.408602,13,166.2,,,25.425806,20.783226,17.970968,87.024194,,
83221,31/08/1964,0000,36,3.064516,7,52.9,,,,4.913978,15,157.1,,,25.796774,21.023226,17.987097,84.822581,,
83221,30/09/1964,0000,23,2.603333,5,72,,,,4.8,7,67.5,,,27.146667,21.964667,18.113333,80.833333,,
83221,31/10/1964,0000,23,2.677419,5,83,,,,3.88172,8,70,,,29.493548,23.878065,19.648387,74.629032,,
83221,30/11/1964,0000,32,2.455556,5,82.5,,,,4.855556,9,138.4,,,29.216667,23.887333,20.08,75.833333,,
83221,31/12/1964,0000,,,,,,,,,,0,,,,,,,,
83221,31/01/1965,0000,23,2.347826,5,99.5,,,,3.619565,5,61.7,,,31.696774,24.990323,20.725806,72.217742,,
