Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83446,31/01/1977,0000,9,2.607317,8.3,97.3,,,170.9,7.15,17,154.7,,988.85875,30.32,24.92,20.580645,79.3875,,
83446,28/02/1977,0000,14,2.425301,7,,,,180.1,6.421687,24,253.6,,992.466265,28.692857,24.157778,20.348148,84.490741,,
83446,31/03/1977,0000,9,1.66129,5.5,95.6,,,256,5.021505,11,53.2,,990.166667,31.141935,25.324516,20.509677,77.048387,,
83446,30/04/1977,0000,14,2.082222,6.1,84.2,,,148.6,6.9,17,164.9,,990.504444,29.286667,24.361333,20.783333,80.758333,,
83446,31/05/1977,0000,14,1.926882,5.5,70.7,,,173.7,6.44086,12,128.5,,993.056989,26.767742,22.149032,18.074194,82.241935,,
83446,30/06/1977,0000,9,1.902222,5,52.4,,,142.9,5.977778,19,94.6,,994.828889,25.716667,21.242667,17.553333,86.025,,
83446,31/07/1977,0000,9,1.695652,5,52.8,,,175.1,6.043478,17,76.2,,996.004348,25.9,20.979333,16.986667,84.908333,,
83446,31/08/1977,0000,9,1.935484,6.6,99.9,,,223.8,4.784946,5,9,,994.216129,27.645161,21.171613,15.6,75.637097,,
83446,30/09/1977,0000,9,2.252222,6.3,88.6,,,124.1,7.655556,14,162.8,,994.605556,26.816667,22.005333,18.39,79.616667,,
83446,31/10/1977,0000,9,2.221739,7.3,63.4,,,133.7,7.945652,21,164.3,,992.978261,27.006667,22.505517,18.983333,84.2,,
83446,30/11/1977,0000,36,2.165556,5,92.2,,,163.9,7.577778,14,86.8,,989.705556,29.386667,24.416,20.436667,79.433333,,
83446,31/12/1977,0000,9,1.882418,5.3,96.1,,,141.8,7.666667,16,128.2,,989.860215,29.858065,24.47871,20.370968,80.395161,,
83446,31/01/1978,0000,14,1.673118,6.3,81.3,,,167.9,7.505376,16,105.4,,990.85914,29.429032,24.391613,20.451613,82.701613,,
83446,28/02/1978,0000,9,2.162195,4.8,,,,116.9,8.341463,15,284.1,,989.915854,29.433333,24.267692,20.003704,83.625,,
83446,31/03/1978,0000,9,2.409615,5.6,72.5,,,,7.439394,18,112.6,,990.621212,,,20.223333,,,
83446,30/04/1978,0000,14,2.332836,4.8,69.9,,,,7.641975,16,197.1,,990.553086,27.865217,23.587826,20.263333,85.215909,,
83446,31/05/1978,0000,9,1.936957,4.8,66.1,,,121.3,6.923913,13,155,,990.997826,27.770968,22.656129,18.503226,83.533333,,
83446,30/06/1978,0000,14,1.991111,6.1,56.5,,,113.3,7.233333,11,73.1,,995.082222,24.926667,20.861333,17.29,84.55,,
83446,31/07/1978,0000,14,1.955914,4.8,58.2,,,157.4,7.215054,19,114.1,,993.808602,25.990323,21.609032,18.058065,85.08871,,
83446,31/08/1978,0000,9,1.948913,4.8,71.6,,,160.2,6.25,15,100.1,,995.581522,26.033333,20.877333,16.593548,81.375,,
83446,30/09/1978,0000,14,2.31,5.1,73.2,,,140.5,7.322222,19,138.5,,995.003333,26.326667,21.365333,17.346667,81.275,,
83446,31/10/1978,0000,5,2.189247,4.8,97.7,,,133.3,7.494624,11,41.1,,991.901075,28.412903,23.234839,19.106452,76.91129,,
83446,30/11/1978,0000,14,2.581111,4.8,103.6,,,108.7,7.866667,12,61.7,,991.346667,28.746667,23.642667,19.49,78.308333,,
83446,31/12/1978,0000,9,2.087097,5,96.2,,,133.2,7.473118,17,152.2,,991.092473,29.193548,24.117419,20.416129,80.919355,,
83446,31/01/1979,0000,5,2.004301,8.1,69.7,,,87,8.354839,20,288.4,,988.422581,28.674194,24.062581,20.719355,82.104839,,
83446,28/02/1979,0000,9,1.97381,5.5,69.9,,,119.4,6.880952,19,170.8,,985.297619,30.089286,24.423571,20.932143,81.660714,,
83446,31/03/1979,0000,9,1.888172,6,64.9,,,103.7,7.290323,17,153.5,,989.13871,29.109677,24.112258,20.441935,82.08871,,
83446,30/04/1979,0000,14,1.875556,4.8,78.7,,,150.6,6.159091,11,58.6,,988.881111,28.716667,23.374667,19.37,79.641667,,
83446,31/05/1979,0000,14,1.763441,5,87.1,,,138.9,4.923913,7,17.4,,987.17957,29.003226,23.187097,18.735484,80.362903,,
83446,30/06/1979,0000,14,2.292222,6.5,83,,,108.5,6.088889,18,54.9,,992.562222,25.44,20.608667,16.713333,82.816667,,
83446,31/07/1979,0000,14,3.302151,9.3,91.4,,,137.1,5.956989,7,17.6,,996.917204,26.012903,20.801935,16.858065,80.274194,,
83446,31/08/1979,0000,0,1.768817,6.5,77.3,,,145.2,6.537634,16,57.3,,994.35914,26.303226,21.216774,17.283871,83.991935,,
83446,30/09/1979,0000,18,2.584706,6.3,89.5,,,149,6.755556,9,33.6,,994.136667,27.233333,21.944667,17.853333,78.258333,,
83446,31/10/1979,0000,18,2.624731,6,88.1,,,132.5,7.462366,16,93.3,,991.870968,28.458065,23.324516,19.509677,81.951613,,
83446,30/11/1979,0000,18,2.791111,4.8,101.8,,,153.9,7.422222,15,98.5,,989.355556,29.39,24.162,20.326667,84.491667,,
83446,31/12/1979,0000,18,2.669892,6.5,147.3,,,205,6.333333,7,29.2,,988.816129,32.412903,25.800645,20.887097,77.862903,,
83446,31/01/1980,0000,36,2.022826,6,90.9,,,138.3,7.849462,16,302.5,,989.325806,30,24.953548,21.390323,80.177419,,
83446,29/02/1980,0000,5,2.023457,6.1,82.8,,,139.4,6.785714,19,200.2,,989.632143,31.196552,24.908276,20.92069,82.87931,,
83446,31/03/1980,0000,5,2.002174,6.5,76.5,,,222,5.236559,16,76.2,,991.548387,29.667742,24.072667,19.429032,78.903226,,
83446,30/04/1980,0000,5,2.261364,4.8,82.1,,,170.2,6.3,12,82.3,,991.32,29.716667,24.44,20.726667,78.433333,,
83446,31/05/1980,0000,5,1.812903,5.8,58.4,,,178.1,6.473118,20,170.6,,993.77957,27.751613,22.938065,19.458065,83.141667,,
83446,30/06/1980,0000,5,2.116667,6.3,56.5,,,136.2,6.930233,15,70.2,,995.151724,25.913333,,,83.685185,,
83446,31/07/1980,0000,5,1.703333,5,57.6,,,169.2,6.021739,14,107.4,,995.36087,26.232258,,,83.158333,,
83446,31/08/1980,0000,36,2.194444,7.6,81.2,,,168.6,7.744444,17,95.1,,995.673333,26.422581,,,82.4,,
83446,30/09/1980,0000,9,2.045238,5.3,73.5,,,98.4,8.639535,14,57.5,,993.717442,26.383333,,,82.965517,,
83446,31/10/1980,0000,14,2.632258,7,95.8,,,223.2,6.591398,12,71.5,,993.001075,29.154839,,,76.508065,,
83446,30/11/1980,0000,9,2.662921,7.1,91.7,,,134.8,8.404494,15,104.1,,990.321111,29.053333,23.665185,18.659259,81.3,,
83446,31/12/1980,0000,9,2.275269,8.1,100.6,,,129.2,8.380435,15,178,,988.515054,29.916129,24.794839,20.470968,84.548387,,
83446,31/01/1986,0000,9,2.229348,5.5,128.1,,,246.6,5.902174,9,170.5,,989.173913,31.406452,25.235484,20.625806,76.427419,,
83446,28/02/1986,0000,14,2.12381,5,151.7,,,208,5.77381,10,31.8,,988.90119,32.567857,26.121429,21.485714,75.276786,,
83446,31/03/1986,0000,14,1.927957,4.8,169.9,,,236.2,5.494624,15,29.8,,989.603226,31.86129,25.688387,20.783871,73.629032,,
83446,30/04/1986,0000,18,2.515116,6.6,128.1,,,186.7,5.833333,10,79.7,,989.996667,30.886667,25.158667,20.69,75.4,,
83446,31/05/1986,0000,9,2.309302,6.8,110.7,,,210.8,6.139785,12,20.3,,991.568817,29.429032,24.02,19.480645,79.201613,,
83446,31/07/1986,0000,18,2.372222,7.3,93.5,,,163.9,6.945652,8,15.4,,996.004348,25.825806,20.992258,17.33871,81.951613,,
83446,31/08/1986,0000,9,2.174444,6.1,112.1,,,186.1,6.666667,9,37.7,,993.27957,27.970968,22.414839,18.274194,78.637097,,
83446,31/10/1986,0000,9,2.75,7.6,124,,,149.9,7.543478,16,81.6,,992.411957,28.174194,22.890968,19.06129,78.467742,,
83446,31/12/1986,0000,5,2.136047,4.8,113.8,,,162.7,7.703297,11,180.9,,989.647253,30.264516,25.047333,21.183871,75.933333,,
83446,31/01/1987,0000,,,4.6,150.5,,,264.9,6.456522,7,46.9,,989.590217,32.183871,25.894194,21.132258,71.125,,
83446,28/02/1987,0000,,,5.5,122,,,196.6,6.25,14,109.8,,991.167857,31.735714,25.898571,21.421429,73.625,,
83446,31/03/1987,0000,9,1.947917,5.8,101.2,,,,6.301075,16,151.1,,988.777419,31.167742,25.635484,21.7,74.637097,,
83446,30/04/1987,0000,,,,89.8,,,,4.888889,16,71.5,,991.076667,29.85,24.814667,20.89,77.666667,,
83446,31/05/1987,0000,,,,83.6,,,210.3,5.376344,11,52,,990.665591,28.996774,23.958065,20.141935,80.653226,,
83446,30/06/1987,0000,,,,91.8,,,165.6,6.444444,7,10.8,,994.285556,27.286667,22.319333,18.376667,79.266667,,
83446,31/07/1987,0000,,,,115,,,185.9,6.182796,14,47.1,,994.263441,27.396774,21.695484,16.803226,77.604839,,
83446,31/08/1987,0000,,,,112.2,,,214.6,5.609195,4,21.5,,992.847126,27.875862,22.178621,17.393103,75.103448,,
83446,30/09/1987,0000,,,,104.9,,,165.3,7.966667,13,67.6,,992.808889,29.046667,23.326,19.113333,76.941667,,
83446,31/10/1987,0000,,,,166.4,,,239.3,6.010753,3,20.3,,989.534409,31.783871,25.16,19.625806,74.041667,,
83446,30/11/1987,0000,,,,96.8,,,123.4,8.522222,18,190.8,,989.097778,29.86,24.843333,20.876667,83.8,,
83446,31/12/1987,0000,,,,98.5,,,146,8.569892,19,171.4,,988.990323,30.490323,25.136129,20.619355,80.677419,,
83446,31/01/1988,0000,,,,,,,187,6.27957,12,63.5,,988.992473,32.1,26.213548,20.980645,75.129032,,
83446,29/02/1988,0000,,,,,,,213.8,6.172414,7,49.1,,988.01954,33.548276,27.085517,20.986207,70.827586,,
83446,31/03/1988,0000,,,,,,,175,6.565217,14,80.8,,988.837634,31.519355,26.217419,20.767742,76.645161,,
83446,30/04/1988,0000,,,,,,,215.9,6.325843,13,39.5,,989.702222,30.963333,25.084667,19.56,79.683333,,
83446,31/05/1988,0000,,,,,,,222.5,5.129032,8,36.8,,990.239785,30.46129,24.876129,19.887097,79.951613,,
83446,30/06/1988,0000,,,,81,,,164.3,5.944444,10,35.8,,994.25,26.696667,21.626,17.406667,86.583333,,
83446,31/08/1988,0000,18,2.720482,7.5,117.2,,,179.9,6.945652,15,56.1,,995.571739,25.874194,20.854839,17.090323,88.032258,,
83446,30/09/1988,0000,9,2.485057,6.1,131.6,,,,7.122222,11,39,,993.988889,28.04,22.358667,18.063333,83.833333,,
83446,31/10/1988,0000,9,2.386667,6.1,114.8,,,,8.591398,13,78.1,,990.233333,29.290323,23.867742,19.925806,81.620968,,
83446,30/11/1988,0000,9,2.542529,6.3,125.7,,,138.9,7.8,13,95.4,,990.224444,29.296667,23.844667,19.716667,79.816667,,
83446,31/12/1988,0000,9,2.202222,6.8,114.4,,,141.1,7.688172,15,156.1,,988.047312,29.93871,24.641935,20.516129,78.925,,
83446,31/01/1989,0000,9,2.561798,6.6,207.9,,,,6.173913,4,12.8,,988.797826,33.067742,26.485161,21.080645,71.833333,,
83446,28/02/1989,0000,9,2.65119,7.8,169,,,232.6,4.785714,5,32,,988.109524,34.414286,27.335714,21.960714,71.955357,,
83446,31/03/1989,0000,9,2.264516,6.6,145.1,,,209.5,6.473118,15,134.3,,988.168817,31.893548,25.808387,20.832258,83.774194,,
83446,31/01/1991,0000,,,,,,,,7.704918,3,16,,989.21875,31.582353,,20.5625,84.533333,,
83446,31/07/1991,0000,,,,70.2,,,156.9,7.949153,18,72.9,,998.635714,26.083333,20.1192,16.026667,,,
83446,31/08/1991,0000,,,,,,,,,9,65.1,,,,,,,,
83446,30/09/1991,0000,,,,,,,,,5,12.6,,996.532558,27.822727,21.945,17.636364,,,
83446,31/10/1991,0000,,,,108.1,,,118.8,8.403509,12,168.1,,995.124194,29.9,23.65619,19.045161,,,
83446,30/11/1991,0000,,,,67,,,90.3,9.416667,20,247.8,,991.967797,30.31,,20.683333,,,
