Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83182,31/01/1973,0000,14,3.467391,9,203.7,,,317.2,5.815217,7,47.1,,929.757609,30.525806,,,62.806452,,
83182,28/02/1973,0000,14,3.904762,9,235.4,,,259.6,8.654762,2,3.1,,928.659524,32.192857,,,54.6875,,
83182,31/03/1973,0000,0,2.483871,9,154.1,,,246.8,7.645161,10,175.1,,928.465591,30.43871,24.235484,19.380645,69.048387,,
83182,30/04/1973,0000,14,3.6,10,138.7,,,247.7,7.6,5,39.9,,929.305556,29.16,23.087273,19.1,71.175,,
83182,31/05/1973,0000,14,4.967742,12,175.9,,,237.4,7.215054,6,16.4,,930.515054,28.958065,,,68.306452,,
83182,30/06/1973,0000,14,5.344444,12,173.1,,,230.3,6.355556,7,10.6,,931.065556,28.776667,,,66.325,,
83182,31/07/1973,0000,14,5.817204,12,217.6,,,276.5,6.064516,3,27.3,,931.949462,28.264516,,,64.290323,,
83182,31/08/1973,0000,14,5.806452,14,278.9,,,299.5,6.258065,1,0.1,,931.612903,29.312903,,,55.822581,,
83182,30/09/1973,0000,14,6.588889,14,276.5,,,264,6.922222,2,0.4,,931.354444,29.866667,,,59.891667,,
83182,31/10/1973,0000,14,4.172043,14,177,,,222.9,8.16129,9,138.7,,928.566667,28.609677,22.987097,18.274194,66.08871,,
83182,30/11/1973,0000,14,3.877778,9,201.4,,,234.8,8.333333,10,141.2,,928.147778,30.31,24.14,19.12,63.758333,,
83182,31/12/1973,0000,14,3.903226,12,190.8,,,280.2,7.731183,9,29.3,,928.260215,30.803226,24.072258,18.354839,61.112903,,
83182,31/01/1974,0000,14,4,14,231.7,,,236.1,8.935484,6,28.8,,927.943011,30.516129,23.841935,18.593548,62.346774,,
83182,28/02/1974,0000,14,4.142857,9,193.2,,,206.6,8.821429,9,51.2,,927.453571,30.610714,24.03,18.778571,62.508929,,
83182,31/03/1974,0000,0,2.537634,9,121.4,,,191.8,9.075269,18,217.2,,927.741935,28.993548,23.168387,19.074194,75.258065,,
83182,30/04/1974,0000,14,3.644444,9,113.3,,,230.3,8.144444,14,87.1,,929.256667,28.22,22.462,18.306667,77.333333,,
83182,31/05/1974,0000,14,4.795699,9,131.1,,,235,7.645161,7,16.6,,931.084946,27.174194,21.250968,17.074194,77.322581,,
83182,30/06/1974,0000,14,5.177778,14,158.5,,,247,6.077778,1,0.2,,931.392222,27.353333,20.188,14.973333,68.483333,,
83182,31/07/1974,0000,14,6.344086,14,187.4,,,259.6,6.032258,3,1.4,,933.826882,25.883871,19.176,14.06,65.322581,,
83182,31/08/1974,0000,14,5.860215,14,245.5,,,293.2,5.494624,0,0,,931.956989,28.332258,21.353548,15.451613,54.83871,,
83182,30/09/1974,0000,14,6.588889,12,284.5,,,258.9,6.2,0,0,,931.003333,29.826667,22.716667,16.653333,53.3,,
83182,31/10/1974,0000,14,4.387097,9,288.7,,,249.6,8.612903,7,22.3,,928.591398,31.53871,24.432258,18.541935,56.685484,,
83182,30/11/1974,0000,14,4.455556,14,137,,,198.6,9.277778,14,158.4,,928.315556,28.416667,22.554783,18.4,71.008333,,
83182,31/12/1974,0000,14,4.225806,14,155.6,,,260.3,7.956989,8,110.5,,928.390323,29.125806,22.916,17.732,67.620968,,
83182,31/01/1975,0000,14,4.172043,12,197.2,,,258,7.580645,7,121.5,,928.547312,30.003226,23.553548,18.493548,61.209677,,
83182,28/02/1975,0000,14,2.964286,7,68.1,,,237.4,7.333333,7,52.2,,928.754762,29.360714,22.975714,17.821429,68.267857,,
83182,31/03/1975,0000,14,3.88172,9,168.2,,,233.9,8.27957,10,83,,929.053763,30.551613,23.64129,18.43871,66.193548,,
83182,30/04/1975,0000,14,4.155556,12,112.3,,,225.8,8.066667,6,115.3,,928.693333,28.356667,22.570667,18.57,76.9,,
83182,31/05/1975,0000,14,5.849462,14,181.2,,,267.7,7.215054,0,0,,930.419355,27.687097,21.392258,16.23871,68.862903,,
83182,30/06/1975,0000,14,6.022222,14,200.4,,,238.1,7.833333,1,0.9,,932.357778,27.313333,20.740667,15.443333,68.091667,,
83182,31/07/1975,0000,14,6.741935,14,214.2,,,232.5,8.064516,3,2.8,,932.503226,26.377419,20.077419,15.290323,68.766129,,
83182,31/08/1975,0000,14,6.358696,14,255.5,,,271.9,6.430108,5,2.4,,932.652688,27.367742,20.465806,15.048387,62.677419,,
83182,30/09/1975,0000,14,7.966667,14,288,,,284.2,7.055556,1,4.2,,931.844444,28.87,21.838667,16.273333,60.375,,
83182,31/10/1975,0000,14,4.053763,14,268.1,,,236.8,8.354839,7,47.4,,928.653763,31.096774,24.029677,18.370968,59.620968,,
83182,30/11/1975,0000,14,4.822222,9,298.7,,,261.5,8.3,5,18.4,,928.025556,31.633333,24.603333,18.643333,55.625,,
83182,31/12/1975,0000,9,4.509524,14,,,,267.3,7.870968,5,39.5,,927.878495,30.938462,24.200769,18.485185,60.769231,,
83182,31/01/1976,0000,9,4.101075,7.1,380.1,,,274.2,7.27957,3,8.3,,927.72043,31.874194,25.136774,19.003226,52.459677,,
83182,29/02/1976,0000,9,3.194253,7.6,198.7,,,196.2,8.103448,10,229.4,,928.175862,29.27931,23.42,18.744828,68.922414,,
83182,31/03/1976,0000,14,4.021505,7.1,274.4,,,273.2,8.247312,1,0.3,,927.944086,30.812903,24.139355,18.245161,59.225806,,
83182,30/04/1976,0000,14,4.074444,6.6,252.9,,,266.4,6.933333,4,5.1,,929.357778,30.87037,24.219259,18.446667,56.258333,,
83182,31/05/1976,0000,14,3.789247,6.3,223.8,,,225.6,6.827957,0,0,,930.508602,,,17.403226,58.443548,,
83182,30/06/1976,0000,14,4.394444,7.1,255.8,,,280.6,4.111111,2,0.2,,931.767778,,,15.136667,56.75,,
83182,31/07/1976,0000,14,4.863043,10,268.1,,,289.3,3.858696,2,4.6,,933.861957,27.558065,20.742,14.858065,59.066667,,
83182,31/08/1976,0000,14,4.704301,9,346.9,,,323.4,3.83871,0,0,,932.378495,29.174194,21.842581,15.141935,53.201613,,
83182,30/09/1976,0000,9,3.937778,8.1,301.6,,,265.8,5.533333,3,20.4,,930.433333,31.026667,23.934667,17.543333,51.3,,
83182,31/10/1976,0000,14,4.053763,8.3,230.8,,,237.6,7.064516,7,74.1,,929.196774,29.016129,23.057419,18.174194,63.532258,,
83182,30/11/1976,0000,14,3.356667,6.6,185.7,,,193.7,8.122222,13,143.2,,928.405556,29.053333,23.248667,18.803333,70.158333,,
83182,31/12/1976,0000,14,3.388172,6.6,238.9,,,278.6,7.892473,5,21,,927.997849,31.209677,24.189677,18.348387,58.564516,,
83182,31/01/1977,0000,14,3.406452,9.1,157,,,182.7,8.903226,15,292.4,,928.583871,28.370968,22.794194,18.758065,78.145161,,
83182,28/02/1977,0000,14,3.945238,8.6,110,,,256.1,7.904762,9,32.1,,930.138095,28.303571,22.379286,17.742857,73.553571,,
83182,31/03/1977,0000,9,3.560215,6.6,250.6,,,283.9,7.021505,2,5.5,,928.766667,32.219355,24.57871,17.793548,56.185484,,
83182,30/04/1977,0000,14,3.351111,7.5,170.3,,,205.9,8.188889,8,106,,929.002222,30.203333,23.734,18.57,68.9,,
83182,31/05/1977,0000,14,4.352688,7.8,181.5,,,215.6,8.709677,3,7.7,,930.710753,28.112903,22.103226,17.087097,68.032258,,
83182,30/06/1977,0000,14,4.464444,8.3,191.9,,,215,6.522222,2,1.6,,932.005556,28.013333,21.458667,16.463333,65.733333,,
83182,31/07/1977,0000,14,4.760215,8.6,237.3,,,251.9,5.451613,2,0.3,,932.793548,27.622581,20.690968,14.903226,61.298387,,
83182,31/08/1977,0000,14,4.315054,8.6,259.7,,,286.9,3.182796,0,0,,931.601075,29.696774,22.164516,15.154839,52.25,,
83182,30/09/1977,0000,14,4.440449,8,249.3,,,231.4,6.146067,5,148.3,,931.347191,29.775862,23.002759,17.07,56.474138,,
