Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83295,31/01/1961,0000,14,2.195652,6,92.2,,,,7.195652,4,13.4,,937.627174,28.980645,23.811613,18.477419,90.419355,,
83295,28/02/1961,0000,14,2.047619,6,82.4,,,,6.392857,2,46,,938.352381,29.128571,23.917143,17.414286,91.919643,,
83295,30/04/1961,0000,14,1.977528,4,72.8,,,,7.75,13,46.8,,938.560674,27.026667,22.292,17.893333,87.825,,
83295,31/05/1961,0000,14,1.784946,4,60.4,,,,7.045455,6,29,,939.346237,25.877419,21.336774,16.425806,89.032258,,
83295,30/06/1961,0000,14,2.30303,4,,,,,7.651515,14,68.6,,940.85303,23.454545,19.512727,15.136364,90.045455,,
83295,31/07/1961,0000,14,2.129032,4,53.6,,,,7.774194,10,38.4,,943.184946,22.754839,18.530323,15.522581,91.233871,,
83295,31/08/1961,0000,14,2.387097,6,63,,,,7.419355,9,18,,943.188172,23.154839,18.699355,15.574194,91.887097,,
83295,30/09/1961,0000,14,1.511111,6,90,,,,5.844444,2,3.2,,940.665556,26.28,20.796,16.153333,90.216667,,
83295,31/10/1961,0000,14,2.473118,6,94.6,,,,7.795699,14,38.2,,939.633333,26.16129,21.701935,18.316129,87.717742,,
83295,30/11/1961,0000,14,1.955556,6,88.8,,,,5.6,0,0,,937.811111,28.76,23.344,18.693333,88.508333,,
83295,31/12/1961,0000,14,1.677419,6,92.8,,,,7.096774,3,22,,938.28172,27.664516,23.207742,18.554839,90.225806,,
83295,31/01/1962,0000,14,1.677419,6,89,,,,7.129032,7,79.8,,936.854839,29.403226,23.945161,18.877419,89.540323,,
83295,28/02/1962,0000,14,1.880952,6,83,,,,5.72619,0,0,,938.141667,31.607143,24.728571,18.385714,89.758929,,
83295,31/03/1962,0000,14,1.612903,6,86.2,,,,6.569892,6,113.6,,937.939785,29.225806,23.491613,18.264516,88.266129,,
83295,30/04/1962,0000,14,1.822222,6,86.8,,,,6.411111,7,53,,938.482222,27.386667,22.6,17.4,86.708333,,
83295,31/05/1962,0000,14,2.494624,6,54.6,,,,7.623656,10,39.4,,940.089247,24.845161,20.099355,15.658065,87.016129,,
83295,31/01/1963,0000,14,2.065217,8,104.8,,,,5.913043,1,20.4,,937.383696,28.967742,23.344516,18.019355,73.733871,,
83295,28/02/1963,0000,14,2,6,71.4,,,,7.27381,7,165,,937.694048,27.914286,23.163571,18.457143,76.651786,,
83295,31/03/1963,0000,14,1.784946,6,94.8,,,,7.139785,6,44.4,,938.995699,26.870968,22.563871,17.716129,82.475806,,
83295,30/04/1963,0000,14,1.733333,6,68,,,,7.722222,9,44,,938.161111,26.15,21.992667,18.006667,83.375,,
83295,31/05/1963,0000,14,2.580645,6,65.4,,,,8.731183,14,57.8,,940.832258,23.967742,19.705806,15.748387,83.66129,,
83295,30/06/1963,0000,14,2.222222,6,56.6,,,,6.977778,5,8.7,,941.876667,24.52,19.330667,15.38,84.925,,
83295,31/08/1963,0000,,,6,,,,,,,0,,941.551064,24.5625,19.0575,13.725,89.21875,,
83295,30/09/1963,0000,14,2.111111,6,65.4,,,,6.955556,2,2.4,,941.25,25.226667,20.032,14.693333,90.591667,,
83295,31/10/1963,0000,14,1.763441,8,100.7,,,,4.806452,0,0,,939.368817,28.051613,22.905806,16.896774,87.846774,,
83295,30/11/1963,0000,14,2.4,6,77.1,,,,5.777778,5,68.4,,938.263333,28.503333,23.559333,18.293333,90.316667,,
83295,31/12/1963,0000,14,1.935484,4,80.8,,,,7.935484,12,192,,937.798925,26.670968,22.294194,17.574194,90.66129,,
83295,31/01/1964,0000,14,2.301075,4,63.5,,,,8.408602,15,472.4,,936.893548,27.212903,23.014194,18.335484,91.41129,,
83295,29/02/1964,0000,14,2.321839,4,77.1,,,,7.206897,8,211,,936.824138,27.641379,23.386897,18.451724,91.142857,,
83295,31/03/1964,0000,14,1.677419,4,70.8,,,,8.215054,12,41,,938.453763,26.909677,22.754839,17.683871,91.459677,,
83295,30/04/1964,0000,14,1.666667,4,75.4,,,,8.6,11,87.4,,938.792222,26.453333,22.198667,16.926667,91.1,,
83295,31/05/1964,0000,14,1.462366,4,49.2,,,,8.569892,8,39.8,,940.152688,25.135484,20.380645,15.909677,90.959677,,
83295,30/06/1964,0000,,,4,,,,,,,0,,940.525455,24.533333,18.931111,13.388889,92.388889,,
83295,31/10/1964,0000,14,1.391304,4,76.4,,,,7.097826,3,50,,938.620652,26.258065,21.856774,16.587097,91.774194,,
83295,30/11/1964,0000,14,1.4,6,66.8,,,,8.611111,7,183,,938.33,25.386667,21.230667,16.086667,91.533333,,
83295,31/05/1966,0000,14,1.23913,4,54.5,,,,7.402174,7,36.2,,939.652174,24.541935,20.956774,15.483871,90.395161,,
83295,30/06/1966,0000,14,1.244444,4,62.3,,,,8.3,10,36.8,,940.39,24.02,19.654667,15.966667,90.616667,,
83295,31/07/1966,0000,14,1.204301,6,54.2,,,,8.623656,13,57.2,,941.125806,22.922581,18.885161,15.122581,93.112903,,
83295,31/08/1966,0000,14,1.225806,4,58.2,,,,6.956989,7,15.3,,941.334409,23.896774,19.210323,14.741935,93.08871,,
83295,30/09/1966,0000,14,1.488889,4,73.4,,,,6.544444,6,11.4,,940.292222,24.933333,20.697333,15.726667,92.766667,,
83295,31/10/1966,0000,14,1.483871,4,75.1,,,,5.419355,4,20.4,,937.934409,28.174194,22.732903,16.683871,93.814516,,
83295,30/11/1966,0000,0,0.866667,4,67.1,,,,8.011111,8,22.2,,937.246667,27.08,21.886667,17.346667,89.658333,,
83295,31/12/1966,0000,0,0.709677,4,74,,,,7.290323,8,76.3,,936.701075,28.232258,22.669032,17.848387,87.370968,,
83295,31/03/1967,0000,14,1.673913,8,69.8,,,,7.73913,12,75,,937.956522,27.932258,22.711613,18.664516,88.25,,
83295,31/03/1969,0000,,,5,,,,,,17,201.8,,,26.068182,21.429091,18.113636,86.909091,,
83295,30/04/1969,0000,14,1.622222,5,,,,160.7,5.811111,11,29.1,,,26.046667,21.028667,17.55,83.05,,
83295,31/05/1969,0000,14,1.903226,7,,,,121.5,7.075269,16,38.5,,,24.219355,19.654194,16.593548,88.282258,,
83295,30/06/1969,0000,14,1.822222,9,,,,149.2,6.344444,20,70.7,,,23.876667,19.075333,15.83,87.583333,,
83295,31/07/1969,0000,14,1.903226,7,,,,146.7,6.473118,18,74.3,,,22.622581,17.854194,14.751613,87.782258,,
83295,31/08/1969,0000,14,1.849462,5,,,,196.4,4.817204,13,18.7,,,24.325806,18.227097,13.970968,81.024194,,
83295,30/09/1969,0000,5,1.922222,7,,,,177.6,5.511111,9,22.5,,932.452222,26.256667,19.459333,14.966667,77.508333,,
83295,31/10/1969,0000,5,2.301075,7,,,,182.8,5.849462,8,26.8,,930.15914,27.941935,20.921935,16.535484,76.112903,,
83295,30/11/1969,0000,5,2.522222,9,,,,177.1,5.877778,8,31.9,,928.427778,28.726667,21.755333,17.223333,72.683333,,
83295,31/12/1969,0000,5,1.827957,9,,,,104.7,7.236559,19,183.2,,929.401075,26.564516,21.043871,17.309677,82.41129,,
83295,31/01/1970,0000,5,2.409677,12,,,,166.3,5.731183,13,141,,929.650538,27.23871,21.730968,17.880645,80.467742,,
83295,28/02/1970,0000,14,1.928571,5,,,,145.1,6.833333,17,85.6,,930.517857,26.439286,21.170714,17.628571,83.446429,,
83295,31/03/1970,0000,14,3.064516,9,,,,188.7,6.892473,15,49.1,,930.533333,26.732258,21.196129,17.574194,82.612903,,
83295,30/04/1970,0000,14,1.87,7,,,,125.7,6.955556,17,102,,930.515556,25.97,20.8,17.69,84.658333,,
83295,31/05/1970,0000,14,1.616129,7,,,,186,5.946237,15,47.2,,931.586022,24.880645,19.700645,16.329032,84.475806,,
83295,30/06/1970,0000,14,1.711111,5,,,,140.7,6.933333,20,94.4,,933.125556,22.956667,18.432667,15.596667,88.008333,,
83295,31/07/1970,0000,14,2.096774,5,,,,134.1,7.236559,24,94.3,,934.707527,21.33871,17.101935,14.577419,90.201613,,
83295,31/08/1970,0000,14,2.365591,7,,,,157.5,6.774194,17,54.2,,933.315054,22.512903,17.418065,14.203226,86.201613,,
83295,30/09/1970,0000,5,2.433333,7,,,,192.7,5.388889,7,12.9,,931.801111,25.56,19.278667,15.246667,78.875,,
83295,31/10/1970,0000,5,1.946237,5,,,,155,7.430108,19,164.7,,929.133333,26.467742,20.871613,17.403226,83.346774,,
83295,30/11/1970,0000,5,2.411111,7,,,,145.4,7.711111,17,162.2,,927.888889,26.44,21.104,17.5,83.625,,
83295,31/12/1970,0000,5,2.397849,7,,,,246.7,5.698925,5,147.4,,928.465591,28.006452,21.642581,17.354839,78.524194,,
83295,31/01/1973,0000,5,1.804348,5,93.5,,,,5.184783,7,40.5,,930.167391,29.432258,22.747742,18.451613,77.258065,,
83295,28/02/1973,0000,5,1.809524,5,94.1,,,,6.071429,10,26.3,,929.507143,30.007143,23.019286,18.446429,75.571429,,
83295,31/03/1973,0000,,,5,,,,,,9,158.2,,927.802083,29.99375,23.532,19.30625,76.1,,
83295,30/04/1973,0000,14,2.224444,5.5,50.4,,,171.6,6.488889,21,118.2,,929.674444,26.473333,21.446,18.37,87.175,,
83295,31/05/1973,0000,18,2.62043,5.8,61.5,,,173.6,6.634409,17,44.3,,930.848387,25.487097,20.37871,17.267742,84.951613,,
83295,30/06/1973,0000,14,2.438889,4.6,43.3,,,156.6,6.555556,16,53.7,,931.51,24.536667,19.606,16.9,87.375,,
83295,31/07/1973,0000,14,2.475269,5,47,,,149.6,6.172043,18,62.3,,932.550538,23.309677,18.384516,15.490323,87.677419,,
83295,31/08/1973,0000,14,2.505376,6.6,76.3,,,208.5,5.913978,9,36.1,,932.227957,24.912903,19.049032,15.580645,81.830645,,
83295,30/09/1973,0000,14,2.776667,5.1,69.8,,,142.6,7.144444,12,41.1,,932.333333,25.013333,19.323333,15.97,82.975,,
