Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83186,31/01/1961,0000,14,1.967391,9,156,,,,6.086957,9,103.2,,959.422826,32.064516,24.696774,15.793548,64.362903,,
83186,28/02/1961,0000,14,2.083333,9,165.2,,,,5.285714,2,2.2,,960.311905,32.667857,25.002857,16.132143,65.446429,,
83186,31/03/1961,0000,14,1.935484,7,164.9,,,,6.053763,8,31.7,,959.944086,32.46129,25.28,16.496774,66.370968,,
83186,30/04/1961,0000,14,2.455556,9,117.3,,,,5.788889,9,21.3,,960.731111,31.73,24.427333,15.63,66.041667,,
83186,31/05/1961,0000,14,1.462366,9,85.4,,,,5.139785,8,3.4,,962.508602,30.4,23.662581,15.912903,67.741935,,
83186,30/06/1961,0000,14,1.44186,9,21.5,,,,7.1,19,38.6,,964.155556,27.376667,21.273333,13.99,75.566667,,
83186,31/07/1961,0000,14,1.977778,7,95,,,,6.741935,14,29.3,,965.224731,26.248387,20.185161,12.632258,73.169355,,
83186,31/08/1961,0000,14,3.344444,9,128.2,,,,5.268817,4,17.7,,965.277419,28.329032,21.583871,14.835484,62.766129,,
83186,30/09/1961,0000,14,3.033333,9,198,,,,4.055556,0,0,,962.818889,31.193333,23.752667,16.47,55.833333,,
83186,31/10/1961,0000,14,3.107527,9,193,,,,5.763441,4,6.6,,961.893548,31.329032,24.414194,17.577419,60.677419,,
83186,30/11/1961,0000,14,3.122222,9,240.3,,,,4.388889,1,3,,959.942222,33.56,25.950667,18.563333,51.333333,,
83186,31/12/1961,0000,14,1.935484,9,210.9,,,,6.107527,4,79.4,,959.980645,32.587097,24.843226,16.270968,60.08871,,
83186,31/01/1962,0000,14,1.537634,9,129.7,,,,5.55914,7,94.6,,959.268817,33.054839,25.136774,16.435484,66.395161,,
83186,28/02/1962,0000,14,2.142857,7,195.5,,,,3.952381,2,46.2,,959.470238,33.410714,25.362143,16.360714,58.964286,,
83186,31/03/1962,0000,14,1.752688,7,145.1,,,,5.591398,9,85.6,,960.035484,32.206452,24.856774,16.164516,63.435484,,
83186,30/04/1962,0000,14,1.966667,9,112.3,,,,5.533333,9,120.9,,960.596667,31.24,24.152,15.816667,66.916667,,
83186,31/05/1962,0000,0,1.645161,7,93.7,,,,6.924731,9,18.5,,962.51828,28.516129,22.332258,14.590323,73.572581,,
83186,30/06/1962,0000,,,,104.5,,,,7.688889,2,6.4,,964.263333,26.153333,20.678667,13.1,73.158333,,
83186,31/07/1962,0000,14,2.652174,9,116,,,,7.172043,6,14.5,,965.905376,25.948387,20.398065,13.980645,74.927419,,
83186,31/08/1962,0000,14,2.419355,9,126.3,,,,6.88172,9,48.8,,965.050538,27.503226,20.906452,13.664516,71.564516,,
83186,30/09/1962,0000,14,3.044444,9,205,,,,5.266667,3,9.8,,963.618889,30.333333,22.963333,16.11,61.408333,,
83186,31/10/1962,0000,14,2.692308,9,263.8,,,,4.623656,4,13.2,,961.954839,31.990323,24.05871,15.125806,58.145161,,
83186,30/11/1962,0000,14,1.877778,9,191.9,,,,5.611111,8,170.9,,959.838889,30.623333,24.584,18.696667,63.3,,
83186,31/12/1962,0000,14,1.698925,7,174.8,,,,6.043011,10,118.3,,960.095699,30.051613,23.51871,15.803226,72.129032,,
83186,31/01/1963,0000,14,1.849462,7,216.4,,,,4.516129,4,90.7,,959.3,31.841935,24.265806,15.574194,63.669355,,
83186,28/02/1963,0000,14,1.904762,12,180.9,,,,6.22619,8,60.9,,959.895238,30.896429,24.107143,16.135714,65.901786,,
83186,31/03/1963,0000,14,2.204301,7,255.7,,,,5.150538,6,11.3,,960.655914,31.880645,24.707742,15.990323,60.201613,,
83186,30/04/1963,0000,14,1.644444,9,166.1,,,,6.677778,15,97,,959.986667,30.386667,23.834,16.143333,71.016667,,
83186,31/05/1963,0000,14,1.913978,9,112.8,,,,7.817204,14,45.3,,963.522581,26.83871,21.158065,13.735484,75.669355,,
83186,30/06/1963,0000,14,2.8,9,148.1,,,,6.1,8,17.9,,965.063333,27.523333,20.484,12.783333,71.875,,
83186,31/07/1963,0000,14,2.569892,9,156.8,,,,7.268817,11,11.6,,965.369892,26.748387,20.067097,11.987097,69.91129,,
83186,31/08/1963,0000,14,2.526882,9,190.3,,,,5.075269,8,36.6,,964.565591,28.145161,20.912258,12.093548,62.685484,,
83186,30/09/1963,0000,14,2.311111,9,209.7,,,,5.266667,7,13.3,,963.474444,30.153333,22.353333,13.12,59.083333,,
83186,31/10/1963,0000,14,1.731183,9,265.6,,,,3.139785,0,0,,962.023656,33.045161,24.825806,15.332258,52.58871,,
83186,30/11/1963,0000,14,1.9,9,213.8,,,,5.655556,8,117.1,,959.765556,32.993333,25.115333,15.806667,59.925,,
83186,31/12/1963,0000,14,1.301075,7,154.1,,,,7.236559,14,214.8,,960.134409,29.809677,23.343226,15.454839,70.629032,,
83186,31/01/1964,0000,0,1.483871,7,101,,,,7.924731,21,262.4,,959.849462,30.1,23.563226,15.8,77.056452,,
83186,29/02/1964,0000,14,2.172414,7,112.2,,,,6.977011,19,192,,959.131034,31.4,24.157931,16.203448,76.625,,
83186,31/03/1964,0000,14,1.913978,9,109.8,,,,7.817204,17,234.8,,961.013978,30.035484,23.62129,16.270968,76.717742,,
83186,30/04/1964,0000,14,2.433333,9,92,,,,8.233333,19,150,,961.334444,28.653333,23.082,16.433333,84.625,,
83186,31/05/1964,0000,14,1.698925,7,41.6,,,,8.075269,19,88.3,,962.216129,27.212903,22.119355,16.096774,85.959677,,
83186,30/06/1964,0000,14,1.922222,9,48.3,,,,7.988889,14,46.5,,962.958889,26.196667,20.729333,15.31,84.825,,
83186,31/07/1964,0000,14,2.397849,9,57.9,,,,7.795699,11,25.7,,963.935484,25.309677,20.513548,15.783871,85.419355,,
83186,31/08/1964,0000,14,3.086022,9,78.5,,,,7.494624,20,89.6,,964.574194,26.425806,20.907742,14.983871,83.967742,,
83186,30/09/1964,0000,14,2.277778,9,113.4,,,,6.333333,14,61.4,,963.967778,27.993333,21.186,13.11,81.65,,
83186,31/10/1964,0000,14,1.211268,5,,,,,5.535211,2,5.1,,961.576056,30.4,23.25913,16.654167,76.891304,,
83186,30/11/1964,0000,14,1.955556,7,141.8,,,,6.666667,12,114.6,,960.023333,30.133333,23.385333,15.626667,76.75,,
83186,31/12/1964,0000,14,1.430108,6,134.1,,,,5.193548,6,26.5,,958.668817,30.780645,23.239355,14.916129,78.653226,,
83186,31/01/1965,0000,14,1.612903,12,146,,,,5.494624,6,16.5,,959.504301,31.941935,23.733548,14.880645,74.959677,,
83186,28/02/1965,0000,14,1.416667,9,152.1,,,,4.904762,3,6.6,,958.579762,34.089286,25.307857,15.439286,71.508929,,
