Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82979,31/01/1961,0000,0,7,128.8,,,,6.543478,11,156,,966.345652,33.606452,27.144516,21.722581,66.25,,
82979,28/02/1961,0000,0,4,117,,,,5.511905,4,51.7,,967.428571,33.2,27.064286,21,63.839286,,
82979,31/03/1961,0000,0,5,150.3,,,,6.473118,8,64.1,,966.501075,34.225806,28.051613,22.470968,59.927419,,
82979,30/04/1961,0000,9,5,178.2,,,,5.3,0,0,,966.721111,35.626667,28.662667,22.306667,55.208333,,
82979,31/05/1961,0000,9,5,212.6,,,,5.946237,0,0,,968.207527,35.464516,28.317419,21.380645,54.564516,,
82979,30/06/1961,0000,9,7,197.7,,,,5.488889,2,3,,969.725556,33.16,26.297333,19.6,59.166667,,
82979,31/07/1961,0000,9,5,201.2,,,,4.086022,0,0,,970.193548,32.619355,25.527742,18.206452,60.620968,,
82979,31/08/1961,0000,9,9,225.7,,,,2.88172,0,0,,970.343011,33.677419,26.366452,18.851613,46.935484,,
82979,30/09/1961,0000,9,10,274.5,,,,2.866667,0,0,,967.886667,35.953333,28.532,20.72,43.791667,,
82979,31/10/1961,0000,9,10,281.3,,,,3.935484,1,20.8,,966.880645,35.987097,29.130323,22.03871,44,,
82979,30/11/1961,0000,0,10,297.7,,,,3.966667,0,0,,965.617778,37.703333,30.592667,22.966667,37.733333,,
82979,31/12/1961,0000,5,9,245.3,,,,6.268817,2,35,,965.982796,35.606452,29.179355,22.96129,47.685484,,
82979,31/01/1962,0000,0,7,131.6,,,,6.215054,8,177.7,,966.604301,34.103226,27.225806,21.96129,64.169355,,
82979,28/02/1962,0000,0,5,174.8,,,,4.904762,3,41.9,,966.203571,35.814286,28.967143,22.021429,52.196429,,
