Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83229,31/08/1963,0000,14,9,100.9,,,223.2,5.043478,18,93.3,,,25.725806,23.078065,20.780645,76.040323,,
83229,30/09/1963,0000,14,8,100,,,233.4,5,12,37.9,,1011.1,26.596667,23.841333,21.68,77.008333,,
83229,31/10/1963,0000,14,10,104.4,,,285.9,3.784946,7,24.3,,,28.348387,24.943871,22.4,77.314516,,
83229,30/11/1963,0000,0,13,85.6,,,253.6,5.033333,15,74.2,,,28.873333,25.596,23.066667,81.225,,
83229,31/12/1963,0000,0,8,83.8,,,173,6.634409,19,305.3,,,28.690323,25.400645,23.022581,83.056452,,
83229,31/01/1964,0000,0,5,61.1,,,166.2,6.870968,21,481.2,,,29.212903,25.962581,23.632258,86.451613,,
83229,29/02/1964,0000,0,6,64.5,,,231.6,5.149425,17,140.3,,,29.613793,26.393793,23.917241,85.077586,,
83229,31/03/1964,0000,0,8,81.9,,,184.6,6.462366,24,361.4,,,28.706452,26.202581,23.867742,82.387097,,
83229,30/04/1964,0000,14,7,66.6,,,168.9,7.044444,27,376.5,,,28.113333,25.720667,23.366667,83.775,,
83229,31/05/1964,0000,14,9,65.4,,,118.8,7.72043,29,424.5,,,27.067742,24.840645,22.9,85.887097,,
83229,30/06/1964,0000,0,10,72.4,,,164.8,6.177778,22,259.3,,,26.19,23.781333,21.733333,82.841667,,
83229,31/07/1964,0000,14,10,72.4,,,173.9,6.774194,21,225.1,,,25.925806,23.471613,21.619355,83.814516,,
83229,31/08/1964,0000,14,8,85.9,,,217,6.376344,26,255.6,,,26.003226,23.452903,21.429032,80.66129,,
83229,30/09/1964,0000,14,7,96,,,219.3,6.422222,24,110.4,,,26.903333,23.972667,21.49,75.791667,,
83229,31/10/1964,0000,5,10,84.4,,,244.1,4.924731,15,176.8,,,27.641935,24.483226,22.083871,79.717742,,
83229,30/11/1964,0000,5,14,73.7,,,174.6,6.555556,17,222.2,,,27.64,24.612667,22.196667,81.916667,,
83229,31/12/1964,0000,5,10,83.6,,,231.1,6.010753,11,189.9,,,28.622581,25.162581,22.635484,80.41129,,
83229,31/01/1965,0000,0,8,76.5,,,257.7,5.462366,16,85.9,,,29.229032,25.722581,23,78.693548,,
