Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83076,31/01/1961,0000,0,1,69.6,,,,8.717391,15,176.3,,961.017391,31.225806,23.9,18.719355,82.298387,,
83076,28/02/1961,0000,0,2,99.8,,,,6.97619,3,34.8,,961.502381,33.035714,24.768571,18.185714,76.919643,,
83076,31/03/1961,0000,0,2,83.5,,,,7.591398,10,127.4,,961.4,32.032258,24.42129,18.5,81.08871,,
83076,30/04/1961,0000,0,1,118.3,,,,5.788889,0,0,,961.273333,33.31,25.002667,17.943333,73.625,,
83076,31/05/1961,0000,0,2,153.1,,,,6.548387,0,0,,962.806452,34.519355,24.76129,16.925806,66.895161,,
83076,30/06/1961,0000,0,5,180.4,,,,4.5,0,0,,964.004444,32.68,22.754667,13.64,62.791667,,
83076,31/07/1961,0000,0,5,216.1,,,,3.860215,0,0,,965.08172,32.46129,21.532903,10.996774,57.741935,,
83076,31/08/1961,0000,0,2,217.8,,,,2.408602,0,0,,964.324731,33.883871,21.807097,10.66129,55.379032,,
83076,30/09/1961,0000,0,5,264.1,,,,1.033333,0,0,,961.498889,37.24,24.534667,13.466667,50.55,,
83076,31/10/1961,0000,0,5,289.2,,,,5.677419,1,12.2,,961.484946,37.203226,26.902581,17.454839,51.846774,,
83076,30/11/1961,0000,0,6,254.7,,,,6.011111,0,0,,960.714444,38.146667,27.835333,18.87,51.608333,,
83076,31/12/1961,0000,0,6,143.3,,,,7.935484,10,120.6,,961.729032,33.732258,25.385806,19.190323,74.919355,,
83076,31/01/1962,0000,0,2,79.9,,,,8.11828,8,142.1,,961.867742,32.267742,24.819355,19.325806,82.774194,,
83076,28/02/1962,0000,0,3,87.6,,,,5.761905,3,55.3,,962.034524,32.885714,24.95,19.114286,81.169643,,
83076,31/03/1962,0000,0,1,99.3,,,,7.086022,8,140.4,,961.888172,31.512903,24.36129,18.512903,80.596774,,
83076,30/04/1962,0000,0,0,104.3,,,,6.222222,4,37.5,,961.823333,32.58,25.12,18.646667,76.708333,,
83076,31/05/1962,0000,0,4,144.2,,,,5.623656,3,13.9,,962.06129,32.393548,23.528387,15.145161,74.080645,,
83076,30/06/1962,0000,0,6,161.2,,,,3.977778,0,0,,962.295556,32.193333,22.82,12.96,74.05,,
83076,31/07/1962,0000,0,6,172.1,,,,2.408602,0,0,,963.777419,32.432258,22.196129,11.451613,66.459677,,
83076,31/08/1962,0000,0,4,218.8,,,,2.763441,0,0,,963.735484,34.116129,23.377419,12.493548,58.774194,,
83076,30/09/1962,0000,0,6,205.6,,,,4.533333,2,38.2,,962.722222,35.336667,25.043333,15.06,61.891667,,
83076,31/10/1962,0000,0,4,191.1,,,,6.623656,1,7.6,,962.090323,36.767742,27.150323,18.203226,59.895161,,
83076,30/11/1962,0000,0,0,86.4,,,,7.933333,11,143.8,,961.415556,34.243333,26.083333,19.366667,68.725,,
83076,31/12/1962,0000,0,4,96.8,,,,8.032258,13,287.4,,961.789247,30.383871,24.143226,18.203226,83.080645,,
83076,31/01/1963,0000,0,3,119.7,,,,6.784946,7,109.1,,961.168817,33.119355,25.372903,18.06129,87.096774,,
83076,28/02/1963,0000,0,0,59.1,,,,8.238095,10,152.3,,961.495238,31.160714,24.500714,18.578571,87.348214,,
83076,31/03/1963,0000,0,0,98.2,,,,6.053763,2,14.9,,961.613978,32.658065,25.076129,17.958065,85.766129,,
83076,30/04/1963,0000,0,0,81.4,,,,7.344444,5,114.2,,961.52,32.023333,24.566,18.206667,88.5,,
83076,31/05/1963,0000,0,0,109.9,,,,4.892473,1,57.6,,963.082796,31.122581,23.342581,15.435484,85.564516,,
83076,30/06/1963,0000,0,5,127.2,,,,2.611111,0,0,,963.267778,31.516667,21.086,11.086667,87.116667,,
83076,31/07/1963,0000,0,6,126.5,,,,1.752688,0,0,,963.160215,31.522581,20.645806,10.454839,84.048387,,
83076,31/08/1963,0000,0,4,160.5,,,,1.946237,0,0,,963.393548,33.345161,22.04,10.480645,81.370968,,
83076,30/09/1963,0000,0,6,258.6,,,,0.922222,0,0,,962.664444,34.71,23.845333,12.563333,69.041667,,
83076,31/10/1963,0000,0,9,236.5,,,,3.311828,1,2,,961.832258,38.009677,27.251613,16.054839,53.604839,,
83076,30/11/1963,0000,0,10,153.7,,,,6.833333,5,109.3,,960.362222,34.613333,26.513333,18.566667,65.45,,
83076,31/12/1963,0000,0,8,88.7,,,,7.989247,13,305.4,,961.778495,32.319355,24.919355,18.454839,75.41129,,
83076,31/01/1964,0000,0,8,39.6,,,,8.860215,22,324.8,,961.697849,29.529032,23.76,19,87.153226,,
83076,29/02/1964,0000,0,6,76.8,,,,6.425287,13,165.4,,960.529885,31.755172,25.124828,19.217241,80.410714,,
83076,31/03/1964,0000,0,4,91.5,,,,6.967742,4,57,,961.896774,30.893548,24.664516,18.945161,81.862903,,
83076,30/04/1964,0000,0,6,87.6,,,,6.3,5,40.5,,962.212222,30.646667,24.469333,18.433333,80.75,,
83076,31/05/1964,0000,0,7,90.8,,,,5.387097,1,25,,963.182796,30.590323,23.843871,16.816129,79.653226,,
83076,30/06/1964,0000,0,7,96.8,,,,3.611111,0,0,,963.684444,30.12,21.269333,13.026667,73.35,,
83076,31/07/1964,0000,0,7,135.6,,,,3.569892,0,0,,963.768817,31.177419,21.425806,12.33871,68.387097,,
83076,31/08/1964,0000,0,6,172.8,,,,2.591398,0,0,,963.04086,32.080645,22.064516,11.73871,63.41129,,
83076,30/09/1964,0000,0,10,194.1,,,,3.788889,0,0,,962.694444,34.88,24.878667,14.14,54.425,,
83076,31/10/1964,0000,0,10,151.9,,,,7.311828,4,26.4,,961.531183,34.564516,25.834839,17.519355,62,,
83076,30/11/1964,0000,0,10,93.1,,,,8.088889,16,305.4,,961.521111,31.746667,24.143333,17.996667,74.583333,,
83076,31/12/1964,0000,0,6,129.8,,,,6,5,94.4,,961.307527,32.793548,24.794839,17.925806,74.870968,,
83076,31/01/1965,0000,0,6,95,,,,6.634409,5,55.2,,961.42043,31.554839,24.266452,17.603226,76.330645,,
83076,28/02/1965,0000,0,7,78,,,,6.369048,7,63.7,,961.708333,32.232143,24.317857,17.617857,78.625,,
83076,31/03/1965,0000,0,6,57.7,,,,7.989247,10,110.3,,962.266667,30.629032,23.834194,18.270968,83.483871,,
83076,30/04/1965,0000,0,6,56.9,,,,6.722222,11,177.6,,961.874444,30.703333,24.030667,18.526667,83.225,,
83076,31/05/1965,0000,0,8,94.6,,,,3.709677,1,3.3,,961.929032,30.996774,23.42,16.267742,79.322581,,
83076,30/06/1965,0000,0,10,92.1,,,,4.644444,0,0,,963.633333,31.23,22.486667,15.046667,75.891667,,
83076,31/07/1965,0000,0,6,118.7,,,,3.537634,0,0,,963.880645,31.616129,22.272258,13.493548,67.040323,,
83076,31/08/1965,0000,0,8,97.6,,,,4.107527,0,0,,963.477419,34.067742,23.427742,13.341935,60.41129,,
83076,30/09/1965,0000,0,8,113.6,,,,4.422222,0,0,,,35.93,25.398,15.52,58.025,,
83076,31/10/1965,0000,0,5,110.5,,,,8.623656,10,129.1,,961.286957,33.716129,25.267742,18.493548,69.943548,,
83076,30/11/1965,0000,0,8,120.7,,,,7.133333,9,141.9,,961.346667,32.93,24.920667,18.273333,71.758333,,
83076,31/12/1965,0000,0,7,112.3,,,,6.946237,3,76.3,,960.848387,33.43871,25.001935,19.054839,73.314516,,
83076,31/01/1966,0000,0,8,89.5,,,,7.247312,11,194.5,,,32.825806,24.81871,18.051613,74.185484,,
83076,28/02/1966,0000,0,7,63.9,,,,6.5,11,290.6,,,30.378571,24.156429,18.382143,78.258929,,
83076,31/03/1966,0000,0,7,71.4,,,,5.591398,6,58.8,,,31.777419,24.587097,17.754839,73.427419,,
83076,30/04/1966,0000,0,10,80.5,,,,6.344444,7,84.3,,,30.346667,24.144667,18.036667,75.616667,,
83076,31/05/1966,0000,0,6,94.2,,,,5.290323,1,5.9,,,31.232258,23.917419,16.606452,70.870968,,
83076,30/06/1966,0000,0,5,106.1,,,,5.866667,0,0,,,31.383333,22.632667,13.88,65.958333,,
83076,31/07/1966,0000,0,5,105.6,,,,4.709677,0,0,,,31.041935,21.99871,11.922581,61.782258,,
83076,31/08/1966,0000,0,9,127.6,,,,4.172043,0,0,,,33.587097,23.477419,13.635484,54.33871,,
83076,30/09/1966,0000,0,6,176.1,,,,4.488889,2,30.6,,,34.53,25.059333,14.493333,56.358333,,
