Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83088,31/01/1977,0000,14,7,110.6,,,129.6,7.913043,18,140.3,,,29.383871,23.869032,19.958065,73.370968,,
83088,28/02/1977,0000,14,7,75.7,,,167.3,7.238095,20,82.8,,,28.778571,23.394286,19.835714,76.6875,,
83088,31/03/1977,0000,14,7,158.1,,,237.4,5.172043,4,14.6,,,31.764516,25.236774,20.248387,59.951613,,
83088,30/04/1977,0000,14,7,71.5,,,157.4,6.8,14,103.1,,,28.776667,23.706,20.353333,76.416667,,
83088,31/05/1977,0000,14,7,64.6,,,127.4,7.860215,23,148.2,,,26.416129,21.954839,19.058065,81.403226,,
83088,30/06/1977,0000,14,7,77.1,,,141.6,7.355556,18,60.6,,,26.326667,21.592667,18.61,78.366667,,
83088,31/07/1977,0000,14,7,84,,,118.4,7.365591,22,74.5,,,25.103226,20.476774,17.393548,76.975806,,
83088,31/08/1977,0000,14,7,115.9,,,177.8,5.225806,11,14.4,,952.683117,26.954839,21.194194,17.16129,69.354839,,
83088,30/09/1977,0000,14,7,153.3,,,189.4,6.122222,12,41.9,,952.325556,29.013333,22.856,18.23,63.683333,,
83088,31/10/1977,0000,14,5,115.5,,,157.8,6.580645,11,38.5,,951.125806,28.722581,23.329677,19.135484,67.532258,,
83088,30/11/1977,0000,14,7,187.3,,,221.8,4.233333,6,60.8,,948.755556,32.536667,25.731333,20.233333,54.375,,
83088,31/12/1977,0000,14,7,105.4,,,164.6,6.473118,16,111.2,,949.131183,29.448387,24.028387,20.080645,71.435484,,
83088,31/01/1978,0000,14,7,101.3,,,209.8,5.827957,6,103.5,,950.430108,28.780645,23.619355,19.732258,71.870968,,
83088,28/02/1978,0000,14,7,68.2,,,105.4,7.464286,18,197.3,,949.586905,28.2,23.392143,20.253571,80.044643,,
83088,31/03/1978,0000,14,7,69.3,,,154.8,7.322581,13,124.6,,950.315054,27.980645,23.012258,19.790323,79.330645,,
83088,30/04/1978,0000,14,7,63.4,,,156.9,6.866667,17,118.4,,949.591111,27.58,22.956,19.773333,79.391667,,
83088,31/05/1978,0000,14,7,40.8,,,95.9,7.580645,22,110.6,,950.488172,25.796774,21.774839,19.3,86.233871,,
83088,30/06/1978,0000,14,7,44.3,,,122.5,7.133333,22,106.1,,953.595556,24.486667,20.312667,17.83,84.891667,,
83088,31/07/1978,0000,14,7,60.9,,,134.8,6.666667,21,39.7,,952.397849,25.332258,20.86129,18.167742,82.290323,,
83088,31/08/1978,0000,14,7,87.2,,,172.4,6.193548,15,24.8,,954.077419,25.690323,20.349677,17.070968,75.822581,,
83088,30/09/1978,0000,14,7,130.5,,,170.3,6.155556,14,39.1,,952.783333,27.623333,21.796,17.673333,67.225,,
83088,31/10/1978,0000,14,7,149.9,,,207.9,4.827957,6,9.8,,950.248387,30.619355,23.960645,19.041935,59.524194,,
83088,30/11/1978,0000,14,7,174,,,192.6,5.044444,6,11.1,,949.35,31.233333,24.687333,19.553333,57.9,,
83088,31/12/1978,0000,14,7,117,,,159.9,5.967742,13,110.6,,949.411828,29.751613,23.936774,19.745161,69.467742,,
83088,31/01/1979,0000,0,7,104,,,155.6,6.204301,11,159.4,,948.417204,30.058065,24.24,20.287097,69.08871,,
83088,28/02/1979,0000,0,7,65.7,,,128.2,7,20,92.4,,949.279762,28.660714,23.485,20.289286,76.794643,,
83088,31/03/1979,0000,14,7,130.9,,,186.3,5.365591,9,50.5,,949.119355,30.506452,24.45871,20.222581,66.112903,,
83088,30/04/1979,0000,14,7,116.6,,,141.7,5.944444,11,23.9,,949.817778,29.82,24.099333,20.25,66.433333,,
83088,31/05/1979,0000,14,7,120.5,,,162.1,5.956989,14,41.4,,951.08172,28.419355,23.002581,19.409677,70.282258,,
83088,30/06/1979,0000,14,7,99.3,,,94.1,7.533333,25,87.4,,954.168889,25.02,20.442667,17.646667,79.058333,,
83088,31/07/1979,0000,14,7,113.1,,,156.5,5.88172,14,56.2,,954.817204,25.374194,20.386452,17.358065,72.846774,,
83088,31/08/1979,0000,14,7,158.3,,,170.6,5.182796,12,18.6,,952.089247,27.225806,21.507097,17.516129,65.459677,,
83088,30/09/1979,0000,14,7,185.7,,,180.5,4.822222,12,32,,952.003333,29.106667,22.688667,18.106667,60.483333,,
83088,31/10/1979,0000,14,7,252.4,,,215,3.935484,5,4.8,,950.077419,31.83871,25.000645,19.287097,50.919355,,
83088,30/11/1979,0000,14,7,201.6,,,158.3,5.855556,10,26.4,,948.127778,31.616667,25.235333,20.39,59.4,,
83088,31/12/1979,0000,14,7,194.6,,,195.9,5.010753,12,47.6,,948.736559,31.745161,25.443226,20.532258,59.08871,,
83088,31/01/1980,0000,0,5,129,,,159.6,6.752688,15,178.4,,949.077419,29.758065,24.323226,20.283871,69.475806,,
83088,29/02/1980,0000,0,7,66,,,72.2,8.494253,24,321.7,,948.568966,27.548276,23.161379,20.386207,81.991379,,
83088,31/03/1980,0000,14,7,111.8,,,169.1,6.903226,13,30.5,,950.348387,28.351613,23.230323,19.748387,74.395161,,
83088,30/04/1980,0000,14,7,144.7,,,188.9,5.366667,5,19.1,,950.2,29.45,23.693333,19.643333,65.508333,,
83088,31/05/1980,0000,14,7,139,,,172.7,5.849462,20,12.6,,952.003226,28.558065,22.931613,19.348387,68.806452,,
83088,30/06/1980,0000,14,9,141.4,,,147.9,5.855556,16,17.3,,953.255556,27.343333,21.934667,18.186667,67.35,,
83088,31/07/1980,0000,14,7,117.8,,,147.1,6.473118,19,71.5,,953.75914,26.048387,20.937419,17.529032,71.580645,,
83088,31/08/1980,0000,14,7,183.4,,,190.1,5.010753,12,24.5,,953.578495,27.770968,21.770968,17.545161,60.298387,,
83088,30/09/1980,0000,14,7,170,,,165.8,5.644444,11,21.8,,951.75,29.146667,23.074,18.71,61.9,,
83088,31/10/1980,0000,14,7,237.5,,,206.2,4.870968,6,2.7,,951.407527,31.019355,24.332903,19.080645,52.145161,,
83088,30/11/1980,0000,14,5,140.7,,,139.1,6.466667,13,94.2,,949.032222,30.266667,24.320667,20.206667,67.033333,,
83088,31/12/1980,0000,14,5,170.8,,,204.3,5.634409,9,123,,948.175269,31.119355,24.919355,20.219355,61.83871,,
83088,31/01/1986,0000,14,5,142.2,,,204.4,5.815217,4,49.7,,948.916304,,,,69.024194,,
83088,28/02/1986,0000,14,7,127,,,177.8,6.119048,6,95.1,,948.509524,,,,70.446429,,
83088,31/03/1986,0000,14,7,125.1,,,187.1,6.473118,15,152.8,,948.969892,,,,74.120968,,
83088,30/04/1986,0000,14,7,124,,,182.6,5.688889,11,45.4,,948.584444,,,,69.458333,,
83088,31/05/1986,0000,14,5,124.9,,,185.5,5.817204,15,42.3,,950.193548,,,,72.395161,,
83088,31/07/1986,0000,14,7,116.4,,,135.2,6.456522,12,34.9,,954.077174,,,,72.822581,,
83088,31/08/1986,0000,14,7,155.7,,,200.6,5.247312,9,33.6,,951.75914,,,,65.5,,
83088,31/10/1986,0000,14,7,182.1,,,162.4,5.826087,11,56.3,,950.279348,,,,63.806452,,
83088,31/12/1986,0000,14,5,152.8,,,181.9,5.815217,12,108.6,,949.096739,,,,65.58871,,
83088,31/01/1987,0000,0,7,181.8,,,243.4,4.376344,6,24.6,,949.091398,,,,61.274194,,
83088,28/02/1987,0000,14,7,234.6,,,197.4,5.25,3,1.3,,949.422619,,,,54.232143,,
83088,31/03/1987,0000,0,5,130,,,165.6,6.55914,17,223.7,,947.95914,,,,71.322581,,
83088,30/04/1987,0000,14,7,96.7,,,189,5.622222,18,149.8,,949.737778,,,,76.608333,,
83088,31/05/1987,0000,14,5,81.1,,,193.4,5.655914,9,79.7,,950.155914,,,,79.16129,,
83088,30/06/1987,0000,14,5,77.5,,,113.4,7.022222,18,64.9,,952.768889,,,,81.366667,,
83088,31/07/1987,0000,14,7,124.4,,,206.8,5.397849,10,36,,951.898925,,,,71.709677,,
83088,31/08/1987,0000,14,9,150.5,,,200.6,4.903226,11,15.9,,951.504301,,,,66.854839,,
83088,30/09/1987,0000,14,7,199.5,,,210.9,4.444444,11,11.7,,951.22,,,,58.4,,
83088,31/10/1987,0000,14,9,268.2,,,257.2,3.655914,2,6.4,,948.535484,,,,48.080645,,
83088,30/11/1987,0000,14,7,205.8,,,209.6,5.433333,6,65.6,,948.143333,,,,56.65,,
83088,31/12/1987,0000,14,7,196.4,,,198.2,5.462366,4,49.7,,948.351613,,,,59.967742,,
83088,31/01/1988,0000,14,7,195.2,,,213.6,5.795699,6,76.5,,948.427957,,,,60.395161,,
83088,29/02/1988,0000,14,5,219.9,,,218.1,4.62069,4,52.6,,946.875862,,,,54.465517,,
83088,31/03/1988,0000,14,7,130.3,,,192.2,6.27957,15,98.1,,948.48172,,,,71.645161,,
83088,30/04/1988,0000,14,7,113.7,,,168.2,6.655556,18,184,,948.795556,,,,76.816667,,
83088,31/05/1988,0000,14,7,112.3,,,180.9,5.526882,14,45.7,,950.509677,,,,76.241935,,
83088,30/06/1988,0000,14,7,92,,,127.1,6.522222,16,143.3,,952.24,,,,82.458333,,
83088,31/08/1988,0000,14,7,132.8,,,201.3,6.413043,18,32,,952.966304,,,,75.225806,,
83088,30/09/1988,0000,14,7,179.6,,,207.4,5.566667,8,22.6,,951.847778,,,,65.633333,,
83088,31/10/1988,0000,14,7,167.8,,,171.9,5.763441,9,54.5,,948.886022,,,,66.41129,,
83088,30/11/1988,0000,14,7,205.8,,,183.2,5.666667,9,30.2,,948.928409,,,,60.975,,
83088,31/12/1988,0000,14,5,102.6,,,137.3,6.774194,12,157.8,,947.917391,,,,77.112903,,
83088,31/01/1989,0000,14,5,178,,,202.7,5.408602,9,60.2,,948.211828,,,,64.483871,,
83088,28/02/1989,0000,14,7,199,,,223.1,5.154762,3,19.4,,948.027381,,,,56.303571,,
83088,31/03/1989,0000,14,5,150.1,,,191.1,6.774194,15,143.6,,947.606452,,,,69.233871,,
83088,31/01/1993,0000,14,7,199.1,,,201.6,5.565217,7,66.9,,949.83587,30.883871,24.865806,19.809677,58.225806,,
83088,28/02/1993,0000,14,7,213.4,,,147.4,5.345238,1,2.7,,949.196429,31.9,25.924286,20.282143,51.25,,
83088,31/03/1993,0000,14,7,281.2,,,273.9,3.698925,,0,,949.598925,32.970968,26.468387,20.341935,45.290323,,
