Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83550,30/11/1970,0000,5,3.308824,12,,,,,7.164179,14,231.1,,989.619118,26.317391,,,82.391304,,
83550,31/12/1970,0000,5,4.247312,12,109,,,,4.172043,8,32.5,,992.802151,32.187097,,,76.508065,,
83550,31/01/1971,0000,5,3.55914,12,96.1,,,0,4.163043,11,29.6,,993.835484,31.883871,25.733548,20.516129,77.685484,,
83550,28/02/1971,0000,5,3.788095,12,104.5,,,0,3.238095,7,21.1,,993.265476,32.957143,26.469286,20.803571,75.544643,,
83550,31/03/1971,0000,5,2.948718,12,,,,189.1,4.797468,10,81.6,,993.64557,31.069231,25.816923,21.440741,80.432692,,
83550,30/04/1971,0000,14,2.022222,7,69.5,,,202.9,4.266667,17,133.1,,998.05,29.523333,24.443333,19.846667,78.341667,,
83550,31/05/1971,0000,23,2.630435,9,76,,,235.5,4.225806,7,57.1,,,28.522581,22.589677,17.23871,73.403226,,
83550,30/06/1971,0000,0,1.833333,9,58.5,,,202.2,3.666667,6,52.3,,,27.44,21.948,16.61,75.858333,,
83550,31/07/1971,0000,0,2.344086,7,62.2,,,228.2,4.172043,12,166.8,,,26.635484,20.628387,14.935484,76.572581,,
83550,31/08/1971,0000,14,2.731183,12,63,,,205.7,4.666667,17,164.2,,,26.283871,20.715484,15.312903,76.185484,,
83550,30/09/1971,0000,5,4.211111,12,64,,,184.2,5.933333,18,128.9,,,26.563333,21.62,16.466667,77.133333,,
83550,31/10/1971,0000,5,3.924731,12,69.5,,,125.9,7.44086,22,214.9,,,26.503226,22.077419,17.36129,79.209677,,
83550,30/11/1971,0000,5,3.8,12,52,,,105,8.811111,21,224.9,,,27.733333,23.246,18.706667,83.566667,,
83550,31/12/1971,0000,5,4.451613,12,89,,,193.2,6.505376,10,208.8,,,30.13871,25.026452,19.545161,81.782258,,
83550,31/01/1972,0000,5,4.903226,12,107.6,,,290.9,4.548387,9,103.5,,,30.770968,25.489032,19.477419,76.645161,,
83550,29/02/1972,0000,5,4.551724,9,115.1,,,263.2,3.896552,9,22.1,,,32.1,25.87931,19.637931,72.025862,,
83550,31/03/1972,0000,5,3.376344,12,103.5,,,241.7,4.709677,16,64.9,,,31.848387,26.269677,22.870968,75.83871,,
83550,30/04/1972,0000,5,3.411111,12,102,,,192.6,5.044444,8,22.7,,,29.753333,24.430667,21.103333,66.575,,
83550,31/05/1972,0000,5,2.397849,9,101.4,,,229.1,2.989247,7,27.9,,,29.287097,22.900645,18.867742,83.741935,,
83550,30/06/1972,0000,5,2.2,9,93.5,,,203.1,3.733333,10,43.1,,,28.75,22.756,19.07,89.691667,,
83550,31/07/1972,0000,23,2.204301,7,72.5,,,174.8,5.129032,15,89.4,,1014.63871,26.658065,21.534194,18.596774,91.008065,,
83550,31/08/1972,0000,5,3.408602,12,99,,,224.9,3.795699,1,0.1,,,27.690323,21.9,17.425806,85.556452,,
83550,30/09/1972,0000,5,3.9,12,95,,,160.3,5.844444,,,,,27.343333,22.412,17.966667,86.783333,,
83550,31/10/1972,0000,5,4.860215,12,106,,,149.7,6.16129,8,25.4,,,28.687097,23.682581,19.590323,82.5,,
83550,30/11/1972,0000,5,4.044444,12,100.5,,,128.7,7.455556,21,217.3,,,30.083333,25.285333,21.213333,83.191667,,
83550,31/12/1972,0000,5,3.763441,9,79.5,,,180.9,6.784946,13,166.2,,,29.764516,25.174194,21.122581,84.370968,,
83550,31/01/1973,0000,5,5.268817,12,128.8,,,286.4,4.473118,7,32,,1009.73871,32.293548,26.712903,22.193548,82.193548,,
83550,28/02/1973,0000,5,4.071429,12,95.5,,,210,4.452381,11,143.5,,,31.782143,26.86,22.510714,81.892857,,
83550,31/03/1973,0000,5,2.684211,8,,,,154.8,5.407895,11,178.4,,,31.856,26.2704,21.834615,84.29,,
83550,30/04/1973,0000,5,2.077778,7,64.5,,,238.3,4.066667,11,87.8,,,30.983333,25.806,21.343333,85.491667,,
83550,31/05/1973,0000,23,2.795699,9,77.5,,,209.9,4.494624,10,122.2,,,28.529032,23.22129,18.774194,83.854839,,
83550,30/06/1973,0000,5,2.044444,9,61.5,,,231.9,3.077778,7,43.5,,,28.863333,22.855333,17.736667,85.65,,
83550,31/07/1973,0000,5,2.570968,7,73,,,210.8,4.576087,14,60.2,,,27.548387,21.830968,17.306452,84.354839,,
83550,31/08/1973,0000,5,3.102151,9,123.9,,,222.7,3.290323,2,1.3,,,28.293548,22.139355,17.583871,79,,
83550,30/09/1973,0000,5,3.755556,12,101.5,,,139.2,5.7,17,49.2,,,27.956667,22.523333,18.61,81.466667,,
83550,31/10/1973,0000,5,3.870968,9,88.8,,,101.3,6.419355,18,150.3,,,27.503226,23.062581,19.632258,82.201613,,
83550,30/11/1973,0000,5,3.577778,12,87,,,111,6.966667,14,155.2,,,28.276667,23.912,20.71,82.008333,,
83550,31/12/1973,0000,5,4.430108,9,99.9,,,196.2,5.935484,18,192.5,,,30.183871,25.694194,22.170968,82.604839,,
83550,31/01/1974,0000,5,4.075269,12,103.1,,,242,5.55914,16,183.7,,,30.748387,26.046452,22.567742,83.451613,,
83550,28/02/1974,0000,5,1.940476,12,87.6,,,222.1,4.297619,18,162.4,,,30.85,25.736429,22.071429,82.517857,,
83550,31/03/1974,0000,5,2.268817,9,77.3,,,168.6,6.043011,19,148.3,,,30.33871,25.728387,22.280645,85.298387,,
83550,30/04/1974,0000,5,2.644444,9,95.9,,,224.1,3.977778,7,68.3,,1010.05,30.406667,24.946667,21.746667,81.141667,,
83550,31/05/1974,0000,5,2.258065,7,67.6,,,198.7,4.483871,18,62.3,,,28.777419,23.620645,20.245161,84.790323,,
83550,30/06/1974,0000,23,2.733333,9,83.8,,,199,4.066667,6,13.8,,,27.603333,21.602,17.56,82.316667,,
83550,31/07/1974,0000,5,2.494624,7,88.1,,,241.8,2.548387,7,8.2,,1017.72043,27.722581,20.796667,16.246667,81.395161,,
83550,31/08/1974,0000,5,3.784946,12,98.8,,,191,5.204301,7,30,,,27.751613,22.014194,17.922581,79.991935,,
83550,30/09/1974,0000,5,3.411111,9,99.8,,,178,5.2,14,61.6,,,28.56,23.136,19.143333,80.125,,
83550,31/10/1974,0000,5,4.064516,12,98.7,,,168.4,6.677419,14,136.2,,,29.463333,24.226,20.216129,81.556452,,
83550,30/11/1974,0000,5,4.011111,9,106.8,,,193.7,5.255556,15,126.1,,,28.49,23.875333,20.19,79.4,,
83550,31/12/1974,0000,5,4.258065,12,94.4,,,155.4,7.569892,14,165.9,,,29.690323,24.832258,21.358065,82.112903,,
83550,31/01/1975,0000,5,4.11828,12,95.9,,,230.5,6.010753,16,209.5,,1009.83871,30.586667,26.002759,22.731034,82.193548,,
83550,28/02/1975,0000,5,3.84881,9,88,,,228.7,5.071429,10,97.3,,,31.917857,26.742222,23.392593,81.044643,,
83550,31/03/1975,0000,5,2.182796,7,97.2,,,218.1,5.096774,17,159.7,,,31.135484,25.879333,21.986667,81.258065,,
83550,30/04/1975,0000,14,2.4,7,85.2,,,194.4,4.444444,8,90.3,,,28.903333,23.731724,19.862069,81.675,,
83550,31/05/1975,0000,14,2.741935,9,89.9,,,218.3,4.462366,8,23.7,,,28.157143,22.415385,18.568966,82.362903,,
83550,30/06/1975,0000,14,2.066667,7,66.6,,,177,4.544444,15,73.4,,,27.366667,21.216429,17.317857,86.383333,,
83550,31/07/1975,0000,18,3.053763,9,80.7,,,197.6,4.075269,10,32.7,,,26.003226,20.327857,16.210714,82.564516,,
83550,31/08/1975,0000,5,2.311828,7,78.6,,,239.4,3.88172,16,34.3,,,27.83871,21.754,17.286667,83.008065,,
83550,30/09/1975,0000,5,3.033333,12,84.6,,,150.2,5.5,18,125,,,27.537931,22.114074,17.937037,81.033333,,
83550,31/10/1975,0000,5,2.967742,9,68.4,,,116.2,7.225806,22,242.3,,,28.445161,24.135385,20.907692,85.379032,,
83550,30/11/1975,0000,5,3.934444,9,90.2,,,161.9,6.644444,13,121.1,,,28.86,24.559259,21.077778,83.508333,,
83550,31/12/1975,0000,5,3.967742,12,98.2,,,244.6,5.580645,16,121.8,,,29.348387,24.872414,21.186207,84.330645,,
