Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83368,31/05/1970,0000,0,0.934783,4,123.6,,,,3.565217,,0,,978.879032,31.5,23.392903,17.551613,78.5,,
83368,30/06/1970,0000,0,0.877778,4,130.1,,,,2.855556,0,0,,979.308889,31.606667,22.904667,16.223333,67.746667,,
83368,31/07/1970,0000,0,0.709677,3,176.2,,,299.7,2.870968,0,0,,980.650538,31.277419,22.230323,15.277419,60,,
83368,31/08/1970,0000,0,0.839785,6,238.8,,,289.7,2.333333,0,0,,978.021505,33.370968,23.747742,15.7,49.383871,,
83368,30/09/1970,0000,0,0.788889,4,191.4,,,211.4,2.7,3,12,,975.931111,33.703333,26.372667,20.373333,56.68,,
83368,31/10/1970,0000,32,0.860215,7,125.5,,,195.7,6.44086,10,43.3,,974.448387,32.912903,26.570323,21.86129,69.219355,,
83368,30/11/1970,0000,0,0.755556,7,92.8,,,214.6,6.444444,13,102.5,,973.327778,32.01,25.983333,21.73,75.52,,
83368,31/12/1970,0000,0,0.543478,3,65.8,,,196.3,6.817204,10,198.2,,974.296774,31.822581,25.927097,21.56129,76.580645,,
83368,31/01/1971,0000,0,0.807692,10,63.3,,,198.5,7.076923,17,179.6,,974.718681,31.41,25.25,21.103333,78.386667,,
83368,28/02/1971,0000,27,0.86506,8,52.7,,,188.1,7.084337,,145.7,,975.173494,30.896429,24.827143,20.982143,79.228571,,
83368,31/03/1971,0000,9,0.612903,3,65.6,,,,7.623656,16,257,,975.304301,30.635484,24.938065,21.264516,83.33871,,
83368,30/04/1971,0000,0,0.611111,2,61.2,,,241,5.133333,7,37.8,,976.532222,30.96,24.617333,20.26,80.063333,,
83368,31/05/1971,0000,0,0.655914,2,105,,,,4.827957,,15.2,,978.397849,30.958065,23.621935,18.458065,73.829032,,
83368,30/06/1971,0000,0,0.477778,2,123.3,,,259.3,3.522222,,0,,979.018889,31.293333,22.8,16.806667,69.223333,,
83368,31/07/1971,0000,0,0.548387,2,157.2,,,266,3.096774,,4.4,,979.272043,31.764516,22.02,15.087097,63.145161,,
83368,31/08/1971,0000,0,0.806452,5,211.8,,,279.2,0.731183,,9.2,,978.549462,33.580645,23.163871,15.148387,51.654839,,
83368,30/09/1971,0000,0,0.655556,3,191.9,,,187.3,3.155556,,53.7,,976.898889,33.103333,25.5,19.466667,60.573333,,
83368,31/10/1971,0000,0,0.645161,3,107.4,,,152.8,7.741935,,175.7,,976.854839,30.816129,25.095484,21.048387,74.435484,,
83368,30/11/1971,0000,9,0.611111,2,80.1,,,175.2,7.955556,,195.4,,974.947778,30.463333,24.917333,21.146667,78.973333,,
83368,31/12/1971,0000,32,0.365591,2,67,,,134.7,8.387097,,199.5,,974.819355,30.545161,24.90129,21.335484,83.735484,,
83368,31/01/1972,0000,0,0.494624,3,75.9,,,135,8.225806,20,295.9,,975.545161,29.883871,24.329032,20.648387,81.364516,,
83368,29/02/1972,0000,0,0.586207,2,63.7,,,136.6,8.609195,21,155,,975.717241,29.475862,24.53931,21.286207,83.982759,,
83368,31/03/1972,0000,18,0.677419,5,99.1,,,245.6,6.462366,,19.5,,975.550538,32.354839,25.749032,21.164516,75.883871,,
83368,30/04/1972,0000,27,0.577778,3,98.4,,,260.5,4.211111,,118.8,,976.988889,30.743333,23.994,18.95,75.903333,,
83368,31/05/1972,0000,0,0.451613,2,131.9,,,275.6,3.322581,,33,,977.627957,31.56129,23.673548,17.867742,71.845161,,
83368,30/06/1972,0000,0,0.4,3,136.9,,,270.6,2.622222,,0,,979.22,31.27,21.970667,15.27,70.25,,
83368,31/07/1972,0000,0,0.494624,5,162.3,,,270.8,2.924731,,7.5,,978.853763,31.451613,22.487097,15.816129,64.867742,,
83368,31/08/1972,0000,14,0.612903,4,192.2,,,287.6,1.483871,,69.6,,977.04086,33.683871,24.46,17.141935,57.580645,,
83368,30/09/1972,0000,0,0.522222,3,208.7,,,208.5,3.1,,29.9,,976.375556,34.163333,26.586,20.273333,56.396667,,
83368,31/10/1972,0000,0,0.516129,6,114.8,,,208.1,6.473118,15,107.6,,975.688172,33.06129,26.12129,21.341935,74.077419,,
83368,30/11/1972,0000,0,0.436782,5,64.5,,,138.9,8.528736,19,324.2,,974.554023,31.241379,25.494483,22.062069,84.462069,,
83368,31/12/1972,0000,0,0.526882,6,74.2,,,176.7,7.956522,18,449.2,,974.332258,31.132258,25.52129,21.925806,82.745161,,
83368,31/01/1973,0000,9,0.322581,3,77.1,,,187.2,6.892473,20,249,,976.460215,31.690323,26.145806,22.190323,81.183871,,
83368,28/02/1973,0000,0,0.345238,3,68,,,176.3,7.25,,148.7,,976.139286,31.385714,25.840714,22.139286,82.489286,,
83368,31/03/1973,0000,0,0.258065,2,68.9,,,206.1,7.107527,15,192.7,,975.136559,31.680645,25.907742,22.477419,84.890323,,
83368,30/04/1973,0000,14,0.277778,5,84.2,,,235.4,4.333333,,66.3,,976.628889,32.186667,25.716667,21.08,81.336667,,
83368,31/05/1973,0000,0,0.301075,2,113.7,,,260.7,3.139785,,2.6,,978.586022,31.154839,23.589032,18.019355,74.8,,
83368,30/06/1973,0000,0,0.344444,6,118.5,,,244.2,2.877778,,5.8,,978.344444,32.04,23.526,17.05,71.64,,
83368,31/07/1973,0000,0,0.44086,2,175.6,,,284.7,1.752688,,0,,979.56129,31.632258,21.923226,13.903226,62.590323,,
83368,31/08/1973,0000,0,0.4,2,183.1,,,,1.3125,,18,,977.80375,34.511538,24.627692,16.666667,56.776923,,
83368,30/09/1973,0000,0,0.455556,9,212.5,,,103.6,4.577778,,10.6,,976.745556,34.643333,26.784,19.666667,53.556667,,
83368,31/10/1973,0000,14,0.484946,11.1,113.6,,,179.7,6.494624,,337.8,,974.741935,31.370968,25.779355,21.732258,76.703226,,
83368,30/11/1973,0000,0,0.511111,3,73.1,,,176.3,8.2,17,225.3,,974.948889,30.79,25.525333,22.023333,81.4,,
83368,31/12/1973,0000,0,0.193548,2,59.6,,,148.4,7.344086,21,267.8,,975.305376,29.967742,24.913548,21.270968,83.56129,,
83368,31/01/1974,0000,0,0.387097,6,66.5,,,164,7.806452,20,289,,975.183871,30.341935,24.917419,21.016129,84.174194,,
83368,28/02/1974,0000,0,0.369048,3,61.3,,,200.3,5.416667,15,162.2,,974.854348,31.303571,25.601429,21.235714,80.621429,,
