Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83526,31/01/1961,0000,32,1.521739,4,42.8,,,103.8,7.695652,23,412.2,,915.277174,25.767742,21.528387,18.758065,85.854839,,
83526,28/02/1961,0000,32,1.190476,4,44.4,,,132.3,6.97619,23,290.6,,916.6,27.217857,22.246429,18.775,82.080357,,
83526,31/03/1961,0000,32,1.139785,4,64.6,,,219.1,4.612903,15,285.7,,917.170968,28.170968,22.665806,18.651613,76.491935,,
83526,30/04/1961,0000,5,1.188889,5,88.5,,,227.1,3.733333,7,16.2,,917.36,28.243333,22.514,17.99,70.075,,
83526,31/05/1961,0000,5,1.096774,6,80.2,,,251.3,2.870968,4,33.2,,919.453763,26.554839,20.498065,15.741935,69.895161,,
83526,30/06/1961,0000,5,2.033333,7,92.3,,,281.2,1.877778,2,0.7,,921.07,25.69,19.270667,14.313333,64.625,,
83526,31/07/1961,0000,5,1.655914,7,130.6,,,298.3,1.516129,0,0,,921.17957,25.958065,19.180645,13.519355,53.25,,
83526,31/08/1961,0000,5,2.032258,8,171.1,,,281.7,1.774194,0,0,,920.291398,28.596774,21.26,15.406452,44.782258,,
83526,30/09/1961,0000,5,2.488889,7,225,,,248.7,0.166667,0,0,,916.773333,33.34,25.605333,19.586667,36.725,,
83526,31/10/1961,0000,5,2.548387,8,157.5,,,183.9,3.752688,8,125.3,,916.653763,29.677419,23.86129,19.270968,54.540323,,
83526,30/11/1961,0000,32,1.488889,6,102.1,,,225.4,4.222222,11,115.6,,915.372222,29.816667,24.186,19.263333,66.275,,
83526,31/12/1961,0000,5,1.258065,5,56.6,,,126.9,6.666667,20,196.7,,915.843011,26.106452,21.684516,18.287097,80.645161,,
83526,31/01/1962,0000,32,1.172043,2,46.6,,,172.5,6.827957,27,326.2,,914.896774,27.474194,22.452903,18.883871,83.951613,,
83526,28/02/1962,0000,32,1.428571,5,43.3,,,148.9,6.833333,21,274.6,,915.803571,27.621429,22.485714,18.982143,83.053571,,
83526,31/03/1962,0000,5,1.408602,5,56.8,,,172.7,5.870968,14,178.4,,916.383871,27.164516,22.393548,18.716129,79.209677,,
83526,30/04/1962,0000,5,1.155556,4,81.2,,,247.7,3.688889,7,58.9,,917.343333,28.21,22.187333,17.466667,68.966667,,
83526,31/05/1962,0000,5,1.451613,8,89.4,,,277.8,2.505376,2,1.2,,919.334409,25.774194,19.350968,14.074194,66.387097,,
83526,30/06/1962,0000,5,1.9,7,86.5,,,268.7,2.244444,3,37.9,,920.64,24.736667,17.596667,12.273333,66.05,,
83526,31/07/1962,0000,5,1.752688,8,120.2,,,292.4,2,0,0,,921.47957,25.816129,18.244516,12.270968,55.959677,,
83526,31/08/1962,0000,5,1.731183,9,142.9,,,270.9,2.752688,5,42,,919.766667,27.806452,20.607097,14.774194,53.701613,,
83526,30/09/1962,0000,5,1.688889,6,122.4,,,218.9,3.488889,6,51.7,,918.141111,29.106667,22.725333,17.75,58.566667,,
83526,31/10/1962,0000,5,1.580645,6,76.4,,,166.2,6.215054,16,255.3,,917.510753,26.9,21.747742,17.822581,75.016129,,
83526,30/11/1962,0000,32,1.355556,7,96.5,,,258.1,4.788889,15,136.7,,915.577778,29.183333,23.057333,18.053333,67.508333,,
83526,31/12/1962,0000,32,1.892473,12,34.1,,,83.8,8.591398,31,538.9,,914.709677,25.590323,21.565161,19.083871,87.790323,,
83526,31/01/1963,0000,32,1.182796,6,66.2,,,210,5.053763,16,134,,915.433333,28.512903,23.063226,19.019355,77.459677,,
83526,28/02/1963,0000,32,1.27381,6,53.9,,,161.5,6.02381,19,274,,916.125,27.578571,22.373571,18.685714,80.767857,,
83526,31/03/1963,0000,5,1.225806,5,112.8,,,270.3,2.774194,8,42.5,,917.33871,30.287097,24.020645,18.980645,65.467742,,
83526,30/04/1963,0000,5,1.211111,5,93.9,,,228.9,3.1,6,96.2,,917.227778,28.346667,22.344,17.583333,68.641667,,
83526,31/05/1963,0000,5,1.258065,6,115.2,,,272.8,1.387097,0,0,,920.304301,26.606452,19.629032,14.025806,59.266129,,
83526,30/06/1963,0000,5,1.466667,7,118.4,,,231.6,1.8,0,0,,921.275556,25.676667,18.249333,12.686667,56.591667,,
83526,31/07/1963,0000,5,1.623656,6,154,,,248.3,0.795699,0,0,,920.690323,26.674194,19.307097,13.46129,50.120968,,
83526,31/08/1963,0000,5,1.602151,8,178.3,,,237.9,0.580645,0,0,,919.209677,29.545161,21.885161,15.774194,43.008065,,
83526,30/09/1963,0000,5,2.144444,7,229.3,,,108.2,0.455556,0,0,,917.805556,31.353333,24.344667,18.63,40.008333,,
83526,31/10/1963,0000,5,1.784946,7,197.8,,,61.7,2.129032,3,15.9,,916.716129,32.719355,26.084516,20.812903,48.209677,,
83526,30/11/1963,0000,5,1.744444,6,140.1,,,210.7,4.133333,11,51,,915.212222,31.883333,25.594,20.476667,59.458333,,
83526,31/12/1963,0000,5,1.741935,7,159.2,,,253.5,4.064516,11,234.1,,915.462366,30.403226,24.456774,19.541935,58.637097,,
83526,31/01/1964,0000,5,1.408602,6,43.4,,,112.1,7.408602,24,514.7,,914.784946,26.177419,22.20129,19.135484,84.677419,,
83526,29/02/1964,0000,32,1.321839,5,42.9,,,132.1,6.885057,21,407.8,,914.796552,27.468966,22.648966,19.513793,84.336207,,
83526,31/03/1964,0000,5,1.623656,6,93,,,234.9,3.655914,11,73.9,,917.63871,28.003226,22.760645,18.490323,72.806452,,
83526,30/04/1964,0000,5,1.166667,6,79.6,,,221.3,3.466667,7,48.8,,918.145556,27.743333,22.346,17.91,72.291667,,
83526,31/05/1964,0000,5,1.182796,5,67.5,,,217.4,3.397849,8,69.7,,919.678495,24.987097,19.423871,15.254839,75.016129,,
83526,30/06/1964,0000,5,1.277778,6,98.5,,,273.4,1.322222,0,0,,919.642222,25.86,18.744,13.01,63.441667,,
83526,31/07/1964,0000,5,1.663043,5,97.4,,,230.4,2.612903,5,10.8,,920.196774,24.209677,17.779355,13.009677,65.887097,,
83526,31/08/1964,0000,5,1.924731,7,165.1,,,294.1,1.645161,0,0,,920.107527,27.870968,21.166452,15.5,51.379032,,
83526,30/09/1964,0000,5,2.055556,9,174.3,,,251.3,2.877778,5,31.7,,918.392222,29.11,22.702667,17.306667,49.225,,
83526,31/10/1964,0000,5,1.301075,4,83.9,,,166.8,6.096774,18,242.6,,916.239785,27.1,21.66129,17.512903,74.516129,,
83526,30/11/1964,0000,5,1.488889,5,64.4,,,184,5.877778,16,185.6,,915.435556,26.246667,21.352,17.593333,78.058333,,
83526,31/12/1964,0000,32,1.623656,7,47.8,,,143.4,7.075269,23,178.6,,914.098925,25.829032,21.391613,18.167742,82.637097,,
83526,31/01/1965,0000,5,1.591398,5,56.4,,,164.4,6.526882,20,214.5,,914.986022,26.551613,21.915484,18.451613,80.669355,,
83526,28/02/1965,0000,32,1.178571,4,42.3,,,132.3,6.666667,23,364.8,,914.6,27.117857,22.120714,18.807143,82.678571,,
83526,31/03/1965,0000,5,1.11828,3,52.1,,,162.6,5.870968,16,334.2,,916.433333,26.532258,21.606452,17.893548,80.580645,,
83526,30/04/1965,0000,5,1.177778,4,75.2,,,228.9,3.544444,7,49.9,,917.067778,27.253333,21.747333,17.353333,73.791667,,
83526,31/05/1965,0000,9,1.129032,4,94.1,,,276.7,2.569892,3,0.5,,918.365591,27.854839,21.336129,16.3,66.508065,,
83526,30/06/1965,0000,9,1.611111,6,102.9,,,256.6,1.944444,2,5.4,,921.206667,26.613333,19.703333,14.573333,64.375,,
83526,31/07/1965,0000,9,1.967742,9,119.3,,,265.2,2.451613,2,0.2,,920.470968,26.106452,19.329032,14.13871,60.491935,,
83526,31/08/1965,0000,9,1.548387,6,160.6,,,270.6,2.419355,2,17.4,,918.77957,28.280645,21.109677,15.16129,50.104839,,
83526,30/09/1965,0000,5,2,7,184.7,,,249.2,1.611111,5,46.5,,917.33,30.613333,23.756667,18.39,49.583333,,
83526,31/10/1965,0000,5,1.580645,4,77.9,,,155.8,6.11828,18,223.8,,915.96129,27.180645,21.915484,17.948387,75.58871,,
83526,30/11/1965,0000,5,1.444444,6,72.3,,,179.7,6.022222,16,232.5,,915.418889,27.37,22.128667,18.12,75.675,,
83526,31/12/1965,0000,5,1.204301,3,62.4,,,171.9,6.043011,22,283.4,,915.816129,27.870968,22.55871,18.622581,79.66129,,
83526,31/01/1966,0000,5,1.408602,4,68.4,,,195.5,6.290323,20,352.6,,915.095699,27.929032,22.667742,18.722581,78.346774,,
83526,28/02/1966,0000,5,1.404762,5,56.9,,,139.1,5.52381,17,307.2,,915.455952,27.710714,22.825714,19.142857,79.464286,,
83526,31/03/1966,0000,5,1.419355,5,74.5,,,206.2,4.225806,13,177,,916.312903,28.022581,22.524516,18.229032,75.620968,,
83526,30/04/1966,0000,9,1.371111,4,82.3,,,244.4,3.655556,10,98.8,,916.775556,27.66,21.434667,16.7,70.883333,,
83526,31/05/1966,0000,9,1.311828,6,69.8,,,219.4,3.784946,6,36.5,,918.760215,25.941935,20.236774,15.993548,73.830645,,
83526,30/06/1966,0000,9,1.455556,5,100.5,,,294.1,1.3,0,0,,919.748889,26.783333,19.337333,13.463333,59.425,,
83526,31/07/1966,0000,9,2.086022,8,109.3,,,268.6,2.462366,1,0.2,,920.830108,26.13871,19.507742,14.303226,58.741935,,
83526,31/08/1966,0000,9,1.709677,6,148.2,,,276.5,1.505376,0,0,,919.569892,28.667742,20.96129,14.887097,50.717742,,
83526,30/09/1966,0000,5,1.844444,7,157.3,,,209.6,1.911111,5,67.4,,918.222222,29.456667,22.594,17.103333,50.466667,,
83526,31/10/1966,0000,5,1.268817,5,89.7,,,170,5.182796,15,135.1,,915.941935,29.016129,23.27871,18.732258,70.104839,,
83526,30/11/1966,0000,5,1.3,5,70.4,,,228.5,5.277778,16,171.6,,915.056667,28.186667,22.128667,17.41,73.683333,,
83526,31/12/1966,0000,5,1.129032,4,59.9,,,169.5,6.075269,21,391.7,,913.315054,28.096774,22.912903,19.125806,78.354839,,
83526,31/01/1967,0000,5,1.268817,4,54.8,,,178,6.236559,23,289.1,,915.106452,28.045161,22.42,18.464516,81.459677,,
83526,28/02/1967,0000,32,1.119048,5,46.6,,,175.4,6.261905,20,281.2,,915.679762,27.903571,22.626429,18.707143,81.383929,,
83526,31/03/1967,0000,9,1.182796,4,62,,,192.6,5.064516,18,208.7,,916.010753,28.496774,22.798065,18.929032,77.943548,,
83526,30/04/1967,0000,14,1.2,5,67.2,,,211.1,3.5,10,126.2,,917.676667,27.533333,21.894667,17.436667,74.341667,,
83526,31/05/1967,0000,9,1.150538,5,95.3,,,272.1,1.763441,1,0.2,,919.309677,27.274194,20.60129,15.283871,64.16129,,
83526,30/06/1967,0000,9,1.711111,6,92.8,,,237.3,2.544444,2,7.8,,920.133333,26.203333,19.719333,14.786667,65.175,,
83526,31/07/1967,0000,9,1.698925,6,121.9,,,261.5,1.731183,0,0,,920.523656,26.770968,19.565161,13.958065,56.201613,,
83526,31/08/1967,0000,5,2.139785,7,175.5,,,285.1,1.419355,0,0,,920.14086,29.203226,21.915484,16.148387,44.33871,,
83526,30/09/1967,0000,5,1.8,8,150,,,191.7,1.7,4,14.4,,917.88,30.506667,23.957333,18.443333,51.583333,,
83526,31/10/1967,0000,5,1.741935,7,136.9,,,184.8,4.752688,9,90.7,,917.184946,30.348387,24.013548,19.216129,58.741935,,
83526,30/11/1967,0000,5,1.301111,5,58.3,,,161.1,6.733333,18,234.2,,914.174444,27.353333,22.241333,18.73,78.066667,,
83526,31/12/1967,0000,5,1.183871,4,49.2,,,148.2,6.677419,25,336.7,,914.756989,26.177419,21.670323,18.222581,82.048387,,
83526,31/01/1968,0000,5,1.193548,7,64.4,,,195.4,5.462366,20,251.4,,916.708602,28.054839,22.616129,18.593548,77,,
83526,29/02/1968,0000,5,1.448276,4,38.8,,,118.4,7.448276,21,223.5,,915.744828,25.713793,21.032414,18.137931,85.866071,,
83526,31/03/1968,0000,5,1.365591,6,76.6,,,243,3.795699,10,110.3,,917.14086,28.46129,22.834839,18.296774,72.185484,,
83526,30/04/1968,0000,9,1.266667,5,71.4,,,236.5,3.277778,9,79.8,,917.41,26.6,20.809333,16.28,74.091667,,
83526,31/05/1968,0000,9,1.365591,7,89.4,,,257.7,2.677419,2,17.5,,919.901075,25.416129,18.565161,12.983871,65.233871,,
83526,30/06/1968,0000,9,1.4,7,105.7,,,269.1,1.722222,0,0,,921.638889,24.94,17.896,12.44,60.508333,,
83526,31/07/1968,0000,9,1.731183,7,130.2,,,266.2,1.83871,0,0,,922.008602,24.790323,18.065806,12.596774,56.782258,,
83526,31/08/1968,0000,9,1.924731,6,153.9,,,267.3,3.075269,5,41.1,,920.13871,25.690323,19.208387,13.896774,57.379032,,
83526,30/09/1968,0000,9,1.9,8,175.1,,,242.7,2.466667,3,8,,918.737778,27.893333,21.656,16.423333,53.025,,
83526,31/10/1968,0000,9,1.537634,6,134.1,,,232.2,4.967742,11,210.3,,916.439785,29.319355,23.269032,18.335484,63.241935,,
