Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83423,31/01/1961,0000,0,1.656522,7.7,52.5,,,114.5,8.847826,23,303.7,,928.380435,27.087097,22.463871,19.335484,84.443548,,
83423,28/02/1961,0000,9,1.160714,7.7,59.5,,,162.1,8.154762,20,257.8,,929.479762,28.592857,23.185714,19.467857,80.553571,,
83423,31/03/1961,0000,0,0.81828,6.7,87.7,,,238.9,6.634409,13,173,,929.731183,30.135484,23.787742,19.025806,74.903226,,
83423,30/04/1961,0000,0,0.943333,4.5,104.9,,,248.5,5.233333,6,31.3,,929.943333,30.66,23.724667,17.816667,69.641667,,
83423,31/05/1961,0000,0,1.127957,6.2,108.1,,,274.4,4.946237,4,18,,931.912903,29.280645,22.109677,15.777419,68.459677,,
83423,30/06/1961,0000,14,1.855556,6.2,126.7,,,271.5,3.933333,0,0,,933.504444,27.99,20.467333,13.366667,62.266667,,
83423,31/07/1961,0000,0,1.565591,5.7,165.2,,,313.9,3.236559,0,0,,933.660215,28.564516,19.8,10.848387,51.274194,,
83423,31/08/1961,0000,14,1.113978,5.7,205.9,,,302.4,3.010753,0,0,,932.608602,31.041935,21.948387,12.229032,42.25,,
83423,30/09/1961,0000,0,0.813333,5.1,224,,,266.3,1.088889,0,0,,929.011111,35.303333,25.850667,17.21,41.983333,,
83423,31/10/1961,0000,0,1.678495,8.3,184.2,,,184.1,6.376344,7,109.1,,928.862366,31.754839,25.28,19.3,55.314516,,
83423,30/11/1961,0000,0,1.254444,6.7,111.2,,,227.6,6.911111,17,214.8,,928.155556,30.883333,24.636667,19.623333,69.941667,,
83423,31/12/1961,0000,0,1.533333,8.2,77.3,,,175,8.688172,26,247.5,,928.737634,27.583871,22.541935,19.012903,80.919355,,
83423,31/01/1962,0000,0,1.383871,5.2,62.5,,,174.9,8.290323,23,180.2,,928.207527,28.322581,23.418065,20.119355,82.064516,,
83423,28/02/1962,0000,0,1.055952,6.2,64.2,,,172.8,8.27381,18,159.7,,928.819048,29.335714,23.457143,19.810714,80.767857,,
83423,31/03/1962,0000,0,0.93871,5.1,73.2,,,197,7.27957,18,290.1,,929.225806,28.793548,23.241935,19.090323,79.653226,,
83423,30/04/1962,0000,0,0.654444,5.2,100.7,,,245.5,5.755556,9,62.3,,930.098889,30.256667,22.878,17.036667,73.033333,,
83423,31/05/1962,0000,0,1.052688,7.2,113.8,,,296.6,5.354839,3,44.6,,931.930108,28.287097,20.43871,13.754839,67.387097,,
83423,30/06/1962,0000,0,0.891111,7.7,120.3,,,287.4,3.666667,1,0.2,,933.231111,28.186667,19.228667,11.316667,61.4,,
83423,31/07/1962,0000,14,1.110753,8.8,148.9,,,313.3,3.698925,0,0,,934.051613,28.790323,19.118065,10.012903,54.475806,,
83423,31/08/1962,0000,0,0.963441,7.7,189.4,,,293.9,3.612903,1,0.2,,932.241935,31.351613,22.090323,13.145161,48.459677,,
83423,30/09/1962,0000,0,1.352222,8.3,166.1,,,215.6,5.3,8,10.3,,930.536667,32.23,24.632667,18.433333,58.1,,
83423,31/10/1962,0000,0,1.249462,7.2,100.9,,,167.1,7.924731,20,280.7,,930.332258,29.287097,23.003226,18.777419,75.524194,,
83423,30/11/1962,0000,0,0.756667,5.7,110.8,,,239.6,6.177778,14,180.4,,928.531111,30.483333,24.055333,18.563333,67.533333,,
83423,31/12/1962,0000,0,1.778495,6.2,50.4,,,91.2,8.806452,28,238.9,,928.069892,26.612903,22.55871,19.858065,85.048387,,
83423,31/01/1963,0000,0,0.888172,6.2,68.7,,,201.5,7.494624,26,258.9,,928.591398,29.722581,23.465806,19.287097,79.153226,,
