Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83523,30/09/1993,0000,0,1.393258,9,199.1,,,176.3,5.494382,,123,,,32,24.468,18.856667,65.391667,,
83523,31/10/1993,0000,9,1.989247,5,265,,,,5.505376,,36.9,,,33.174194,26.050968,20.264516,59.935484,,
83523,30/11/1993,0000,9,1.755556,9,265.8,,,,6.1,,101.5,,,34.576667,27.055333,21.18,62.2,,
83523,31/12/1993,0000,0,1.569892,4,130.1,,,,8.419355,20,383.4,,,30.748387,25.36,21.793548,78.919355,,
83523,31/01/1994,0000,0,0.817204,6,88.3,,,102.2,8.247312,22,276.6,,,30.180645,24.805806,21.125806,78.516129,,
83523,28/02/1994,0000,0,0.535714,5,102.4,,,,5.178571,8,206.2,,,32.671429,25.777143,20.717857,73.491071,,
83523,30/04/1994,0000,9,0.966292,3,136,,,,3.876404,,90.9,,,30.083333,24.396,18.79,75.525,,
83523,31/05/1994,0000,9,1.107527,4,158.4,,,236.5,3.483871,,34.2,,,30.248387,23.03871,16.7,72.604839,,
83523,30/06/1994,0000,0,2.155556,8,211.2,,,254.2,2.344444,,6.3,,,28.93,20.846667,15.463333,62.783333,,
83523,31/07/1994,0000,9,1.793478,4,283.7,,,238.8,2.23913,1,12,,,29.193333,21.526,13.574194,56.425,,
83523,30/09/1994,0000,9,2.483146,7,,,,245.9,1.247191,,0,,,35.113333,26.746,19.6,42.425,,
83523,31/10/1994,0000,0,1.827957,8,,,,211.9,3.430108,,102.3,,,34.403226,25.987097,17.287097,58.548387,,
83523,30/11/1994,0000,0,1.511111,7,,,,178.7,4.633333,,188.2,,,32.766667,26.471818,17.359091,67.058333,,
83523,31/12/1994,0000,0,3.182796,10,,,,156.6,5.516129,19,141.5,,,31.36129,,,78.201613,,
83523,31/01/1995,0000,0,2.322581,14,,,,197.4,5.053763,17,344.9,,,,,,79.048387,,
83523,28/02/1995,0000,0,2.75,12,,,,142.4,5.738095,20,341.9,,,,,,75.419643,,
83523,31/03/1995,0000,0,1.88172,10,161.4,,,203.4,4.989247,,85.6,,,,,,73.927419,,
83523,30/04/1995,0000,9,2,7,160.6,,,211,4.788889,,17.4,,,,,,74.441667,,
83523,31/05/1995,0000,0,1.266667,6,136.3,,,235,4.2,,116.5,,,,,,76.083333,,
83523,30/06/1995,0000,9,2.133333,8,215.1,,,227,3.066667,,5.3,,,,,,67.741667,,
83523,31/07/1995,0000,9,3.075269,8,295.3,,,268,2.924731,,0,,,,,,57.943548,,
83523,31/08/1995,0000,9,3.010753,9,436,,,302.2,2.075269,,0,,,,,,52,,
83523,30/09/1995,0000,9,2.877778,9,,,,227.6,3.133333,,28.1,,,,,,54.25,,
83523,31/10/1995,0000,0,2.527957,9,,,,219.2,5.064516,,47.4,,,,,,58.741667,,
83523,30/11/1995,0000,9,2.719101,7,,,,206.5,,,116.4,,,,,,64.175,,
83523,31/12/1995,0000,32,2.16129,,,,,162.4,,,195.8,,,,,,72.991935,,
83523,31/01/1996,0000,9,2.172043,,,,,211,,18,245.1,,,,,,74.05,,
83523,29/02/1996,0000,0,1.850575,,,,,172.4,,,130.4,,,,,,74.956897,,
83523,31/03/1996,0000,0,1.397849,,,,,179.1,,16,208.4,,,,,,78.854839,,
83523,30/04/1996,0000,9,2.315789,,,,,,,,46.1,,,,,,72.065217,,
83523,31/05/1996,0000,0,1.648352,,157.4,,,245.3,,,9.2,,,,,,71.732759,,
83523,30/06/1996,0000,9,1.855556,,205.8,,,245.5,,,8.1,,,,,,64.466667,,
83523,31/07/1996,0000,9,1.967742,,229.3,,,285.7,,,0,,,,,,54.653226,,
83523,31/08/1996,0000,9,2.666667,,,,,273.3,,,4,,,,,,49.024194,,
83523,30/09/1996,0000,9,1.844444,,252,,,212.8,,,89.9,,,,,,58.6,,
83523,31/10/1996,0000,0,1.580645,,229,,,196.6,,,50.2,,,,,,62.709677,,
83523,30/11/1996,0000,9,2.055556,,177.8,,,158.9,,,255.7,,,,,,72.758333,,
83523,31/12/1996,0000,0,1.075269,,125.1,,,148.2,,17,357,,,30.812903,25.053636,20.877273,77.258065,,
83523,31/01/1997,0000,,0.989247,,85.1,,,95.1,,24,348,,,29.651613,24.197419,20.667742,85.693548,,
83523,28/02/1997,0000,,1.261905,,134.3,,,207.3,,,71.2,,,31.521429,25.091429,20.039286,76.375,,
83523,31/03/1997,0000,,1.08172,,129.7,,,191.3,,15,160.9,,,30.164516,24.231613,19.83871,79.201613,,
83523,30/04/1997,0000,,0.688889,3,129.3,,,229,3.266667,,56.9,,,29.886667,23.247333,17.84,75.766667,,
83523,31/05/1997,0000,,1.053763,5,167.5,,,253,2.655914,,34,,,28.177419,21.431613,15.406452,72.153226,,
83523,30/06/1997,0000,,1,7,165.3,,,224.9,2.644444,,124.8,,,27.42,20.084667,13.763333,72.916667,,
83523,31/07/1997,0000,,1.505376,7,274.9,,,272.3,2.053763,,0,,,28.677419,20.467097,12.596774,61.403226,,
83523,31/08/1997,0000,,2.172043,10,385.8,,,305.3,1.129032,,0,,,31.63871,22.596774,14.13871,50.524194,,
83523,30/09/1997,0000,,1.8,10,322.6,,,201.6,2.722222,,84.1,,,34.926667,26.099333,18.69,53.758333,,
83523,31/10/1997,0000,,2.634409,10,230.7,,,242.3,3.860215,,144.5,,,34.23871,26.734194,19.990323,61.532258,,
83523,30/11/1997,0000,36,2.206667,5,213.8,,,162,5.377778,15,175.5,,,33.226667,26.39,21.016667,72.683333,,
83523,31/12/1997,0000,32,2.752688,9,166.5,,,197.1,5.451613,22,312.4,,,31.612903,25.518065,20.716129,77.032258,,
83523,31/01/1998,0000,9,2.569892,9,142.6,,,178.8,5.290323,17,385.9,,,32.319355,25.71871,20.890323,79.008065,,
83523,28/02/1998,0000,32,2.238095,8,101.3,,,124.6,5.488095,20,153.9,,,31.828571,25.930714,21.528571,81.342593,,
83523,31/03/1998,0000,0,2.247312,6,142.7,,,194.2,4.301075,,170.8,,,32.203226,25.661935,20.922581,79.41129,,
83523,30/04/1998,0000,32,2.288889,7,177.9,,,232.2,3.288889,,136.2,,,31.95,24.96,19.656667,75.883333,,
83523,31/05/1998,0000,0,1.924731,6,190.5,,,232.3,3.258065,,52.4,,,28.874194,21.538065,15.593548,75.717742,,
83523,30/06/1998,0000,27,1.877778,7,196.5,,,254.5,2.244444,,0,,,29.09,21.116,14.276667,66.875,,
83523,31/07/1998,0000,9,2.268817,9,311,,,291.9,1.623656,,0,,,30.667742,20.967097,12.967742,59.096774,,
83523,31/08/1998,0000,9,1.903226,7,359.8,,,247.7,2.537634,,22.8,,,32.883871,24.128387,17.164516,55.709677,,
83523,30/09/1998,0000,9,2.188889,7,,,,192.3,3.111111,,26.4,,,34.53,25.841333,19.373333,51.008333,,
83523,31/10/1998,0000,0,1.903226,7,322.3,,,205.4,4.623656,,118.9,,,32.967742,25.875484,20.577419,66.125,,
83523,30/11/1998,0000,0,0.977778,5,219,,,208.9,4.466667,,173.7,,,32.316667,25.607333,20.223333,71.091667,,
83523,31/12/1998,0000,0,0.88172,3,164.1,,,166.8,5.698925,20,180.1,,,31.470968,25.337419,21.051613,77.629032,,
83523,31/01/1999,0000,0,0.924731,6,190.7,,,173.8,5.333333,,127.7,,,32.435484,25.745161,20.693548,73.177419,,
83523,28/02/1999,0000,0,0.952381,7,183.3,,,175.6,6,,239.6,,,32.767857,25.68,20.192857,73.046296,,
83523,31/03/1999,0000,0,1,12,139.1,,,185.4,5.795699,17,182.3,,,30.954839,25.068387,20.36129,79.862903,,
83523,30/04/1999,0000,0,1.4,7,236.9,,,267.2,3.711111,,29,,,31.34,23.797333,17.466667,67.191667,,
83523,31/05/1999,0000,0,1.677419,7,259.2,,,255.7,2.215054,,16.8,,,28.941935,20.74,13.809677,63.693548,,
83523,30/06/1999,0000,0,1.633333,9,279.3,,,237.9,2.577778,,5.5,,,29.883333,21.333333,13.983333,61.7,,
83523,31/07/1999,0000,0,3.462366,9,424.1,,,279,2.27957,,0.8,,,31.012903,23.136129,16.454839,51.58871,,
83523,31/08/1999,0000,9,3.249462,9,470.9,,,302.7,1.483871,,0,,,31.416129,22.492258,14.490323,42.05,,
83523,30/09/1999,0000,9,3.132222,9,,,,237.7,2.7,,44.9,,,33.773333,25.528,18.703333,47.6,,
83523,31/10/1999,0000,14,2.946237,9,,,,236,3.903226,,61.6,,,34.103226,26.596129,20.793548,52.975806,,
83523,30/11/1999,0000,9,2.375556,9,294,,,215.9,4.377778,,180.7,,,32.59,25.516,19.966667,62.483333,,
83523,31/12/1999,0000,0,2.290323,7,254,,,200.8,4.333333,16,267.3,,,31.580645,25.633548,21.33871,71.137097,,
83523,31/01/2000,0000,0,1.322581,7,151.4,,,161.8,5.225806,18,223.4,,,30.6,25.289032,21.503226,78.58871,,
83523,29/02/2000,0000,0,1.287356,7,141.7,,,152.3,4.908046,17,288.9,,,30.765517,25.12,21.382759,78.525862,,
83523,31/03/2000,0000,36,1.505376,6,132.1,,,171.9,5.021505,19,308.2,,,30.180645,24.559355,20.86129,80.91129,,
83523,30/04/2000,0000,36,1.822222,7,202.3,,,278.1,2.4,4,29.5,,,30.696667,23.818,18.156667,70.025,,
83523,31/05/2000,0000,0,1.11828,7,212.2,,,279.2,1.688172,0,0,,,29.83871,21.877419,15.451613,64.283333,,
83523,30/06/2000,0000,5,2.211111,7,274.4,,,280.5,1.355556,0,0,,,29.87,20.997333,14.033333,59.666667,,
83523,31/07/2000,0000,5,2,9,296.4,,,256.1,3.354839,3,13.1,,,28.464516,19.656129,12.467742,54.958333,,
83523,31/08/2000,0000,0,2.548387,9,419.9,,,265.9,2.301075,2,10.7,,,32.067742,23.476774,16.145161,46.532258,,
83523,30/09/2000,0000,,,9,285.5,,,203.9,3.944444,7,90.2,,,,,19.496667,64.325,,
83523,31/10/2000,0000,0,2.074194,9,,,,248.8,3.956989,7,31.4,,,,,20.590323,52.533333,,
83523,30/11/2000,0000,5,1.844444,7,191.6,,,138.7,5.188889,16,238.7,,,30.041667,24.481667,20.746667,74.941667,,
83523,31/12/2000,0000,0,0.978495,5,137.6,,,171,5.516129,19,262.9,,,30.796774,25.202581,21.403226,78.282258,,
83523,31/01/2001,0000,5,2.07957,9,171.4,,,221,4.88172,20,194.3,,,31.525806,24.962581,20.264516,75.653226,,
83523,28/02/2001,0000,0,0.666667,5,160.9,,,225,4.011905,8,99.1,,,33.125,25.757778,20.985185,72.955357,,
83523,31/03/2001,0000,0,1.032258,7,161,,,217.2,4.623656,16,173.6,,,31.741935,24.843226,20.196774,76.387097,,
83523,30/04/2001,0000,0,1.3,9,202,,,261.4,2.822222,6,75.8,,,32.02,24.498667,18.446667,69.416667,,
83523,31/05/2001,0000,0,0.892473,5,175.7,,,218.3,3.623656,5,66.8,,,28.796774,21.261935,15.341935,70.564516,,
83523,30/06/2001,0000,0,1.355556,7,201.6,,,254.8,2.144444,3,5,,,27.633333,19.904667,13.87,69.991667,,
83523,31/07/2001,0000,0,2.255914,9,322.4,,,279.2,2.032258,1,9.6,,,30.13871,21.329677,14.2,60.675,,
83523,31/08/2001,0000,5,2.709677,7,400.9,,,291.2,1.83871,3,21.4,,,30.451613,22.183226,14.393548,53.35,,
83523,30/09/2001,0000,0,2.3,9,368.3,,,227.8,3.155556,7,56.5,,,32.566667,25.131724,19.048276,56.208333,,
83523,31/10/2001,0000,0,1.483871,7,266.5,,,232,3.924731,10,82,,,31.648387,24.750968,19.167742,67.258065,,
83523,30/11/2001,0000,0,1.522222,7,158.4,,,180.6,5.222222,18,202.7,,,31.153333,25.098,20.933333,76.791667,,
83523,31/12/2001,0000,0,1.592473,8,142.3,,,158.8,5.602151,22,273.6,,,30.351613,24.905161,21.43871,78.403226,,
83523,31/01/2002,0000,0,1.817204,8,151.2,,,170.2,5.322581,14,176.7,,,31.225806,25.43871,21.434483,78.091667,,
83523,28/02/2002,0000,0,1.380952,9,95.7,,,143.8,5.666667,21,207.6,,,30.207143,24.631429,21.25,83.055556,,
83523,31/03/2002,0000,9,1.923913,7,183,,,262.6,4.11828,11,99.1,,,32.158065,25.423871,20.764516,73.596774,,
83523,30/04/2002,0000,9,1.766667,7,230.2,,,287.3,2.533333,0,0,,,32.96,25.182667,19.08,66.233333,,
83523,31/05/2002,0000,0,1.548387,9,206.8,,,265.2,2.849462,6,25.6,,,30.93871,22.933548,16.9,68.016129,,
83523,30/06/2002,0000,0,1.855556,8,271.3,,,276.8,1.711111,0,0,,,30.58,21.599333,14.013333,58.716667,,
83523,31/07/2002,0000,0,2,9,295.3,,,244.1,2.107527,1,0.7,,,30.045161,21.489677,14.093548,57.717742,,
83523,31/08/2002,0000,5,3.251613,14,,,,269.2,1.892473,1,1.4,,,32.819355,24.648,17.803226,47.137097,,
83523,30/09/2002,0000,0,2.388889,8,371.9,,,206.2,3.111111,5,61.4,,,32.046667,24.983704,19.403704,52.183333,,
83523,31/10/2002,0000,9,2.795699,9,,,,255.8,2.645161,3,18.7,,,36.835484,28.563226,21.83871,43.104839,,
83523,30/11/2002,0000,0,2.388889,8,210.7,,,151.7,4.644444,14,122.5,,,32.566667,26.057931,21.589655,68.133333,,
83523,31/12/2002,0000,0,2.247312,6,192,,,182,3.967742,15,173,,,32.709677,26.296129,21.951613,71.896552,,
83523,31/01/2003,0000,32,3.322581,10,113.9,150.384642,150.384642,125.5,5.688172,24,338.1,,,30.770968,25.231613,22.025806,82.096774,,
83523,28/02/2003,0000,9,2.845238,6,145.6,132.984085,132.984085,218,4.095238,10,84,,,32.264286,25.645185,20.851852,75.982143,,
