Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82460,30/09/1976,0000,36,2.922472,6.5,166.7,,,252.9,4.460674,,31.1,,1007.48427,34.744828,26.628966,20.977778,67.008333,,
82460,31/10/1976,0000,36,2.669892,9.8,150.4,,,198.1,5.236559,,22.2,,,33.746667,27.16,23.196429,70.306452,,
82460,30/11/1976,0000,36,2.603333,5.6,147,,,220.1,4.786517,,70.7,,,33.52,23.497333,,70.941667,,
82460,31/12/1976,0000,36,2.958065,6.5,174.8,,,249.9,4.858696,,154.4,,,34.493548,,,69.653226,,
82460,31/01/1977,0000,36,2.044086,6.3,79.3,,,141.7,7.137931,25,340.1,,,30.745161,21.504516,,85.879032,,
82460,28/02/1977,0000,36,1.834615,5,61.7,,,142.4,7.0625,20,353.3,,1007.39881,30.564286,25.56,22.439286,85.696429,,
82460,31/03/1977,0000,36,2.015556,8.6,70.2,,,162.6,7.678161,28,373.9,,1006.65914,31.145161,25.827097,22.83871,87.645161,,
82460,30/04/1977,0000,36,1.995556,5.8,,,,112.9,7.123596,22,297.4,,,30.963333,26.347333,23.44,86.591667,,
82460,31/05/1977,0000,14,1.662366,5,,,,225,5.777778,21,370.1,,,31.054839,26.192258,22.867742,85.064516,,
82460,30/06/1977,0000,,,,,,,257.8,,13,104.3,,,30.996667,,22.13,,,
82460,31/07/1977,0000,14,2.51087,9,,,,285.2,2.576087,6,11.4,,,31.183871,23.281935,,78.064516,,
82460,31/08/1977,0000,14,2.46129,5.1,,,,251.4,3.634409,2,4.6,,,32.83871,25.433548,22.945833,74.306452,,
82460,30/09/1977,0000,36,2.638889,5.1,,,,212.8,4.111111,6,10.3,,,34.52,23.786,,68.816667,,
82460,31/10/1977,0000,36,2.719565,5.3,,,,152.6,5.516129,3,3.4,,1006.96129,34.267742,27.72,23.955172,68.887097,,
82460,30/11/1977,0000,36,3.117978,7.5,,,,157.1,4.622222,5,5.9,,,35.29,28.34,23.6,65.675,,
82460,31/12/1977,0000,5,2.393478,5.6,142.1,,,143.9,5.849462,13,171.6,,,32.932258,27.358065,23.648387,75.169355,,
82460,31/01/1978,0000,5,1.768478,5.6,83.3,,,116.5,7.195652,16,204.3,,,31.166667,26.111333,23.270968,84.691667,,
82460,28/02/1978,0000,5,1.959524,6.3,81.1,,,125.6,6.666667,18,272,,,31.192857,26.530714,23.771429,85.1875,,
82460,31/03/1978,0000,14,1.668132,4.6,60.7,,,74.3,8.5,25,454.4,,,30.312903,25.683871,23.232258,87.766667,,
82460,30/04/1978,0000,5,1.463636,5,72.5,,,103.8,7.280899,22,334.5,,1006.58427,31.016667,26.25931,23.582759,86.741379,,
82460,31/05/1978,0000,14,1.705376,5.5,77,,,171.8,5.548387,18,135.3,,,31.229032,26.571613,23.451613,83.233871,,
82460,30/06/1978,0000,14,2.051111,6.6,121.1,,,237.6,2.922222,3,7.3,,,30.91,26.086667,22.596667,78.075,,
82460,31/07/1978,0000,14,1.907609,7,105.3,,,183.9,4.924731,12,48.7,,,31.3,25.78,22.145161,81.129032,,
82460,31/08/1978,0000,14,1.997849,6.1,156.9,,,243.2,3.494624,2,11.8,,,32.716129,26.095484,21.548387,73.516129,,
82460,30/09/1978,0000,36,2.531818,8.5,189.3,,,205.3,3.9,6,24,,,34.156667,27.230667,22.443333,69.941667,,
82460,31/10/1978,0000,36,2.555435,6.1,146.2,,,172.2,5.391304,9,119.4,,,33.143333,27.044,22.583871,72.341667,,
82460,30/11/1978,0000,5,2.482222,5.6,139.2,,,145.7,5.355556,,64.2,,,33.013333,26.894667,22.793333,74.616667,,
82460,31/12/1978,0000,5,1.97957,5.5,102.3,,,130.9,6.752688,,186.7,,,31.796774,26.493548,22.758065,79.854839,,
82460,31/01/1979,0000,36,1.7,5.5,,,,,7.520833,,287,,998.277083,31.419048,26.20875,22.961905,86.078125,,
82460,28/02/1979,0000,,,5,,,,,,,37.5,,999.083871,31.742105,,23.747368,,,
82460,31/03/1979,0000,,,5,,,,,,,154.6,,999.096667,31.759091,,23.577273,,,
82460,30/04/1979,0000,5,1.740909,6,,,,,6.704545,16,132.9,,998.872727,31.724,26.497333,23.424,85.083333,,
82460,31/05/1979,0000,14,1.560656,5.6,,,,,5.147541,,201,,999.839344,31.46087,26.884,23.465217,81.9125,,
82460,30/06/1979,0000,,,,,,,,,,0.9,,,31.217647,,21.552941,,,
82460,31/07/1979,0000,,,,362.3,,,244,,,0.4,,,32.706452,,21.429032,,,
82460,31/08/1979,0000,,,,,,,187.8,,,36.3,,,33.296774,,22.377419,,,
82460,30/09/1979,0000,,,,,,,196,,,102.6,,,33.07,,22.763333,,,
82460,31/10/1979,0000,,,,,,,156.9,,,45.2,,,34.022581,,23.267742,,,
82460,30/11/1979,0000,,,,,,,,,,5,,,33.917647,,23.4,,,
82460,31/12/1979,0000,,,,,,,,,,73.1,,,32.740909,,23.309091,,,
82460,31/01/1980,0000,,,,,,,,,,18.9,,,32.364706,,23.517647,,,
82460,29/02/1980,0000,5,1.679167,5,,,,,8.416667,,199,,,30.857895,25.5875,23.026316,89.171875,,
82460,31/03/1980,0000,,,3.6,,,,,,15,170.2,,,32.286957,,23.495652,,,
82460,30/04/1980,0000,,,,,,,,,,57.8,,,31.917647,,23.388235,,,
