Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82768,31/01/1973,0000,,,,,,,,,,,,,,,19.683333,,,
82768,30/09/1976,0000,5,1.539326,5,175,,,241.6,3.516854,,29.4,,980.702247,34.203448,22.72,,57,,
82768,31/10/1976,0000,5,1.731183,5,137.4,,,216.8,5.16129,,127.8,,979.296774,31.9,23.7,21.053333,73.072581,,
82768,30/11/1976,0000,0,1.255556,5,92.6,,,170.3,5.788889,15,87.5,,979.263333,30.726667,23.684667,21.06,78.758333,,
82768,31/12/1976,0000,0,1.322581,5,87,,,180.3,5.193548,,71.1,,978.807527,30.941935,24.965161,21.117241,79.056452,,
82768,31/01/1977,0000,0,1.311828,5,79.1,,,123,6.634409,18,210.7,,979.645161,29.554839,24.66129,21.419355,83.096774,,
82768,28/02/1977,0000,0,1.190476,5,69.3,,,96.2,7.845238,20,86.7,,980.630952,29.917857,24.815,21.407143,84.080357,,
82768,31/03/1977,0000,0,1.064516,7,79.3,,,155.9,6.849462,11,68.2,,979.693548,31.219355,25.429677,21.770968,82.346774,,
82768,30/04/1977,0000,0,1.066667,7,68.4,,,170.6,7.733333,19,252.1,,979.992222,30.726667,25.22,21.523333,84.15,,
82768,31/05/1977,0000,0,1.376344,5,111.8,,,254,5.88172,6,8.2,,981,31.248387,25.48129,21.493333,75.443548,,
82768,30/06/1977,0000,0,1.444444,5,154.7,,,285.1,2.888889,3,4.3,,981.943333,32.18,24.958667,20.088889,67.208333,,
82768,31/07/1977,0000,14,1.892473,7,225.4,,,317,2.591398,1,0.3,,982.252688,33.122581,,,53.725806,,
82768,31/08/1977,0000,0,1.365591,5,246,,,324.7,2.172043,1,5.4,,981.277419,34.822581,23.174194,,47.258065,,
82768,30/09/1977,0000,0,1.577778,5,229.6,,,245.6,4.055556,7,43.5,,981.044444,34.38,,,53.258333,,
82768,31/10/1977,0000,0,1.150538,5,129,,,154.5,6.333333,12,89.9,,980.455914,31.664516,,,73.516129,,
82768,30/11/1977,0000,0,0.898889,7.9,91.9,,,139.2,6.066667,9,62.7,,979.722222,31.23,,,76.7,,
82768,31/12/1977,0000,5,1.311828,7,98.9,,,133.3,6.645161,14,215.9,,979.884946,30.941935,25.398065,22.096429,77.024194,,
82768,31/01/1978,0000,5,1.27957,9,86.1,,,164.5,5.956989,12,243.3,,980.895699,31.306452,25.025161,22.204,78.669355,,
82768,28/02/1978,0000,0,1.52381,7,71.5,,,98.7,7.738095,19,250.2,,980.028571,30.782143,,,82.232143,,
