Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82476,31/01/1961,0000,0,0.032609,1,32.7,,,,6.108696,9,121,,,,,23.116129,74.435484,,
82476,28/02/1961,0000,0,0.035714,2,31.3,,,,7.857143,20,487.6,,,,,21.735714,85.196429,,
82476,30/04/1961,0000,0,0.033708,1,43.2,,,169.2,7.303371,10,330.2,,,,,22.53,85.133333,,
82476,31/05/1961,0000,0,0.11828,1,51.7,,,205.5,5.903226,10,170.7,,,,,22.416129,82.129032,,
82476,30/06/1961,0000,0,0.322222,1,81.9,,,259.6,3.622222,0,0,,,,,20.666667,73.075,,
82476,31/07/1961,0000,0,0.344086,2,108.3,,,244.5,4.268817,0,0,,,,,19.351613,66.104839,,
82476,31/08/1961,0000,0,0.215054,2,136.8,,,,3.043011,0,0,,,,,19.709677,62.330645,,
82476,30/09/1961,0000,0,0.133333,1,162.9,,,258.5,3.8,2,2,,,,,22.186667,56.658333,,
82476,31/10/1961,0000,0,0.182796,2,168.6,,,281.5,4.774194,2,3.2,,,,,22.954839,52.733871,,
82476,30/11/1961,0000,0,0.122222,2,132.6,,,214,4.977778,2,27.5,,,,,23.163333,58.191667,,
82476,31/12/1961,0000,0,0.021505,2,80.4,,,184.4,6.516129,8,172.1,,,,,22.603226,72.620968,,
82476,31/01/1962,0000,0,0,0,63.4,,,,6.451613,9,112.4,,,,,22.990323,76.870968,,
82476,28/02/1962,0000,0,0.011905,1,40.3,,,,7.345238,18,233.2,,,,,22.467857,82.669643,,
82476,31/03/1962,0000,0,0.010753,1,46.5,,,185.7,7.602151,22,669.1,,,,,22.029032,84.604839,,
82476,30/04/1962,0000,0,0.022222,1,35.2,,,170.5,7.277778,20,480.8,,,,,22.6,86.208333,,
82476,31/05/1962,0000,0,0.075269,1,64.3,,,241.8,5.333333,6,44.8,,,,,22.235484,79.725806,,
