Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82382,31/10/1976,0000,5,3.311957,6.3,204.7,,,262.6,4.880435,,21.3,,996.971739,33.587097,27.083226,22.306452,67.064516,,
82382,30/11/1976,0000,5,3.505556,6.3,207.8,,,277.1,4.755556,,76.9,,996.753333,33.6,23.07,,65.45,,
82382,31/12/1976,0000,5,3.78172,6.6,246,,,297.9,4.602151,,6.8,,996.039785,34.677419,,,62.032258,,
82382,31/01/1977,0000,5,2.830108,6.1,110.1,,,140.2,7.902174,21,302,,997.144086,30.935484,,,81.701613,,
82382,28/02/1977,0000,5,2.208333,5.6,73.1,,,158.6,7.592593,18,350.6,,998.238095,30.3,,,84.205357,,
82382,31/03/1977,0000,5,2.307527,5,82.8,,,155.8,7.766667,24,469.9,,997.376344,30.922581,,,85.903226,,
82382,30/04/1977,0000,5,2.166292,5.6,65.4,,,153.7,7.888889,26,279.2,,997.596667,30.593333,,,86.366667,,
82382,31/05/1977,0000,14,2.060215,7.3,76.5,,,243.4,6.355556,21,194.9,,998.308602,30.5,,,84.419355,,
82382,30/06/1977,0000,14,2.01,4.6,94.9,,,246.3,5.055556,12,108.6,,999.235556,30.33,,,81.358333,,
82382,31/07/1977,0000,14,2.476344,5.6,146.1,,,272.6,3.630435,11,37.9,,999.552688,30.683871,,,75.443548,,
82382,31/08/1977,0000,14,2.937634,6.5,187.8,,,324.4,3.282609,0,0,,998.984946,32.767742,,,66.596774,,
82382,30/09/1977,0000,36,3.435556,6.6,225.1,,,279.2,4.111111,0,0,,998.548889,34.2,,,62.1,,
82382,31/10/1977,0000,9,3.576344,6.3,225.5,,,285,4.010753,0,0,,997.694624,34.809677,,,63.153226,,
82382,30/11/1977,0000,36,3.8,7.1,231.1,,,236,3.8,1,0.1,,996.777778,34.876667,25.55,,60.558333,,
82382,31/12/1977,0000,5,3.08172,6.3,179.5,,,165.4,5.247312,7,207,,997.129032,33.106452,27.140645,22.980645,69.766129,,
82382,31/01/1978,0000,5,2.475269,6.8,105.5,,,156.4,6,14,137.8,,998.304301,31.06129,26.011613,22.83871,80.620968,,
82382,28/02/1978,0000,5,2.735714,6.1,112.2,,,151,5.904762,12,208.3,,997.492857,31.235714,26.537143,23.335714,79.25,,
82382,31/03/1978,0000,5,2.230108,5.3,66.7,,,123.1,7.311828,26,255.1,,998.213978,30.067742,25.287097,22.512903,86,,
82382,30/04/1978,0000,5,1.95,5.1,65.7,,,145.6,6.888889,22,276.4,,997.47,30.4,25.676,22.763333,86.075,,
82382,31/05/1978,0000,14,2.07957,5,74.7,,,209.8,5.043011,17,302.7,,997.845161,30.490323,25.823226,22.477419,84.266129,,
82382,30/06/1978,0000,14,2.207778,6.1,100.9,,,239.8,3.555556,8,16.7,,,30.396667,25.648,21.666667,79.5,,
82382,31/07/1978,0000,14,2.537634,5,110.7,,,233.6,4.569892,13,206.7,,998.97957,31.174194,25.781935,21.680645,78.274194,,
82382,31/08/1978,0000,14,2.727957,5.8,140.7,,,277,3.344086,2,6.3,,,31.741935,25.839355,21.096774,72.137097,,
82382,30/09/1978,0000,36,3.242222,5.8,181.6,,,276.8,3.4,1,0.1,,998.692222,33.613333,26.84,21.776667,67.508333,,
82382,31/10/1978,0000,5,3.398925,6.8,229.8,,,248.6,4.430108,2,10.9,,997.460215,34.522581,27.288387,21.903226,61.927419,,
82382,30/11/1978,0000,5,3.181111,6.1,210.9,,,217.8,4.5,3,52,,996.943333,34.22,27.337333,22,64.25,,
82382,31/12/1978,0000,5,3.05914,6.5,162.1,,,149.4,6.548387,,42.7,,997.265591,32.074194,26.419355,22.196774,71.685484,,
82382,31/01/1979,0000,,,5.3,,,,,,,81.9,,989.4,32.55625,26.664,22.49375,72.983333,,
82382,28/02/1979,0000,5,2.391667,4.6,,,,,7.097222,,100.2,,990.118056,31.188,25.938261,22.430769,81.75,,
82382,31/03/1979,0000,5,2.273333,6,82.4,,,179.1,7.366667,21,294.9,,989.752222,31.229032,25.787333,22.33871,84.6,,
82382,30/04/1979,0000,5,2.35119,4.8,83.6,,,169,6.535714,16,170.8,,989.992857,31.07931,26.016429,22.562069,84.544643,,
82382,31/05/1979,0000,5,2.264198,4.6,80,,,201.4,5.320988,,134.4,,990.55679,30.875,25.962963,22.096429,81.740741,,
82382,30/06/1979,0000,14,2.47,6.6,115.6,,,248.4,3.693182,,42.4,,992.557778,30.596667,25.412667,20.926667,76.541667,,
82382,31/07/1979,0000,14,2.529268,5.8,150.3,,,256.7,3.121951,,0,,,32.710345,26.197778,21.262069,69.268519,,
82382,31/08/1979,0000,,,5.5,162.9,,,213.7,,,26.1,,999.395556,33.593103,26.937333,21.727586,61.716667,,
82382,30/09/1979,0000,,,,201.9,,,261,,,58.8,,,34.35,,22.406667,,,
82382,31/10/1979,0000,,,,228.9,,,228.6,,,0.5,,,35.206452,,22.532258,,,
82382,30/11/1979,0000,,,,229.1,,,192.6,,,36.5,,,34.66,,22.92,,,
82382,31/12/1979,0000,,,,195,,,176.4,,,36,,,34.355556,,23.051852,,,
82382,31/01/1980,0000,5,2.551685,5.8,132.4,,,163.5,6.898876,17,147,,999.994382,31.93,26.453333,22.7,77.166667,,
