Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83442,31/01/1961,0000,5,2,2,71.1,,,,8.815217,18,357.9,,,30.754839,24.95871,20.932258,73.991935,,
83442,28/02/1961,0000,36,2,2,94.7,,,,6.107143,2,26.4,,,33.142857,25.055714,19.064286,69.9375,,
83442,31/03/1961,0000,32,2.236559,3,125,,,,6.204301,2,28.3,,,33.635484,25.37871,19.354839,67.064516,,
83442,30/04/1961,0000,32,2.344444,3,130.8,,,,6.633333,2,30.2,,,33.67,24.695333,17.72,66.058333,,
83442,31/05/1961,0000,5,1.870968,3,53.2,,,,7.150538,2,40.9,,,29.829032,22.077419,15.73871,81.846774,,
83442,30/06/1961,0000,14,1.733333,4,66.8,,,,7.466667,1,5.8,,,28.83,20.010667,13.173333,80.175,,
83442,31/07/1961,0000,27,1.903226,4,99.9,,,,7.645161,2,5.5,,,28.364516,19.50129,11.932258,79.806452,,
83442,31/07/1962,0000,32,1.023913,3,120.7,,,,4.967391,,0,,,29.390323,21.276129,11.803226,65.459677,,
83442,31/08/1962,0000,18,1.021505,3,127.9,,,,4.526882,0,0,,,31.225806,22.326452,13.722581,77.258065,,
83442,30/09/1962,0000,32,1.044444,3,,,,,5.022222,1,43.4,,,31.833333,24.025333,16.753333,75.208333,,
83442,31/10/1962,0000,36,1.064516,3,123,,,,6.236559,2,82.2,,,32.651613,26.625161,20.351613,75.669355,,
83442,30/11/1962,0000,9,0.933333,1,156.4,,,,5.555556,2,73.2,,,32.44,25.303333,19.95,76.216667,,
83442,31/12/1962,0000,36,0.989247,1,88.6,,,,7.376344,14,244.3,,,29.322581,24.600645,21.203226,83.330645,,
83442,31/01/1963,0000,36,1,1,107.8,,,,3.290323,2,69,,,32.874194,25.936774,19.693548,85.709677,,
83442,28/02/1963,0000,36,1,1,109.8,,,,4.97619,4,59.6,,,31.228571,25.809286,19.996429,82.383929,,
83442,31/03/1963,0000,18,0.990323,1,176.2,,,,2.795699,0,0,,,33.648387,25.37871,18.290323,81.137097,,
83442,30/04/1963,0000,36,1,1,164.7,,,,5.822222,2,23.6,,,33.086667,25.429333,18.98,79.925,,
83442,31/05/1963,0000,27,1,1,155,,,,6.236559,,0,,,30.180645,21.169032,13.225806,81.064516,,
83442,30/06/1963,0000,5,1,1,140.8,,,,3.311111,1,9,,,30.133333,19.857333,11.96,82.591667,,
83442,31/08/1963,0000,5,1.021739,3,178.8,,,,2.869565,,0,,,30.929032,21.299355,12.645161,79.798387,,
83442,30/09/1963,0000,18,1,1,198.4,,,,1.822222,0,0,,,33.313333,24.362667,14.573333,81.841667,,
83442,31/10/1963,0000,36,1,1,233.6,,,,2.752688,1,6.6,,,36.122581,27.881935,20.86129,82.314516,,
83442,30/11/1963,0000,36,1,1,184.2,,,,4.355556,7,84.4,,,34.406667,27.460667,21.663333,81.983333,,
83442,31/12/1963,0000,36,0.913978,1,167.2,,,,4.88172,9,239.4,,,32.225806,25.85871,20.467742,80.612903,,
83442,31/01/1964,0000,18,1,1,92.2,,,,8.666667,22,436.9,,,29.2,24.592258,21.251613,83.758065,,
83442,29/02/1964,0000,32,1,1,86.4,,,,5.011494,7,159.8,,,31.986207,25.66069,21.337931,84.276786,,
83442,31/03/1964,0000,36,1,1,83.4,,,,4.903226,6,52.2,,,30.664516,24.509677,20.096774,84.596774,,
83442,30/04/1964,0000,32,1,1,94.8,,,,3.133333,3,15,,,31.1,23.868667,19.403333,84.741667,,
83442,31/05/1964,0000,32,1,1,92.8,,,,3.634409,,0,,,29.219355,22.434839,16.8,84.645161,,
83442,30/06/1964,0000,32,1,1,98,,,,3.977778,0,0,,,28.506667,18.970667,11.313333,84.191667,,
83442,31/07/1964,0000,18,1,1,110,,,,5.301075,3,17.8,,,27.16129,19.531613,13.2,84.314516,,
83442,31/08/1964,0000,9,1,1,115.2,,,,4.451613,3,26,,,28.541935,21.024516,14.877419,84.370968,,
83442,30/09/1964,0000,27,1,1,125,,,,3.866667,1,10.6,,,31.053333,23.711333,16.896667,84.266667,,
83442,31/10/1964,0000,36,1,1,122.2,,,,6.55914,7,78.6,,,31.322581,23.918065,19.512903,84.516129,,
83442,30/11/1964,0000,27,1,1,82.6,,,,6.597701,6,81.5,,,28.42069,23.46,19.5,84.051724,,
83442,31/01/1965,0000,18,1,1,104.4,,,,3.782609,5,45,,,31.896774,24.634839,19.477419,85.685484,,
83442,28/02/1965,0000,18,0.989286,1,93.4,,,,3.809524,4,113.6,,,32.585714,25.093571,20.225,85.294643,,
83442,31/03/1965,0000,27,1,1,100,,,,5.849462,6,87.4,,,31.909677,24.565161,19.941935,85.903226,,
83442,30/04/1965,0000,36,1,1,83,,,,4.6,1,2,,,31.633333,24.456,19.02,85.841667,,
83442,31/05/1965,0000,36,1,1,94.6,,,,3.247312,0,0,,,31.477419,22.60129,15.619355,84.169355,,
