Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83582,31/01/1961,0000,0,1.891304,4,,,,,8.706522,24,387.8,,,28.316129,,19.458065,,,
83582,28/02/1961,0000,9,1.571429,4,,,,,8.559524,19,238,,,29.371429,,19.378571,,,
83582,31/03/1961,0000,18,1.591398,4,,,,,6.311828,16,123.4,,,29.677419,,18.554839,,,
83582,30/04/1961,0000,,,,,,,,,1,1,,,,,,,,
83582,31/05/1961,0000,14,1.369565,3,,,,,5.347826,6,88.2,,,26.819355,,14.270968,,,
83582,30/06/1961,0000,0,1.277778,4,,,,,4.111111,3,5.8,,,26.306667,,12.263333,,,
83582,31/07/1961,0000,0,1.322581,7,,,,,3.462366,0,0,,,27.032258,,10.245161,,,
83582,31/08/1961,0000,0,1.215054,3,,,,,4.322581,1,0.6,,,29.670968,,10.877419,,,
83582,30/09/1961,0000,14,1.566667,5,,,,,8.522222,1,0.2,,,34.126667,,15.36,,,
83582,31/10/1961,0000,0,1.688172,5,,,,,9.268817,8,81.2,,,30.329032,,17.309677,,,
83582,30/11/1961,0000,14,1.6,6,,,,,8.111111,13,254.8,,,30.833333,,18.813333,,,
83582,31/12/1961,0000,23,1.72043,3,,,,,8.602151,22,284.2,,,27.122581,,18.032258,,,
83582,31/01/1962,0000,14,1.612903,3,,,,,8.462366,22,283.8,,,29.058065,,19.36129,,,
83582,28/02/1962,0000,23,1.857143,4,,,,,8.821429,18,154.4,,,29.064286,,19.403571,,,
83582,31/03/1962,0000,9,1.655914,6,,,,,7.354839,18,176.8,,,29.03871,,18.516129,,,
83582,30/04/1962,0000,0,1.377778,4,,,,,5.444444,6,24.8,,,29.6,,16.266667,,,
83582,31/05/1962,0000,0,1.655914,4,,,,,4.344086,1,17,,,27.180645,,12.270968,,,
83582,30/06/1962,0000,9,1.488889,3,,,,,4.188889,4,43,,,24.766667,,9.1,,,
83582,31/07/1962,0000,9,1.666667,4,,,,,4.27957,2,4.6,,,25.896774,,8.870968,,,
83582,30/09/1962,0000,14,1.741573,4,,,,,8.393258,9,74.8,,,29.013333,,15.64,,,
83582,31/10/1962,0000,9,1.956989,4,,,,,9.215054,16,212.6,,,27.025806,,17.412903,,,
83582,30/11/1962,0000,9,1.444444,3,,,,,6.933333,13,140.6,,,30.06,,17.546667,,,
83582,31/12/1962,0000,0,1.784946,4,,,,,9.354839,30,646,,,26.967742,,19.445161,,,
83582,31/01/1963,0000,9,1.602151,3,,,,,7.55914,17,132.2,,,30.722581,,19.574194,,,
83582,28/02/1963,0000,27,1.630952,3,,,,,7.488095,17,255.8,,,29.042857,,18.721429,,,
83582,31/03/1963,0000,14,1.483871,3,,,,,4.44086,2,17.4,,,32.909677,,18.432258,,,
83582,31/05/1963,0000,0,1.48913,3,,,,,7.228261,1,19.8,,,27.812903,,11.122581,,,
83582,30/06/1963,0000,0,1.633333,3,,,,,7.755556,0,0,,,26.44,,9.866667,,,
83582,31/07/1963,0000,0,1.55914,4,,,,,7.537634,0,0,,,27.283871,,9.76129,,,
83582,30/09/1971,0000,9,,7,,,,,3.283019,3,50.1,,950.492453,28.483333,19.938889,13.1,,,
83582,31/10/1971,0000,23,2.268817,7,97.8,,,156,6.688172,14,91,,950.42043,27.583871,21.248387,16.235484,75.951613,,
83582,30/11/1971,0000,27,2.1,9,100.6,,,129.1,7.722222,18,156.6,,948.933333,27.306667,21.49,16.606667,79.191667,,
83582,31/12/1971,0000,27,1.892473,7,70.1,,,120.7,8.387097,22,457.4,,942.726882,27.977419,22.36129,18.106452,85.790323,,
83582,31/01/1972,0000,0,1.741935,7,122.3,,,210.8,6.139785,15,144.2,,951.147826,29.716129,22.770968,16.735484,77.580645,,
83582,29/02/1972,0000,27,1.586207,5,68.5,,,140.5,7.517241,21,142.6,,951.475,29.186207,22.56069,18.582759,84.155172,,
83582,31/03/1972,0000,27,1.526882,7,76.8,,,198.9,5.516129,15,186.1,,,28.974194,22.687097,17.535484,82.637097,,
83582,30/04/1972,0000,23,1.426966,5,77.9,,,187.3,5.213483,11,199.6,,,26.355172,19.215862,13.346667,83.181034,,
83582,31/05/1972,0000,0,1.064516,4,87.8,,,256.6,2.935484,4,15.4,,952.321739,26.629032,17.872903,9.951613,79.443548,,
83582,30/06/1972,0000,27,1.218391,4,103.6,,,287.4,1.886364,,0,,952.788506,27.281481,16.031852,6.536667,77.259259,,
83582,31/07/1972,0000,0,1.215054,5,108.9,,,236.3,3.580645,3,41.4,,953.408602,25.983871,16.022581,7.477419,77.419355,,
83582,31/08/1972,0000,23,1.268817,5,144.5,,,253.2,2.924731,3,13.2,,945.762366,28.922581,18.554194,9.196774,71.677419,,
83582,30/09/1972,0000,23,1.744444,5,143.5,,,183.5,5.8,8,80.7,,938.514444,27.866667,19.862667,12.503333,71.833333,,
83582,31/10/1972,0000,18,1.365591,5,123.5,,,170.9,5.698925,11,222.7,,936.254839,29.96129,22.334194,16.470968,75.879032,,
83582,30/11/1972,0000,23,1.366667,9,68.8,,,127.2,7.755556,22,273.7,,934.077778,28.61,22.839333,18.53,84.766667,,
83582,31/12/1972,0000,27,1.27957,7,101.7,,,190.9,6.645161,16,196.4,,934.702151,29.774194,22.947097,17.63871,79.5,,
83582,31/01/1973,0000,23,1.528736,5,77.8,,,199.5,7.091954,19,224,,936.516092,30.956,23.9112,18.867742,84,,
83582,28/02/1973,0000,36,1.416667,7,81.5,,,215.8,5.797619,17,183.9,,936.20119,31.518182,24.216364,19.710714,80.696429,,
83582,31/03/1973,0000,23,1.268817,3,82.1,,,171,6.989247,16,269.3,,935.183871,30.348387,23.718065,19.745161,83.959677,,
83582,30/04/1973,0000,23,1.322222,5,86.8,,,239.6,4.944444,8,79.3,,937.346667,30.66,22.976,18.083333,80.975,,
83582,31/05/1973,0000,23,1.526882,7,81.1,,,253.2,3.526882,7,48.9,,939.065591,27.351613,18.292258,11.777419,82.395161,,
83582,30/06/1973,0000,23,1.227778,7,86.3,,,248.9,3.255556,1,18.6,,939.165556,27.763333,17.518667,10.216667,81.558333,,
83582,31/07/1973,0000,0,1.430108,5,107.3,,,283.1,3.107527,1,0.6,,940.537634,27.003226,16.127742,8.380645,75.233871,,
83582,31/08/1973,0000,23,1.397849,5,152,,,249.2,4.956989,0,0,,938.775269,30.512903,18.796774,10.070968,64.91129,,
83582,30/09/1973,0000,9,1.968889,5,139.4,,,145.7,6.255556,5,41.2,,938.808889,29.57,20.498667,13.633333,67.808333,,
83582,31/10/1973,0000,18,1.793548,7.7,110.4,,,156.6,6.827957,16,186.8,,934.737634,29.203226,21.959355,16.822581,77.16129,,
83582,30/11/1973,0000,5,1.464444,10.3,85.5,,,162.1,6.788889,18,163.5,,934.84,28.82,22.607333,18.456667,79.25,,
83582,31/12/1973,0000,9,1.544086,9,76.3,,,147.6,7.784946,21,262.2,,934.662366,29.690323,23.30129,19.003226,81.725806,,
83582,31/01/1974,0000,32,1.602151,5,90.7,,,188,7.591398,20,261.3,,934.605376,29.877419,23.413548,19.177419,82.435484,,
83582,28/02/1974,0000,36,1.142857,7,107,,,253.8,5.702381,10,93.2,,934.722619,31.214286,23.949286,18.435714,75.410714,,
83582,31/03/1974,0000,36,1.139785,4,73,,,145.6,7.870968,20,95.7,,934.146237,28.977419,22.804516,19.248387,83.733871,,
83582,30/04/1974,0000,36,1.177778,3,71.6,,,160.6,6.449438,8,74.1,,937.055556,28.253333,21.302667,16.716667,82.2,,
83582,31/05/1974,0000,36,0.88172,3,71.2,,,255.1,3.806452,4,63,,939.177419,27.096774,18.676774,12.451613,80.41129,,
83582,30/06/1974,0000,0,0.933333,3,69.7,,,230,3.977778,5,37,,939.416667,25.506667,16.639333,10.183333,81.108333,,
83582,31/07/1974,0000,0,0.870968,3,113.4,,,295.8,2.096774,0,0,,942.646237,25.780645,15.110323,7.067742,74.685484,,
83582,31/08/1974,0000,0,1.11828,5,145.8,,,259.8,2.408602,4,7.6,,938.845161,28.764516,18.145806,9.945161,69.532258,,
83582,30/09/1974,0000,32,1.355556,5,220.7,,,261.9,2.466667,1,12.6,,937.944444,31.69,21.046667,11.83,56.65,,
83582,31/10/1974,0000,9,1.333333,5,132,,,162.8,7.376344,16,179.9,,935.230108,29.932258,22.410968,16.958065,74.362903,,
83582,30/11/1974,0000,32,1.577778,9,130.4,,,235.5,5.511111,8,118.6,,934.355556,30.18,22.569655,16.758621,74.158333,,
83582,31/12/1974,0000,5,1.397849,6,73,,,104.2,8.526882,21,354.1,,935.015054,27.629032,22.034194,18.406452,85.66129,,
83582,31/01/1975,0000,36,1.086022,3,95.7,,,204.9,7.236559,17,191.3,,935.972043,29.816129,23.252414,18.665517,82.733871,,
83582,28/02/1975,0000,14,1.269048,5,71.3,,,176,7.083333,17,257.1,,935.190476,30.646429,24.1848,19.812,78.803571,,
83582,31/03/1975,0000,23,1.322581,3,117.8,,,274,5.419355,3,20.9,,937.027957,31.016129,23.655484,17.790323,71.524194,,
83582,30/04/1975,0000,18,1.244444,5,76.9,,,233.9,5.277778,7,192.2,,936.714444,28.131034,20.226207,14.823333,77.875,,
83582,31/05/1975,0000,0,1.182796,6,85,,,251.1,4.576087,3,54.8,,939.307527,26,17.526897,11.186207,79.193548,,
83582,30/06/1975,0000,32,0.933333,3,101.4,,,245.9,3.122222,1,0.8,,940.515556,26.086667,16.38,8.926667,73.475,,
83582,31/07/1975,0000,32,1.526882,7,93.5,,,252.3,2.978495,5,35.2,,941.410753,24.280645,15.058667,7.426667,73.564516,,
83582,31/08/1975,0000,0,1.430108,7,145.6,,,304.3,1.333333,0,0,,939.708602,28.809677,17.644516,8.583871,64.862903,,
83582,30/09/1975,0000,23,1.955556,8,158.7,,,241.2,3.077778,3,14.9,,938.322222,30.629412,20.1275,11.639286,61.183333,,
83582,31/10/1975,0000,32,1.204301,9,117,,,194.4,6.27957,14,78.4,,935.130108,,,16.135484,72.540323,,
83582,30/11/1975,0000,5,1.091954,3,60.7,,,133.3,8.528736,19,403.6,,934.868605,,,18.838095,84.401786,,
83582,31/12/1975,0000,5,1.17284,8,70.4,,,190.3,6.525,11,219.7,,935.095062,,,18.24,80.346154,,
83582,31/01/1976,0000,36,1.709677,5,101.3,,,,6.186813,10,69.9,,935.773118,,,20.045161,74.306452,,
83582,29/02/1976,0000,27,1.850575,5,69.5,,,138.6,7.988372,15,140.1,,936.204598,,,18.951724,81.568966,,
83582,31/03/1976,0000,36,1.086022,7,79.9,,,205.5,6.913978,13,143.8,,936.188172,,,18.33871,79.959677,,
83582,30/04/1976,0000,0,0.566667,5,77.3,,,245.5,4.322222,10,36.7,,937.677778,28.958333,21.34,15.453333,78,,
83582,31/05/1976,0000,32,1.105376,7.1,72.6,,,205.5,5.989247,11,74.4,,938.915054,26.190323,18.527097,12.674194,83.096774,,
