Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83587,31/01/1961,0000,0,1.28587,5,37.5,,,89.2,8.771739,28,606.3,,910.446739,26.006452,21.273548,18.319355,87.854839,,
83587,28/02/1961,0000,0,1.533333,9,64.3,,,158.3,7.75,14,237.5,,912.125,28.364286,22.931429,18.928571,77.758929,,
83587,31/03/1961,0000,18,2.334783,10.6,76.7,,,227,6.096774,15,192.7,,912.666667,28.451613,22.716774,18.416129,75.241935,,
83587,30/04/1961,0000,0,2.183333,8,83.5,,,270.5,5.122222,6,45.6,,913.011111,28.286667,22.145333,17.486667,67.958333,,
83587,31/05/1961,0000,0,1.683696,5,79.1,,,243,5.129032,4,11.5,,915.126882,25.677419,19.78,15.222581,68.072581,,
83587,30/06/1961,0000,9,2.666292,8,78.2,,,261,3.922222,2,2.5,,917.206667,24.923333,18.782,13.99,68.083333,,
83587,31/07/1961,0000,0,2.220879,6,96.6,,,268.4,3.315217,1,4.4,,917.076087,25.373333,18.428,13.406452,61.091667,,
83587,31/08/1961,0000,0,2.244086,6.5,134.6,,,299.5,2.258065,0,0,,916.391398,28.03871,20.341935,14.403226,52.387097,,
83587,30/09/1961,0000,5,2.154444,9,164.7,,,225.7,4.711111,0,0,,913.115556,32.05,24.104667,17.823333,47.408333,,
83587,31/10/1961,0000,9,3.575269,7.5,139.9,,,193.5,6.677419,6,32.6,,913.319355,28.590323,22.236774,17.654839,57.814516,,
83587,30/11/1961,0000,9,1.904444,8.2,103.2,,,207.3,7.444444,12,132,,910.976667,29.416667,23.548,18.87,66.45,,
83587,31/12/1961,0000,0,1.809677,7,89.5,,,172,7.731183,13,110.7,,911.597849,27.248387,22.094194,18.190323,70.685484,,
