Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83681,31/01/1961,0000,27,1.032609,3,46.9,,,123.7,7.98913,23,255.2,,878.716304,25.583871,20.632903,17.177419,87.709677,,
83681,28/02/1961,0000,5,1.238095,7,42.3,,,99.4,8,22,298.8,,880.869048,25.225,20.284286,16.860714,89.044643,,
83681,31/03/1961,0000,0,1.462366,7,58,,,200.7,6.473118,18,164.9,,881.529032,26.541935,20.087097,15.509677,86.056452,,
83681,30/04/1961,0000,5,1.155556,7,62.4,,,185.4,5.11236,10,156.5,,881.907778,25.386667,18.718667,13.633333,85.558333,,
83681,31/05/1961,0000,0,0.183871,7,58.1,,,213.6,4.634409,5,89.5,,883.613978,23.587097,16.057419,10.496774,85.427419,,
83681,30/06/1961,0000,0,1.526667,7,57.7,,,204.1,5.011111,1,0.8,,885.226667,22.3,15.18,10.13,84.116667,,
83681,31/07/1961,0000,5,0.752688,7,78.7,,,236.3,4.397849,,0,,885.286022,23.190323,13.697419,6.848387,79.766129,,
83681,31/08/1961,0000,0,1.225806,7,117.6,,,261.3,4.043011,2,6.1,,884.401075,26.1,16.332903,8.564516,72.580645,,
83681,30/09/1961,0000,0,1.377778,5,140.2,,,250.4,7.688889,2,11.7,,881.563333,30.473333,21.436667,14.286667,66.425,,
83681,31/10/1961,0000,0,1.83871,7,117.7,,,181.1,8.44086,12,50.8,,881.551613,27.370968,20.739355,15.858065,74.741935,,
83681,30/11/1961,0000,36,1.311111,5,81.6,,,230.3,6.622222,16,197.6,,879.562222,27.77,21.118,16.043333,81.375,,
83681,31/01/1962,0000,5,1.23587,5,62.4,,,187.5,7.130435,21,256.5,,878.915217,26.612903,20.808387,16.290323,85.064516,,
83681,28/02/1962,0000,0,1.261905,5,62.1,,,167.4,7.845238,15,425.5,,879.670238,26.342857,20.704286,16.467857,85.964286,,
83681,31/03/1962,0000,5,1.516129,5,63.2,,,160.5,6.709677,14,282.9,,880.836559,26.054839,20.172903,15.651613,85.709677,,
83681,31/05/1962,0000,0,1.152174,5,67.8,,,226.4,4.75,6,37.5,,883.306522,22.703226,14.950968,8.951613,82.459677,,
83681,30/06/1962,0000,5,1.088889,7,62.2,,,209,3.611111,6,39.6,,884.492222,20.94,12.739333,6.84,82.466667,,
83681,31/07/1962,0000,0,1.107527,5,72.8,,,225.9,4.430108,2,5.1,,885.222581,21.406452,12.585806,5.390323,78.83871,,
83681,31/08/1962,0000,0,1.408602,7,89.4,,,247.4,5.139785,4,31.6,,883.780645,24.296774,15.429677,8.190323,75.580645,,
83681,30/09/1962,0000,0,1.555556,5,82.6,,,216.8,6.811111,10,116.6,,882.57,25.663333,18.479333,12.97,79,,
83681,31/10/1962,0000,0,1.892473,5,54.1,,,125.2,8.11828,18,230.1,,881.605376,22.854839,17.849677,14.183871,86.064516,,
83681,30/11/1962,0000,0,1.644444,5,89.4,,,224.6,5.533333,9,69.6,,879.983333,26.673333,19.617333,13.556667,79.35,,
83681,31/12/1962,0000,5,1.645161,7,53,,,99.7,8.591398,22,421.6,,878.991398,24.864516,20.102581,16.903226,87.370968,,
83681,31/01/1963,0000,36,1.569892,5,65.7,,,177.4,7.311828,21,268.6,,879.627957,27.106452,21.145161,16.777419,84.41129,,
83681,28/02/1963,0000,9,1.380952,5,58.3,,,168.8,6.77381,18,203.4,,880.59881,26.914286,20.865,16.510714,84.25,,
83681,30/04/1963,0000,0,1.134831,5,85.3,,,235.5,4.932584,6,43.5,,881.777528,26.846667,18.254667,11.59,80.733333,,
83681,31/05/1963,0000,27,0.944444,5,78.6,,,229,3.764045,1,15.1,,884.462222,24.423333,14.568276,7.148387,78.112069,,
83681,30/06/1963,0000,0,1.377778,5,77,,,223.3,5.666667,0,0,,885.005556,21.88,13.306667,6.963333,79.066667,,
83681,31/07/1963,0000,0,1.11828,5,90.7,,,237.4,5.204301,,0,,884.710753,24.03871,14.036129,6.43871,75.354839,,
83681,31/08/1963,0000,0,1.268817,5,111.2,,,222.5,6.956989,2,21.7,,883.482796,25.76129,16.496129,9.354839,72.919355,,
83681,30/09/1963,0000,5,1.633333,7,161.4,,,205.5,8.988889,1,0.2,,882.376667,28.863333,20.208,13.103333,67.241667,,
83681,31/10/1963,0000,0,1.376471,5,109.2,,,143.1,9.152941,9,33.8,,881.825882,28.351724,21.71,16.172414,77.017857,,
83681,30/11/1963,0000,0,1.444444,5,94.8,,,207.5,7.444444,18,125.1,,880.015556,27.96,21.635333,16.62,82.05,,
83681,31/12/1963,0000,0,1.731183,5,109.3,,,250.6,6.548387,9,46.9,,880.360215,27.880645,21.336129,16.03871,77.056452,,
83681,31/01/1964,0000,,,,,,,,,5,53,,,,,,,,
83681,29/02/1964,0000,5,1.616279,5,40.9,,,80.9,8.860465,22,250.8,,879.212791,25.213793,20.40069,16.982759,87.715517,,
83681,31/03/1964,0000,5,1.956989,5,76.2,,,221.7,6.021505,9,51,,882.498925,26.206452,20.117419,15.183871,79.629032,,
83681,30/04/1964,0000,9,1.311111,5,57.9,,,189.4,5.822222,12,90.8,,882.795556,25.736667,19.403333,14.546667,83.741667,,
83681,31/05/1964,0000,36,1.268817,7,54.7,,,209.7,5.408602,7,125,,883.855914,21.941935,14.909032,9.419355,83.862903,,
83681,30/06/1964,0000,0,1.544444,5,50.3,,,192.4,4.733333,7,27.7,,883.313333,21.136667,13.923333,8.55,84.266667,,
83681,31/07/1964,0000,0,1.376344,7,50.2,,,194.3,5.129032,7,23.1,,883.95914,19.890323,12.894194,7.787097,85.16129,,
83681,31/08/1964,0000,5,1.817204,9,78,,,248.9,3.774194,2,0.6,,884.588172,24.090323,17.193548,11.706452,79.66129,,
