Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83514,31/05/1970,0000,0,2.652174,7,175.9,,,255.7,5.163043,2,28.2,,945.886957,29.193548,21.500645,14.158065,63.427419,,
83514,31/07/1970,0000,27,3.8125,9,187.6,,,222.7,5.4625,1,1.2,,949.0475,27.551852,19.68,11.525926,55.788462,,
83514,30/09/1970,0000,14,3.191011,8,242.8,,,,6.741573,5,18.5,,943.562921,30.976667,24.294667,18.996667,58.383333,,
83514,31/10/1970,0000,23,2.934783,9,173.6,,,217,6.591398,6,128.5,,941.456522,30.880645,24.518667,19.351613,68.883333,,
83514,30/11/1970,0000,9,2.777778,7,169.1,,,235.6,5.533333,13,135.1,,940.024444,30.61,23.991333,19.143333,68.6,,
83514,31/12/1970,0000,0,1.946237,9,167.7,,,254.7,5.784946,12,148,,940.824731,31.645161,24.854194,20.332258,71.387097,,
83514,31/01/1971,0000,18,2.064516,9,154.4,,,234.5,5.602151,15,95.9,,941.509677,31.609677,24.85871,20.154839,72.016129,,
83514,28/02/1971,0000,0,1.514286,7,111.9,,,171,6.190476,15,147.4,,941.892857,30.325,24.004286,19.589286,76.339286,,
83514,31/03/1971,0000,14,1.870968,9,111.3,,,207.7,6,16,237.6,,942.984946,30.087097,23.885161,20.025806,79.217742,,
83514,30/04/1971,0000,18,1.727778,7,138.3,,,274.7,4.52809,8,36,,944.206667,29.973333,23.161333,18.283333,73.841667,,
83514,31/05/1971,0000,0,2.735484,8,158,,,247.4,4.903226,3,33.7,,946.637634,28.545161,21.736774,16.887097,69.016129,,
