Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83536,31/01/1961,0000,32,1.086957,5,,,,,9.163043,25,434.9,,,27.825806,21.784516,17.6,87.66129,,
83536,28/02/1961,0000,0,0.630952,3,,,,,7.821429,11,161.5,,,30.55,23.355714,18.542857,80.0625,,
83536,31/03/1961,0000,0,0.870968,7,,,,,6.677419,6,37.1,,,30.787097,23.171613,18.251613,75.266129,,
83536,30/04/1961,0000,0,0.666667,3,,,,,4.044444,4,69.1,,,30.506667,21.988,16.126667,73.458333,,
83536,31/05/1961,0000,0,0.72043,7,,,,,3.752688,3,22.1,,,28.516129,19.592258,14.748387,75.483871,,
83536,30/06/1961,0000,0,0.677778,5,,,,,3.477778,2,0.7,,,27.916667,18.227333,12.593333,72.05,,
83536,31/07/1961,0000,,,,,,,,,,0,,,,,,,,
83536,31/08/1961,0000,0,0.423913,3,,,,,1.967391,1,10,,,29.554839,18.91871,12.077419,56.040323,,
83536,30/09/1961,0000,0,0.733333,5,,,,,0.4,0,0,,,33.7,23.034,15.943333,49.833333,,
83536,31/10/1961,0000,32,1.236559,5,,,,,3.451613,7,42.8,,,30.606452,23.163871,18.196774,59.282258,,
83536,30/11/1961,0000,0,0.833333,5,,,,,4.466667,9,112.3,,,31.6,24.398,19.683333,67.833333,,
83536,31/12/1961,0000,0,0.827957,9,,,,,5.709677,15,140.8,,,29.154839,23.057419,19.196774,72.862903,,
83536,31/01/1962,0000,0,0.806452,7,,,,,6.526882,27,336.1,,,29.677419,23.527097,20.441935,85.669355,,
83536,28/02/1962,0000,0,0.678571,3,,,,,6.22619,20,185.9,,,29.928571,23.42,20.207143,81.785714,,
83536,30/04/1962,0000,0,0.573034,3,,,,,5.494382,4,46.4,,,30.223333,21.786667,16.556667,70.8,,
83536,31/05/1962,0000,0,0.612903,3,,,,,4.774194,2,12.6,,,27.612903,18.795484,13.629032,71.645161,,
