Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83635,31/10/1995,0000,,,9,,,,,,12,133.2,,,28.819048,21.62381,14.547619,,,
83635,30/11/1995,0000,0,1.266667,8,137.2,,,191,6.233333,14,196.6,,,28.136667,21.956667,16.41,67.816667,,
83635,31/12/1995,0000,0,1.532609,7,104.9,,,155.5,7.347826,22,283.8,,,29.1,22.923226,18.606452,76.208333,,
83635,31/01/1996,0000,0,1.075269,4,139.9,,,233,6.096774,13,177.4,,,30.874194,24.303226,18.516129,66.887097,,
83635,29/02/1996,0000,0,1.022989,5,,,,196.6,6.241379,11,192.6,,,31.17931,24.386207,19.134483,68.405172,,
83635,31/03/1996,0000,0,0.688172,4,96.9,,,193.1,6.365591,17,142.8,,,30.277419,23.603226,18.619355,74.830645,,
83635,30/04/1996,0000,14,1.2,7,120.3,,,229.6,4.722222,7,44.7,,,28.72,21.583333,15.63,67.383333,,
83635,31/05/1996,0000,0,0.849462,4,102.4,,,211.1,5.107527,6,22.6,,,26.096774,18.343333,12.032258,69.258333,,
83635,30/06/1996,0000,0,1.422222,8,130,,,213.3,3.488889,1,13.5,,,25.726667,17.006667,9.763333,62.466667,,
83635,31/07/1996,0000,0,1.182796,8,146.4,,,243.1,3.268817,1,4.8,,923.006452,26.609677,17.203226,9.264516,58.137097,,
83635,31/08/1996,0000,0,1.333333,5,162.1,,,237.9,3.645161,3,49,,922.026882,27.622581,18.974194,11.187097,55.717742,,
83635,30/09/1996,0000,0,1.533333,7,129.3,,,171.3,5.73913,13,92.6,,920.648889,27.47,20.423333,14.34,65.883333,,
83635,31/10/1996,0000,0,1.382222,9,153.2,,,183.5,6.233333,14,115,,917.605556,30.126667,23.046667,17.53,65.125,,
83635,30/11/1996,0000,14,1.822222,9,117.9,,,136.4,7.05618,16,337.9,,916.486667,27.446667,21.983333,17.576667,71.3,,
83635,31/12/1996,0000,0,1.282609,6,101.1,,,148.5,7.521739,20,285.5,,916.35,29.748387,23.235484,19.096774,76.05,,
83635,31/07/1997,0000,0,1.043478,5,134.4,,,227.7,3.521739,1,1.2,,934.696739,26.787097,17.677419,9.903226,60.629032,,
83635,31/08/1997,0000,0,1.043011,9,200.9,,,278.8,1.956522,0,0,,934.177419,29,19.270968,9.777419,48.048387,,
83635,30/09/1997,0000,0,1.422222,9,190.7,,,197.2,4.897727,8,109.1,,928.748889,32.093333,23.446667,16.39,56.625,,
83635,31/10/1997,0000,0,1.376344,7,174.7,,,238.6,5.731183,5,198.8,,928.31828,31.467742,23.903226,17.470968,59.032258,,
83635,30/11/1997,0000,0,1.022222,7,136.6,,,203.2,6.988889,17,311.1,,927.796667,31.563333,24.836667,19.49,66.291667,,
83635,31/12/1997,0000,36,1.215054,5,96.8,,,169.1,7.537634,21,212.2,,928.468817,30.212903,24.025806,19.474194,74.677419,,
83635,31/01/1998,0000,0,1.173913,9,101.4,,,187.8,7.142857,18,287.4,,928.734783,30.767742,24.34,19.670968,73.783333,,
83635,28/02/1998,0000,0,0.892857,5,108.5,,,174.7,7.144578,11,174.7,,929.177381,31.585714,25.053571,20.121429,70.866071,,
83635,31/03/1998,0000,0,1.076923,4,138.9,,,189.5,6.790698,9,25.2,,929.543956,31.786667,24.753333,19.306667,66.783333,,
83635,30/04/1998,0000,0,1.078652,7,121.1,,,213.1,5.068182,6,56.2,,929.964045,29.846667,23.003448,17.223333,68.612069,,
83635,31/05/1998,0000,,,,,,,,,2,22.7,,,,,,,,
83635,30/06/1998,0000,0,0.8625,4,90.7,,,177.7,4.949367,2,4.1,,934.36875,25.2,17.451852,11.255556,67.796296,,
83635,31/07/1998,0000,0,1.075269,5,141.5,,,228.3,2.333333,0,0,,933.745161,26.954839,17.893548,9.925806,58.185484,,
83635,31/08/1998,0000,0,1.096774,6,154.9,,,185.3,4.684783,7,46.1,,932.107527,28.66129,21.122581,14.716129,61.459677,,
83635,30/09/1998,0000,0,1.4,7,208.5,,,197.3,5.111111,4,4.6,,931.055556,31.403333,23.496667,16.433333,51.7,,
83635,31/10/1998,0000,0,1.236559,5,128.8,,,143.8,7.623656,14,193.7,,930.187097,28.309677,22.348387,17.832258,69.274194,,
83635,30/11/1998,0000,0,1.122222,3,102.7,,,161.5,7.577778,15,176.1,,927.228889,28.576667,22.706667,18.106667,71.475,,
83635,31/12/1998,0000,36,1.225806,6,117.9,,,173.3,7.451613,16,174.9,,927.25914,30.158065,23.890323,19.603226,72.225806,,
83635,31/01/1999,0000,0,0.967742,3,128.3,,,230.4,5.204301,17,266.7,,927.524731,31.164516,24.62129,19.322581,67.701613,,
83635,28/02/1999,0000,0,1.328916,9,109.9,,,184.5,7.012048,13,144.7,,928.75125,30.853571,24.098571,19.289286,69.592593,,
83635,31/03/1999,0000,0,0.935484,4,95.2,,,177.4,6.505376,15,253.2,,927.763095,29.735484,23.304516,18.729032,74.225806,,
83635,30/04/1999,0000,0,0.988889,5,117.6,,,238.5,4.077778,4,34.4,,928.383333,29.536667,21.944667,15.79,66.4,,
83635,31/05/1999,0000,0,1.483871,8,125.2,,,237.1,3.387097,4,2.8,,931.791398,26.735484,18.46129,11.341935,61.879032,,
83635,30/06/1999,0000,0,1.188889,4,121,,,193.6,3.898876,1,10,,929.021839,26.59,18.292,11.5,63.725,,
83635,31/07/1999,0000,14,1.752688,4,141.2,,,231.3,2.989247,1,0.2,,931.598925,27.225806,19.316774,12.516129,60.983871,,
83635,31/08/1999,0000,9,2.612903,9,220,,,263.9,1.817204,0,0,,931.204301,27.416129,18.768387,10.290323,46.741935,,
83635,30/09/1999,0000,9,2.766667,8,219.4,,,219.8,3.355556,6,16.6,,930.211111,29.336667,21.43,14.046667,49.75,,
83635,31/10/1999,0000,9,3.11828,8,204,,,162.3,6,7,47.1,,927.117204,28.654839,21.814194,15.719355,57.677419,,
83635,30/11/1999,0000,36,2.611111,9,146,,,167.6,6.333333,16,248.5,,927.811111,27.35,21.662667,16.65,67.05,,
83635,31/12/1999,0000,36,2.322581,6,130.7,,,176.3,6.698925,20,208,,927.862366,28.577419,22.872903,18.4,72.056452,,
83635,29/02/2000,0000,36,2.139535,5,109.5,,,165.9,6.616279,18,117.7,,925.860465,29.548276,23.377931,18.675862,72.517241,,
83635,31/03/2000,0000,5,2.27957,6,110.7,,,189,6.322581,15,244.9,,925.635484,28.832258,23.043871,18.258065,74.104839,,
83635,30/04/2000,0000,14,2.477778,8,130.7,,,238.1,3.377778,3,30.9,,927.682222,28.493333,21.374,15.316667,67.9,,
83635,31/05/2000,0000,0,2.107527,6,141.7,,,262.5,2.612903,2,6.9,,928.310753,27.154839,18.84,11.506452,63.927419,,
83635,30/06/2000,0000,0,1.433333,6,132.7,,,240,2.355556,0,0,,930.572222,26.876667,17.421333,9.293333,60.741667,,
83635,31/07/2000,0000,18,1.827957,6,142.4,,,202.7,4,3,31.9,,929.366667,25.741935,17.262581,10.209677,60.935484,,
83635,31/08/2000,0000,0,1.655914,8,193,,,231.1,3.430108,3,8.5,,932.292473,28.312903,19.714839,11.829032,53.637097,,
83635,30/09/2000,0000,5,2.322222,12,156.5,,,176.6,6.136364,9,63.1,,928.676667,27.376667,20.923333,15.5,63.691667,,
83635,31/10/2000,0000,0,1.376344,8,223.3,,,239.4,5.075269,6,73.1,,926.87957,32.209677,24.597419,17.658065,53.120968,,
83635,30/11/2000,0000,36,2.280899,6,97.2,,,124.8,7.730337,18,208.2,,924.574157,27.41,22.049655,17.896667,74.12931,,
83635,31/12/2000,0000,36,2.301075,9,117.8,,,182.3,6.967742,13,269.3,,926.621505,30.109677,23.900645,19.170968,70.870968,,
83635,31/01/2001,0000,36,2.075269,6,116.2,,,203.3,6.494624,12,181.1,,926.7,30.306452,23.867742,18.412903,68.798387,,
83635,28/02/2001,0000,36,2.178571,5,141.1,,,239.9,4.892857,9,105.5,,925.247619,32.460714,25.023571,18.617857,61.678571,,
83635,31/03/2001,0000,36,1.903226,4,119.3,,,216.8,5.204301,9,149.8,,929.475269,30.33871,23.503226,17.96129,67.483871,,
83635,30/04/2001,0000,9,2.144444,8,137,,,266,2.811111,2,23.4,,930.864444,30.633333,22.938,16.116667,61.3,,
83635,31/05/2001,0000,23,2.333333,5,127.5,,,205.9,4.129032,8,50,,927.339785,27.164516,19.551613,13.158065,64.91129,,
83635,30/06/2001,0000,23,2.311111,6,122.1,,,222.1,2.822222,0,0,,930.637778,26.783333,18.425333,11.416667,62.058333,,
83635,31/07/2001,0000,14,2.172043,7,150.2,,,234.2,2.236559,2,2.8,,930.231183,27.712903,18.649032,11.129032,57.266129,,
83635,31/08/2001,0000,14,2.150538,7,179.7,,,222.5,3.473118,4,32.7,,932.473118,27.232258,19.460645,11.951613,52.379032,,
83635,30/09/2001,0000,14,2.255556,7,169.4,,,182.8,5.022222,9,46.6,,928.023333,28.006667,20.93,14.743333,57.891667,,
83635,31/10/2001,0000,5,1.751613,6,163.7,,,202.7,5.215054,9,66.6,,926.335484,29.190323,22.454839,16.441935,58.58871,,
83635,30/11/2001,0000,0,2.011111,5,116.2,,,166.8,7.055556,18,184.2,,924.505556,29.61,23.565333,19.026667,70.033333,,
83635,31/12/2001,0000,32,3.025806,7,100.8,,,126.4,7.258065,20,331.1,,924.582796,28.367742,22.815484,18.658065,72.532258,,
83635,31/01/2002,0000,32,2.645161,7,130.5,,,160.5,7.193548,19,269.8,,925.488172,30.070968,23.970968,19.348387,71,,
83635,28/02/2002,0000,36,2.75,7,74.4,,,104.8,7.72619,21,269.1,,925.735714,28.517857,22.897857,19.028571,76.625,,
83635,31/03/2002,0000,36,2.505376,6,117.8,,,241.9,4.612903,8,127.5,,926.905376,30.887097,23.907742,18.351613,68.153226,,
83635,30/04/2002,0000,9,2.3,7,140.7,,,279.2,2.122222,2,1.3,,926.964444,31.036667,22.958667,15.86,61.533333,,
83635,31/05/2002,0000,23,3.320023,7.20216,,,,224.2,3.326087,7,25.2,,928.18913,28.48,20.479333,14.2,69.725806,,
83635,30/06/2002,0000,23,2.103488,5.1444,,,,219.5,2.972222,0,0,,931.19,27.92,19.048667,11.456667,64.291667,,
83635,31/07/2002,0000,23,2.671769,6.17328,,,,196,3.884409,4,7.9,,930.475269,27.393548,18.627742,11.24,65.290323,,
83635,31/08/2002,0000,5,2.876439,7.20216,,,,253.3,3.11828,2,8.8,,930.233333,30.143333,21.46,13.370968,53.041667,,
83635,30/09/2002,0000,32,3.07508,7.20216,,,,184,5.351124,9,116.4,,928.140449,28.536667,21.106667,15.55,58.725,,
83635,31/10/2002,0000,36,3.307905,7.20216,,,,265.4,3.615591,5,56.7,,925.769892,32.790323,24.840645,17.406452,49.564516,,
83635,30/11/2002,0000,32,2.846568,7.20216,,,,179.8,6.916667,16,162.1,,925.915556,29.773333,23.592667,18.74,67.091667,,
83635,31/12/2002,0000,32,2.907704,6.17328,,,,176.7,6.752717,19,391.9,,924.976087,30.303226,24.088387,19.658065,74.112903,,
83635,31/01/2003,0000,32,2.688793,6,71.5,147.674123,147.674123,117.8,7.913978,26,459.9,,924.780645,29.106452,23.542581,19.825806,78.758065,,
83635,28/02/2003,0000,36,2.357143,6,131.1,133.044792,133.044792,241.4,3.797619,7,85,,926.595238,31.8,25.084286,18.889286,61.633929,,
83635,31/03/2003,0000,32,2.549319,7,95.1,133.783833,133.783833,156.5,6.094086,16,148.5,,926.351613,29.322581,23.004516,18.370968,73.580645,,
83635,30/04/2003,0000,23,2.211111,7,104.1,122.221361,122.221361,208.5,3.977778,5,42.9,,927.515556,29.663333,22.350667,16.406667,68.9,,
83635,31/05/2003,0000,23,2.565217,6,111.7,111.686808,48.078639,223.3,3.173913,5,27.4,,929.802174,26.63871,18.451613,11.809677,65.572581,,
83635,30/06/2003,0000,23,1.966667,4,126.3,108.429721,0,236.5,1.244444,0,0,,929.443333,28.173333,18.650667,10.866667,62.383333,,
83635,31/07/2003,0000,18,2.483871,6,149.3,108.76411,5,232.5,2.473118,1,5,,931.831183,27.016129,17.549032,9.745161,58.677419,,
