Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83338,31/03/1974,0000,5,2.097826,6,141.9,,,171.2,6.445652,18,97.3,,,30.03871,24.592903,20.735484,72.024194,,
83338,30/04/1974,0000,23,2.488889,8,184.2,,,236.6,4.866667,5,11.7,,,31.13,24.865333,19.443333,62.341667,,
83338,31/05/1974,0000,14,3.032258,8,224.2,,,227.9,4.989247,1,0.1,,,30.377419,24.24,19.241935,58.806452,,
83338,30/06/1974,0000,27,2.722222,9,227.4,,,276.5,2.655556,2,9.1,,,29.383333,22.229333,15.786667,52.383333,,
83338,31/07/1974,0000,0,3.483871,9,284.9,,,286.2,3.505376,0,0,,,27.667742,21.404516,16.245161,50.298387,,
83338,31/08/1974,0000,0,3.333333,9,299.5,,,292.3,3.365591,2,18.1,,,29.816129,23.276774,17.822581,49.66129,,
83338,30/09/1974,0000,9,4.333333,9,365.7,,,287.2,3.777778,0,0,,,31.926667,25.379333,19.693333,42.233333,,
83338,31/10/1974,0000,14,2.537634,9,225.8,,,171.8,6.634409,10,105.2,,,31.132258,25.343226,20.716129,60.16129,,
83338,30/11/1974,0000,9,2.522222,7,135,,,199.2,5.811111,11,154.6,,,28.433333,23.406,19.286667,71.916667,,
83338,31/12/1974,0000,0,1.494624,6,130.7,,,218.5,4.892473,9,169.6,,,29.73871,23.937419,19.209677,71.556452,,
83338,31/01/1975,0000,27,2.11828,8,167.4,,,247.2,5.075269,10,107.2,,,30.619355,24.343226,19.580645,68.540323,,
83338,28/02/1975,0000,5,1.797619,7,105.8,,,238.7,4.392857,11,108.6,,,30.614286,24.457143,19.675,71.964286,,
83338,31/03/1975,0000,0,2.548387,8,234.1,,,260.7,4.666667,5,26.3,,,32.180645,25.607097,20.577419,59.258065,,
83338,30/04/1975,0000,27,2.077778,6,119,,,206.2,5.255556,10,143.7,,,28.68,23.191333,19.073333,73.683333,,
83338,31/05/1975,0000,23,2.709677,8,181.1,,,301.3,3.053763,2,4.6,,,28.729032,21.724516,16.164516,62.451613,,
83338,30/06/1975,0000,23,2.755556,8,206.9,,,263.1,3.1,1,0.5,,,28.286667,21.186667,15.04,56.141667,,
83338,31/07/1975,0000,0,3.064516,7,216.5,,,260.6,3.688172,2,3.2,,,27.677419,21.225161,15.448387,54.016129,,
83338,31/08/1975,0000,9,4.430108,9,318.9,,,292.6,2.967742,0,0,,,29.409677,22.861935,16.774194,46.346774,,
83338,30/09/1975,0000,14,4.433333,10,356.7,,,263.3,3.055556,0,0,,,30.983333,24.345333,18.87,43.85,,
83338,31/10/1975,0000,0,2.354839,8,209.2,,,181.4,6.16129,15,129.5,,,30.7,25.017419,20.632258,62.120968,,
83338,30/11/1975,0000,23,2.666667,9,158.1,,,196.5,6.044444,9,48,,,30.093333,24.262667,19.843333,68.433333,,
83338,31/12/1975,0000,27,3.021505,7,236.2,,,269.3,4.526882,7,55.1,,,31.177419,24.874839,20.164516,60.330645,,
83338,31/01/1976,0000,0,3.193548,9,337.2,,,328.8,2.967742,0,0,,,34.116129,27.303226,21.46129,42.370968,,
83338,29/02/1976,0000,27,2.344828,8,218.5,,,196.2,5.390805,9,33.4,,,31.989655,26.083448,21.603448,57.37069,,
83338,31/03/1976,0000,5,3.086022,8,314.2,,,272.9,3.612903,1,27.2,,,33.583871,27.167742,21.935484,47.927419,,
83338,30/04/1976,0000,9,3.111111,10,332.3,,,283.7,2.9,0,0,,,32.83,26.666667,21.266667,43.983333,,
83338,31/05/1976,0000,0,2.204301,8,258.6,,,200.2,4.827957,4,7.7,,,31.145161,25.072258,19.983871,50.967742,,
83338,30/06/1976,0000,23,3.444444,9,293.5,,,285.3,2.133333,0,0,,950.333708,30.046667,23.413333,17.61,47.1,,
83338,31/07/1976,0000,9,3.397849,8,266.7,,,236.8,3.301075,2,0.4,,952.53871,28.509677,22.538065,17.406452,49.25,,
83338,31/08/1976,0000,0,3.83871,8,313.8,,,304.6,2.215054,0,0,,950.575269,30.722581,24.057419,17.980645,41.709677,,
83338,30/09/1976,0000,9,2.944444,10,298.1,,,191.5,4.544444,3,1.6,,947.962222,32.1,25.986667,20.876667,45.266667,,
83338,31/10/1976,0000,23,2.870968,8,216.6,,,178.9,5.849462,11,59.7,,947.475269,29.625806,24.527097,20.570968,59.193548,,
83338,30/11/1976,0000,5,2.055556,7,114.7,,,131,7.188889,17,272.5,,946.47,28.51,23.842667,20.606667,75.241667,,
83338,31/12/1976,0000,0,1.473118,7,121,,,230.3,6.086022,10,82.5,,946.062366,30.229032,24.354194,19.806452,71.701613,,
