Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83334,31/05/1976,0000,14,2.065217,6,166,,,154.5,5.461538,3,21.8,,,29.170968,,,79.258065,,
83334,30/06/1976,0000,0,2.633333,9,239.6,,,263.2,2.244444,1,2,,,29.333333,,,74.075,,
83334,31/07/1976,0000,0,2.451613,12,252,,,255.8,2.956989,0,0,,,28.793548,,,69.508065,,
83334,31/08/1976,0000,0,2.301075,9,306.5,,,277.5,2.451613,0,0,,,31.067742,,,62.153226,,
83334,30/09/1976,0000,0,1.977778,14,196.8,,,133.4,6.322222,6,132.7,,,30.123333,,,67.758333,,
83334,31/10/1976,0000,0,2.053763,9,148.8,,,146.9,6.612903,15,76.5,,,27.990323,,,82.153226,,
83334,30/11/1976,0000,0,2.255556,8,96.2,,,89.7,8.444444,20,126,,,27.636667,,,89.683333,,
83334,31/12/1976,0000,0,1.763441,9,82.7,,,106.4,7.591398,16,235.2,,,29.06129,,,89.653226,,
83334,31/01/1977,0000,0,3.541935,9,90,,,133.4,7.537634,20,234,,,27.925806,,,89.508065,,
83334,28/02/1977,0000,14,3.547619,9,112.4,,,183.9,5.52381,10,71.5,,,29.021429,,,86.776786,,
83334,31/03/1977,0000,0,2.236559,8,194.4,,,245.7,4.27957,3,69.8,,,32.770968,,,84.516129,,
83334,30/04/1977,0000,0,2.155556,8,130.5,,,186.6,5.733333,10,93.7,,,29.62,,,88.041667,,
83334,31/05/1977,0000,18,2.763441,7,151.4,,,215.8,4.806452,4,31,,,28.170968,,,82.41129,,
83334,30/06/1977,0000,14,2.777778,9,146.8,,,196.7,4.311111,3,15.8,,,27.77,,,85.816667,,
83334,31/08/1977,0000,0,2.554348,10,305.4,,,255.3,1.826087,1,0.2,,,31.983871,23.696923,16.080769,50.25,,
