Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83574,31/01/1961,0000,5,1.956522,5,,,,,7.456522,18,262.3,,951.003261,30.106452,24.415484,20.912903,83.008065,,
83574,28/02/1961,0000,5,2.47619,5,,,,,7.404762,17,251.3,,952.6,30.846429,24.645,20.796429,81.160714,,
83574,31/03/1961,0000,9,2.225806,5,,,,,5.268817,13,268.8,,953.331183,31.635484,24.956129,20.516129,76.596774,,
83574,30/04/1961,0000,0,2,5,,,,,4.288889,9,139,,953.808889,31.83,24.038,18.94,74.708333,,
83574,31/05/1961,0000,9,2.172043,5,,,,,3.72043,3,79.5,,955.926882,30.122581,21.814839,16.280645,73.669355,,
83574,30/06/1961,0000,9,2.488889,5,,,,,3.222222,,0,,958.455556,29.283333,20.713333,14.896667,66.325,,
83574,31/07/1961,0000,9,2.16129,5,,,,,2.172043,0,0,,958.330108,30.8,20.86,13.567742,55.516129,,
83574,31/08/1961,0000,9,2.268817,6,,,,,2.301075,2,2.5,,956.748387,32.76129,22.670968,15.248387,49.395161,,
83574,30/09/1961,0000,9,2.655556,5,,,,,6.044444,0,0,,952.512222,36.946667,27.085714,20.276667,44.65,,
83574,31/10/1961,0000,14,2.591398,5,,,,,6.967742,12,105.2,,952.855914,32.825806,25.184516,20.229032,65.895161,,
83574,31/12/1961,0000,36,2.521739,5,,,,,7.26087,18,187.1,,952.746739,30.435484,24.170323,20.158065,78.717742,,
83574,31/01/1962,0000,9,2.193548,5,,,,,6.795699,20,322.1,,951.091398,31.087097,24.925806,20.916129,82.443548,,
83574,28/02/1962,0000,36,2.214286,5,,,,,6.904762,10,139.7,,951.703571,32.314286,25.285714,20.971429,79.589286,,
83574,31/03/1962,0000,14,2.11828,5,,,,,6.817204,17,227.8,,952.854839,31.119355,24.451613,20.367742,82.354839,,
83574,30/04/1962,0000,9,2.055556,5,,,,,4.488889,6,25.6,,954.276667,32.573333,24.178,18.33,69.433333,,
83574,31/05/1962,0000,0,2.236559,5,,,,,3.268817,2,2.7,,956.773118,29.43871,20.624516,14.493548,68.104839,,
83574,30/06/1962,0000,14,2.211111,5,,,,,2.822222,5,34.9,,958.181111,27.11,18.09,11.926667,71.241667,,
83574,31/07/1962,0000,5,2.075269,5,,,,,2.430108,0,0,,959.264516,28.145161,17.796774,10.551613,62.846774,,
83574,31/08/1962,0000,36,2.430108,5,,,,,3.483871,6,26.6,,956.817204,30.987097,21.09871,14.148387,60.209677,,
83574,31/10/1962,0000,36,2.804348,5,,,,,6.565217,15,243.2,,953.911957,30.016129,23.203871,18.693548,74.201613,,
83574,30/11/1962,0000,0,2.266667,5,,,,,4.4,7,98.8,,952.234444,33.236667,25.150667,19.213333,65.833333,,
83574,31/12/1962,0000,9,2.526882,5,,,,,8.021505,23,315.8,,950.839785,29.796774,24.469032,21.290323,84.887097,,
83574,31/01/1963,0000,36,2.376344,5,,,,,6.817204,16,215.6,,951.878495,31.758065,25.023871,21.054839,80.83871,,
83574,28/02/1963,0000,14,2.321429,4,,,,,6.214286,16,250.5,,952.559524,32.046429,25.156429,20.65,78.955357,,
83574,31/03/1963,0000,0,2.387097,5,,,,,4.623656,6,47.4,,953.921505,34.677419,26.711613,21.106452,69.701613,,
83574,30/04/1963,0000,14,2.222222,5,,,,,3.8,5,33.1,,953.83,32.93,24.242,18.08,68.9,,
83574,31/05/1963,0000,18,2.591398,5,,,,,1.827957,0,0,,957.273118,31.187097,21.140645,13.832258,59.75,,
83574,30/06/1963,0000,23,2.633333,5,,,,,2.222222,0,0,,958.38,29.253333,19.294,12.22,60.041667,,
83574,31/07/1963,0000,9,2.204301,5,,,,,1.612903,0,0,,957.439785,31.006452,20.650323,12.967742,56.322581,,
83574,31/08/1963,0000,32,2.698925,5,,,,,1.741935,0,0,,955.569892,33.041935,23.345806,16.193548,45.064516,,
83574,30/09/1963,0000,0,2.655556,5,,,,,2.688889,3,8.2,,953.672222,36.07,26.284,19.483333,46.708333,,
83574,30/11/1963,0000,18,2.438202,5,,,,,5.168539,13,77.5,,951.585393,35.576667,27.551034,22.07,63.5,,
83574,31/12/1963,0000,9,2.677419,5,,,,,5.268817,8,61.9,,952.388172,35.235484,27.303226,21.358065,58.919355,,
83574,31/01/1964,0000,5,2.387097,5,,,,,7.376344,20,448.6,,951.174194,31.248387,25.176129,21.225806,81.048387,,
83574,29/02/1964,0000,27,2.022989,5,,,,,7.931034,20,267.3,,951.155172,30.317241,24.48,20.92069,85.534483,,
83574,31/03/1964,0000,5,2.462366,5,,,,,4.795699,7,67.2,,954.094624,33.270968,25.743226,20.503226,69.91129,,
83574,30/04/1964,0000,9,2.266667,5,,,,,3.666667,2,32.2,,954.607778,33.52,25.585333,20.1,68.125,,
83574,31/05/1964,0000,36,2.44086,5,,,,,3.655914,5,21.6,,956.915054,29.087097,21.136774,15.596774,69.935484,,
83574,30/06/1964,0000,9,2.355556,5,,,,,2.511111,0,0,,956.624444,29.026667,19.836667,13.363333,66.291667,,
83574,31/07/1964,0000,14,2.602151,5,,,,,4.860215,8,37.4,,957.625806,26.622581,18.847742,13.33871,69.790323,,
83574,31/08/1964,0000,5,2.569892,5,,,,,2.086022,0,0,,956.744086,32.890323,23.61871,17.141935,56.33871,,
83574,30/09/1964,0000,36,2.811111,5,,,,,4.022222,5,28,,954.541111,34.203333,25.053333,18.466667,53.091667,,
83574,31/10/1964,0000,36,2.419355,5,,,,,6.258065,13,220.6,,952.822581,30.712903,23.551613,18.532258,73.25,,
83574,30/11/1964,0000,9,2.444444,5,,,,,5.4,10,157.4,,951.45,31.3,24.301333,18.946667,71.425,,
83574,31/01/1965,0000,27,2.326087,5,,,,,7.695652,24,436.5,,951.484783,29.854839,23.652258,20.06129,84.532258,,
83574,28/02/1965,0000,5,2.154762,5,,,,,7.880952,22,234.6,,950.835714,30.585714,24.405714,20.892857,83.964286,,
83574,31/03/1965,0000,23,2.333333,5,,,,,6.322581,16,138.6,,953.212903,30.06129,23.230968,18.687097,80.024194,,
83574,30/04/1965,0000,0,2.133333,5,,,,,4.022222,6,41.4,,953.54,31.843333,24.236,18.663333,71.45,,
83574,31/05/1965,0000,23,1.892473,5,,,,,3.16129,2,20,,955.389247,31.054839,22.226452,15.906452,69.032258,,
83574,30/06/1965,0000,9,2.344444,5,,,,,4.066667,4,11.8,,958.326667,30.276667,21.417333,15.646667,68.541667,,
83574,31/07/1965,0000,0,2.408602,5,,,,,4,6,44.4,,957.467742,28.8,20.650968,14.993548,67.790323,,
83574,31/08/1965,0000,14,2.612903,5,,,,,2.688172,1,5,,955.695699,32.490323,22.389677,14.706452,51.870968,,
83574,30/09/1965,0000,9,2.544444,5,,,,,4.066667,6,43.2,,953.652222,34.986667,25.788667,19.07,51.375,,
83574,30/11/1965,0000,14,2.565169,5,,,,,5.617978,13,146.4,,951.84382,31.93,24.800667,19.78,72.85,,
83574,31/12/1965,0000,36,2.172043,5,,,,,7.150538,17,297.2,,952.275269,31.241935,24.916129,20.677419,80.185484,,
83574,31/01/1966,0000,14,2.55914,6,,,,,6.408602,13,91.4,,951.446237,32.319355,25.516774,21.13871,75.137097,,
83574,28/02/1966,0000,36,2.428571,5,,,,,6.904762,18,207.6,,951.769048,31.982143,25.354286,21.071429,78.098214,,
83574,31/03/1966,0000,5,2.516129,5,,,,,5.462366,12,279,,953.14086,32.132258,24.802581,19.870968,74.612903,,
83574,30/04/1966,0000,0,2.166667,5,,,,,4.022222,7,74.6,,953.511111,31.186667,23.130667,17.706667,72.983333,,
83574,31/05/1966,0000,18,2.247312,5,,,,,5.139785,8,80.2,,956.113978,28.487097,21.524516,16.825806,77.314516,,
83574,30/06/1966,0000,18,2.433333,5,,,,,1.777778,0,0,,956.744444,29.666667,20.234,13.906667,65.1,,
83574,31/08/1966,0000,9,2.586957,5,,,,,2.804348,3,23.4,,956.581522,31.287097,21.844516,15.283871,58.185484,,
83574,30/09/1966,0000,5,2.966667,5,,,,,3.288889,6,48.6,,954.904444,32.32,23.314667,16.706667,58.275,,
83574,31/10/1966,0000,36,2.483871,5,,,,,5.784946,12,143,,952.250538,32.316129,25.043871,19.954839,70.387097,,
83574,30/11/1966,0000,9,2.577778,5,,,,,5.266667,12,258.5,,951.625556,32.233333,24.828,19.566667,72.166667,,
83574,31/12/1966,0000,9,2.569892,5,,,,,6.623656,19,365.3,,949.688172,32.26129,25.690968,21.064516,76,,
