Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83632,31/01/1961,0000,0,1.905495,7,46,,,87.2,8.516484,26,594.3,,920.554945,25.970968,21.333333,18.187097,87,,
83632,28/02/1961,0000,0,1.416667,5,62.7,,,151.2,7.309524,15,325.8,,922.35119,28.257143,22.173571,17.821429,80.392857,,
83632,31/03/1961,0000,0,2.268817,7,73,,,218.1,5.129032,12,133.7,,922.737634,28.193548,22.022581,17.283871,77.524194,,
83632,30/04/1961,0000,0,1.9,7,73.4,,,243.8,4.088889,7,93.1,,923.356667,27.79,20.590667,14.616667,76.2,,
83632,31/05/1961,0000,9,1.763441,7,64,,,216.7,4.139785,4,16,,924.946237,25.525806,17.776129,11.696774,79.072581,,
83632,30/06/1961,0000,0,2.177778,9,74.1,,,238.5,3.188889,1,0.5,,927.448889,24.68,16.741333,10.053333,76.666667,,
83632,31/07/1961,0000,0,1.494624,5,88.5,,,266,2.354839,1,1.4,,927.453763,25.035484,15.826452,8.425806,71.637097,,
83632,31/08/1961,0000,14,2.526882,10,136.2,,,269.4,1.387097,0,0,,926.833333,27.306452,18.069677,9.380645,57.895161,,
83632,30/09/1961,0000,5,2.033333,8,166.4,,,254.5,1.211111,0,0,,923.216667,31.663333,21.844667,13.356667,52.891667,,
83632,31/10/1961,0000,9,2.741935,7,153.6,,,214.2,4.408602,5,39.5,,923.83871,28.251613,22.054194,16.86129,59.5,,
83632,30/11/1961,0000,5,1.853933,5,116.5,,,207,5.876404,14,272.4,,921.431461,29.313333,22.984,18.06,69.87069,,
83632,31/12/1961,0000,0,1.924731,5,90.9,,,170.8,7.301075,16,131.7,,922.196774,26.941935,21.485806,17.119355,75.790323,,
83632,31/01/1962,0000,9,1.378495,5,54.8,,,145.2,8.397849,25,473.9,,920.407527,27.954839,22.295484,18.4,83.66129,,
83632,28/02/1962,0000,36,1.511905,5,55.4,,,136.2,8.154762,20,234,,921.45,28.067857,22.342143,18.217857,81.982143,,
83632,31/03/1962,0000,9,2.086957,7,81.3,,,218.1,6.293478,10,107.7,,922.382609,27.983871,21.896774,17.245161,76.725,,
83632,30/04/1962,0000,0,1.466667,7,79.8,,,238.3,4.722222,4,64.3,,922.986667,27.7,20.006667,13.916667,75.441667,,
83632,31/05/1962,0000,14,1.741935,6,74,,,242.4,3.806452,9,10.2,,925.086022,25.475,17.022857,9.803226,77.516129,,
83632,30/06/1962,0000,9,1.595506,5,73.4,,,241.3,2.977528,5,17.6,,926.430337,23.23,14.007586,6.793333,76.577586,,
83632,31/07/1962,0000,9,1.913978,5,97.8,,,259.6,3.397849,4,0.6,,927.510753,24.170968,15.205806,7.454839,69.387097,,
83632,31/08/1962,0000,9,2.182796,10,134.5,,,256.9,3.107527,1,3,,925.897849,26.712903,17.79871,10.122581,63.467742,,
83632,30/09/1962,0000,0,2.1,8,113.7,,,200.6,4.744444,7,70.1,,924.502222,26.936667,20.236667,14.28,66.108333,,
83632,31/10/1962,0000,9,1.978495,7,81.3,,,122.7,7.817204,14,156.6,,923.611828,25.422581,20.216774,16.63871,76.532258,,
83632,30/11/1962,0000,0,1.633333,5,86.9,,,209.4,6.011111,12,212.5,,921.276667,27.53,21.162667,15.763333,74.016667,,
