Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83521,31/03/1980,0000,,,,,,,,4.5,7,140.6,,,29.3,24.22,22.152941,,,
83521,30/04/1980,0000,,,,,,,,2.032787,1,10.2,,,32.16,26.58,23.89,,,
83521,31/05/1980,0000,,,,,,,,2.966102,1,21,,,29.32381,24.72381,22.171429,,,
83521,30/06/1980,0000,,,,,,,,3.561404,2,8.6,,,28.242105,22.132632,19.347368,,,
83521,31/07/1980,0000,,,,,,,,3.013158,,0,,,30.6,22.704,19.088,69.67,,
83521,31/08/1980,0000,,,,,,,,2.324324,,0,,,32.216,24.2688,19.92,66.54,,
83521,30/09/1980,0000,,,,,,,,4.55102,4,37,,,30.9625,22.86,19.3,,,
83521,31/10/1980,0000,,,,,,,,3.948052,6,101,,,33.538462,26.021538,22.784615,66.451923,,
83521,30/11/1980,0000,,,,,,,,5.555556,6,183.3,,,32.277778,26.924444,24.8,,,
83521,31/12/1980,0000,,,,,,,,5,12,183.6,,,31.714286,26.641905,24.304762,,,
83521,31/01/1981,0000,,,,,,,,5.546667,14,233.2,,,31.56,26.9984,25.024,74.6,,
83521,28/02/1981,0000,,,,,,,,2.753086,5,44.4,,,33.140741,28.008889,26.037037,68.666667,,
83521,31/03/1981,0000,,,,,,,,4.234375,5,126.6,,,31.380952,27.05619,25.061905,,,
83521,31/07/1981,0000,,,,,,,,3.133333,,0,,,26.63,20.982,16.72,,,
83521,31/08/1981,0000,,,,,,,,2.338028,,0,,,31.55,25.283333,18.920833,68.729167,,
83521,30/09/1981,0000,,,,,,,,2.628205,,0,,,35.569231,28.241538,25.523077,68.6875,,
83521,31/10/1981,0000,,,,,,,,4.7,8,119.9,,,32.21,27.14,21.53,,,
83521,30/11/1981,0000,,,,,,,,5.539474,9,193,,,31.264,27.5736,21.492,67.71,,
83521,31/12/1981,0000,,,,,,,,3.755814,6,101.5,,,31.234483,27.023448,23.758621,69.422414,,
83521,31/01/1982,0000,,,,,,,,6.864198,14,433.6,,,29.77037,24.860741,20.466667,76.481481,,
83521,28/02/1982,0000,,,,,,,,3.506173,2,24,,,32.711111,26.171852,21.577778,68.277778,,
83521,31/03/1982,0000,,,,,,,,6.873563,11,281.6,,,31.331034,24.622069,20.055172,71.784483,,
83521,30/04/1982,0000,,,,,,,,3.82716,,0,,,30.859259,24.77037,20.725926,72.703704,,
83521,31/05/1982,0000,,,,,,,,2.988095,2,50,,,28.45,19.454286,14.107143,68.008929,,
83521,30/06/1982,0000,,,,,,,,3.436364,1,12,,,28.622222,21.213333,16.5,,,
83521,30/11/1983,0000,,,,,,,,6.067416,11,86,,,30.336667,24.695333,19.12,81.625,,
83521,31/12/1983,0000,,,,,,,,6.752688,20,240.6,,,29.283871,24.028387,19.606452,83.846774,,
83521,31/01/1984,0000,,,,,,,,4.516129,12,210.8,,,32.425806,25.873548,19.793548,79.314516,,
83521,29/02/1984,0000,,,,,,,,4.678161,9,129.3,,,33.358621,26.193103,19.924138,77.698276,,
83521,31/03/1984,0000,,,,,,,,5.182796,10,60.2,,,32.622581,25.936774,20.487097,80.620968,,
83521,30/04/1984,0000,,,,,,,,4.855556,9,199.8,,,30.686667,24.108,18.393333,81.366667,,
83521,31/05/1984,0000,,,,,,,,3.247312,7,28.5,,,30.806452,23.330323,16.625806,79.790323,,
83521,30/06/1984,0000,,,,,,,,2.377778,0,0,,,30.333333,21.168,13.106667,75.316667,,
83521,31/07/1984,0000,,,,,,,,3.043011,0,0,,,30.664516,22.372258,14.241935,72.435484,,
83521,31/08/1984,0000,,,,,,,,4.107527,5,48.5,,,29.819355,21.763871,14.464516,76.991935,,
83521,30/09/1984,0000,,,,,,,,4.066667,6,58.6,,,30.213333,22.045333,15.033333,81.008333,,
83521,31/10/1984,0000,,,,,,,,3.849462,6,97,,,34.025806,26.394839,19.180645,75.193548,,
83521,30/11/1984,0000,,,,,,,,5.177778,11,232.8,,,33.413333,26.644,20.493333,77.458333,,
83521,31/12/1984,0000,,,,,,,,6.537634,18,280.2,,,31.322581,24.687742,19.63871,84.717742,,
83521,31/01/1985,0000,,,,,,,,7.612903,18,438.9,,,30.33871,24.432903,20.277419,87.104839,,
83521,28/02/1985,0000,,,,,,,,5.071429,11,142,,,32.978571,25.698571,20.157143,82.928571,,
83521,31/03/1985,0000,,,,,,,,6.096774,15,270,,,31.516129,25.104516,20.387097,84.91129,,
83521,31/01/1988,0000,,,,,,,,,10,127.7,,,,,,,,
83521,29/02/1988,0000,,,,,,,,,19,247.1,,,,,,,,
83521,31/03/1988,0000,,,,,,,,,14,246.6,,,,,,,,
83521,30/04/1988,0000,,,,,,,,,8,95.3,,,,,,,,
83521,31/05/1988,0000,,,,,,,,,5,22,,,,,,,,
83521,30/06/1988,0000,,,,,,,,,1,1.6,,,,,,,,
83521,31/07/1988,0000,,,,,,,,,0,0,,,,,,,,
83521,31/08/1988,0000,,,,,,,,,0,0,,,,,,,,
83521,30/09/1988,0000,,,,,,,,,2,5.9,,,,,,,,
83521,31/10/1988,0000,,,,,,,,,11,133.2,,,,,,,,
83521,30/11/1988,0000,,,,,,,,,10,204.9,,,,,,,,
83521,31/12/1988,0000,,,,,,,,,11,232.9,,,,,,,,
83521,31/01/1990,0000,0,0.396739,2,112.8,,,208.1,6.98913,14,361.8,,,31.503226,25.303871,20.790323,79.33871,,
83521,28/02/1990,0000,0,0.232143,3,114.7,,,167.4,7.095238,5,142.9,,,31.942857,25.507143,20.85,77.142857,,
83521,31/03/1990,0000,0,0.231183,2,108.1,,,211.2,6.784946,9,127.2,,,31.509677,25.109677,20.522581,80.5,,
83521,31/01/1991,0000,9,1.086957,3,74,,,142,7.130435,20,426.1,,,30.077419,24.367097,20.632258,84,,
