Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83395,31/01/1977,0000,0,3.902174,12,97.2,,,194.6,6.945652,16,280,,,30.164516,,,87.532258,,
83395,28/02/1977,0000,0,3.991667,14,112,,,251.7,5.047619,3,6.7,,,30.732143,,,81.9375,,
83395,31/03/1977,0000,9,3.010753,12,177.1,,,291.8,3.473118,0,0,,,33.922581,,,73.903226,,
83395,30/04/1977,0000,36,4.366667,14,128.8,,,205.9,4.6,6,88.9,,,30.44,,,76.2,,
83395,31/05/1977,0000,14,4.182796,10,147.1,,,249.2,3.731183,4,50.5,,,28.790323,,,70.854839,,
83395,30/06/1977,0000,14,4.811111,14,148.3,,,219.2,3.666667,0,0,,,28.353333,,,71.391667,,
83395,31/08/1977,0000,14,3.771739,14,241.6,,,306.8,1.456522,,0,,,32.270968,24.429677,15.625806,50.314516,,
83395,30/09/1977,0000,14,4.388889,10,192.2,,,208.3,3.922222,4,31,,,30.576667,24.604667,18.316667,59.358333,,
83395,31/10/1977,0000,14,4.026882,12,209.7,,,258.7,4.645161,5,29.9,,,32.132258,25.709677,19.141935,59.362903,,
83395,30/11/1977,0000,14,2.8,14,141.8,,,180.3,6.277778,16,115,,,32.296667,25.93,20.653333,71.058333,,
83395,31/12/1977,0000,14,2.94086,10,138.5,,,187.8,6.225806,12,126.2,,,31.458065,25.449032,20.054839,74.991935,,
83395,31/01/1978,0000,14,2.311828,8,104.1,,,213.6,5.473118,13,147.9,,,30.241935,24.741935,19.825806,83.419355,,
83395,28/02/1978,0000,14,2.511905,8,79.2,,,135.4,6.52381,14,213.1,,,29.489286,23.938,19.33,88.660714,,
83395,31/03/1978,0000,36,3.27957,14,102,,,248.9,5.096774,10,199.4,,,30.219355,,,87.051724,,
83395,30/04/1978,0000,5,3.595506,14,99.9,,,196.7,5.477778,9,81.5,,,29.41,23.034,16.81,80.958333,,
83395,31/05/1978,0000,0,2.290323,10,101.5,,,233.6,4.11828,3,37.3,,,29.577419,22.383226,16.574194,81,,
83395,30/06/1978,0000,5,4.264368,14,123.1,,,240.5,4.277778,1,4.3,,,27.32,21.108,15.613333,78.116667,,
83395,31/07/1978,0000,14,4.053763,12,143.7,,,239.4,4.451613,4,3,,,28.793548,22.239355,16.990323,72.120968,,
83395,31/08/1978,0000,14,3.565217,9,192.3,,,297.6,2.591398,0,0,,,30.151613,23.132258,16.058065,54.217742,,
83395,30/09/1978,0000,0,4.766667,14,193.4,,,235,3.7,1,1,,,30.576667,24.194,18.433333,59.058333,,
83395,31/10/1978,0000,14,2.817204,9,148,,,206.2,5.516129,15,109,,,31.258065,25.102581,19.645161,65.362903,,
83395,30/11/1978,0000,14,3.122222,10,118.9,,,159.9,6.277778,11,82.4,,,30.226667,24.528667,19.743333,69.091667,,
83395,31/12/1978,0000,0,1.946237,6,86.5,,,204,6.086022,18,138.1,,,30.245161,24.369032,19.496774,74.330645,,
83395,31/01/1979,0000,,,,57.5,,,93,,21,342.8,,,28.906667,,20.036667,,,
83395,28/02/1979,0000,,,,,,,,,15,277.9,,,29.242308,,20.188462,,,
83395,31/03/1979,0000,,,,89.6,,,211.8,,10,48.2,,,30.81,,19.756667,,,
83395,30/04/1979,0000,,,,78.9,,,240.1,,6,118.3,,,29.986207,,18.234483,,,
83395,31/05/1979,0000,,,,107.8,,,238.1,,,0,,,29.22069,,16.489655,,,
83395,30/06/1979,0000,,,,116.2,,,254.1,,,0,,,26.585714,,15.242857,,,
83395,31/07/1979,0000,,,,131.7,,,257.4,,,0,,,28.03871,,15.032258,,,
83395,31/08/1979,0000,,,,158.8,,,242.8,,1,1.4,,,29.948276,,15.962069,,,
83395,30/09/1979,0000,,,,,,,,,,0,,,31.836364,,18.272727,,,
83395,31/10/1979,0000,,,,159.7,,,217.1,,7,97.7,,,31.568966,,19.148276,,,
83395,30/11/1979,0000,,,,89.2,,,168.3,,13,101.3,,,29.723333,,19.69,,,
83395,31/12/1979,0000,,,,90.6,,,185.6,,8,77.2,,,32.281481,,19.359259,,,
83395,31/01/1980,0000,0,2.224719,8,62.2,,,163.4,6.752809,18,292.1,,,29.69,24.262,20.26,79.974138,,
