Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83692,31/01/1961,0000,0,0.891304,4,49.1,,,125.1,8.619565,25,601.6,,934.438043,27.725806,22.429032,19.312903,78.370968,,
83692,28/02/1961,0000,0,1.166667,4,56.2,,,150.6,8.071429,19,315.3,,937.054762,28.614286,22.740714,19.071429,75.383929,,
83692,31/03/1961,0000,,,,,,,,,,0,,,,,,,,
83692,30/04/1961,0000,0,1.460674,5,50.5,,,172.7,5.831461,6,128.5,,941.067416,26.693103,20.662857,16.796552,78.276786,,
83692,31/05/1961,0000,0,1.107527,4,50.9,,,172.3,4.913978,14,42.9,,943.245161,24.3,17.92,13.841935,81.145161,,
83692,30/06/1961,0000,0,1.266667,4,53.1,,,155.6,5.766667,3,4.9,,944.563333,23.64,17.116,12.823333,78.641667,,
83692,31/07/1961,0000,36,1.301075,4,69,,,198.5,3.83871,2,11.3,,942.564516,24.119355,16.089677,10.696774,75.145161,,
83692,31/08/1961,0000,0,2.021505,6,99.6,,,245.5,2.645161,3,1.9,,940.725806,26.983871,17.565161,11.096774,67.637097,,
83692,30/09/1961,0000,36,2.633333,6,122.8,,,195.3,5.366667,,0,,938.198889,30.35,21.996667,15.796667,63.833333,,
83692,31/10/1961,0000,18,2.333333,6,111.8,,,193.6,5.494624,6,48.4,,938.177419,28.551613,21.939355,17.112903,64.282258,,
83692,30/11/1961,0000,18,1.366667,4,88.1,,,162.4,6.888889,15,162.6,,934.902222,28.546667,22.292,17.836667,70.55,,
83692,31/12/1961,0000,0,1.365591,4,76.8,,,149.3,7.602151,20,447.7,,935.255914,27.545161,21.634839,17.558065,75.596774,,
83692,31/01/1962,0000,18,1.387097,4,67,,,174.5,7.27957,18,270,,933.816129,28.383871,22.826452,19.154839,77.790323,,
83692,28/02/1962,0000,,,,,,,,,6,182.8,,,,,,,,
83692,30/04/1962,0000,9,0.269663,2,59.3,,,181.3,5.483146,6,97.8,,938.942697,26.176667,19.859333,15.91,82.208333,,
83692,31/05/1962,0000,0,0.674419,3,54.2,,,174.4,4.732558,4,25.4,,941.012791,23.493103,17.291429,13.43,80.491071,,
83692,30/06/1962,0000,18,0.611111,2,45.4,,,179.5,4.533333,5,17.1,,942.8,21.071429,13.905714,9.372414,81.258929,,
83692,31/07/1962,0000,0,1.075269,4,66.3,,,200.9,4.602151,3,16.1,,943.196774,,,10.251613,,,
83692,31/08/1962,0000,0,0.88172,3,85.6,,,205.6,4.11828,2,21.8,,941.483871,24.964516,16.73871,11.248387,78.08871,,
83692,30/09/1962,0000,0,0.177778,1,67.5,,,138.7,6.111111,9,101.6,,940.742222,24.866667,18.663333,14.323333,81.55,,
83692,31/10/1962,0000,0,0.956989,4,53.6,,,77.3,8.376344,19,165.7,,939.439785,23.206452,18.916129,15.996774,85.282258,,
83692,30/11/1962,0000,36,1.111111,4,75.6,,,195.5,6.044444,14,186.2,,936.701111,27.25,21.232667,16.823333,81.816667,,
83692,31/12/1962,0000,18,1.10989,4,52.9,,,92.4,8.362637,20,317.4,,936.320879,26.345161,21.658,18.93,84.6,,
83692,31/01/1963,0000,0,1.623656,5,91.4,,,262.5,5.150538,10,171.1,,935.452688,30.967742,24.035484,19.2,72.451613,,
83692,28/02/1963,0000,5,1.821429,5,60.6,,,150,7.166667,13,197.4,,937.009524,28.375,22.57,18.860714,77.196429,,
83692,31/03/1963,0000,36,1.215054,4,94.2,,,268.4,3.88172,5,159.7,,938.478495,30.8,23.30129,18.167742,75.145161,,
83692,30/04/1963,0000,9,0.944444,4,78,,,210.3,4.1,3,31.8,,938.871111,27.866667,20.478,15.783333,77.433333,,
83692,31/05/1963,0000,0,1.075269,4,72.9,,,217.4,2.505376,1,3.8,,942.198925,25.087097,16.116774,10.296774,76.895161,,
83692,30/06/1963,0000,0,1.144444,4,67,,,175.7,4.077778,2,1.6,,942.865556,23.493333,15.365333,10.046667,75.233333,,
83692,31/07/1963,0000,0,1.301075,4,77.8,,,199.8,3.16129,2,0.6,,942.186022,24.796774,15.510323,9.522581,71.806452,,
83692,31/08/1963,0000,0,1.677419,5,94.7,,,190.7,4.365591,1,9,,940.252688,26.425806,17.353548,11.109677,68.540323,,
83692,30/09/1963,0000,0,1.877778,5,122.2,,,171.8,5.655556,1,2.4,,939.393333,29.443333,20.585333,13.596667,61.825,,
83692,31/10/1963,0000,18,1.537634,5,92.5,,,111.7,8.677419,9,67.2,,941.119355,28.635484,22.550968,18.029032,70.241935,,
83692,30/11/1963,0000,36,1.311111,4,76.3,,,156.8,7.055556,13,280.9,,941.653333,28.851724,23.005714,18.57931,72.910714,,
83692,31/12/1963,0000,9,1.956989,5,100.5,,,197.8,6.021505,12,142.4,,940.019355,29.129032,22.508387,17.693548,71.201613,,
83692,31/01/1964,0000,18,1.505376,4,53,,,85.4,8.913978,22,372.5,,943.024731,25.909677,21.754194,18.654839,80.354839,,
83692,29/02/1964,0000,0,1.313953,5,47.8,,,113.3,8.045977,20,342.1,,938.644828,27.806897,22.842069,19.5,79.206897,,
83692,30/04/1964,0000,0,1.779221,4,54.5,,,,4.935065,3,16.7,,938.357143,27.665385,21.7,18.030769,74.673077,,
83692,31/05/1964,0000,0,1.677419,5,48.8,,,156.1,5.967742,4,29.2,,940.931183,23.316129,17.516774,13.935484,76.572581,,
83692,30/06/1964,0000,18,1.4,5,51.1,,,140.9,5.744444,5,10.2,,940.683333,22.846667,16.256,11.513333,79.5,,
83692,31/07/1964,0000,18,1.301075,5,38,,,114.1,6.483871,8,62.8,,942.577419,19.919355,14.457419,11.058065,83.120968,,
83692,31/08/1964,0000,0,1.397849,4,65.5,,,166.3,4.548387,2,19.1,,943.147312,24.219355,17.765161,12.916129,75.41129,,
83692,30/09/1964,0000,18,1.944444,5,81.4,,,174.5,4.266667,3,44.6,,941.287778,25.546667,19.146,13.82,71.25,,
83692,31/10/1964,0000,36,1.268817,4,54.4,,,87.4,8.860215,19,315.7,,937.825806,24.367742,19.709032,16.706452,80.879032,,
83692,30/11/1964,0000,0,1.688889,5,65.5,,,142.9,7.144444,12,145.9,,937.231111,25.356667,19.598667,15.573333,74.7,,
83692,31/12/1964,0000,0,1.301075,5,60.4,,,101.8,8.537634,23,259.3,,934.692473,26.167742,21.204516,17.816129,78.185484,,
83692,31/01/1965,0000,18,1.537634,5,50.5,,,119.8,7.698925,19,487.4,,936.48172,26.687097,21.572903,18.177419,80.790323,,
83692,28/02/1965,0000,18,1.404762,5,37.9,,,99.7,9.035714,22,394.6,,934.478571,27.696429,22.516429,19.589286,82.455357,,
83692,31/03/1965,0000,18,1.774194,4,54.9,,,130.7,7.88172,15,215.1,,937.212903,27.087097,21.437419,17.845161,79.741935,,
83692,30/04/1965,0000,5,1.555556,4,63.6,,,194.8,4.677778,6,108.5,,938.316667,26.883333,20.433333,16.183333,76.516667,,
83692,31/05/1965,0000,18,1.322581,5,33.4,,,162.8,5.387097,10,91.7,,939.792473,24.729032,18.21871,14.26129,80.346774,,
83692,31/07/1965,0000,0,,4,,,,,5.568182,4,32.1,,941.284091,22.12,15.682667,11.533333,,,
83692,31/08/1965,0000,0,1.892473,5,70.2,,,193.7,4.11828,3,36.1,,941.088172,25.977419,17.906452,12.787097,73.991935,,
83692,30/09/1965,0000,14,1.511111,5,74.8,,,146.9,5.311111,6,39,,939.903333,26.883333,19.963333,15.033333,73.825,,
83692,31/10/1965,0000,18,1.731183,14,59.9,,,113,7.956989,17,195.7,,938.148387,25.351613,19.946452,16.187097,76.782258,,
83692,30/11/1965,0000,18,1.244444,4,64.3,,,129.9,8.011111,14,231.8,,937.11,26.993333,21.671333,17.936667,73.933333,,
83692,31/12/1965,0000,18,1.580645,6,75.8,,,178.4,7.11828,15,146.3,,936.351613,29.751613,23.654839,19.406452,70.443548,,
83692,31/01/1966,0000,18,1.387097,4,61.8,,,157.5,7.258065,16,516.5,,935.556989,28.696774,23.088387,19.148387,75.451613,,
83692,28/02/1966,0000,9,2.345238,5,84.8,,,192,5.119048,7,78.5,,936.991667,30.042857,23.744286,19.039286,68.125,,
83692,30/04/1966,0000,14,1.525,5,49.7,,,156.8,5.2,7,90.2,,939.06125,26.377778,19.682222,15.396296,79.509259,,
83692,31/05/1966,0000,0,1.774194,5,49.8,,,152.8,6.129032,8,76,,940.866667,24.206452,18.318065,14.370968,79.379032,,
83692,30/06/1966,0000,18,1.944444,5,58.7,,,202.5,3.422222,0,0,,941.148889,24.826667,17.112667,11.103333,75.15,,
83692,31/07/1966,0000,9,1.709677,5,54.4,,,145.2,5.774194,3,14.8,,943.721505,23.5,16.965806,12.309677,77.927419,,
83692,31/08/1966,0000,0,1.569892,5,59,,,153.5,5.344086,5,5.8,,941.977419,24.509677,17.200645,12.003226,76.879032,,
83692,30/09/1966,0000,18,1.788889,4,81.8,,,143.7,4.566667,4,20.6,,940.558889,26.113333,18.59,12.636667,70.033333,,
