Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83452,31/01/1987,0000,,,,169.2,,,259,,8,85.2,,,32.093548,,18.348387,,,
83452,28/02/1987,0000,,,,221.8,,,230.5,,2,0.4,,,32.871429,,18.742857,,,
83452,31/03/1987,0000,,,,143.5,,,211.3,,10,174.2,,,30.658065,,18.954839,,,
83452,30/04/1987,0000,,,,131.6,,,210,,8,58.6,,,30.12,,17.82,,,
83452,31/05/1987,0000,,,,169.2,,,,,2,7.7,,,30.393548,,15.716129,,,
83452,30/06/1987,0000,,,,156,,,,,0,0,,,28.366667,,13.833333,,,
83452,31/07/1987,0000,,,,240.1,,,,,0,0,,,28.796774,,12.290323,,,
83452,31/08/1987,0000,,,,263,,,301.6,,1,1.3,,,30.864516,,13.219355,,,
83452,30/09/1987,0000,,,,240.9,,,239.7,,4,24.4,,,30.4,,17.42,,,
83452,31/10/1987,0000,,,,259.7,,,263.5,,4,139.4,,,33.6,,18.416129,,,
83452,30/11/1987,0000,,,,105.7,,,159.3,,17,181.7,,,29.66,,19.74,,,
83452,31/12/1987,0000,,,,60.3,,,134.3,,21,242.7,,,27.335484,,19.941935,,,
83452,31/01/1988,0000,,,,108.2,,,254,,8,88.9,,,30.929032,,19.354839,,,
83452,29/02/1988,0000,,,,89.7,,,190.6,,11,131.8,,,30.958621,,19.772414,,,
83452,31/03/1988,0000,,,,76,,,203,,13,159.1,,,29.712903,,19.083871,,,
83452,30/04/1988,0000,,,,113,,,216.8,,8,25.4,,,30.3,,18.62,,,
83452,31/05/1988,0000,,,,138.4,,,262.4,,2,4.3,,,30.683871,,16.135484,,,
83452,30/06/1988,0000,,,,135.6,,,259.2,,1,3,,,27.473333,,12.793333,,,
