Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83032,30/06/1976,0000,,,,,,,,1.685393,3,51.4,,,23.768182,,5.581818,,,
83032,31/07/1976,0000,,,,,,,,2.935484,8,103.6,,,21.490323,,4.422581,,,
83032,31/08/1976,0000,,,,,,,,4.021505,10,164.4,,,23.25,,7.75,,,
83032,30/09/1976,0000,,,,,,,,5.166667,13,195.4,,,23.546667,,10.88,,,
83032,31/10/1976,0000,,,,,,,,4.344086,9,174.9,,,26.493548,,11.612903,,,
83032,30/11/1976,0000,,,,,,,,6.233333,16,314.3,,,26.936667,,13.953333,,,
83032,31/12/1976,0000,,,,,,,,8.053763,24,203.6,,,26.506452,,16.23871,,,
83032,31/01/1977,0000,,,,,,,,6.88172,19,406,,,28.280645,,17.196774,,,
83032,28/02/1977,0000,,,,,,,,4.702381,6,46.8,,,31.107143,,17.164286,,,
83032,31/03/1977,0000,,,,,,,,6.333333,18,187.6,,,29.235484,,17.474194,,,
83032,30/04/1977,0000,,,,,,,,5.211111,10,132.6,,,26.28,,13.413333,,,
83032,31/05/1977,0000,,,,,,,,3.408602,2,0.7,,,24.390323,,6.625806,,,
83032,30/06/1977,0000,,,,,,,,4.344444,5,30,,,23.716667,,5.33,,,
83032,31/07/1977,0000,,,,,,,,3.172043,1,0.2,,,25.670968,,5.570968,,,
83032,31/08/1977,0000,,,,,,,,4.021505,3,37.2,,,27.525806,,6.23871,,,
83032,30/09/1977,0000,,,,,,,,5.4,8,151.5,,,26.113333,,9.413333,,,
83032,31/10/1977,0000,,,,,,,,5.580645,9,114.9,,,27.932258,,11.3,,,
83032,30/11/1977,0000,,,,,,,,7.9,21,277.9,,,26.906667,,14.22,,,
83032,31/12/1977,0000,,,,,,,,7.612903,21,289.7,,,26.880645,,13.229032,,,
