Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83687,31/01/1961,0000,0,1.858696,5,33.4,,,125,8.706522,26,340.3,,914.297826,27.790323,21.818065,18.496774,86.943548,,
83687,28/02/1961,0000,5,1.73494,5,33.3,,,112.7,8.445783,18,345.1,,916.363855,27.807143,21.611111,17.978571,84.138889,,
83687,31/03/1961,0000,0,1.73913,5,47.9,,,221.7,5.978495,14,113.1,,916.764516,28.835484,21.394839,17.006452,81.169355,,
83687,30/04/1961,0000,9,1.622222,5,46.1,,,189.6,5.811111,11,78.3,,917.167778,27.313333,20.006667,15.41,81.575,,
83687,31/05/1961,0000,5,1.72043,5,44.3,,,214.9,5.301075,4,42.3,,919.382796,25.364516,17.422581,12.809677,81.709677,,
83687,30/06/1961,0000,9,1.744444,5,45.4,,,197.3,4.922222,0,0,,921.337778,24.706667,16.566667,11.416667,80.283333,,
83687,31/07/1961,0000,,,,,,,,,,0,,,,,,,,
83687,31/08/1961,0000,5,1.741935,5,92,,,258.9,2.72043,2,3.4,,920.335484,28.274194,17.834194,10.648387,63.5,,
83687,30/09/1961,0000,5,1.955556,7,116.8,,,210.5,1.511111,1,0.2,,916.811111,32.433333,22.271333,14.986667,56.766667,,
83687,31/10/1961,0000,5,1.924731,5,94.5,,,162,5.010753,9,40.1,,917.084946,29.519355,21.710968,15.645161,65,,
83687,30/11/1961,0000,5,1.588889,7,68.5,,,214.5,5.988889,14,109.6,,914.82,30.07,22.599333,17.5,73.983333,,
83687,31/12/1961,0000,5,1.473118,5,50.9,,,128.8,8.247312,22,287.9,,915.777419,26.970968,20.709032,16.43871,82.806452,,
83687,30/11/1962,0000,0,0.797753,4,70.8,,,204.8,5.662921,12,201.5,,914.944944,28.866667,21.021333,15.613333,74.608333,,
83687,31/12/1962,0000,5,0.913978,3,43.3,,,100.1,8.311828,23,456.1,,913.507527,26.658065,21.166452,18.167742,86.379032,,
83687,31/01/1963,0000,5,1.064516,3,62.3,,,211.4,6.075269,15,172.7,,913.973118,30.058065,22.707742,18.122581,79.145161,,
83687,28/02/1963,0000,36,1.297619,3,48,,,180.2,6.642857,16,209.7,,915.546429,29.064286,21.903571,17.632143,83.410714,,
83687,31/03/1963,0000,32,1.172043,3,82.6,,,268,3.774194,3,76.4,,917.151613,31.309677,22.862581,17.396774,73.580645,,
83687,30/04/1963,0000,32,1.411111,3,71.2,,,236.7,2.722222,5,28.8,,916.826667,29.35,20.318,14.58,74.141667,,
83687,31/05/1963,0000,0,1.397849,3,77.4,,,251.1,1.580645,1,14.4,,918.696774,26.567742,16.662581,10.3,70.830645,,
83687,30/06/1963,0000,5,1.433333,4,72.5,,,228.6,2.555556,,0,,918.703333,24.973333,15.292,9.073333,71.266667,,
83687,31/07/1963,0000,5,1.086022,3,96.2,,,227.3,2.83871,0,0,,916.715054,26.151613,15.777419,9.283871,66.717742,,
