Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83683,30/09/1961,0000,0,0.202247,2,145.9,,,220.9,8.303371,,0,,917.753933,31.913333,22.999333,14.75,49.966667,,
83683,31/10/1961,0000,0,0.397849,3,127.6,,,184.5,8.634409,10,47.4,,916.508602,29.209677,22.352258,16.590323,61.217742,,
83683,30/11/1961,0000,0,0.311111,2,83.1,,,200.4,8.088889,16,219.5,,915.707778,29.81,22.756667,17.763333,72.433333,,
83683,31/12/1961,0000,0,0.311828,2,58.9,,,133.8,9.247312,18,271.7,,916.416129,26.587097,20.651613,16.222581,80.201613,,
83683,31/01/1962,0000,27,0.451613,4,57.7,,,169,8.752688,22,293.8,,914.129032,28.06129,22.096774,17.945161,80.282258,,
83683,28/02/1962,0000,27,0.345238,4,44.7,,,138,9,20,392.5,,915.82619,27.717857,21.791429,18.071429,83.357143,,
83683,31/03/1962,0000,0,0.494624,4,59.4,,,170.2,7.806452,14,200.1,,916.503226,27.545161,21.435484,17.051613,79.540323,,
83683,30/04/1962,0000,0,0.133333,1,66.3,,,209,7.333333,9,52,,917.832222,27.69,20.33,14.98,74.558333,,
83683,31/05/1962,0000,0,0.591398,3,67.3,,,218.7,6.913978,4,30.5,,919.208602,24.474194,16.86,11.170968,72.604839,,
83683,30/06/1962,0000,0,0.477778,1,53.2,,,185,6.122222,6,20.5,,919.972222,21.78,13.801333,7.243333,75.783333,,
83683,31/07/1962,0000,0,0.408602,3,84.5,,,226.5,6.215054,2,1.3,,921.854839,23.245161,14.665161,7.206452,66.064516,,
