Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83389,31/01/1976,0000,14,2.293478,10,217.3,,,306.8,3.206522,3,52.1,,894.077174,35.116129,27.288387,18.729032,58.879032,,
83389,29/02/1976,0000,0,1.873563,6,153.1,,,186.7,4.651163,11,92.3,,894.847126,33.013793,25.968966,19.82069,68.775862,,
83389,30/04/1976,0000,0,2.018182,9,,,,298.3,2.461538,2,16.3,,895.558621,33.765517,26.62,18.06,61.267857,,
83389,31/05/1976,0000,14,2.892473,12,206.7,,,224.7,4.236559,3,21.3,,897.776344,32.164516,24.751613,19.26129,62.072581,,
83389,30/06/1976,0000,14,2.966667,9,216.9,,,293.5,2.166667,,0,,899.157778,32.206667,23.576667,16.573333,57.583333,,
83389,31/07/1976,0000,9,3.655914,9,223,,,276.6,3.462366,2,3.2,,901.182796,30.770968,22.577419,14.112903,55.346774,,
83389,31/08/1976,0000,9,3.322581,10,271,,,308.2,2.430108,0,0,,899.337634,32.683871,24.003226,14.667742,46.475806,,
83389,30/09/1976,0000,14,2.822222,7,220.9,,,206.2,5,5,25.1,,897.336667,33.006667,25.465333,18.433333,52.791667,,
83389,31/10/1976,0000,5,2.860215,7,153.5,,,191.9,6.827957,15,85.6,,897.309677,30.635484,23.765556,19.177778,66.66129,,
83389,30/11/1976,0000,32,2.954545,12,,,,134.3,7.260274,17,218.8,,896.884416,29.452,24.1144,20.096154,77.29,,
83389,31/12/1976,0000,36,2.425806,9,95.6,,,210,7,13,185.5,,896.205376,30.919355,24.875484,20.106452,75.137097,,
83389,31/01/1977,0000,36,2.741935,14,104.5,,,191,7.462366,14,172.3,,896.162366,30.783871,24.61871,20.119355,75.032258,,
83389,28/02/1977,0000,14,2.72619,9,101.9,,,241.3,6.261905,11,22.8,,898.278571,30.58,24.365333,19.296429,78.1875,,
83389,31/03/1977,0000,5,2.172043,6,192.3,,,295.2,4.645161,2,1.1,,895.866667,,,19.309677,63.362903,,
83389,30/04/1977,0000,14,2.488889,7,151.6,,,214.5,6.122222,9,57.8,,896.631111,,,18.962069,72.35,,
83389,31/05/1977,0000,14,2.55914,6,150,,,270.5,4.935484,3,55.3,,899.001075,,,15.858621,72.895161,,
83389,30/06/1977,0000,14,2.977778,9,155.3,,,232.5,5.114943,1,0.1,,900.137778,,,15.996667,82.033333,,
83389,31/07/1977,0000,14,3.021505,7,218.5,,,298,3.086022,0,0,,900.364516,,,14.177419,,,
83389,31/08/1977,0000,14,3.010753,10,219.7,,,314.2,1.591398,0,0,,898.516129,,,16.048387,79.887097,,
83389,30/09/1977,0000,14,3.011111,7,178.3,,,217.1,4.511111,5,14.4,,898.471111,,,17.523333,74.183333,,
83389,31/10/1977,0000,14,3.397849,12,,,,266.2,5.516129,5,68.9,,897.324731,,,19.525806,61.967742,,
83389,30/11/1977,0000,5,2.8,9,,,,162.5,7.233333,19,248.5,,896.212222,,,21.183333,76.066667,,
83389,31/12/1977,0000,5,2.139785,9,,,,184.7,6.967742,16,236.1,,896.433333,,,20.596774,79.314516,,
83389,31/01/1978,0000,5,2.182796,8,59.7,,,193.5,6.569892,11,74.7,,897.417204,,,20.13871,82.475806,,
83389,28/02/1978,0000,36,2.428571,10,53.3,,,146.9,7.916667,16,172.2,,896.994048,,,20.285714,84.455357,,
83389,31/03/1978,0000,9,2.064516,7,54.4,,,190.3,5.967742,12,161.5,,897.975269,,,19.603226,82.895161,,
83389,30/04/1978,0000,14,2.055556,6,49.5,,,184.7,6.311111,10,70.9,,897.872222,,,19.083333,83.408333,,
