Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83483,31/01/1961,0000,18,1.369565,3,49,,,125.5,8.228261,19,177,,956.142391,28.812903,23.794839,20.748387,87.766129,,
83483,28/02/1961,0000,18,1.309524,3,68.5,,,232.6,5.738095,9,40.5,,957.046429,31.321429,25.19,20.692857,82.205357,,
83483,31/03/1961,0000,18,,3,,,,,5.673913,6,34,,955.352174,32.306667,25.781333,21.253333,,,
83483,30/04/1961,0000,,,,,,,,,3,16,,,,,,,,
83483,31/05/1961,0000,18,1.403226,3,91.4,,,287.6,2.806452,2,15,,959.673118,30.73871,22.283871,15.96129,75.419355,,
83483,30/06/1961,0000,18,1.555556,3,94,,,269.4,2.355556,1,3,,962.705556,29.013333,20.034,12.88,76.816667,,
83483,31/07/1961,0000,,,,,,,,,,0,,,,,,,,
83483,31/08/1961,0000,18,1.782609,3,170.5,,,308.5,1.858696,,0,,961.36087,31.054839,20.981935,12.590323,65.169355,,
83483,30/09/1961,0000,18,1.777778,5,216.9,,,246.3,3.066667,,0,,957.582222,35.29,24.746667,15.84,56.716667,,
83483,31/10/1961,0000,18,2.333333,5,219.9,,,255.8,4.913978,4,29.8,,957.931183,32.716129,25.690323,19.429032,62.08871,,
83483,30/11/1961,0000,18,1.855556,5,170.7,,,262.4,5.488889,8,37.9,,955.418889,34.09,26.902667,20.91,67.158333,,
83483,31/12/1961,0000,18,1.731183,5,112,,,,7.301075,16,132.1,,956.926882,30.393548,24.793548,20.190323,77.41129,,
83483,31/01/1962,0000,,,,,,,,,2,18,,,,,,,,
83483,28/02/1962,0000,9,1.47619,3,73.2,,,196.8,6.690476,9,83.8,,956.333333,31.803571,25.536429,21.182143,80.571429,,
83483,31/03/1962,0000,18,1.688172,3,91.9,,,219.6,4.677419,10,79.7,,956.983871,31.016129,25.067097,20.293548,80.41129,,
83483,30/04/1962,0000,18,1.466667,3,105.5,,,254.3,3.611111,5,36,,958.108889,31.836667,23.522667,17.413333,77.858333,,
83483,31/05/1962,0000,18,1.645161,3,111.5,,,296.9,2.892473,1,1,,959.988172,29.854839,20.974194,14.316129,77.451613,,
83483,30/06/1962,0000,18,1.855556,8,111,,,276.7,2.244444,,0,,961.53,28.07,18.380667,10.503333,75.833333,,
83483,31/07/1962,0000,18,1.817204,3,136.8,,,304.9,1.72043,1,2,,962.601075,28.941935,18.184516,10.1,74.120968,,
83483,31/08/1962,0000,18,2.182796,5,184.5,,,298.9,2.311828,2,2,,960.33871,31.641935,21.592258,13.519355,66.169355,,
83483,30/09/1962,0000,9,2.466667,5,174.2,,,220.7,4.588889,5,24,,958.725556,32.26,24.083333,17.433333,66.158333,,
83483,31/10/1962,0000,18,1.88172,3,149.3,,,196,6.258065,11,93.5,,957.745161,31.087097,24.858065,20.370968,73.629032,,
83483,30/11/1962,0000,18,1.533333,3,106.5,,,227.5,5.1,12,55.5,,956.175556,31.603333,24.769333,19.706667,76.25,,
83483,31/12/1962,0000,18,1.408602,3,55,,,114.1,9.16129,23,318.8,,956.012903,27.832258,23.578,20.753333,86.677419,,
83483,31/01/1963,0000,18,1.550725,3,,,,,4.449275,7,73.5,,,32.73913,25.847826,20.83913,77.456522,,
83483,28/02/1963,0000,,,,,,,,,6,89.5,,,,,,,,
83483,31/03/1963,0000,9,1.817204,3,162.4,,,324.9,2.053763,0,0,,,34.012903,25.597419,18.874194,71.403226,,
83483,30/04/1963,0000,9,1.844444,3,130.3,,,246.9,3.577778,4,7,,,32.253333,24.405333,18.3,73.775,,
83483,31/05/1963,0000,18,1.516129,3,139,,,290.9,1.301075,0,0,,,29.670968,19.703226,11.893548,72.491935,,
83483,30/06/1963,0000,9,1.422222,3,130.7,,,259,2.666667,0,0,,,28.623333,17.934,9.956667,72.533333,,
83483,31/07/1963,0000,,,,,,,,,,0,,,,,,,,
83483,31/08/1963,0000,9,1.580645,3,167.4,,,294.6,2.483871,0,0,,,31.751613,20.916129,12.051613,64.080645,,
83483,30/09/1963,0000,18,1.977778,3,205.6,,,187.6,4.888889,0,0,,,33.83,23.675333,14.923333,60.25,,
83483,31/10/1963,0000,9,1.952381,3,179.8,,,160.2,8.928571,2,5,,,36.259259,27.679259,20.892857,57.490741,,
83483,31/12/1963,0000,9,,3,,,,,7.152542,6,99,,,29.705,24.691,20.245,,,
83483,31/01/1964,0000,9,1.666667,3,46.5,,,84,8.602151,25,326.5,,,28.393548,24.170323,21.222581,84.08871,,
83483,29/02/1964,0000,18,1.666667,3,57.6,,,195.9,6.689655,17,107.5,,,30.693103,25.744138,22.175862,80.160714,,
83483,31/03/1964,0000,9,1.817204,3,87.9,,,269.4,3.967742,6,85.5,,,31.048387,24.574839,19.425806,74.064516,,
83483,30/04/1964,0000,9,2.022222,3,80.1,,,265.6,2.7,2,23.5,,,31.676667,24.316667,18.696667,74.225,,
83483,30/06/1964,0000,14,1.808989,5,85.8,,,275.5,1.101124,,0,,,29.733333,19.06,11.226667,71.108333,,
83483,31/07/1964,0000,9,2.25914,5,98.7,,,279.8,2.215054,4,5.3,,,28.56129,19.846452,12.693548,69.169355,,
83483,31/08/1964,0000,14,3.215054,5,144,,,289.6,2.408602,0,0,,,30.377419,22.184516,14.141935,61.629032,,
83483,30/09/1964,0000,18,3.577778,5,184.4,,,261.9,2.811111,1,3,,,32.103333,24.530667,17.57,58.533333,,
83483,31/10/1964,0000,18,2.784946,5,96.5,,,175.7,7.526882,16,153.5,,,30.648387,24.536129,19.867742,75.314516,,
83483,30/11/1964,0000,14,,3,,,,,7.418182,11,191.5,,,28.866667,23.608889,19.522222,,,
83483,31/12/1964,0000,14,1.626506,5,51.4,,,141.1,8.228916,15,152.3,,,28.646429,23.425,19.353571,82.892857,,
83483,31/01/1965,0000,18,2.010753,5,64.8,,,220,6.645161,13,116.5,,,29.522581,24.458065,20.3,79.967742,,
83483,28/02/1965,0000,9,2.261905,5,51.2,,,171.5,7.440476,15,130,,,30.503571,25.023571,20.671429,81.0625,,
83483,31/03/1965,0000,9,1.860215,3,52,,,171.7,6.892473,15,87,,,29.33871,24.202581,19.993548,82.701613,,
83483,30/04/1965,0000,14,1.6,3,69.8,,,249.8,3.477778,6,10.3,,,30.666667,23.718,18.506667,80.341667,,
83483,31/05/1965,0000,14,1.666667,3,77,,,280.3,2.623656,1,5,,,31.06129,22.210323,15.680645,76.185484,,
83483,30/06/1965,0000,18,,3,,,,,3.470588,1,2,,,28.194118,19.950588,12.623529,,,
