Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83441,31/01/1961,0000,5,1.608696,6,92.4,,,,9.652174,18,516.7,,,32.077419,25.971613,20.651613,69.233871,,
83441,28/02/1961,0000,5,2,6,92.7,,,,6.178571,2,70,,,33.035714,26.652857,21.057143,64.026786,,
83441,31/03/1961,0000,5,1.505376,6,120.4,,,,6.795699,2,38,,,33.96129,27.028387,20.987097,63.862903,,
83441,30/04/1961,0000,14,1.133333,8,123.8,,,,6.711111,4,113,,,34.506667,26.604,20.393333,62.491667,,
83441,31/05/1961,0000,18,1.344086,4,80.2,,,,6.698925,2,22,,,29.283871,22.397419,15.354839,66.395161,,
83441,30/06/1961,0000,9,1.377778,6,87.9,,,,6.255556,2,13,,,27.673333,20.193333,10.74,67.966667,,
83441,31/07/1961,0000,,,,,,,,,,0,,,,,,,,
83441,31/08/1961,0000,0,2.231818,10,149.5,,,,3.413043,,0,,,30.890323,20.776774,9.167742,,,
83441,30/09/1961,0000,5,2.103896,10,162.4,,,,3.433333,0,0,,,33.586667,25.341333,16.546667,57.841667,,
83441,31/10/1961,0000,36,1.655172,10,165.8,,,,7.602151,3,19,,,32.077419,25.694194,20.896774,57.782258,,
83441,30/11/1961,0000,0,2.09878,10,196.8,,,,5.455556,4,26.6,,,34.806667,27.178667,20.64,61.108333,,
83441,31/12/1961,0000,5,2.043478,10,203.2,,,,7.505376,8,112,,,34.329032,25.882581,18.625806,64.540323,,
83441,31/01/1966,0000,36,1.527473,4,161.2,,,,8.130435,12,295,,,34.348387,29.283871,21.258065,62.620968,,
83441,28/02/1966,0000,5,1.571429,10,146.4,,,,7.630952,6,197.5,,,32.535714,27.265714,19.685714,59.241071,,
83441,31/03/1966,0000,9,1.645161,6,141.1,,,,8.129032,6,110,,,33.354839,28.085161,20.877419,61.790323,,
83441,30/04/1966,0000,5,1.617978,6,117,,,,8.744444,5,50,,,28.82,23.541333,17.353333,67.166667,,
83441,31/05/1966,0000,,,,,,,,,1,4,,,,,,,,
83441,31/03/1975,0000,32,1.689474,3.8,140.8,,,206,4.675325,9,62,,958.693421,30.415789,,20.396667,,,
83441,30/04/1975,0000,5,1.731111,6.6,69.1,,,128.6,6.8,13,111.8,,959.318889,27.623333,22.244667,18.6,84.008333,,
83441,31/05/1975,0000,5,1.663441,6.6,94.3,,,146.6,4.032258,1,0.1,,962.13871,27.222581,19.803226,14.645161,77.645161,,
83441,30/06/1975,0000,5,1.967778,5.3,126.9,,,158.8,3.755556,3,5.9,,963.862222,27.483333,19.493333,13.626667,69.408333,,
83441,31/07/1975,0000,36,2.209783,5,146.9,,,156.3,3.835165,6,2.2,,964.332609,26.416667,19.391333,12.851613,65.733333,,
83441,31/08/1975,0000,18,2.480645,6.6,199.9,,,201.7,2.977778,2,2.4,,963.737634,28.751613,21.686452,15.016129,54.854839,,
83441,30/09/1975,0000,14,2.852222,6.3,248,,,201.1,3.258427,3,1,,962.653333,30.09,23.092,16.286667,50.533333,,
83441,31/10/1975,0000,5,1.783871,6,151.3,,,144.4,5.380435,17,149.5,,957.997849,30.764516,24.647097,19.709677,67.185484,,
83441,30/11/1975,0000,32,1.67,5.8,80.3,,,149.7,7.068966,18,110.9,,958.224444,28.7,23.352667,19.576667,77.775,,
83441,31/12/1975,0000,5,1.834409,4.6,111.4,,,187.9,5.369565,7,66.6,,958.047312,30.190323,23.44129,18.412903,72.604839,,
83441,31/01/1976,0000,18,2.334409,5,241.5,,,289,3.419355,3,3.6,,957.57957,33.577419,25.807742,18.719355,50.58871,,
83441,29/02/1976,0000,23,2.310345,6.3,187.2,,,183.5,4.977011,9,33.5,,957.408046,32.962069,26.126207,20.627586,59.560345,,
83441,31/03/1976,0000,36,2.621505,6.3,252.1,,,236.7,4.516129,1,0.6,,957.760215,33.567742,26.542581,20.448387,52.612903,,
83441,30/04/1976,0000,18,2.456667,7.3,255.4,,,237.8,3.511111,1,0.4,,959.548889,32.506667,25.648667,19.483333,52.283333,,
83441,31/05/1976,0000,18,2.095699,6.6,174.7,,,178.3,4.827957,2,15.3,,960.810753,29.958065,23.353548,17.954839,64.451613,,
83441,30/06/1976,0000,18,2.106667,6.6,196.2,,,219.7,3.622222,1,0.7,,962.484444,29.653333,21.958667,15.2,60.691667,,
83441,31/07/1976,0000,9,2.668817,7.3,192.7,,,173.3,5.064516,4,4.6,,964.75914,27.635484,21.356129,16.254839,60.403226,,
83441,31/08/1976,0000,36,3.002151,7.1,267.4,,,257.4,2.860215,0,0,,962.826882,30.312903,22.936129,15.916129,49.895161,,
83441,30/09/1976,0000,14,2.738889,6.8,218.8,,,177.4,4.640449,6,4.9,,959.975556,31.646667,24.985333,18.883333,53.65,,
83441,31/10/1976,0000,0,2.606452,5.8,168.7,,,137.9,6.225806,11,68.3,,959.454839,29.012903,23.689032,19.232258,65.903226,,
83441,30/11/1976,0000,18,1.966667,6,80.5,,,107.1,7.722222,21,301.1,,957.96,28.01,23.574,20.31,79.8,,
83441,31/12/1976,0000,5,2.049462,6.8,79.2,,,164.5,6.053763,10,73.1,,957.319355,29.858065,23.765161,19.43871,79.346774,,
83441,31/01/1977,0000,14,2.049462,5,115.1,,,148.8,6.376344,16,152.7,,957.846237,30.274194,24.075484,19.419355,76.943548,,
83441,28/02/1977,0000,36,1.903571,4.3,88.9,,,199.6,5.309524,10,58.9,,960.95,29.303571,23.44,19.053571,77.428571,,
83441,31/03/1977,0000,5,2.093548,5.5,196.7,,,273.6,3.16129,1,0.4,,958.480645,33.793548,25.510968,18.593548,59.895161,,
83441,30/04/1977,0000,9,2.051111,6.8,114.3,,,127.8,5.888889,11,76.9,,959.463333,29.75,23.542667,19.133333,75.683333,,
83441,31/05/1977,0000,5,1.616129,4.1,99.5,,,160.7,5.311828,5,103.4,,961.82043,27.548387,20.894839,15.990323,75.766129,,
83441,30/06/1977,0000,0,1.488889,4.1,82.8,,,106.4,5.555556,4,7.4,,963.388889,26.156667,20.028667,15.343333,78.733333,,
83441,31/07/1977,0000,0,1.855914,5.8,140.3,,,188.4,4.430108,3,2.3,,963.789247,27.670968,20.224516,13.858065,65.306452,,
83441,31/08/1977,0000,36,2.106452,5.5,224.1,,,270.1,1.935484,0,0,,961.830108,30.916129,22.11871,13.906452,50.354839,,
83441,30/09/1977,0000,36,2.253333,5,210.8,,,125.8,5.544444,4,50.4,,962.097778,28.85,23.139333,17.87,58.35,,
83441,31/10/1977,0000,18,2.109677,6,139.3,,,195.3,5.677419,10,99.1,,960.773118,29.251613,23.514194,18.912903,67.983871,,
83441,30/11/1977,0000,5,1.985556,6.6,126.1,,,158.5,6.522222,14,118.6,,958.095556,31.086667,24.761333,20,70.833333,,
83441,31/12/1977,0000,5,1.86129,5,89.9,,,160.6,6.580645,15,122.3,,958.668817,29.929032,23.972903,19.33871,77.685484,,
83441,31/01/1978,0000,0,1.625806,4.1,91.9,,,197.8,5.88172,16,184.6,,959.722581,29.741935,23.904516,19.777419,79.225806,,
83441,28/02/1978,0000,5,1.625,5.3,71.4,,,116.3,7.428571,18,180.4,,958.657143,29.496429,23.783571,19.8,81.857143,,
83441,31/03/1978,0000,14,1.631522,5.8,85.4,,,186.6,5.849462,13,98.7,,959.898925,29.332258,23.26,18.83871,81.427419,,
83441,30/04/1978,0000,36,1.332222,4.5,73.8,,,123.4,6.666667,15,66,,959.783333,28.31,22.438667,18.646667,82.241667,,
83441,31/05/1978,0000,36,1.5,5.6,68.3,,,168.9,5.010753,9,83.2,,960.230108,28.116129,21.025161,16.312903,81.83871,,
83441,30/06/1978,0000,36,1.225556,3.3,71.3,,,124.4,5.822222,4,2.7,,964.207778,25.706667,19.176,14.47,80.7,,
83441,31/07/1978,0000,36,1.591398,5.8,81.3,,,151.1,5.419355,7,125.8,,962.565591,26.719355,19.771613,15.196774,79.604839,,
83441,31/08/1978,0000,14,1.688172,4.5,121.4,,,215.3,3.483871,3,3,,964.074194,28.341935,19.953548,13.270968,68.508065,,
83441,30/09/1978,0000,36,2.143333,5,166.2,,,156.9,6.066667,5,14.1,,962.745556,28.76,22.336,16.406667,60.041667,,
