Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83631,31/01/1961,0000,36,1.228261,5,61.9,,,,7.793478,22,357.5,,901.346739,25.683871,21.36,18.703226,86.758065,,
83631,28/02/1961,0000,14,1.464286,7,62.5,,,,8.440476,23,519.7,,903.127381,25.742857,21.256429,18.153571,84.241071,,
83631,31/03/1961,0000,36,1.473118,7,105,,,,6.182796,13,208.9,,903.987097,27.425806,21.889032,17.806452,76.959677,,
83631,30/04/1961,0000,9,1.411111,5,105.8,,,,4.944444,10,110.2,,904.205556,26.236667,20.716667,16.91,75.783333,,
83631,31/05/1961,0000,14,1.72043,5,112.8,,,,4.204301,5,56.1,,906.104301,24.43871,18.314839,14.374194,72.66129,,
83631,30/06/1961,0000,9,1.877778,7,130.7,,,,4.2,0,0,,907.98,23.53,17.295333,12.796667,68.05,,
83631,31/07/1961,0000,14,1.806452,7,195.7,,,,3.580645,0,0,,907.949462,24.619355,17.831613,12.616129,55.233871,,
83631,31/08/1961,0000,14,2.182796,7,249.3,,,,1.956989,1,2.3,,907.022581,27.593548,20.292903,13.851613,48.306452,,
83631,30/09/1961,0000,18,3,9,316.8,,,,1.933333,0,0,,903.678889,32.2,24.498,18.25,39.575,,
83631,31/10/1961,0000,5,3.623656,9,239,,,,7.494624,13,58.5,,903.753763,28.935484,22.405161,16.912903,57.330645,,
83631,30/11/1961,0000,5,2.611111,9,138.5,,,,7.033333,15,337.4,,902.025556,29.573333,23.090667,18.046667,69.8,,
83631,31/12/1961,0000,5,1.795699,5,99.9,,,,6.892473,19,278.7,,902.705376,25.583871,20.538065,16.841935,78.790323,,
83631,31/01/1962,0000,5,1.698925,7,82.7,,,,6.634409,21,233.6,,901.331183,26.96129,21.636129,18.009677,81.217742,,
83631,28/02/1962,0000,36,1.928571,5,62.1,,,,6.535714,21,459.5,,902.170238,26.867857,21.456429,18.046429,82.526786,,
83631,31/03/1962,0000,36,2.215054,6,99.3,,,,5.397849,17,321.4,,903.155914,26.564516,21.225161,17.73871,78.830645,,
83631,30/04/1962,0000,5,2.022222,7,120.9,,,,3.766667,8,53,,904.138889,26.84,20.638,16.053333,71,,
83631,31/05/1962,0000,14,1.709677,5,144,,,,3.021505,4,36.4,,906.080645,23.880645,17.771613,13.074194,66.08871,,
83631,30/06/1962,0000,14,2.066667,12,131.6,,,,2.966667,5,42.4,,907.454444,21.72,14.935333,10.16,67.441667,,
83631,31/07/1962,0000,9,1.623656,5,178.9,,,,1.870968,1,7,,908.197849,22.932258,15.969677,10.806452,57.314516,,
83631,31/08/1962,0000,18,1.817204,7,231.1,,,,2.150538,2,12.4,,906.596774,25.983871,18.826452,13.341935,51.419355,,
83631,30/09/1962,0000,18,2.955556,9,180.9,,,,4.588889,10,47.5,,905.148889,27.346667,20.336667,15.37,62.083333,,
83631,31/10/1962,0000,14,3.182796,6,97.6,,,,7.236559,18,235.1,,904.263441,24.6,19.156129,15.945161,79.475806,,
83631,30/11/1962,0000,5,2.666667,5,151,,,,5.155556,11,115.2,,902.427778,27.466667,21.504667,16.736667,64.975,,
83631,31/12/1962,0000,5,2.870968,7,73.1,,,,8.290323,23,452.8,,901.321505,25.683871,21.227097,18.187097,84.782258,,
83631,31/01/1963,0000,14,2.580645,7,85,,,,6.290323,18,265.3,,902.172043,27.683871,22.148387,18.409677,79.032258,,
83631,28/02/1963,0000,14,2.642857,7,96.4,,,,6.297619,11,99.2,,903.065476,27.171429,21.81,18.307143,78.8125,,
83631,31/03/1963,0000,18,2.236559,5,155.8,,,,4.225806,7,176.4,,904.522581,29.8,23.369032,18.664516,64.935484,,
83631,30/04/1963,0000,18,2.233333,6,172,,,,2.866667,3,7.6,,904.28,28.166667,21.406667,16.7,61.933333,,
83631,31/05/1963,0000,18,2.225806,7,206.8,,,,1.946237,1,11.4,,907.404301,25.651613,18.591613,13.474194,55.193548,,
83631,30/06/1963,0000,14,2.255556,7,190,,,,2.377778,0,0,,908.025556,23.753333,16.896667,11.693333,55.458333,,
83631,31/07/1963,0000,14,2.032258,3,218.8,,,,1.526882,0,0,,907.645161,25.270968,18.033548,12.677419,49.556452,,
83631,31/08/1963,0000,9,2.387097,7,261.4,,,,2.935484,2,1.8,,906.13871,27.632258,20.077419,14.435484,47.209677,,
83631,30/09/1963,0000,14,2.922222,7,346.4,,,,6.766667,1,0.2,,904.887778,30.846667,23.522,17.38,41.1,,
83631,31/10/1963,0000,14,3.408602,7,226.7,,,,8.344086,13,100.8,,904.054839,30.141935,23.316129,18.316129,62.443548,,
83631,30/11/1963,0000,5,3.177778,9,162.1,,,,6.033333,13,157.3,,902.392222,29.446667,23.254667,18.726667,66.641667,,
83631,31/12/1963,0000,14,3.451613,7,215.8,,,,5.483871,11,99,,902.662366,29.296774,22.750968,17.612903,61.169355,,
83631,31/01/1964,0000,23,3.301075,9,61.7,,,,7.225806,21,318.9,,901.676344,26.458065,21.5,18,81.701613,,
83631,29/02/1964,0000,5,3.218391,9,65.8,,,,7.701149,19,326.7,,901.650575,26.203448,21.43931,18.482759,85.387931,,
83631,31/03/1964,0000,9,3.537634,7,145.3,,,,4.634409,9,51.6,,904.947312,27.141935,21.594839,17.380645,70.532258,,
83631,30/04/1964,0000,9,2.422222,9,112.9,,,,4.622222,11,65.5,,905.316667,26.82,21.47,17.583333,71.975,,
83631,31/05/1964,0000,5,1.967742,5,117.8,,,,4.516129,7,59.4,,906.603226,23.5,18.167742,13.703226,67.758065,,
83631,30/06/1964,0000,14,1.733333,8,117,,,,3.688889,3,13.3,,906.001111,23.043333,16.872667,12.07,67.091667,,
83631,31/07/1964,0000,14,2.172043,7,121.6,,,,4.408602,9,30.4,,906.933333,21.458065,15.576774,10.545161,68.612903,,
83631,31/08/1964,0000,5,2.634409,9,214.5,,,,3.064516,1,4.5,,907.01828,26.164516,19.464516,13.548387,54.524194,,
83631,30/09/1964,0000,5,3.066667,12,256.4,,,,3.433333,6,53.6,,905.158889,27.716667,20.874667,15.043333,52.533333,,
83631,31/10/1964,0000,0,2.483871,9,134.6,,,,7.301075,14,122.5,,902.6,25.841935,20.390968,16.070968,70.572581,,
83631,30/11/1964,0000,5,2.366667,7,124.5,,,,6.733333,13,195.4,,901.936667,25.683333,20.289333,16.443333,73.191667,,
83631,31/12/1964,0000,36,2.344086,7,72.4,,,,7.817204,26,400.5,,900.288172,25.177419,20.805806,17.458065,84.096774,,
83631,31/01/1965,0000,5,1.827957,7,65.1,,,,8.268817,21,464.3,,901.450538,25.358065,21.337419,18.196774,86.08871,,
83631,28/02/1965,0000,0,2.083333,8,51.7,,,,8.690476,22,364.1,,900.779762,25.435714,21.097857,18.35,87.696429,,
83631,31/03/1965,0000,36,2.677419,7,86.1,,,,5.806452,16,208.4,,903.109677,25.145161,20.304516,17.219355,82.290323,,
83631,30/04/1965,0000,23,2.655556,7,117.5,,,,3.333333,6,76.1,,903.746667,25.73,20.929333,16.386667,73.641667,,
83631,31/05/1965,0000,5,2.88172,5,111.3,,,,3.677419,8,63.7,,905.178495,24.712903,19.186452,14.796774,71.387097,,
83631,30/06/1965,0000,14,3.111111,5,107.1,,,,4.188889,6,39.1,,908.183333,23.953333,18.286,14.156667,70.35,,
83631,31/07/1965,0000,5,3.204301,7,128.9,,,,3.72043,8,72.3,,907.380645,22.793548,17.220645,12.993548,70.41129,,
83631,31/08/1965,0000,5,3.107527,7,194.7,,,,2.301075,7,27.9,,905.787097,25.829032,18.934194,13.387097,53.774194,,
83631,30/09/1965,0000,14,2.955556,9,243.7,,,,4.166667,5,82.2,,904.492222,28.566667,21.816,16.51,52.975,,
83631,31/10/1965,0000,5,2.096774,9,107,,,,6.870968,15,290.2,,902.86129,25.712903,20.040645,16.245161,75.83871,,
83631,30/11/1965,0000,18,2.477778,7,114.6,,,,6.122222,13,210.4,,902.41,26.4,20.908667,16.976667,74.625,,
83631,31/12/1965,0000,14,2.333333,5,79.1,,,,6.956989,24,302.1,,902.489247,26.767742,21.633548,18.212903,82.282258,,
83631,31/01/1966,0000,14,2.505376,7,87.6,,,,6.83871,20,257.2,,901.629032,26.812903,21.801935,18.493548,79.830645,,
83631,28/02/1966,0000,5,2.678571,14,69,,,,5.72619,14,307.9,,902.57619,27.107143,21.969286,18.607143,79.991071,,
83631,31/03/1966,0000,36,1.795699,5,89.9,,,,5.709677,19,442,,903.433333,26.503226,21.011613,17.503226,79.66129,,
83631,30/04/1966,0000,14,2.144444,6,105.1,,,,4.044444,7,97.5,,903.717778,25.793333,19.893333,15.676667,74.716667,,
83631,31/05/1966,0000,5,1.666667,5,105.6,,,,5.16129,9,41.8,,905.893548,23.477419,17.99871,13.925806,74.717742,,
83631,30/06/1966,0000,14,1.455556,5,140.1,,,,1.855556,0,0,,906.191111,24.426667,17.791333,12.966667,62.158333,,
83631,30/06/1980,0000,0,1.987654,5,,,,214,2.746667,5,90.2,,,23.788889,16.09037,10.337037,70.052083,,
83631,31/07/1980,0000,5,1.534884,4,,,,245.9,3.105882,,0,,,26.148276,17.883448,12.1,66.362069,,
83631,31/08/1980,0000,0,1.724138,5,,,,202.6,3.988235,4,6.2,,,27.093103,19.377241,13.944828,62.836207,,
