Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83642,31/01/1961,0000,0,0,0,37.8,,,103.2,8.534884,25,338.8,,936.459302,26.158621,21.786207,18.551724,86.612069,,
83642,28/02/1961,0000,0,0,0,49,,,161.7,8.22619,9,225.4,,938.855952,28.5,22.147143,17.6,81.642857,,
83642,31/03/1961,0000,0,0.075269,3,58,,,159.4,8.11828,11,88.4,,939.035484,28.058065,21.665806,17.296774,81.064516,,
83642,30/04/1961,0000,0,0,0,50.2,,,167.6,7.611111,10,46.8,,939.326667,26.88,19.908,14.726667,82.641667,,
83642,31/05/1961,0000,0,0,0,43,,,170.7,7.16129,5,13.8,,941.133333,24.083871,17.575484,12.309677,83.91129,,
83642,30/06/1961,0000,0,0,0,47,,,102.1,6.822222,4,3.9,,944.165556,22.986667,16.046667,10.8,84.991667,,
83642,31/07/1961,0000,,,,,,,,,,0,,,,,,,,
83642,31/08/1961,0000,0,0.293478,6,83.6,,,251.6,4.021739,,0,,943.745652,26.051613,16.410323,7.935484,72.556452,,
83642,30/09/1961,0000,0,0.188889,4,112.2,,,105.6,8.077778,0,0,,939.956667,29.706667,20.518667,13.106667,69.116667,,
83642,31/10/1961,0000,0,0.236559,4,105.2,,,150.4,7.946237,7,65,,940.047312,27.76129,20.501935,14.135484,70.435484,,
83642,30/11/1961,0000,0,0,0,65.4,,,170.6,7.732558,9,125.6,,937.513953,27.852174,21.403636,16.724138,77.473214,,
83642,31/12/1961,0000,0,0,0,67.6,,,157.8,8.301075,11,66.9,,938.064516,,,16.419355,78.5,,
83642,31/01/1962,0000,0,0.021505,2,48.6,,,131.2,8.537634,18,286.8,,936.750538,27.862069,22.565517,18.716129,83.733871,,
83642,28/02/1962,0000,0,0.190476,4,39,,,111.5,8.75,20,257.3,,937.991667,26.728571,21.858571,18.285714,85.6875,,
83642,31/03/1962,0000,0,0.172043,3,59.4,,,214.9,5.870968,7,49.6,,938.553763,28.477419,21.646452,16.63871,80.266129,,
83642,30/04/1962,0000,0,0.044444,3,56.4,,,211.8,4.755556,4,56.6,,939.944444,26.593333,19.484,13.8,81.083333,,
83642,31/05/1962,0000,0,0,0,48.8,,,183.8,5.72043,3,14.8,,942.07957,23.406452,16.730323,11.4,82.330645,,
83642,30/06/1962,0000,0,0.011111,1,44,,,184.5,5.055556,2,18,,944.177778,21.446667,13.514667,7.22,82.341667,,
83642,31/07/1962,0000,0,0.612903,4,57.6,,,195.5,5.55914,2,6.8,,944.673118,22.245161,14.143226,7.567742,80.330645,,
83642,31/08/1962,0000,0,0.752688,3,66.2,,,238.2,5.086022,2,13.7,,942.697849,24.916129,15.750968,8.251613,76.427419,,
83642,30/09/1962,0000,0,0.8,4,74.6,,,121,7.655556,8,85.8,,942.529825,24.766667,17.893333,12.413333,77.525,,
83642,31/10/1962,0000,0,0.290323,3,48,,,82.4,9.064516,18,163.2,,,23.43871,18.914839,15.387097,83.225806,,
83642,30/11/1962,0000,0,0.344444,3,68,,,,6.244444,13,157.1,,,27.06,20.634667,15.493333,78.616667,,
83642,31/12/1962,0000,,,,,,,,,,0,,,,,,,,
83642,31/01/1963,0000,0,0.141304,3,84.4,,,275,6.163043,6,32.3,,936.453261,30.670968,23.046452,17.425806,75.693548,,
83642,28/02/1963,0000,0,0.02381,2,65.2,,,176.8,8.190476,9,71.6,,938.555952,28.785714,22.255714,17.8,79.669643,,
83642,31/03/1963,0000,0,0.387097,4,89.6,,,276.5,5.376344,0,0,,939.269892,31.4,22.642581,15.812903,73.330645,,
83642,30/04/1963,0000,0,0.2375,4,50.8,,,,5.6375,5,72.6,,939.3675,27.814815,19.704615,13.711111,79.086538,,
83642,31/05/1963,0000,0,0.086022,4,62.5,,,233.3,3.677419,2,4.4,,944.083871,24.832258,15.268387,7.987097,79.822581,,
83642,30/06/1963,0000,0,0.122222,3,59.8,,,145.6,6.122222,1,0.4,,944.506667,23.786667,14.612,7.353333,78.866667,,
83642,31/08/1963,0000,0,0.532609,3,68.4,,,,3.978261,1,1,,942.336957,25.970968,15.665161,7.612903,73.637097,,
83642,30/09/1963,0000,0,0.333333,5,103.4,,,,6,0,0,,941.854444,29.106667,18.424,10.073333,67.2,,
83642,31/10/1963,0000,0,0.236559,3,89,,,,6.784946,6,45.6,,940.388172,28.290323,21.769032,16.877419,78.233871,,
83642,30/11/1963,0000,,,,,,,,,6,118,,,,,,,,
83642,29/02/1964,0000,0,,3,21.4,,,,8.962963,13,202.4,,937.359259,27.136842,22.117778,18.884211,,,
83642,31/03/1964,0000,0,0.150538,4,58.3,,,193.7,7.569892,8,68.4,,940.468817,26.567742,20.60129,15.477419,84.258065,,
83642,30/04/1964,0000,0,0.066667,4,40.1,,,176.9,6.1,7,42.1,,941.063333,25.586667,19.793333,15.56,87.333333,,
83642,31/05/1964,0000,0,0.053763,3,35.2,,,149.8,6.978495,7,27.5,,942.134409,22.754839,16.554839,11.987097,87.5,,
83642,30/06/1964,0000,0,0.411111,4,39,,,128.1,6.066667,2,8.8,,941.887778,22.18,15.364,9.56,85.241667,,
83642,31/07/1964,0000,0,0.336957,4,35.8,,,110.2,7.641304,8,62,,943.915217,20.246667,14.6,10.051613,87.508333,,
83642,30/09/1964,0000,0,0.415584,4,72.4,,,,6.324675,1,8,,943.106494,26.076923,17.896923,11.215385,76.971154,,
83642,31/10/1964,0000,0,0.075269,3,65,,,96.9,9.096774,18,210.4,,938.94086,24.232258,19.752258,15.774194,85.677419,,
83642,30/11/1964,0000,0,0.484444,3,56.2,,,151.4,7.755556,14,92,,938.797778,25.22,19.368,14.733333,82.683333,,
83642,31/12/1964,0000,0,0.344086,3,43.4,,,129.9,8.88172,24,432.5,,937.490323,25.470968,20.786452,17.4,86.685484,,
83642,31/01/1965,0000,0,0.369892,4,40.5,,,178.2,8.193548,20,141,,939.452688,26.225806,20.932903,17.193548,85.959677,,
83642,28/02/1965,0000,0,0.678571,3,29.9,,,110.8,8.75,24,296.3,,937.457143,26.628571,21.864286,18.7,89.080357,,
83642,31/03/1965,0000,0,0.516129,3,36.6,,,137.1,8.795699,20,141.4,,939.953763,25.787097,20.948387,17.43871,87.685484,,
83642,30/04/1965,0000,0,0.788889,3,41.6,,,218,6.3,7,49.6,,940.798889,25.78,19.36,14.513333,85.958333,,
83642,31/05/1965,0000,0,0.437634,2,34.9,,,186.1,7.354839,5,53.8,,942.4,24.158065,17.829032,13.393548,86.58871,,
83642,30/06/1965,0000,0,,3,21.4,,,,7.819672,3,9.6,,945.604688,23.473684,16.071579,11.285714,,,
83642,28/02/1967,0000,,,,,,,,,2,2,,,,,,,,
83642,31/03/1967,0000,0,1.710753,8,91,,,187.9,6.548387,14,119.7,,935.556989,28.296774,21.939355,17.46129,81.532258,,
83642,30/04/1967,0000,0,1.355556,7,75.8,,,188.4,5.488889,8,31.4,,936.916667,27.146667,20.055333,15.613333,82.333333,,
83642,31/05/1967,0000,0,1.430108,6,87.5,,,247.9,3.752688,1,2,,938.98172,26.06129,17.311613,11.464516,81.266129,,
83642,30/06/1967,0000,0,1.411111,9,95.8,,,191.3,4.640449,2,0.3,,940.057778,25.583333,17.286,11.04,78.708333,,
83642,31/07/1967,0000,0,1.473118,8,101,,,225,4.021505,0,0,,940.996774,24.974194,15.670968,8.696774,75.201613,,
