Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83405,31/01/1961,0000,36,1.242391,7.7,67.1,,,166.6,5.880435,13,154.5,,995.088043,32.232258,26.617419,23.13871,82.814516,,
83405,28/02/1961,0000,36,1.211905,1.4,60.2,,,169,5.25,13,251.2,,996.434524,32.435714,26.532143,22.942857,82.723214,,
83405,31/03/1961,0000,32,1.287097,4.4,55,,,160,5.397849,13,129.8,,997.023656,32.080645,26.02,22.403226,84.741935,,
83405,30/04/1961,0000,36,1.226667,1.9,59.3,,,162.6,5.022222,9,96.2,,996.978889,32.63,26.201333,22.376667,82.933333,,
83405,31/05/1961,0000,36,1.210753,1.6,60.2,,,198.1,3.88172,4,47.2,,999.691398,31.33871,24.445806,20.032258,82.798387,,
83405,30/06/1961,0000,36,1.196667,1.8,73.1,,,198,3.722222,1,2.8,,,29.033333,21.404,16.096667,78.3,,
83405,31/07/1961,0000,36,1.21828,1.6,108.3,,,227.8,2.172043,0,0,,,31.36129,21.963871,15.222581,71.814516,,
83405,31/08/1961,0000,36,1.050538,1.6,174.9,,,258.9,1.043011,1,1.2,,998.263441,36.306452,25.503871,17.696774,60.733871,,
83405,30/09/1961,0000,0,1.076667,2.1,170.3,,,195.1,1.855556,2,44.1,,996.244444,36.32,27.872857,21.616667,56.408333,,
83405,31/10/1961,0000,27,0.875269,1.6,104.7,,,145.4,4.408602,9,162.9,,996.748387,34.251613,26.950968,21.6,72.854839,,
83405,30/11/1961,0000,36,1.147778,1.8,77.4,,,188.6,5.577778,9,107.1,,996.534444,33.71,27.006667,22.646667,80.066667,,
83405,31/12/1961,0000,0,1.093548,4.2,65.8,,,171.3,6.483871,17,177.9,,995.724731,32.732258,26.704516,22.870968,88.387097,,
83405,31/01/1962,0000,36,1.084946,2.1,55.6,,,125.7,7.107527,19,231.9,,995.787097,31.587097,26.160645,22.851613,86.548387,,
83405,28/02/1962,0000,36,1.154762,1.5,61.6,,,150.9,5.761905,9,88.6,,995.728571,33.346429,27.005,23.271429,81.883929,,
83405,31/03/1962,0000,36,1.05914,1.8,74.6,,,232.8,4.44086,8,94.9,,996.643011,33.783871,26.625806,21.845161,80.177419,,
83405,30/04/1962,0000,36,1.006667,2.9,59,,,158.7,5.566667,5,49.6,,998.546667,31.65,25.540667,21.62,82.95,,
83405,31/05/1962,0000,32,1.239785,1.9,81.2,,,198.2,2.946237,1,1.2,,,31.36129,23.754194,18.367742,75.604839,,
83405,30/06/1962,0000,32,1.384444,7.4,97.2,,,220.1,2.3,0,0,,,30.236667,21.702667,15.16,70.425,,
83405,31/07/1962,0000,36,1.207527,1.9,108,,,219.2,2.956989,0,0,,,29.119355,20.332903,13.996774,65.540323,,
