Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83264,31/07/1972,0000,0,0.608696,6,98.5,,,,2.617647,,0,,969.164706,32.056522,22.694783,15.308696,80.673913,,
83264,31/08/1972,0000,9,0.634409,5,133.7,,,261.6,3.989247,3,6.8,,967.878495,32.309677,23.449032,16.332258,81.209677,,
83264,31/10/1972,0000,0,2.402174,5,101.4,,,198.8,6.315217,15,296.3,,966.491304,33.283871,25.190968,19.564516,83.008065,,
83264,30/11/1972,0000,0,2.566667,6,74.8,,,152.6,5.755556,18,308.6,,965.925556,32.306667,25.140667,20.27,87.808333,,
83264,31/12/1972,0000,14,2.709677,8,74.5,,,154.8,8,26,462.3,,965.395699,31.096774,24.748387,20.167742,89.395161,,
83264,31/01/1973,0000,18,2.473118,5,86.7,,,196.7,6.086022,20,241.1,,967.260215,32.274194,25.199355,20.019355,86.395161,,
83264,28/02/1973,0000,14,2.578313,7,57.7,,,106.5,7.738095,25,375.4,,966.854762,30.507143,24.613571,20.325,91.035714,,
83264,31/03/1973,0000,0,2.215054,5,63.1,,,146.7,8.387097,23,332.3,,966.166667,31.287097,24.903226,20.232258,91.741935,,
83264,30/04/1973,0000,14,2.3,5,77.5,,,196.2,6.966667,17,84.8,,966.645556,31.84,24.762,18.856667,88.133333,,
83264,31/05/1973,0000,23,1.892473,5,95.2,,,220.6,5.473118,13,84.7,,968.223656,31.090323,23.581935,17.483871,85.298387,,
83264,30/06/1973,0000,0,1.788889,5,110.5,,,249.2,4.2,3,87.1,,967.943333,31.87,23.496,15.953333,83.033333,,
83264,31/07/1973,0000,0,1.827957,5,136,,,285.1,3.709677,0,0,,969.236559,31.293548,21.799355,13.174194,78.104839,,
83264,31/08/1973,0000,0,1.913978,5,130.6,,,247.5,4.623656,0,0,,967.893548,33.390323,23.48129,14.454839,77.572581,,
83264,30/09/1973,0000,23,2.1,5,132.2,,,207.8,5.588889,2,7.1,,967.581111,33.636667,25.025333,18.943333,77.275,,
83264,31/10/1973,0000,23,2.258065,7,77.7,,,135.4,7.924731,16,131,,965.23871,31.287097,24.674194,20.329032,86.629032,,
83264,30/11/1973,0000,0,1.944444,5,68,,,125.9,8.666667,23,348.6,,965.811111,31.736667,24.716667,20.233333,88.583333,,
83264,31/12/1973,0000,27,1.946237,5,75,,,168.8,8.021505,21,333.4,,965.904301,30.893548,24.267742,20.112903,87.612903,,
83264,31/01/1974,0000,18,2.344086,5,68.8,,,147.8,3.989247,23,241.8,,965.655914,30.409677,24.118065,20.429032,88.556452,,
83264,28/02/1974,0000,23,2.261905,5,64.7,,,167.3,3.702381,22,349.3,,965.543902,31.085714,24.367143,20.275,87.035714,,
83264,31/03/1974,0000,5,2.075269,5,56,,,85.6,2.709677,27,450.8,,965.153763,29.596774,23.95871,21.012903,92.072581,,
83264,30/04/1974,0000,27,2.242222,5,68.8,,,172.4,4.173333,14,98.1,,967.037778,30.6,24.463333,21.093333,87.891667,,
83264,31/05/1974,0000,0,2.333333,5,98.9,,,254,5.053763,7,7.2,,968.678495,31.335484,23.865161,18.390323,82.072581,,
83264,30/06/1974,0000,14,1.6,4,109.6,,,269.2,3,2,25.9,,968.533333,31.2,22.8,15.96,81.866667,,
83264,31/07/1974,0000,0,1.924731,6,161.3,,,296.3,1.397849,0,0,,970.63871,31.132258,21.189032,13.803226,72.903226,,
83264,31/08/1974,0000,0,1.688172,6,142.3,,,240.9,3.870968,0,0,,968.163441,32.751613,23.490345,16.37931,73.443548,,
