Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83214,31/01/1987,0000,,,,69.9,,,152.1,,,,,,38.670968,25.872903,20.925806,,,
83214,28/02/1987,0000,,,,80.9,,,156.4,,,,,,36.189286,25.879286,21.139286,,,
83214,31/03/1987,0000,,,,61.8,,,156.9,,,,,,30.854839,24.84,22.090323,,,
83214,30/04/1987,0000,,,,86.3,,,213.3,,,,,,32.356667,25.635172,22.162069,,,
83214,30/06/1987,0000,,,,98.5,,,250.4,,,,,,32.426667,24.817333,19.543333,,,
83214,31/07/1987,0000,,,,196.2,,,285.43,,,,,,34.096774,23.934839,17.070968,,,
83214,31/08/1987,0000,,,,113.2,,,207.1,,,,,,33.322581,24.194839,17.587097,,,
83214,30/09/1987,0000,,,,126.1,,,132.8,,,,,,33.63,25.114667,18.82,,,
83214,31/10/1987,0000,,,,127,,,217.2,,,,,,33.990323,25.734839,18.4,,,
83214,30/11/1987,0000,,,,76.8,,,123.2,,,,,,32.106667,24.879333,19.066667,,,
83214,31/12/1987,0000,,,,75,,,130.9,,,,,,31.345161,24.788387,19.187097,,,
83214,31/01/1988,0000,,,,66.8,,,153.9,,,,,,31.403226,24.625806,19.167742,,,
83214,29/02/1988,0000,,,,60.7,,,111.5,,,,,,31.872414,24.655862,18.993103,,,
83214,31/03/1988,0000,,,,72.5,,,140.7,,,,,,30.864516,24.680645,19.751613,,,
83214,30/04/1988,0000,,,,84.8,,,175.4,,,,,,31.736667,25.269333,21.143333,,,
83214,31/05/1988,0000,,,,93.6,,,220.9,,,,,,31.816129,24.887742,19.7,,,
83214,30/06/1988,0000,,,,137.9,,,257,,,,,,31.956667,23.494667,16.856667,,,
83214,31/07/1988,0000,,,,213.7,,,300.1,,,,,,32.764516,22.653548,14.725806,,,
83214,31/08/1988,0000,,,,255.3,,,165.6,,,,,,34.490323,23.417419,14.43871,,,
83214,30/09/1988,0000,,,,212.5,,,57.9,,,,,,35.053333,25.542,18.35,,,
83214,31/10/1988,0000,,,,128,,,168.7,,,,,,33.648387,25.491613,20.364516,,,
83214,30/11/1988,0000,,,,78.5,,,129.6,,,,,,31.753333,25.103333,20.933333,,,
83214,31/12/1988,0000,,,,40.9,,,,,,,,,30.177419,24.09,20.2,,,
83214,31/01/1989,0000,,,,65.1,,,139.3,,,,,,30.586667,24.09,19.951613,,,
83214,28/02/1989,0000,,,,66.1,,,120.4,,,,,,30.521429,24.19037,19.957143,,,
83214,31/03/1989,0000,,,,62.6,,,113.8,,,,,,,,19.93,,,
83214,30/04/1989,0000,,,,50.8,,,153,,,,,,,,20.05,,,
83214,31/05/1989,0000,,,,95.7,,,217.2,,,,,,,,19.819355,,,
83214,30/06/1989,0000,,,,138.8,,,257.8,,,,,,,,,,,
83214,31/07/1989,0000,,,,160.4,,,283.4,,,,,,,,,,,
83214,31/08/1989,0000,,,,166.4,,,251.4,,,,,,,,,,,
83214,30/09/1989,0000,,,,,,,202.1,,,,,,,,,,,
83214,31/10/1989,0000,,,,,,,147.1,,,,,,,,,,,
83214,30/11/1989,0000,,,,,,,154.6,,,,,,,,,,,
83214,31/01/1990,0000,,,,,,,147.1,,,,,,,,,,,
83214,28/02/1990,0000,,,,,,,93.9,,,,,,,,,,,
83214,31/03/1990,0000,,,,,,,156.3,,,,,,31.293103,24.768333,20.241379,,,
83214,31/08/1990,0000,,,,,,,200.1,,,,,,34.43871,24.729677,18.129032,,,
83214,31/10/1990,0000,,,,,,,,,,,,,32.809677,24.170323,16.451613,,,
83214,31/01/1995,0000,0,0.358696,4,,,,124.4,8.705882,11,12.6,,962.440217,32.2,,,93.572581,,
83214,28/02/1995,0000,0,0.613095,5,,,,81.3,8.975309,15,33.9,,963.29881,29.507143,,,94.75,,
83214,31/03/1995,0000,0,0.860215,6,,,,149.6,7.924051,18,19.3,,961.877419,30.764516,,,93.693548,,
83214,30/04/1995,0000,0,0.727778,4,,,,120.8,8.686747,16,233,,961.817778,29.423333,,,94.933333,,
83214,31/05/1995,0000,0,0.774194,6,,,,195.2,7.597403,0,0,,963.021505,30.758065,,,93.572581,,
83214,30/06/1995,0000,0,0.8,8,,,,287.6,4.766667,0,0,,964.244444,31.856667,,,88.95,,
83214,31/07/1995,0000,0,1,6,,,,305.8,2.358025,0,0,,963.608602,33.587097,,,82.967742,,
83214,31/08/1995,0000,0,1.070968,9.1,,,,159.2,1.763441,1,27.3,,962.719355,35.43871,,,78.153226,,
83214,30/09/1995,0000,0,0.488764,6,,,,,3.318182,6,146.6,,962.92,34.59,,,87.208333,,
83214,31/10/1995,0000,0,0.903226,9,,,,219.6,5.870968,6,76,,961.051613,33.329032,,,89.943548,,
83214,30/11/1995,0000,0,0.694444,10,,,,146.2,8.077778,15,139,,961.341111,31.976667,,,93.225,,
83214,31/12/1995,0000,0,0.704301,4,,,,150.4,7.806452,6,84,,962.312903,31.190323,,,93.25,,
83214,31/01/1998,0000,0,0.375,6,103.5,,,166.2,7.576087,9,172,,961.583696,31.832258,24.918065,20.541935,96.096774,,
83214,28/02/1998,0000,0,0.267857,3,117.9,,,,7.535714,16,350,,962.029762,32.892857,25.498571,21.189286,96.125,,
83214,31/03/1998,0000,0,0.22043,1.5,92.4,,,177.7,7.086022,,74,,961.71828,31.8,25.258065,20.274194,96.459677,,
83214,30/04/1998,0000,0,0.255556,4,155.6,,,223.9,5.622222,3,45,,961.304444,34.183333,26.721333,20.65,94.433333,,
83214,31/05/1998,0000,0,0.43587,6,205.4,,,238,4.619565,,4,,963.103226,32.596774,25.411613,19.025806,94.475806,,
83214,30/06/1998,0000,0,0.344444,2,336.4,,,277.4,2.633333,,,,964.311111,33.75,24.298667,16.586667,92.975,,
83214,31/07/1998,0000,0,0.370968,2,436,,,261,2.247312,,0,,963.547312,34.909677,24.090323,15.441935,90.548387,,
83214,31/08/1998,0000,0,0.209677,1.5,301.2,,,150.6,2.204301,,1,,962.083871,35.396774,25.633548,17.877419,92.532258,,
83214,30/09/1998,0000,0,0.352809,9.4,186.6,,,149.4,3.8,,21,,962.376667,33.876667,25.502,19.086667,93.116667,,
83214,31/10/1998,0000,0,0.467033,8,129.3,,,147.6,7.913978,,144,,962.303226,32.406452,24.872258,19.964516,96.177419,,
83214,30/11/1998,0000,0,0.216667,3,99,,,143.2,7.833333,,35,,961.45,31.92,24.706667,20.113333,95.383333,,
83214,31/12/1998,0000,0,0.306452,4,87.1,,,160.2,7.935484,,101,,961.150538,31.367742,24.533548,19.954839,95.91129,,
83214,31/01/1999,0000,0,,2,31.7,,,,7.851064,,79,,960.951064,29.864706,23.809333,19.475,96.35,,
83214,31/03/1999,0000,,0.145161,,,,,154.7,,,,,961.311828,31.36129,24.155484,19.277419,95.58871,,
83214,30/04/1999,0000,,0.191111,,,,,198.8,,,27.4,,962.777778,32.25,24.532,18.97,95.033333,,
83214,31/05/1999,0000,,0.256989,,,,,209,,1,3,,963.370968,31.551613,23.68129,18.190323,95.870968,,
83214,30/06/1999,0000,,0.216667,,,,,272.1,,,0,,963.334444,33.093333,23.746,16.556667,95.4,,
83214,31/07/1999,0000,,0.231183,,,,,282.1,,,5.2,,964.141935,34.33871,23.185806,14.696774,90.967742,,
83214,31/08/1999,0000,,0.489247,,,,,171.2,,,0,,963.519355,35.367742,25.423226,15.770968,70.620968,,
83214,30/09/1999,0000,,0.460674,12,,,,119.5,,,1,,961.36,34.806667,25.908667,18.47,73.433333,,
83214,31/10/1999,0000,,0.353261,9,,,,218.5,,,135,,961.548387,33.825806,25.89871,18.8,72.467742,,
83214,30/11/1999,0000,,0.227778,,,,,163.4,,,,,960.254444,31.793333,25.012,19.356667,79.825,,
83214,31/12/1999,0000,,0.225806,,,,,130.3,,,73,,960.324731,31.26129,24.605806,19.809677,84.314516,,
83214,31/01/2000,0000,0,0.274194,2,82.8,,,156.1,8.451613,14,289,,959.751613,30.806452,23.969032,18.254839,83.806452,,
83214,29/02/2000,0000,0,0.252874,6,71.2,,,,7.804598,10,146,,962.503448,30.42069,23.993793,18.234483,86.146552,,
83214,31/03/2000,0000,0,0.290323,6,82,,,158,7.688172,13,391,,960.607527,31.096774,24.954839,19.077419,83.733871,,
