Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83358,30/06/1976,0000,,,,,,,,,1,0.1,,,,,,,,
83358,31/07/1976,0000,,,,,,,,,3,0.3,,,,,,,,
83358,31/08/1976,0000,,,,,,,,,3,5.5,,,,,,,,
83358,30/09/1976,0000,,,,,,,,,16,83.7,,,,,,,,
83358,31/10/1976,0000,,,,,,,,,10,147.6,,,,,,,,
83358,30/11/1976,0000,,,,,,,,,20,247.7,,,,,,,,
83358,31/12/1976,0000,,,,,,,,,26,271.2,,,,,,,,
83358,31/01/1977,0000,,,,,,,,,24,218.2,,,,,,,,
83358,28/02/1977,0000,,,,,,,,,18,275,,,,,,,,
83358,31/03/1977,0000,,,,,,,,,17,230.2,,,,,,,,
83358,30/04/1977,0000,,,,,,,,,11,116.8,,,,,,,,
83358,31/05/1977,0000,,,,,,,,,9,76,,,,,,,,
83358,30/06/1977,0000,,,,,,,,,6,33.6,,,,,,,,
83358,31/07/1977,0000,,,,,,,,,0,0,,,,,,,,
83358,31/08/1977,0000,,,,,,,,,1,15.6,,,,,,,,
83358,30/09/1977,0000,,,,,,,,,11,112.9,,,,,,,,
83358,31/10/1977,0000,,,,,,,,,10,142.5,,,,,,,,
83358,30/11/1977,0000,,,,,,,,,13,237.9,,,,,,,,
83358,31/12/1977,0000,,,,,,,,,17,202.9,,,,,,,,
83358,31/01/1978,0000,,,,,,,,,18,261.3,,,,,,,,
83358,28/02/1978,0000,,,,,,,,,11,344.6,,,,,,,,
83358,31/03/1978,0000,,,,,,,,,14,365.8,,,,,,,,
83358,30/04/1978,0000,,,,,,,,2.266667,8,110.1,,,,,,,,
83358,31/05/1978,0000,,,,,,,,,6,63.7,,,,,,,,
83358,30/06/1978,0000,,,,,,,,,4,13.6,,,,,,,,
83358,31/07/1978,0000,,,,,,,,,3,4,,,,,,,,
83358,31/08/1978,0000,,,,,,,,,0,0,,,,,,,,
83358,30/09/1978,0000,,,,,,,,,4,26.2,,,,,,,,
83358,31/10/1978,0000,0,1.032258,6,138.8,,,203.6,4.967742,16,169.7,,969.813978,32.687097,23.871613,14.503226,74.516129,,
83358,30/11/1978,0000,0,0.866667,5,81.3,,,134.2,6.355556,20,223.7,,969.337778,30.663333,23.666,15.753333,83.375,,
83358,31/12/1978,0000,0,1.73913,9,96,,,155.9,6.365591,21,376.8,,969.201075,30.071429,23.545,15.812903,83.112903,,
83358,31/01/1979,0000,,1.075269,6,54.6,,,71.6,7.752688,27,553.1,,968.03871,29.254839,23.245806,16.251613,,,
83358,28/02/1979,0000,,1.083333,6,82.1,,,174.6,6.571429,15,240.6,,968.888095,31.296429,23.887143,15.942857,,,
83358,31/03/1979,0000,,0.849462,6,71.1,,,168.2,6.419355,23,320.6,,969.994624,30.845161,23.630323,15.745161,,,
83358,30/04/1979,0000,,0.955556,6,98.1,,,187.8,5.222222,8,94.5,,971.276667,30.44,22.076667,12.753333,,,
83358,31/05/1979,0000,,0.903226,7,102.8,,,205.8,5.129032,8,101,,972.092473,30.135484,20.609032,10.96129,,,
83358,30/06/1979,0000,,0.644444,5,130.1,,,231,3.722222,0,0,,975.488889,29.63,17.724,6.09,,,
83358,31/07/1979,0000,0,1.008602,10.8,177.6,,,229.4,3.322581,0,0,,974.826882,31.135484,19.327742,7.596774,,,
83358,31/08/1979,0000,0,0.202151,2.6,223.9,,,222.2,2.752688,2,40.6,,970.789247,34.025806,21.937419,12.5,,,
83358,30/09/1979,0000,,1.111111,8,123.2,,,154.7,5.233333,11,118.8,,971.152222,31.373333,23.789333,18.693333,,,
83358,31/10/1979,0000,0,0.805376,10,157.7,,,222.5,4.021505,4,34,,969.570968,33.732258,25.434839,18.76129,,,
83358,30/11/1979,0000,,1.007778,10,102.1,,,186,5.866667,14,147.9,,968.168889,31.27,24.482667,19.32,,,
83358,31/12/1979,0000,0,0.178495,1,73.8,,,126.4,6.516129,23,202.9,,968.970968,30.867742,24.783226,20.6,,,
83358,31/01/1980,0000,0,1.104301,7,79,,,157.4,5.967742,22,157.1,,968.873118,30.832258,24.530968,20.083871,,,
83358,29/02/1980,0000,0,0.832184,5,55.9,,,51.3,7.390805,23,313.4,,966.914943,29.882759,24.633793,21.286207,,,
83358,31/03/1980,0000,0,0.597849,6,92.6,,,181.6,5.709677,20,292.2,,970.464516,31.706452,24.286452,19.66129,,,
83358,30/04/1980,0000,,0.55,5,98.5,,,188.8,4.933333,8,166.4,,970.578889,31.19,23.421333,17.963333,,,
83358,31/05/1980,0000,,0.096774,1,110.1,,,207.9,3.354839,6,59.2,,972.397849,30.467742,21.970968,15.729032,,,
83358,30/06/1980,0000,,0.468889,5,117.4,,,202.8,2.922222,2,9.3,,973.897778,30.26,19.999333,12.606667,,,
83358,31/07/1980,0000,,0.248387,5,162.1,,,222.2,2.473118,0,0,,973.776344,31.383871,19.917419,11.86129,,,
83358,31/08/1980,0000,0,0.533333,5,210.1,,,187.9,2.301075,0,0,,972.307527,33.903226,22.691613,13.822581,,,
83358,30/09/1980,0000,0,0.7,7,180.3,,,155.3,3.944444,5,100.2,,971.377778,32.726667,23.912667,16.593333,,,
83358,31/10/1980,0000,0,0.956989,5,160.6,,,210.1,3.849462,6,103.8,,970.255914,33.441935,25.346452,18.712903,77.2,,
83358,30/11/1980,0000,0,1.222222,7,97,,,159.2,3.944444,15,165.7,,968.787778,31.093333,24.892,19.976667,83.5,,
83358,31/12/1980,0000,0,0.956989,5,64.5,,,105.7,4.537634,26,305,,967.765591,29.890323,24.482581,20.396774,89.712963,,
83358,31/01/1981,0000,0,0.38172,3,83.3,,,143.5,5.236559,22,272.4,,969.187097,30.341935,24.486452,19.93871,89.25,,
83358,28/02/1981,0000,0,0.347619,3,67.8,,,142.5,5.130952,19,288.7,,970.108333,31.064286,23.93,19.357143,88.442308,,
83358,31/03/1981,0000,0,0.1,3,67,,,149.5,4.462366,23,353.9,,968.190323,30.177419,24.545161,20.780645,89.84375,,
83358,30/04/1981,0000,0,0.146667,3,112.8,,,227.9,3.422222,6,42.4,,970.668889,31.51,23.85,17.94,,,
83358,31/05/1981,0000,0,0.026882,0.6,130.2,,,271.9,2.215054,4,24.8,,972.35914,31.516129,21.847742,14.645161,83.366667,,
83358,30/06/1981,0000,0,0.074444,1,111.9,,,207.8,3.144444,3,30,,974.133333,27.563333,18.793333,10.99,82.555556,,
83358,31/07/1981,0000,,0.298925,5,175.9,,,270.3,2.043011,0,0,,976.088172,28.987097,17.336129,8.129032,,,
83358,31/08/1981,0000,,0.106452,5,212.8,,,243.6,1.526882,1,14.1,,972.14086,33.767742,21.803871,12.767742,,,
83358,30/09/1981,0000,,0.105556,1,205.9,,,139.7,2.366667,3,17.6,,971.693333,33.32,23.31,15.563333,,,
83358,31/10/1981,0000,0,0.112903,1,146.5,,,173.3,5.655914,11,128.1,,969.421505,32.335484,25.304516,20.093548,82.13,,
83358,30/11/1981,0000,0,0.146667,1,97.1,,,153.8,5.922222,17,297.7,,967.948889,30.47,25.208667,21.186667,,,
83358,31/12/1981,0000,0,0.15914,5,91.8,,,132.3,7.032258,19,231.4,,969.14086,30.854839,24.843871,21.264516,88.268519,,
83358,31/01/1982,0000,0,0.072043,0.7,76,,,114.6,7.139785,26,396.9,,967.764516,29.777419,24.655484,21.380645,91.119565,,
83358,28/02/1982,0000,0,0.161905,5,76.2,,,109.8,6.357143,20,233.8,,969.77619,30.457143,24.362143,20.571429,,,
83358,31/03/1982,0000,0,0.125806,5,68,,,132,6.795699,20,353.8,,968.595699,30.3,24.427742,20.967742,91.222222,,
83358,30/04/1982,0000,0,0.034444,2.7,95.9,,,207.3,4.8,9,137.8,,970.94382,30.296667,,,87.836207,,
83358,31/05/1982,0000,0,0.032258,0.4,134,,,246.4,3.612903,4,16.9,,972.383871,29.935484,21.130968,14.145161,84.951923,,
83358,30/06/1982,0000,,0.065556,0.6,150.9,,,221.4,3.855556,1,1.4,,972.99,31,21.774,14.573333,,,
83358,31/07/1982,0000,,0.054839,0.6,205,,,262.4,2.806452,2,15.1,,972.78172,31.935484,20.823226,13.345161,,,
83358,31/08/1982,0000,,0.1,0.7,184.1,,,212.2,4.290323,5,24.6,,972.715054,32.93871,23.068387,16.225806,,,
83358,30/09/1982,0000,,0.09,0.8,136,,,179.6,4.922222,15,183.6,,971.27,31.556667,23.915333,18.85,,,
83358,31/10/1982,0000,0,0.082796,0.6,118.1,,,175.1,5.989247,15,113.7,,969.711828,31.964516,25.04,20.43871,,,
83358,30/11/1982,0000,0,0.018889,0.6,99.1,,,166.9,5.655556,15,220.5,,968.852222,31.953333,25.066,20.656667,87.913043,,
83358,31/12/1982,0000,0,0.064516,0.7,90,,,123.5,6.354839,20,211.4,,969.116129,30.329032,24.685806,20.977419,87.538462,,
83358,31/01/1983,0000,0,0.052688,0.6,74.1,,,119.9,6.301075,23,306.2,,968.048387,30.780645,25.236774,21.680645,89.935484,,
83358,28/02/1983,0000,0,0.10119,0.8,86.1,,,166.2,5.630952,12,218.3,,969.536905,31.842857,25.3,21.042857,87.982143,,
83358,31/03/1983,0000,0,0.050538,0.8,92.4,,,186.8,6.075269,13,270.4,,969.425806,31.406452,24.890323,20.777419,86.806452,,
83358,30/04/1983,0000,0,0.013333,0.6,100.1,,,209.1,5.055556,9,117.7,,969.545556,32.256667,24.721333,20.19,86.333333,,
83358,31/05/1983,0000,0,0.008602,0.5,153.3,,,219.5,4.376344,5,41.6,,970.15914,31.706452,23.320645,17.232258,83.516129,,
83358,30/06/1983,0000,0,0.023333,0.6,113,,,191.5,4.288889,2,27.4,,973.5,29.5,20.586,14.756667,86.133333,,
83358,31/07/1983,0000,0,0.07957,5,,,,235.7,2.924731,1,9,,972.352688,31.074194,20.467097,12.635484,82.308333,,
83358,31/08/1983,0000,0,0.043011,0.6,,,,202.4,1.354839,0,0,,973.83871,32.393548,19.973548,11.009677,73.274194,,
83358,30/09/1983,0000,0,0.101111,5,,,,162.4,3.533333,5,38.9,,971.105556,32.656667,23.937333,17.683333,78.491667,,
83358,31/10/1983,0000,0,0.032258,0.5,,,,167.3,6.010753,14,241.3,,970.706452,30.874194,24.306452,19.790323,89.983871,,
83358,30/11/1983,0000,0,0.017778,0.5,,,,114.9,7.055556,22,302.4,,970.948889,29.453333,23.794667,20.043333,91.858333,,
83358,31/12/1983,0000,0,0.037634,0.4,,,,139.7,6.72043,21,271.3,,969.677419,29.425806,24.053548,20.429032,89.677419,,
83358,31/01/1984,0000,0,0.031183,0.9,,,,191,6.27957,21,210.3,,969.737634,30.974194,24.619355,20.196774,89.475806,,
83358,29/02/1984,0000,0,0.027586,0.7,,,,162.1,6.344828,16,96.8,,969.444828,31.527586,24.456552,20.158621,94.853448,,
83358,31/03/1984,0000,0,0.007527,0.4,,,,168.1,6.602151,23,277.2,,969.170968,30.887097,24.582581,20.812903,92.717742,,
83358,30/04/1984,0000,0,0.032222,0.5,,,,189.9,5.977778,10,41.1,,971.127778,30.786667,24.115333,19.713333,93.45,,
83358,31/05/1984,0000,0,0.019355,0.4,,,,227.2,4.83871,7,57.3,,971.166667,31.280645,23.170968,17.870968,85.887097,,
83358,30/06/1984,0000,0,0.031111,0.6,,,,244.9,3.111111,0,0,,973.52,30.833333,20.223333,12.71,82.358333,,
83358,31/07/1984,0000,0,0.066667,0.7,,,,235.3,3.688172,0,0,,972.995349,32.316129,20.727742,12.087097,78.346774,,
83358,31/08/1984,0000,0,0.11828,0.6,225.8,,,219.4,2.752688,5,37.6,,972.715054,32.083871,21.464516,13.345161,72.137097,,
