Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
83267,30/04/1995,0000,,,,,,,,,,65.9,,963.383607,28.786207,,,,,
83267,31/05/1995,0000,,,,35,,,,,,63.7,,965.692424,28.806452,,,,,
83267,30/06/1995,0000,,,,42,,,,,,13,,966.812821,30.337931,,,79.776316,,
83267,31/07/1995,0000,,,,49,,,,,,3.8,,965.454412,32.728571,23.043529,13.888,,,
83267,31/08/1995,0000,,,,59,,,182,,,3,,965.345333,31.032258,22.791579,13.525806,,,
83267,30/09/1995,0000,,,,47,,,,,,,,964.509836,32.965517,25.607778,17.227586,67.883333,,
83267,31/10/1995,0000,,,,15.2,,,,,,190.8,,962.451111,29.4,,18.57,,,
83267,30/11/1995,0000,,,,21.8,,,,,,233,,962.84717,27.752,,19.428,,,
83267,31/12/1995,0000,,,,27.2,,,129.4,,15,539.5,,962.348387,30.266667,,20.893333,,,
83267,31/01/1998,0000,0,0.827174,6,91.5,,,,6.717391,14,68.4,,963.016304,31.909677,26.071613,22.551613,86.306452,,
83267,28/02/1998,0000,0,0.803704,4,58.1,,,125.7,8.197531,16,130.8,,964.190123,31.628571,26.237778,23.05,89.027778,,
83267,31/03/1998,0000,14,1.376344,6,58.2,,,166,6.204301,12,19.1,,965.198925,31.677419,25.781935,22.493548,87.870968,,
83267,30/04/1998,0000,0,1.488889,5,87.1,,,222.1,5.333333,8,13.6,,964.388889,32.68,26.033333,21.973333,86.075,,
83267,31/05/1998,0000,9,1.505376,5,103.6,,,208.5,4.473118,2,2,,966.355914,30.809677,23.386452,18.335484,81.169355,,
83267,30/06/1998,0000,0,1.277778,9,89.2,,,251.9,3.888889,,0,,967.401111,31.913333,22.267333,16.276667,80.508333,,
83267,31/07/1998,0000,0,1,5,132.5,,,285.2,3.086022,,0,,967.037634,33.348387,21.795484,14.670968,73.983871,,
83267,31/08/1998,0000,0,0.975269,4,129.2,,,184.4,4.655914,1,1.1,,964.715054,33.251613,23.113548,16.996774,78.75,,
83267,30/09/1998,0000,0,1.211111,4,143.5,,,101.1,5.955556,2,2.5,,964.728889,33.246667,24.470667,18.86,76.583333,,
83267,31/10/1998,0000,18,1.247312,4,139,,,157.9,5.870968,10,16,,964.217204,33.193548,25.347097,20.977419,80.596774,,
83267,30/11/1998,0000,9,1.247191,4,98.5,,,106.4,6.426966,8,8.1,,962.67191,30.993333,24.900667,21.496667,86.422414,,
83267,31/12/1998,0000,5,1.092473,4,95.5,,,113.5,6.698925,17,37.9,,963.126882,30.477419,24.890968,21.748387,86.830645,,
83267,31/01/1999,0000,0,0.978495,4,98.2,,,165.8,6.784946,19,49.9,,963.131183,31.567742,24.994839,21.274194,86.58871,,
83267,28/02/1999,0000,0,0.988095,4,75.5,,,145.8,6.607143,21,25.7,,963.880952,31.55,25.062857,21.464286,87.446429,,
83267,31/03/1999,0000,0,0.913978,3,79,,,138.2,6.623656,18,289,,962.68172,30.116129,24.532903,21.7,90.016129,,
83267,30/04/1999,0000,9,1.233333,6,112,,,210.4,5.4,5,26,,964.85,30.186667,23.716,19.853333,85.833333,,
83267,31/05/1999,0000,0,1,4,133.5,,,249.3,4.408602,1,10,,965.075269,31.43871,23.056774,18.170968,79.41129,,
83267,30/06/1999,0000,14,0.788889,4,125,,,230.6,3.8,1,15,,964.767778,32.726667,22.624667,16.756667,78.95,,
