Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82263,31/05/1970,0000,0,1.071739,6.7,,,,,0.716304,17,253.7,,,33.66129,26.544516,20.790323,86.620968,,
82263,30/06/1970,0000,0,1.297778,4.4,66.6,,,,0.746667,23,265.8,,,34.006667,26.373333,20.453333,83.666667,,
82263,31/07/1970,0000,5,1.27957,4.4,71.6,,,,0.653763,16,248.1,,,33.903226,25.885161,19.480645,84.258065,,
82263,31/08/1970,0000,5,1.853763,6.7,80.5,,,,0.680645,13,202,,,34.364516,26.228387,18.990323,81.903226,,
82263,30/09/1970,0000,5,2.102222,4.4,86.4,,,,0.718889,11,70.3,,,33.456667,26.073333,18.37,82.325,,
82263,31/10/1970,0000,5,2.24086,4.4,109.1,,,,0.647312,3,33.2,,,34.125806,26.921935,20.745161,78.766129,,
82263,30/11/1970,0000,5,1.776667,4.4,78.3,,,,0.706667,13,63.8,,1017.53,33.16,26.661333,22.85,81.091667,,
82263,31/12/1970,0000,5,1.901075,4.4,102.3,,,,0.604301,7,32,,,33.748387,27.39871,23.912903,80.33871,,
82263,31/01/1971,0000,5,1.688172,4.4,89,,,,0.654839,16,138.6,,,32.745161,26.540645,22.896774,81.782258,,
82263,28/02/1971,0000,0,1.244048,4.4,54.9,,,,0.727381,21,225.6,,,32.325,25.742143,22.271429,84.571429,,
82263,31/03/1971,0000,0,0.966667,4.4,57.6,,,,0.732258,27,367.1,,1016.43871,31.909677,25.999355,22.816129,83.725806,,
82263,30/04/1971,0000,0,0.756667,2.4,48.2,,,,0.712222,25,441,,,31.613333,25.958667,22.903333,86.15,,
82263,31/05/1971,0000,5,0.917204,4.4,67.6,,,,0.702151,26,276,,,32.909677,26.569032,23.387097,83.685484,,
82263,30/06/1971,0000,5,1.147778,4.4,68.6,,,,0.632222,23,311.9,,1018.42,33.376667,26.426667,22.596667,82.858333,,
82263,31/07/1971,0000,5,1.33871,2.4,76,,,,0.535484,18,205.8,,,33.341935,26.302581,22.290323,81.217742,,
82263,31/08/1971,0000,5,1.396774,2.4,89.9,,,,0.506452,15,44.9,,,33.716129,26.849032,23.012903,82.322581,,
82263,30/09/1971,0000,5,1.665556,4.4,98.6,,,,0.514444,,34.5,,,33.26,26.575333,22.893333,81.55,,
82263,31/10/1971,0000,5,1.594624,4.4,105.7,,,,0.552688,,129.9,,,33.209677,26.692903,22.93871,81.798387,,
82263,30/11/1971,0000,5,1.602222,4.4,98.9,,,,0.561111,,9,,,33.233333,26.638,22.923333,80.85,,
82263,31/12/1971,0000,5,1.833333,4.4,112.8,,,,0.551613,,58.7,,1016.2,33.812903,26.929677,22.787097,79.201613,,
82263,31/01/1972,0000,5,1.33871,4.4,67.9,,,,0.669892,23,225.8,,,32.129032,25.932903,22.6,84.798387,,
82263,29/02/1972,0000,5,1.405747,4.4,61.5,,,,0.624138,25,293.8,,,31.741379,25.483448,22.182759,85.586207,,
82263,31/03/1972,0000,5,1.613978,4.4,64.9,,,,0.593548,26,358.8,,,31.983871,25.770968,22.458065,82.830645,,
82263,30/04/1972,0000,5,1.082222,4.4,60.2,,,,0.578889,27,347.9,,1017.21,32.306667,25.988667,22.496667,84.183333,,
82263,31/05/1972,0000,5,1.232258,2.4,70.4,,,,0.574194,25,299.7,,,32.854839,26.474194,22.958065,81.645161,,
82263,30/06/1972,0000,5,1.315556,4.4,76,,,,0.503333,22,201.8,,,32.99,26.389333,22.593333,81.341667,,
82263,31/07/1972,0000,5,1.523656,4.4,73.7,,,,0.567742,24,241.7,,1018.12043,32.777419,26.280645,22.751613,83.322581,,
82263,31/08/1972,0000,5,1.31828,4.4,79.5,,,,0.566667,21,157.8,,,32.8,26.26129,22.522581,83.903226,,
82263,30/09/1972,0000,5,1.31,2.4,83.7,,,,0.541111,,94.8,,,32.773333,26.392,22.676667,84.1,,
82263,31/10/1972,0000,5,1.665591,4.4,88.5,,,,0.548387,,33.5,,,33.193548,26.712903,22.909677,81.008065,,
82263,30/11/1972,0000,5,1.703333,2.4,102.8,,,,0.583333,,1.8,,,33.73,27.252,23.356667,81.1,,
82263,31/12/1972,0000,5,1.473118,4.4,86.6,,,,0.626882,,345.6,,,32.909677,26.608387,22.741935,84.16129,,
82263,31/01/1973,0000,5,1.496774,2.4,72.7,,,,0.645161,26,320.2,,,32.258065,26.388387,23.122581,84.862903,,
82263,28/02/1973,0000,5,1.596429,4.4,50.7,,,,0.613095,21,262.8,,,32.167857,26.477143,23.339286,84.5625,,
82263,31/03/1973,0000,5,1.886957,12.3,47.2,,,,0.583696,28,429.8,,,32,26.395484,23.33871,85.366667,,
82263,30/04/1973,0000,5,1.856667,4.4,47,,,,0.638889,28,530.7,,,32.153333,26.147333,23.026667,86.933333,,
82263,31/05/1973,0000,5,1.786022,4.4,54.5,,,,0.598925,28,288.9,,,33.041935,26.441935,23.070968,84.145161,,
82263,30/06/1973,0000,5,1.660674,4.4,65.5,,,,0.56,24,297.5,,,33.58,26.78,22.99,82.216667,,
82263,31/07/1973,0000,5,1.366667,4.4,70.5,,,,0.544086,21,339,,,33.370968,26.554839,22.793548,83.491935,,
82263,31/08/1973,0000,5,3.35914,6.7,84.7,,,,0.434409,,66.2,,,34.045161,27.165806,22.929032,79.298387,,
82263,30/09/1973,0000,5,3.565556,6.7,78.4,,,,0.508889,17,71.7,,1018.33,33.476667,26.736,22.57,80.675,,
82263,31/10/1973,0000,5,3.652688,12.3,102.2,,,,0.508602,,127.7,,,34.258065,27.03871,22.596774,79.870968,,
82263,30/11/1973,0000,5,3.854444,6.7,86.1,,,,0.566667,,362.9,,,33.236667,27.188667,23.653333,80.516667,,
82263,31/12/1973,0000,5,3.586022,6.7,65.9,,,,0.575269,19,284.9,,,32.809677,26.362581,22.358065,83.685484,,
82263,31/01/1974,0000,5,3.965591,12.3,64.4,,,,0.592473,21,309.4,,,32.248387,25.97871,22.370968,85.556452,,
82263,28/02/1974,0000,5,2.994048,6.7,49.6,,,,0.679762,22,339.9,,1015.975,32.857143,26.410714,23.035714,85.053571,,
82263,31/03/1974,0000,5,3.049462,6.7,45.6,,,,0.77957,26,648.5,,,31.532258,25.851613,23.170968,88.395161,,
82263,30/04/1974,0000,5,2.911111,6.7,45.5,,,,0.721111,26,491.9,,,31.376667,26.094667,23.26,87.383333,,
82263,31/05/1974,0000,5,2.789247,6.7,53.1,,,,0.703226,28,451.5,,,32.319355,26.26129,23.083871,84.548387,,
82263,30/06/1974,0000,5,3.024444,12.3,61.7,,,,0.692222,22,244.9,,,33.22,26.855333,23.126667,81.925,,
82263,31/08/1974,0000,5,3.165217,6.7,85.6,,,,0.536957,,91.6,,,34.083871,27.039355,23.403226,82.008065,,
82263,30/09/1974,0000,5,3.884444,12.3,86.6,,,,0.61,18,186.1,,,33.37,26.881333,23.083333,82.258333,,
82263,31/10/1974,0000,5,3.760215,12.3,95.2,,,,0.616129,,20.5,,,33.570968,27.183226,23.370968,81.08871,,
82263,30/11/1974,0000,5,3.658427,4.4,96.4,,,,0.616667,,75.3,,,34.053333,27.342667,23.876667,82.112069,,
82263,31/12/1974,0000,5,3.758065,6.7,76.2,,,,0.689247,18,163.6,,,32.848387,26.779355,23.4,84.483871,,
82263,31/01/1975,0000,5,3.915054,6.7,62,,,,0.692308,22,388.7,,,32.133333,25.893103,22.346667,87.258621,,
82263,28/02/1975,0000,5,3.557143,6.7,47,,,,0.722619,22,172.7,,,31.407143,25.567857,22.539286,88.919643,,
82263,31/03/1975,0000,5,3.217204,4.4,53.1,,,,0.765217,27,634.6,,,32.053333,26.192667,22.867742,87.116667,,
82263,30/04/1975,0000,5,3.222222,4.4,54.2,,,,0.771111,28,395.4,,,32.993333,26.320667,23.033333,86.966667,,
82263,31/05/1975,0000,5,3.331183,6.7,62.1,,,,0.721505,22,254.7,,,32.822581,26.727742,23.464516,85.153226,,
82263,30/06/1975,0000,5,2.995556,6.7,64.5,,,,0.611111,23,202.6,,,33.86,26.995333,23.153333,82.366667,,
82263,31/07/1975,0000,5,2.935484,6.7,78.9,,,,0.568817,,102.5,,,33.441935,26.289032,21.829032,83.540323,,
82263,30/09/1975,0000,,,,,,,,,,16.3,,,,,,,,
82263,31/10/1975,0000,5,3.155814,4.4,79,,,,0.60814,,53.1,,,33.060714,26.522857,22.65,83.232143,,
82263,30/11/1975,0000,5,3.442222,7.6,97.8,,,,0.684444,,50.4,,,33.343333,26.996,23.1,82.683333,,
82263,31/12/1975,0000,5,2.895699,4.4,78.2,,,,0.552688,,207,,,33.077419,26.236774,22.624138,83.5,,
82263,31/01/1976,0000,5,1.711828,9,56.6,,,,0.696774,24,198.8,,,31.441935,26.01871,22.7,85.064516,,
82263,29/02/1976,0000,0,0.632184,2,44.4,,,136,0.750575,22,433.6,,,30.068966,25.544828,22.903448,87.37069,,
82263,31/03/1976,0000,5,0.817204,2,52.8,,,188.9,0.72043,27,450.1,,1009.9,31.258065,26.056774,23.158065,87.620968,,
82263,30/04/1976,0000,5,1.022222,5,56.1,,,194.4,0.644444,24,277.4,,,31.45,26.348667,23.503333,85.6,,
82263,31/05/1976,0000,5,0.774194,2,59.4,,,231.6,0.604301,20,192.5,,,31.929032,26.642581,23.606452,84.120968,,
82263,30/06/1976,0000,5,0.7,2,63.2,,,261.2,0.598889,22,217.8,,,32.13,26.305333,22.906667,84.483333,,
82263,31/08/1976,0000,5,1.108696,5,79,,,276.8,0.513043,,36.2,,,32.319355,26.434194,23.054839,83.951613,,
82263,30/09/1976,0000,5,1.266667,5,87.3,,,286.8,0.511111,,25,,,32.806667,26.887333,23.263333,81.075,,
82263,31/10/1976,0000,5,1.043011,5,97.8,,,245.6,0.522581,,38.3,,,33.358065,27.577419,24.43871,79.782258,,
82263,30/11/1976,0000,5,0.888889,3,109.6,,,242.3,0.577778,,24.3,,,33.11,27.518667,24.186667,80.825,,
82263,31/12/1976,0000,5,1.021505,3,109,,,256.9,0.507527,,103.8,,,33.393548,27.706452,24.374194,79.274194,,
82263,31/01/1977,0000,5,1.064516,7,61.5,,,154.3,0.705376,23,362.7,,,31.496774,26.46129,23.693548,85.362903,,
82263,28/02/1977,0000,0,0.654762,5,41.4,,,127.8,0.710714,27,355.4,,,30.921429,25.82,23.085714,88.651786,,
82263,31/03/1977,0000,5,0.860215,3,49.4,,,150.6,0.730108,31,314.3,,,31.235484,26.319355,23.770968,87.951613,,
82263,30/04/1977,0000,0,0.629213,3,41.1,,,139.5,0.737778,26,657.9,,,31.08,26.301333,23.68,85.241667,,
82263,31/05/1977,0000,5,0.709677,1,56.1,,,183,0.675269,24,330.2,,,31.977419,26.262581,23.180645,85.112903,,
82263,30/06/1977,0000,5,0.888889,9,58.1,,,225.1,0.546667,19,181.3,,,32.403333,26.41,22.936667,84.783333,,
82263,31/07/1977,0000,5,0.698925,3,70.1,,,238.3,0.47957,17,182.7,,,32.448387,26.196774,22.341935,85.459677,,
82263,31/08/1977,0000,5,0.903226,3,90.7,,,281.3,0.447312,10,106.3,,1012.22043,32.867742,26.89871,23.16129,80.943548,,
82263,30/09/1977,0000,5,0.911111,3,84,,,251.5,0.514444,9,38,,,32.613333,27.087333,23.676667,82.091667,,
82263,31/10/1977,0000,5,0.956989,3,98.1,,,260.3,0.503226,6,4.8,,,33.341935,27.777419,24.251613,78.508065,,
82263,30/11/1977,0000,5,0.9875,4,106.4,,,,0.52875,3,8.5,,1010.59625,33.761538,28.144615,24.422222,76.538462,,
82263,31/07/1978,0000,5,0.913043,3,51.1,,,253.1,0.606522,22,209.5,,,32.16129,26.375484,21.812903,83.75,,
82263,31/08/1978,0000,0,0.870968,3,58,,,276.4,0.486022,13,236.5,,,32.596774,26.226452,21.587097,83.612903,,
82263,30/09/1978,0000,5,1.055556,4,59.2,,,254.1,0.552222,13,71,,,32.513333,26.996667,23.543333,84.108333,,
82263,31/10/1978,0000,5,1.043011,3,63.6,,,257.1,0.511828,9,70.3,,,32.851613,27.066452,22.906452,82.975806,,
82263,30/11/1978,0000,,,2,,,,,,3,0.9,,,33.738889,27.762222,24.022222,80.319444,,
82263,31/12/1978,0000,,,4,69.8,,,188.9,0.67957,19,223.2,,,32.725806,27.119355,23.467742,83.532258,,
82263,31/01/1979,0000,,0.706522,2.4,50.2,,,168.7,0.731183,23,181.5,,,32.109677,26.751613,23.077419,,,
82263,28/02/1979,0000,,0.638095,4.4,36,,,125.9,0.80119,24,394.7,,,31.510714,26.07,22.546429,,,
82263,31/03/1979,0000,,0.764516,2.4,45.1,,,178.2,0.807527,28,435.7,,,32.064516,26.48,22.712903,,,
82263,30/04/1979,0000,,0.805556,4.4,50.5,,,183.7,0.752222,21,386.4,,,32.526667,26.776667,22.906667,,,
82263,31/05/1979,0000,,0.441935,2.4,48.2,,,220.7,0.731183,26,429.1,,,32.754839,26.773548,22.812903,,,
82263,30/06/1979,0000,,0.556962,2,58.3,,,210.5,0.531646,9,70.7,,,32.444444,26.501538,22.211111,,,
82263,31/07/1979,0000,,0.704545,4,57.6,,,232.6,0.534091,15,113.3,,,32.5,,,,,
82263,31/08/1979,0000,,0.622222,2,58.8,,,252,0.556667,17,169.5,,,32.413333,,,,,
82263,30/09/1979,0000,,0.753247,2,,,,218.6,0.597403,,62.3,,,32.707692,27.073846,23.530769,,,
82263,31/10/1979,0000,,0.774194,2,65.8,,,218.9,0.605376,,171,,,32.193548,27.001935,23.154839,,,
82263,30/11/1979,0000,,0.775,2,66.7,,,164.7,0.701266,,94,,,32.230769,27.001538,23.476923,,,
82263,31/12/1979,0000,,0.511628,3,63.6,,,151.2,0.739535,16,212.6,,,32.032143,26.507857,22.817857,,,
82263,31/01/1980,0000,0,0.408602,2,47.9,,,149.9,0.772043,22,297.7,,,31.341935,26.225161,23.006452,93.8,,
82263,29/02/1980,0000,0,0.413793,3,31.4,,,59.8,0.966667,28,487.1,,,29.696552,25.317931,22.524138,95.2,,
82263,31/03/1980,0000,0,0.591398,3,39.2,,,149,0.833333,30,345.8,,,31.103226,25.903226,22.693548,93.166667,,
82263,30/04/1980,0000,0,0.622222,3,44.6,,,175.8,0.806667,26,453.4,,,32.073333,26.42,22.946667,90.177083,,
82263,31/05/1980,0000,0,0.483871,3,45.5,,,238.4,0.660215,25,214.1,,,,,23.335484,88.133333,,
82263,30/06/1980,0000,0,0.588889,3,45.1,,,207.1,0.657778,22,281.7,,,,,22.706667,88.608333,,
82263,31/07/1980,0000,0,0.483871,2,54.4,,,259,0.539785,15,128.4,,,,,22.116129,89.221154,,
82263,31/08/1980,0000,0,0.612903,4,59,,,265.4,0.554839,17,128.8,,,32.783871,26.674839,22.6,90.815217,,
82263,30/09/1980,0000,5,0.822222,4,65.8,,,264,0.412222,,22.1,,,32.28,27.170667,23.973333,84.796296,,
82263,31/10/1980,0000,5,0.935484,3,86.9,,,254,0.468817,,16.2,,,32.903226,27.583871,24.187097,81.896552,,
82263,30/11/1980,0000,5,0.8,2,72.1,,,215.6,0.586667,,297.8,,,32.33,27.242,23.946667,83.903846,,
82263,31/12/1980,0000,5,0.795699,3,71,,,223.9,0.57957,,69.2,,,32.109677,27.115484,23.819355,83.67,,
82263,31/01/1981,0000,,0.55914,2,44.9,,,194.6,0.765591,25,397.9,,,31.4,26.139355,23.219355,,,
82263,28/02/1981,0000,,0.571429,2,42.3,,,165.6,0.814286,22,309.9,,,31.442857,26.324286,23.071429,,,
82263,31/03/1981,0000,,0.924731,3,58.5,,,198.3,0.731183,16,125.2,,,31.735484,26.767097,23.477419,,,
82263,30/04/1981,0000,,0.533333,2,55,,,221.9,0.67,19,133,,,33.046667,27.330667,23.96,,,
82263,31/05/1981,0000,,0.55914,2,45.4,,,161.8,0.77957,23,332.6,,,31.658065,26.516774,23.554839,,,
82263,30/06/1981,0000,,0.666667,2,46.6,,,247.2,0.481111,,65.6,,,32.426667,26.785333,23.006667,,,
82263,31/07/1981,0000,,0.634409,2,48.7,,,238.5,0.574194,,62.7,,,32.012903,26.250968,22.619355,,,
82263,31/08/1981,0000,,0.774194,3,60.5,,,253.9,0.506452,,32.6,,,32.412903,26.670323,22.716129,,,
82263,30/09/1981,0000,,0.944444,3,51.2,,,242.7,0.541111,,100.6,,,32.213333,26.866667,23.346667,,,
82263,31/10/1981,0000,,1.182796,3,88.4,,,233.3,0.513978,,10.4,,,32.793548,27.569677,23.851613,,,
82263,30/11/1981,0000,,1.044444,3,98.7,,,179.5,0.666667,,21.6,,,33.166667,28.389333,25.006667,,,
82263,31/12/1981,0000,,1,2,84.4,,,175.9,0.733333,,81.8,,,32.496774,27.53871,24.277419,,,
82263,31/01/1982,0000,0,0.473118,3,48.1,,,131.7,0.822581,23,386.1,,,30.758065,26.063226,23.187097,93.125,,
82263,28/02/1982,0000,,0.928571,4,36,,,116.1,0.891667,28,504.7,,,30.45,25.790714,23.257143,92.766667,,
82263,31/03/1982,0000,,0.967742,4,49.8,,,167.7,0.74086,26,431,,,30.990323,26.072903,23.43871,90.125,,
82263,30/04/1982,0000,36,0.977778,3,44.3,,,171.4,0.845556,28,484.7,,,31.15,26.346,23.546667,88.958333,,
82263,31/05/1982,0000,5,1.258065,4,60.4,,,222.5,0.753763,20,183,,,32.090323,26.687097,23.445161,86.26,,
82263,30/06/1982,0000,5,1.211111,4,49.7,,,243.5,0.633333,16,108.7,,,32.14,26.727333,23.426667,85.857143,,
82263,31/07/1982,0000,5,1.924731,4,66.9,,,270.4,0.558065,20,154.4,,,31.641935,26.602581,23.445161,86.133333,,
82263,31/08/1982,0000,5,1.27957,4,64.6,,,263.4,0.61828,,79.3,,,31.56129,26.452258,23.141935,86.358333,,
82263,30/09/1982,0000,5,1.133333,4,89.7,,,241.2,0.552222,,9.2,,,31.933333,27.118667,24.173333,84.590909,,
82263,31/10/1982,0000,5,1.75,4,111.5,,,264.6,0.535484,,53.9,,,32.503226,27.231613,23.877419,80.965517,,
82263,30/11/1982,0000,5,1.2,3,100,,,194.5,0.566667,,13.6,,,31.986667,26.950667,24.073333,83.823529,,
82263,31/12/1982,0000,5,1.951613,4,120.6,,,212.2,0.569892,,27.1,,,32.767742,27.929677,24.277419,79.317308,,
82263,31/01/1983,0000,,2.075269,4,99.6,,,198.3,6.536559,19,65.1,,,32.496774,27.783871,24.56129,,,
82263,28/02/1983,0000,,1.869048,4,50,,,163.3,7.488095,22,215,,,30.85,26.474286,23.785714,,,
82263,31/03/1983,0000,,2.010753,5,63.7,,,180.1,7.537634,24,270.4,,,31.764516,27.147097,24.509677,,,
82263,30/04/1983,0000,,1.488889,4,55.3,,,215.8,6.988889,27,427.2,,,32.166667,26.984,23.946667,,,
82263,31/05/1983,0000,,1.735484,4,70,,,263.5,6.752688,25,194.8,,,32.506452,27.411613,24.522581,,,
82263,30/06/1983,0000,,1.644444,5,66.7,,,253,5.866667,17,94.8,,,32.233333,27.182667,24.046667,,,
82263,31/07/1983,0000,,1.806452,4,68.6,,,273.1,5.44086,,158.3,,,31.741935,26.745806,23.53871,,,
82263,31/08/1983,0000,,1.83871,4,66.2,,,259.9,5.935484,,119.2,,,31.76129,26.836774,23.6,,,
82263,30/09/1983,0000,,2.111111,4,77.6,,,252.1,4.977778,,23.8,,,31.766667,26.926667,23.573333,,,
82263,31/10/1983,0000,,2.354839,4,90,,,234.3,5.204301,,227.2,,,31.877419,26.948387,23.480645,,,
82263,30/11/1983,0000,,2.288889,4,80.5,,,198.8,4.988889,,20.7,,,31.7,27.148,23.833333,,,
82263,31/12/1983,0000,,1.806452,6,75.7,,,170,6.913978,,173.5,,,31.841935,26.519355,23.229032,,,
82263,31/01/1984,0000,,1.72043,4,54.6,,,182.4,7.494624,25,283.6,,,30.625806,25.645806,22.393548,,,
82263,29/02/1984,0000,,1.505747,4,45.4,,,156.5,7.471264,26,229.4,,,30.489655,25.690345,22.868966,,,
82263,31/03/1984,0000,,1.150538,4,40.7,,,145.4,8.139785,29,455,,,30.554839,25.758065,23.019355,,,
82263,30/04/1984,0000,,1.166667,3,40.2,,,137.1,7.8,29,669.9,,,30.14,25.669333,22.746667,,,
82263,31/05/1984,0000,,1.350538,3.6,35,,,158.4,7.677419,27,589.9,,,31.225806,25.969677,22.774194,,,
82263,30/06/1984,0000,,1.6,4,67.7,,,241.2,4.988889,16,167.8,,,32.466667,26.589333,22.726667,,,
82263,31/07/1984,0000,,1.849462,4,68.6,,,266.8,5.548387,18,190.8,,,32.23871,,,,,
82263,31/08/1984,0000,,2.72043,8,75.8,,,286.7,5.258065,17,136.7,,,32.090323,,,,,
82263,30/09/1984,0000,,2.8,8,79.6,,,278.6,5.444444,15,147.3,,,32.12,26.98,23.253333,,,
82263,31/10/1984,0000,,2.645161,9,91,,,258.9,5.946237,,77.4,,,31.941935,27.223871,23.96129,,,
82263,30/11/1984,0000,,2.288889,6,75.7,,,212.9,6.1,15,181.6,,,31.38,26.876,23.686667,,,
82263,31/12/1984,0000,,2.655914,5,80.8,,,226.1,6.16129,16,67,,,31.919355,27.171613,23.690323,,,
82263,31/01/1985,0000,,1.924731,5,40.7,,,108.2,0.908602,31,502.1,,,29.754839,25.238065,22.612903,,,
82263,28/02/1985,0000,,1.761905,6,36.1,,,113.2,0.810714,26,389.3,,,29.732143,25.205,22.521429,,,
82263,31/03/1985,0000,,2.247312,8,40,,,135.9,0.858065,30,562.3,,,30.151613,25.735484,23.180645,,,
82263,30/04/1985,0000,,2.244444,9,46.6,,,146.9,0.735556,24,305.4,,,30.34,25.724,22.826667,,,
82263,31/05/1985,0000,,1.935484,4,44.1,,,187.6,0.730108,28,319.3,,,31,26.013548,22.96129,,,
82263,30/06/1985,0000,,1.388889,4,57.2,,,230.8,0.567778,21,184,,,31.833333,26.193333,22.233333,,,
82263,31/07/1985,0000,,2.462366,6,73.2,,,264.5,0.510753,16,96.5,,,32.193548,26.114194,22.064516,,,
