Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82445,28/02/1961,0000,,,,,,,,,24,368.6,,,,,,,,
82445,31/03/1961,0000,,,,,,,,,28,450.9,,,,,,,,
82445,30/04/1961,0000,,,,,,,,,25,173.3,,,,,,,,
82445,31/05/1961,0000,,,,,,,,,21,218.8,,,,,,,,
82445,30/06/1961,0000,,,,,,,,,0,0,,,,,,,,
82445,31/07/1961,0000,,,,,,,,,0,0,,,,,,,,
82445,31/08/1961,0000,,,,,,,,,0,0,,,,,,,,
82445,30/09/1961,0000,,,,,,,,,10,90.8,,,,,,,,
82445,31/10/1961,0000,,,,,,,,,20,213.3,,,,,,,,
82445,30/11/1961,0000,,,,,,,,,19,217.1,,,,,,,,
82445,31/12/1961,0000,,,,,,,,,24,410.2,,,,,,,,
82445,31/01/1962,0000,,,,,,,,,29,376.7,,,,,,,,
82445,28/02/1962,0000,,,,,,,,,26,394.2,,,,,,,,
82445,31/03/1962,0000,,,,,,,,,25,516.9,,,,,,,,
82445,30/04/1962,0000,,,,,,,,,25,367.5,,,,,,,,
82445,31/05/1962,0000,,,,,,,,,7,62.5,,,,,,,,
82445,30/06/1962,0000,,,,,,,,,8,30,,,,,,,,
82445,31/07/1962,0000,,,,,,,,,1,2.8,,,,,,,,
82445,31/08/1962,0000,,,,,,,,,5,12.4,,,,,,,,
82445,30/09/1962,0000,,,,,,,,,16,113.3,,,,,,,,
82445,31/10/1962,0000,,,,,,,,,20,296.8,,,,,,,,
82445,30/11/1962,0000,,,,,,,,,25,381.9,,,,,,,,
82445,31/12/1962,0000,,,,,,,,,20,356.5,,,,,,,,
82445,31/01/1963,0000,,,,,,,,,22,227.2,,,,,,,,
82445,28/02/1963,0000,,,,,,,,,24,188.7,,,,,,,,
82445,31/03/1963,0000,,,,,,,,,25,352.3,,,,,,,,
82445,30/04/1963,0000,,,,,,,,,21,325.8,,,,,,,,
82445,31/05/1963,0000,,,,,,,,,10,127.8,,,,,,,,
82445,30/06/1963,0000,,,,,,,,,0,0,,,,,,,,
82445,31/07/1963,0000,,,,,,,,,0,0,,,,,,,,
82445,31/08/1963,0000,,,,,,,,,1,1,,,,,,,,
82445,30/09/1963,0000,,,,,,,,,6,44.3,,,,,,,,
82445,31/10/1963,0000,,,,,,,,,8,92.5,,,,,,,,
82445,30/11/1963,0000,,,,,,,,,22,413.6,,,,,,,,
82445,31/12/1963,0000,,,,,,,,,21,452.4,,,,,,,,
82445,31/01/1964,0000,,,,,,,,,28,534.8,,,,,,,,
82445,29/02/1964,0000,,,,,,,,,25,653.6,,,,,,,,
82445,31/03/1964,0000,,,,,,,,,26,389.6,,,,,,,,
82445,30/04/1964,0000,,,,,,,,,22,255.5,,,,,,,,
82445,31/05/1964,0000,,,,,,,,,24,202,,,,,,,,
82445,30/06/1964,0000,,,,,,,,,4,59,,,,,,,,
82445,31/07/1964,0000,,,,,,,,,3,8.5,,,,,,,,
82445,31/08/1964,0000,,,,,,,,,2,7.4,,,,,,,,
82445,30/09/1964,0000,,,,,,,,,17,156.6,,,,,,,,
82445,31/10/1964,0000,,,,,,,,,24,271.1,,,,,,,,
