Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82562,31/01/1973,0000,0,0.73913,7,64,,,,0.691304,15,228.9,,,30.806452,26.075484,22.290323,84.693548,,
82562,28/02/1973,0000,0,0.571429,3,44,,,,0.744048,,282.7,,,30.453571,25.827143,22.207143,87.883929,,
82562,31/03/1973,0000,0,0.591398,5,53.1,,,,0.726882,23,284.6,,999.958065,30.629032,25.928387,22.241935,89.362903,,
82562,30/04/1973,0000,0,0.466667,3,49.4,,,,0.762222,17,294.9,,,30.27,25.621333,21.81,90.416667,,
82562,31/05/1973,0000,0,0.408602,3,62,,,,0.587097,,121.2,,,30.987097,25.813548,21.154839,87.346774,,
82562,30/06/1973,0000,0,0.611111,4,79,,,,0.538889,,70.5,,,31.546667,25.769333,20.593333,85.291667,,
82562,31/07/1973,0000,0,0.634409,3,83.5,,,,0.509783,,27.6,,,31.674194,25.356774,19.696774,85.282258,,
82562,31/08/1973,0000,0,0.72043,4,119.6,,,,0.378495,,16.6,,,33.080645,25.949677,19.187097,79.217742,,
82562,30/09/1973,0000,0,1.122222,4,85.5,,,,0.565556,,79,,,32.333333,25.916,19.696667,80.375,,
82562,31/10/1973,0000,0,0.83871,5,77.5,,,,0.706452,,144.2,,998.790323,31.332258,25.814194,19.919355,82.774194,,
82562,30/11/1973,0000,0,0.7,3,68.5,,,,0.606667,,137.1,,999.053333,31.26,25.848667,19.863333,83.825,,
82562,31/12/1973,0000,0,0.537634,3,59.6,,,,0.668817,17,300.3,,999.536559,30.012903,24.745161,18.812903,88.040323,,
82562,31/01/1974,0000,0,0.612903,5,56.1,,,,0.707527,16,230.1,,999.293548,29.932258,25.024516,21.887097,90.693548,,
82562,28/02/1974,0000,0,0.535714,12,45.8,,,,0.79881,16,482.2,,998.845238,29.921429,25.002143,21.835714,92.776786,,
82562,31/03/1974,0000,0,0.376344,3,40.7,,,,0.85914,18,380,,999.425806,29.132258,24.68129,21.248387,94.032258,,
82562,30/04/1974,0000,0,0.355556,3,47.5,,,,0.747778,,321,,1000.39,29.833333,24.634,19.106667,92.416667,,
82562,31/05/1974,0000,0,0.408602,3,68.1,,,,0.626882,,55.7,,,30.767742,25.313548,20.335484,86.790323,,
82562,30/06/1974,0000,0,0.566667,4,101.3,,,257.2,0.385556,,18.4,,,31.6,25.853333,21.366667,84.033333,,
82562,31/07/1974,0000,0,0.623656,4,170,,,300.1,0.293548,,4.1,,,32.335484,25.564516,20.293548,83.66129,,
82562,31/08/1974,0000,0,0.44086,3,135.9,,,264.5,0.350538,,4.1,,,33.129032,26.316774,20.741935,83.903226,,
82562,30/09/1974,0000,0,0.455556,3,66,,,166.4,0.575556,,28,,999.914444,31.89,26.165333,22.456667,90.533333,,
82562,31/10/1974,0000,0,0.430108,3,55.2,,,178.4,0.623656,,70.8,,998.911828,31.796774,26.084516,20.783871,88,,
82562,30/11/1974,0000,0,0.322222,3,66.5,,,166.8,0.64,,89.7,,998.117778,31.553333,26.038,20.683333,90.8,,
82562,31/12/1974,0000,0,0.193548,1,54.7,,,164.3,0.708602,22,221,,998.790323,30.322581,25.16,20.232258,92.233871,,
82562,31/01/1975,0000,0,0.268817,3,52.5,,,154.7,0.801075,19,386.6,,999.082796,30.232258,,,94.959677,,
82562,28/02/1975,0000,0,0.202381,1,42.2,,,126.6,0.794048,22,380.6,,999.52381,29.632143,,,92.678571,,
82562,31/03/1975,0000,0,0.215054,1,50,,,154,0.813978,21,466,,999.089247,30.496774,,,94.830645,,
82562,30/04/1975,0000,0,0.311111,1,51.6,,,175.6,0.775556,19,417.8,,998.394444,30.493333,,,96.125,,
82562,31/05/1975,0000,0,0.397849,3,53.5,,,197,0.658065,17,117.4,,998.886022,30.667742,,,96.137097,,
82562,30/06/1975,0000,0,0.333333,1,57.2,,,246.4,0.471111,,52.5,,,31.406667,,,92.383333,,
82562,31/07/1975,0000,0,0.408602,2,103.8,,,264,0.404301,,65.6,,,30.877419,,,86.008065,,
82562,31/08/1975,0000,0,0.387097,2,103.5,,,255.9,0.365591,,11.9,,999.501075,32.564516,,,82.870968,,
82562,30/09/1975,0000,0,0.566667,3,86.4,,,109.4,0.436667,,120,,998.968889,32.423333,,,84.533333,,
82562,31/10/1975,0000,0,0.397849,3,78.2,,,80.6,0.649462,,127.7,,998.244086,31.770968,23.852258,,83.612903,,
82562,30/11/1975,0000,0,0.322222,2,64.2,,,157.9,0.752222,,142.5,,997.603333,30.96,25.947333,22.196667,83.525,,
82562,31/12/1975,0000,0,0.193548,3,57.9,,,150,0.686022,,169.4,,996.872043,30.622581,25.639355,21.816129,92.177419,,
82562,31/01/1976,0000,0,0.290323,2,53.7,,,131.2,0.696774,20,215.9,,997.307527,29.967742,25.089032,21.977419,88.112903,,
82562,29/02/1976,0000,0,0.37931,2,43.6,,,96.8,0.768966,20,382.1,,997.801149,29.544828,25.06,21.903448,89.827586,,
82562,31/03/1976,0000,0,0.45977,2,52.8,,,157,0.751163,,371.4,,997.194253,30.816,25.8408,22.332258,87.2,,
82562,30/04/1976,0000,0,0.355556,2,54.8,,,177.6,0.672222,,271.3,,998.174444,30.923333,25.902667,22.393333,87.158333,,
82562,31/05/1976,0000,0,0.387097,2,62.4,,,203.1,0.564516,,95.8,,998.819355,31.454839,26.251613,22.335484,85.064516,,
82562,30/06/1976,0000,0,0.444444,2,111.8,,,228.8,0.382222,,2.2,,999.526667,32.2,25.838,20.64,77.216667,,
82562,31/07/1976,0000,0,0.365591,2,136.5,,,277,0.293548,,11.6,,,32.574194,25.794839,20.483871,73.806452,,
82562,31/08/1976,0000,0,0.591398,2,117,,,200.3,0.332258,,1.8,,,32.725806,26.442581,20.741935,74.967742,,
82562,30/09/1976,0000,0,0.544444,2,94.8,,,72.4,0.563333,,27.2,,999.505556,31.863333,26.389333,21.763333,78.691667,,
82562,31/10/1976,0000,0,0.408602,2,58.5,,,101.6,0.605376,,201.7,,997.793548,31.577419,26.756129,23.074194,82.758065,,
82562,30/11/1976,0000,0,0.3,2,46.4,,,83.2,0.721111,,189.2,,997.984444,30.113333,25.556,22.03,84.275,,
82562,31/12/1976,0000,0,0.192473,1.5,61.6,,,154.9,0.607527,16,198.2,,997.958065,30.635484,26.147097,22.122581,89.201613,,
82562,31/01/1977,0000,0,0.774194,3.1,48.1,,,110.5,0.769892,22,274.7,,999.73871,29.780645,25.379355,22.477419,89.104839,,
82562,28/02/1977,0000,0,0.940476,6.8,40,,,114.3,0.75119,24,457.4,,,29.635714,25.182857,22.125,89.053571,,
82562,31/03/1977,0000,0,0.988172,2.8,46.3,,,126.4,0.769892,23,300.1,,999.798925,30.493548,26.031613,22.870968,86.814516,,
82562,30/04/1977,0000,0,1.074444,5.3,47.8,,,129.1,0.725556,21,458.8,,,30.333333,26.002667,22.803333,86.991667,,
82562,31/05/1977,0000,0,0.980645,4.5,66,,,187.8,0.589247,16,166.2,,,30.864516,26.005806,22.290323,86.233871,,
82562,30/06/1977,0000,0,0.953333,4.1,82.4,,,216.6,0.402222,7,28.8,,,31.586667,26.086667,21.77,82.641667,,
82562,31/07/1977,0000,0,0.968817,4.1,122.7,,,257.7,0.291398,5,39.7,,,32.009677,26.009677,20.658065,77.548387,,
82562,31/08/1977,0000,0,0.982796,3.3,99.1,,,163,0.315054,2,12.1,,,32.774194,26.771613,21.335484,74.798387,,
82562,30/09/1977,0000,0,1.477778,5.1,85.7,,,49,0.478889,8,23.3,,1001.02,32.346667,26.924,22.256667,76.568966,,
82562,31/10/1977,0000,0,1.277419,4.6,77.8,,,69.5,0.639785,7,81.3,,1000.33871,31.63871,26.643226,22.248387,78.741935,,
82562,30/11/1977,0000,0,1.252222,3.3,74.7,,,87.9,0.566667,7,60.2,,999.528889,31.593333,26.593333,22.173333,76.991667,,
82562,31/12/1977,0000,0,1.003226,4.1,64.2,,,110.3,0.736559,18,258.8,,999.853763,30.683871,26.193548,22.590323,82.169355,,
82562,31/01/1978,0000,0,1.023656,3.6,59.1,,,137.4,0.64086,22,422.2,,,30.590323,25.789032,22.464516,82.645161,,
82562,28/02/1978,0000,0,1.228571,4.8,50.5,,,86.4,0.695238,22,320.9,,1000.175,30.285714,26.110714,23.335714,84.866071,,
82562,31/03/1978,0000,0,0.856989,4.3,57,,,111.2,0.711828,22,363.9,,,29.783871,25.807097,22.777419,83.508065,,
82562,30/04/1978,0000,0,1.155556,6.6,63.4,,,144.4,0.622222,17,308.2,,999.901111,31.376667,26.459333,23.026667,81.683333,,
82562,31/05/1978,0000,0,0.870968,2.8,85.4,,,169.6,0.553763,16,134.7,,,31.354839,26.383871,22.616129,81.991935,,
82562,30/06/1978,0000,0,0.991111,4.6,130.1,,,224.1,0.384444,5,33.8,,,31.553333,25.816,21.283333,79.141667,,
82562,31/07/1978,0000,0,1.002151,3.6,110.3,,,187.9,0.424731,7,26.4,,,31.896774,25.816129,21.332258,79.475806,,
82562,31/08/1978,0000,0,1.151613,3.8,168.6,,,129.7,0.24086,0,0,,,32.922581,26.313548,21.077419,80.217742,,
82562,30/09/1978,0000,0,1.394444,4.1,115.8,,,38.7,0.461111,3,49,,1000.75,32.253333,26.749333,22.233333,83.591667,,
82562,31/10/1978,0000,0,1.576344,5,97.5,,,81.9,0.589247,7,87.9,,999.707527,31.467742,26.318065,22.312903,82.814516,,
82562,30/11/1978,0000,0,1.195556,3.6,96.3,,,100.3,0.474444,7,114.2,,998.983333,31.93,26.697333,22.273333,81.908333,,
82562,31/12/1978,0000,0,1.390323,3.8,72.5,,,110.7,0.760215,18,215.3,,998.86129,30.43871,25.531613,22.022581,84.814516,,
82562,31/01/1979,0000,0,1.260215,3.5,,,,,6.002151,16,241.8,,993.584946,29.716,25.5224,22.428,86.836957,,
82562,28/02/1979,0000,,1.166667,3.3,,,,,4.319048,,126.6,,995.934524,29.894737,24.175789,21.294737,,,
82562,31/03/1979,0000,0,1.327957,4.8,68.6,,,124.9,6.845161,17,169,,992.150538,31.41,26.053793,22.665517,89.35,,
82562,30/04/1979,0000,0,1.161111,3.8,77.1,,,176.8,5.696667,,171.3,,992.926667,31.810714,26.444286,22.678571,88.663462,,
82562,31/05/1979,0000,0,1.174194,3.6,,,,,4.115054,,18.1,,994.52043,31.944,26.1512,22.392,86.836957,,
82562,30/06/1979,0000,36,1.522222,5,155.6,,,167.2,3.138889,,4.7,,995.841111,32.027586,25.833103,20.727586,78.133929,,
82562,31/07/1979,0000,0,1.168817,4,162.8,,,225.7,2.283871,,0,,,33.066667,25.990667,20.083333,78.905172,,
82562,31/08/1979,0000,0,1.554839,5.5,138.9,,,138.6,3.475269,,146.5,,1000.27957,33.132143,26.348571,21.221429,79.12037,,
82562,30/09/1979,0000,,1.382222,3.5,,,,,2.048889,,76.2,,,31.376923,25.752308,21.557692,,,
82562,31/10/1979,0000,0,1.497849,4.1,,,,,4.658065,,19.5,,999.952688,32.003846,26.863846,22.684615,86.03125,,
82562,30/11/1979,0000,0,1.401111,4.3,76.2,,,74.5,6.084444,,68.7,,998.596667,31.425,26.632143,22.121429,88.153846,,
82562,31/12/1979,0000,0,0.970968,3.6,64.3,,,71.1,5.305376,16,135.2,,999.408602,30.811111,25.818519,21.625926,89.19,,
82562,31/01/1980,0000,0,0.788172,3.3,,,,,5.001075,20,263.3,,,29.866667,25.230833,22.025,91.05,,
82562,29/02/1980,0000,0,1.275862,3.6,,,,,5.844828,21,479.9,,,29.218182,24.313636,21.395455,93.381579,,
82562,31/03/1980,0000,0,1.234409,4.6,,,,,2.404301,,295.2,,999.730108,31.382609,24.976522,21.726087,86.109375,,
82562,30/04/1980,0000,,1.228889,7,,,,,0.78,,7.5,,999.603333,,,,,,
82562,31/05/1980,0000,0,0.982796,7.1,,,,,2.976344,,64.9,,,32.304167,25.104167,21.883333,86.113636,,
82562,30/06/1980,0000,0,0.958889,3.5,91.9,,,161.9,2.407778,,14.6,,1001.78,32.577778,25.217778,21.266667,82.86,,
82562,31/07/1980,0000,0,1.05914,3.3,112.9,,,187.5,0.929032,,9,,,33.253571,25.120714,20.475,80.23,,
82562,31/08/1980,0000,0,1.148387,4.3,,,,,0.84086,,17.9,,,33.278261,25.364348,21.104348,80.216667,,
82562,30/09/1980,0000,0,1.407778,3.6,,,,,3.576667,,4.6,,,32.929167,25.770833,21.679167,82.956522,,
82562,31/10/1980,0000,,1.154839,4.1,,,,,1.916129,,81.8,,,31.6125,26.705,22.7875,81.25,,
82562,30/11/1980,0000,0,1.108989,5.1,,,,,4.25618,,103,,999.453933,31.729167,26.678333,22.983333,81.166667,,
82562,31/12/1980,0000,0,0.873563,3.3,,,,,3.808791,,223.6,,999.547253,30.8,26.206667,22.563636,83.892857,,
82562,31/01/1981,0000,0,0.983871,3.3,50.9,,,116.5,5.449462,20,379.7,,999.919355,30.657143,25.780714,22.285714,84.5,,
82562,28/02/1981,0000,0,1.164286,3.3,,,,,5.371429,,125.1,,999.157143,31.328,26.2672,22.576,83.08,,
82562,31/03/1981,0000,0,1.37957,4.3,,,,,4.503226,18,126.7,,,30.763636,26.400909,23.213636,83.95,,
82562,30/04/1981,0000,0,1.202222,3.5,,,,,2.106667,,172.5,,999.605556,32.395833,27.269167,23.041667,79.729167,,
82562,31/05/1981,0000,0,1.246667,4.1,,,,190.8,2.194444,,3.4,,,32.722222,27.115556,22.255556,74.567308,,
82562,30/06/1981,0000,0,1.093333,3.6,109.2,,,174.1,0.667778,,38,,,32.925,26.889286,21.546429,72.321429,,
82562,31/07/1981,0000,0,1.329032,3.6,,,,,0.87957,,12.6,,,33.238462,26.473846,21.238462,70.163462,,
82562,31/08/1981,0000,0,1.234409,3.6,,,,,0.575269,,5.7,,1001.48172,33.703846,27.235385,21.85,71.125,,
82562,30/09/1981,0000,5,1.497778,4.1,115.6,,,120.6,2.52,,1.7,,,33.825926,27.808148,23.077778,72.722222,,
82562,31/10/1981,0000,0,1.350538,4.6,,,,,3.163441,,122,,,32.295238,27.015238,23.2,77.775,,
82562,30/11/1981,0000,0,1.182222,4.1,,,,,4.077778,,112.9,,,30.566667,26.102857,22.766667,85.845238,,
82562,31/12/1981,0000,0,1.233333,4.1,,,,,3.841935,,119,,,30.885,26.095,22.495,84.025,,
82562,31/01/1982,0000,0,1.198925,3.6,,,,,3.888172,16,146.5,,999.778495,30.616667,25.783333,22.688889,86.666667,,
