Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82181,30/04/1974,0000,5,2.348315,7,73.8,,,154.9,0.695506,17,288.5,,994.350562,29.82,25.862,22.783333,83.333333,,
82181,31/05/1974,0000,5,2.075269,7,68.3,,,171.3,0.682796,17,257.9,,995.451613,29.509677,25.549032,22.690323,85.927419,,
82181,30/06/1974,0000,5,1.822222,7,71.7,,,176.2,0.673333,18,237.4,,994.993333,29.79,25.574,22.423333,84.483333,,
82181,31/07/1974,0000,5,2,7,105.5,,,251.4,0.545161,,131.2,,996.484946,30.751613,25.784516,20.335484,78.153226,,
82181,31/08/1974,0000,5,3.053763,7,121.8,,,267.7,0.449462,,29.8,,995.248387,31.680645,26.201935,19.629032,76.580645,,
82181,30/09/1974,0000,5,3.077778,7,120.5,,,233.9,0.544444,,65.2,,994.578889,31.94,25.99,18.806667,78.15,,
82181,31/10/1974,0000,5,3.107527,8,135.4,,,260.8,0.477419,,35.6,,993.443011,32.296774,26.48,18.532258,75.903226,,
82181,30/11/1974,0000,5,3.211111,8,134.7,,,243.9,0.511111,,34.6,,992.38,32.376667,26.496,18.975862,76.5,,
82181,31/12/1974,0000,5,2.709677,8,96.8,,,170.9,0.721505,,136.8,,993.162366,30.793548,25.203871,17.548387,80.491935,,
82181,31/01/1975,0000,5,2.505376,8,80.2,,,174.2,0.668817,20,289.4,,993.417204,30.177419,25.635484,22.522581,83.943548,,
82181,28/02/1975,0000,5,2.333333,8,61.4,,,132.5,0.80119,21,246,,994.3,29.621429,25.212143,22.014286,86.330357,,
82181,31/03/1975,0000,5,1.849462,7,62.6,,,143.3,0.753763,25,480.3,,994.687097,29.796774,25.468387,22.212903,85.983871,,
82181,30/04/1975,0000,5,2.133333,7,58.1,,,154.4,0.75,23,411.7,,994.272222,29.503333,25.465333,22.406667,87.183333,,
82181,31/05/1975,0000,5,2.365591,8,55.4,,,169.7,0.741935,24,395.5,,994.794624,29.670968,25.508387,22.087097,86.919355,,
82181,30/06/1975,0000,5,2.662921,7,59.9,,,187.8,0.688764,22,190,,996.147191,29.393103,24.513793,17.826667,85.931034,,
82181,31/07/1975,0000,5,1.989247,7,80.6,,,224,0.549462,,81,,996.045161,29.874194,24.599355,17.567742,81.5,,
82181,31/08/1975,0000,5,3.032258,8,109.9,,,263.5,0.445161,,80.8,,995.250538,31.329032,25.932258,19.116129,78.201613,,
82181,30/09/1975,0000,5,3.466667,8,119.3,,,262.4,0.431111,,37.4,,994.82,31.913333,26.965333,22.85,78.175,,
82181,31/10/1975,0000,5,3.634409,8,139.7,,,273.1,0.450538,,22.6,,993.492473,32.609677,27.202581,21.480645,77.064516,,
82181,30/11/1975,0000,5,3.644444,8,138.1,,,229.5,0.567778,,21.4,,992.965556,32.07,27.074667,22.48,78.125,,
82181,31/12/1975,0000,5,3.494624,8,120,,,219.5,0.587097,,47.8,,993.410753,31.674194,26.704516,22.887097,78.887097,,
82181,31/01/1976,0000,5,2.709677,8,79.5,,,175,0.736559,16,157.5,,993.706452,29.796774,24.593548,18.641935,84.717742,,
82181,29/02/1976,0000,5,1.954023,5,58.6,,,128.5,0.827586,17,269.6,,993.991954,29.551724,24.409655,18.496552,86.508621,,
82181,31/03/1976,0000,5,2.116883,6,,,,,0.788312,15,190.7,,993.309091,29.72,24.7784,18.926923,85.67,,
82181,30/04/1976,0000,5,2.255556,7,64.4,,,174.4,0.688889,18,188.7,,994.464444,30.436667,25.224667,19.73,85.6,,
82181,31/05/1976,0000,5,2.623656,7,77.6,,,208,0.595699,15,85.8,,995.007527,30.393548,25.86,21.358065,83.935484,,
82181,30/06/1976,0000,5,2.6,8,71.1,,,198.9,0.618889,16,179.6,,995.465556,30.013333,25.324,20.666667,83.958333,,
82181,31/07/1976,0000,5,3.021505,8,99.1,,,278,0.394624,,71.6,,996.986022,30.719355,25.863871,21.293548,80.508065,,
82181,31/08/1976,0000,5,3.83871,8,132.9,,,287.5,0.373118,,28.4,,995.96129,31.73871,26.582581,22.174194,76.508065,,
82181,30/09/1976,0000,5,3.944444,8,157.6,,,271.5,0.287778,,0,,994.834444,32.523333,27.386,22.603333,73.208333,,
82181,31/10/1976,0000,5,3.88172,8,146.6,,,264,0.425806,,40,,993.002151,32.867742,27.887742,22.929032,70.991935,,
82181,30/11/1976,0000,5,3.633333,8,142.8,,,205.4,0.463333,,0.6,,992.963333,32.446667,27.532,22.746667,71.25,,
82181,31/12/1976,0000,5,3.731183,7,173.5,,,232.8,0.436559,,0,,992.515054,33.380645,28.098065,23.290323,69.870968,,
82181,31/01/1977,0000,5,3.043011,7,104.9,,,168.7,0.745161,22,140.7,,993.56129,31.232258,25.879355,21.403226,77.080645,,
82181,28/02/1977,0000,5,2.583333,8,58.5,,,115.6,0.813095,21,275.4,,994.75,29.778571,24.991429,21.103571,79.508929,,
82181,31/03/1977,0000,5,2.926882,13.3,69.6,,,140.9,0.755914,23,191.6,,997.033333,30.287097,25.381935,20.687097,83.532258,,
82181,30/04/1977,0000,5,2.782222,6.6,48.2,,,92,0.776667,27,284.2,,998.553333,29.34,24.722,18.343333,87.108333,,
82181,31/05/1977,0000,5,3.075269,7.8,71.9,,,210.4,0.7,18,234.3,,998.995699,29.929032,25.750968,21.993548,83.548387,,
82181,30/06/1977,0000,5,2.874444,7.6,72,,,188.5,0.568889,13,218,,999.067778,29.243333,25.658667,22.83,82.9,,
82181,31/07/1977,0000,5,3.501075,7.3,104,,,256.5,0.482796,10,167.2,,,30.174194,25.987742,22.703226,82.225806,,
82181,31/08/1977,0000,5,3.896774,8,146.7,,,292,0.343011,2,4.8,,999.947312,31.758065,27.175484,23.135484,77.040323,,
82181,30/09/1977,0000,5,4.265556,8,159.6,,,262,0.432222,3,30.8,,999.684444,32.433333,27.586667,23.437931,76.166667,,
82181,31/10/1977,0000,5,4.416129,10.6,156.2,,,258.2,0.510753,1,0.2,,998.974194,32.609677,27.815484,23.587097,75.943548,,
82181,30/11/1977,0000,5,5.074444,8.3,177.6,,,230.4,0.404444,0,0,,998.192222,32.856522,28.06087,23.453333,75.525,,
82181,31/12/1977,0000,5,3.621505,10,123.5,,,148,0.624731,15,171.1,,998.836559,31.135484,26.81871,22.948387,79.91129,,
82181,31/01/1978,0000,5,3.207527,6.6,76.3,,,144.6,0.717204,24,182.4,,999.874194,29.593548,25.715484,22.212903,85.709677,,
82181,28/02/1978,0000,5,3.20119,8.3,76.7,,,132.5,0.708333,22,155.2,,998.735714,30.042857,26.17,22.757143,85.660714,,
82181,31/03/1978,0000,5,3.134409,6.6,72.9,,,131.8,0.708602,18,347.6,,999.019355,29.16129,25.483226,22.283871,87.056452,,
82181,30/04/1978,0000,5,2.636667,6.6,66.8,,,145.7,0.706667,17,337,,999.01,29.706667,25.872,22.533333,88.2,,
82181,31/05/1978,0000,5,2.707527,6.6,74.6,,,178.3,0.643011,16,253.8,,998.966667,29.896774,26.072903,22.870968,86.435484,,
82181,30/06/1978,0000,5,2.387778,7.3,76.5,,,171.5,0.585556,15,105,,,29.916667,25.747333,22.486667,84.691667,,
82181,31/07/1978,0000,5,2.731183,7,104.5,,,241.1,0.452688,12,63.2,,999.387097,30.432258,25.968387,22.335484,81.927419,,
82181,31/08/1978,0000,5,2.301075,8,129.7,,,246.4,0.370968,9,68.6,,,30.806452,26.399355,22.432258,79.927419,,
82181,30/09/1978,0000,5,3.766667,8,159.1,,,242.7,0.387778,3,6.4,,998.983333,32.19,27.240667,22.746667,77.6,,
82181,31/10/1978,0000,5,3.967742,8,170,,,252.4,0.469892,4,14.4,,998.215054,32.709677,27.629032,22.96129,75.564516,,
82181,30/11/1978,0000,5,3.955556,8,186,,,223.5,0.408889,0,0,,997.927778,32.836667,27.858,23.026667,73.683333,,
82181,31/12/1978,0000,5,3.064516,8,128.2,,,176.7,0.61828,,38.4,,998.448387,31.145161,26.385806,22.412903,79.556452,,
82181,31/01/1979,0000,,2.634409,7,119.9,,,132.4,0.706452,15,91.2,,997.919355,31.064516,26.489677,22.696774,,,
82181,28/02/1979,0000,,1.892857,6,73.1,,,97.7,0.769048,19,197,,998.984524,29.817857,25.607857,21.935714,,,
82181,31/03/1979,0000,,2.919355,6.6,72.2,,,123.3,0.745161,20,190.6,,998.595699,29.767742,25.74,22.425806,,,
82181,30/04/1979,0000,,3.012222,7,78.1,,,151.9,0.633333,,128.2,,998.54,30.133333,26.266667,22.76,,,
82181,31/05/1979,0000,,2.915054,6.3,73.9,,,161.4,0.645161,23,219.4,,998.929032,30.080645,26.143226,22.670968,,,
82181,30/06/1979,0000,,2.27,6,88.1,,,193.4,0.543333,,102.8,,,30.4,26.551333,23.213333,,,
82181,31/07/1979,0000,,2.995699,6.6,119.4,,,244.1,0.448387,,53.2,,,30.925806,26.585161,23.012903,,,
82181,31/08/1979,0000,,3.613978,7,117,,,235.2,0.408602,,68,,998.989247,31.245161,26.789032,22.774194,,,
82181,30/09/1979,0000,,3.571111,7.6,124.4,,,234.1,0.451111,,52.6,,998.767778,31.88,26.925333,22.606667,,,
82181,31/10/1979,0000,,3.886022,7,142.3,,,195.8,0.466667,,93.8,,998.093548,32.212903,27.397419,23.135484,,,
82181,30/11/1979,0000,,3.837778,8,124.6,,,187.8,0.551111,,95,,997.046667,31.726667,27.202,23.133333,,,
82181,31/12/1979,0000,,3.802151,8,125.3,,,196.1,0.574194,,29.6,,997.94086,31.477419,26.795484,22.780645,,,
82181,31/01/1980,0000,5,3.290323,8.6,91.3,,,148.4,0.708602,19,210.6,,998.465591,30.477419,25.907742,22.167742,85.701923,,
82181,29/02/1980,0000,5,3.189535,6.6,92.1,,,100.2,0.760465,,97.8,,998.136047,30.47931,26.160714,22.717241,81.902174,,
82181,31/03/1980,0000,5,3.394624,8.3,79.8,,,125.1,0.726882,21,341.8,,998.336559,29.858065,25.671613,22.222581,85.035714,,
82181,30/04/1980,0000,5,2.954444,6,67.3,,,117,0.72,19,282.6,,998.278889,29.85,25.657333,22.253333,86.447917,,
82181,31/05/1980,0000,5,3.166667,6.6,78.7,,,184,0.567742,,230.2,,998.92043,30.751613,26.286452,22.503226,85.419643,,
82181,30/06/1980,0000,9,3.295556,6.6,86.3,,,182.8,0.481111,,145.2,,999.868889,30.37,26.120667,22.603333,83.548077,,
82181,31/07/1980,0000,9,3.148387,7.5,109.5,,,230.8,0.398925,,38,,999.703226,30.951613,26.332903,22.548387,84.534483,,
82181,31/08/1980,0000,5,3.855914,6.6,141.6,,,256.7,0.362366,,8.6,,999.93871,32.112903,27.159355,22.958065,76.3625,,
82181,30/09/1980,0000,5,4.374444,7.6,168.4,,,242.1,0.367778,,7.2,,998.727778,33.093333,27.840667,23.073333,77.380435,,
82181,31/10/1980,0000,,4.568817,7.5,186.8,,,231.2,0.383871,,6.2,,998.233333,33.06129,27.97871,23.503226,,,
82181,30/11/1980,0000,,4.337778,9.6,157.3,,,197.4,0.496667,,105.8,,997.463333,32.226667,27.492667,23.733333,,,
82181,31/12/1980,0000,,4.422581,8.3,173.9,,,232.2,0.434409,,95.4,,997.222581,32.648387,27.727097,23.887097,,,
82181,31/01/1981,0000,5,3.72967,6.6,118,,,138.4,0.636264,,43.4,,998.164835,31.074194,26.207333,22.83871,81.78125,,
82181,28/02/1981,0000,,3.734524,7.5,87.9,,,119.1,0.670238,16,165,,997.513095,30.353571,25.987857,22.75,,,
82181,31/03/1981,0000,,3.830108,7.6,121.1,,,177.3,0.563441,,177.4,,998.331183,31.135484,26.866452,23.374194,,,
82181,30/04/1981,0000,5,3.45,6.6,89.8,,,169.5,0.642222,,131.2,,997.497778,30.973333,26.890667,23.696667,,,
82181,31/05/1981,0000,5,2.995699,6.6,77.7,,,158.6,0.625806,17,251,,998.688172,30.319355,26.249677,23.148387,86.323529,,
82181,30/06/1981,0000,5,3.236667,7.3,101.1,,,198.1,0.458889,,31.4,,999.625556,30.613333,26.572667,23.473333,83.73,,
82181,31/07/1981,0000,5,3.011828,7.8,107.3,,,196.1,0.498925,,53.4,,,30.335484,25.923871,22.645161,83.907407,,
82181,31/08/1981,0000,5,3.46129,6.6,133.5,,,249.4,0.341935,,68.4,,999.244086,31.803226,26.996129,23.270968,80.846154,,
82181,30/09/1981,0000,5,4.186667,9,134,,,209.2,0.288889,,31.2,,999.243333,31.713333,27.286,23.803333,,,
82181,31/10/1981,0000,9,4.204301,8.3,167.8,,,244.8,0.286022,,5.2,,997.826882,32.725806,27.905806,24.119355,74.1875,,
82181,30/11/1981,0000,9,4.462921,7.8,164.2,,,191,0.397753,,22.8,,996.752809,32.653333,28.012414,24.34,77.37,,
82181,31/12/1981,0000,9,4.515054,11.6,154.6,,,173.1,0.498925,,57.2,,997.334409,31.745161,27.163871,23.680645,76.869048,,
82181,31/01/1982,0000,9,3.01828,7,82.7,,,129.3,0.767742,20,148.8,,998.091398,29.764516,25.494194,22.454839,86.625,,
82181,28/02/1982,0000,5,3.285714,8.3,64.2,,,102.8,0.780952,18,159.8,,998.147619,29.378571,25.383571,22.442857,86.45,,
82181,31/03/1982,0000,,3.466667,6.6,83,,,129.6,0.782796,18,258.7,,997.732258,29.929032,25.847742,22.925806,,,
82181,30/04/1982,0000,5,3.033333,5.8,62.3,,,109.8,0.771111,24,452.4,,998.177778,29.54,,,91.26,,
82181,31/05/1982,0000,5,3.058065,7.6,69.5,,,173.6,0.598925,24,341,,998.604301,29.922581,25.91375,22.8125,87.907895,,
82181,30/06/1982,0000,,3.532584,6.3,85.9,,,222,0.455056,,123,,999.91573,30.063333,26.060667,23.05,,,
82181,31/07/1982,0000,5,3.751613,6.6,94.8,,,210.2,0.35914,,117.4,,,30.335484,26.098065,22.935484,78.306818,,
82181,31/08/1982,0000,5,3.804301,6.6,116.2,,,244.6,0.323656,,51.2,,,31,26.363871,22.835484,80.583333,,
82181,30/09/1982,0000,5,4.506667,8,149.8,,,250.3,0.292222,,20.7,,998.73,32.123333,27.338667,23.483333,75.428571,,
82181,31/10/1982,0000,,4.434409,7.8,168.3,,,246.4,0.317204,,0.2,,997.84086,32.806452,27.689677,23.619355,,,
82181,30/11/1982,0000,,5.08,9,169,,,213.3,0.266667,,0,,997.093333,32.67,27.653333,23.36,,,
82181,31/12/1982,0000,,4.587097,8.3,176.7,,,192.6,0.465591,,19.4,,997.069892,32.677419,27.821935,23.735484,,,
82181,31/01/1983,0000,,4.466667,8.3,159.2,,,198.7,5.019355,,65.5,,997.37957,32.429032,27.558065,23.512903,,,
82181,28/02/1983,0000,,4.14881,9,96.1,,,152.3,6.119048,,159.8,,998.083333,31.189286,26.82,23.446429,,,
82181,31/03/1983,0000,,4.091398,9.5,103.9,,,160.7,6.849462,17,303.4,,997.590323,31.019355,26.831613,23.854839,,,
82181,30/04/1983,0000,,3.575556,6.6,81.6,,,155.1,6.355556,17,220.7,,997.308889,30.82,26.778667,23.82,,,
82181,31/05/1983,0000,,3.525806,6.6,86.2,,,205.6,5.16129,17,88.2,,997.367742,30.912903,26.95871,24.129032,,,
82181,30/06/1983,0000,,3.338889,5.8,98.4,,,242.2,3.588889,,138.5,,999.142222,31.03,26.946667,23.86,,,
82181,31/07/1983,0000,,4.12043,8.8,128.7,,,259.4,2.892473,,21.6,,999.191398,31.309677,26.710323,23.348387,,,
82181,31/08/1983,0000,,3.793548,7.8,138.5,,,243,3.666667,,23.6,,999.736559,32.116129,27.390968,23.748387,,,
82181,30/09/1983,0000,,4.64,8.3,172.5,,,263.9,2.4,,5,,998.922222,32.97,27.921333,23.68,,,
82181,31/10/1983,0000,,5.543011,8.5,203.7,,,226.9,3.956989,,0,,997.805376,33.3,28.135484,23.835484,,,
82181,30/11/1983,0000,,5.29,8.3,200.1,,,180.2,3.288889,,7.2,,998.587778,33.263333,28.147333,24.023333,,,
82181,31/12/1983,0000,,3.898925,8,155.3,,,193.3,5.548387,,106.2,,998.217204,32.574194,27.359355,23.651613,,,
82181,31/01/1984,0000,,3.313978,6.6,92,,,,6.55914,18,189.9,,998.023656,30.119355,25.43871,22.3,,,
82181,29/02/1984,0000,,2.885057,8.8,71,,,,7.482759,22,301.4,,997.562069,30.082759,25.637241,22.624138,,,
82181,31/03/1984,0000,,2.853763,6.6,66.3,,,146.7,7.569892,23,221.6,,997.816129,29.864516,25.712903,23.006452,,,
82181,30/04/1984,0000,,2.52,6,56.7,,,118.6,7.933333,25,363,,998.625556,29.456667,25.640667,23.086667,,,
82181,31/05/1984,0000,,2.523656,7.5,62.4,,,157.1,6.784946,17,301.8,,998.552688,29.729032,25.836129,23.080645,,,
82181,30/06/1984,0000,,2.784444,5,83.7,,,168.9,4.677778,15,181.4,,999.54,29.763333,25.903333,22.886667,,,
82181,31/07/1984,0000,,3.232258,6.6,107,,,246.3,4.698925,9,91.4,,999.688172,30.554839,26.212258,22.970968,,,
82181,31/08/1984,0000,,3.634409,7,116.5,,,242.2,4.258065,13,206.9,,,30.774194,26.480645,22.922581,,,
