Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82141,31/01/1961,0000,5,2.870968,5,81.1,,,175.6,0.591398,20,391.6,,1009.26129,30.454839,27.126452,24.574194,83.120968,,
82141,28/02/1961,0000,5,1.809524,4,38.9,,,82.7,0.714286,23,906.2,,,28.703571,25.137857,22.5,89.196429,,
82141,31/03/1961,0000,5,2.129032,5,52.1,,,151.2,0.62043,28,754.1,,,29.703226,26.191613,23.441935,87.58871,,
82141,30/04/1961,0000,5,1.711111,4,40,,,111,0.665556,27,845.7,,,29.536667,25.896,22.79,88.583333,,
82141,31/05/1961,0000,5,1.666667,4,45.7,,,153.7,0.637634,29,798.8,,,30.016129,26.247742,23.451613,87.91129,,
82141,30/06/1961,0000,9,2.344444,4,73,,,220.7,0.552222,23,180.8,,,30.776667,26.7,23.58,83.591667,,
82141,31/07/1961,0000,5,2.376344,5,76.6,,,278.7,0.468817,20,231.9,,,31.009677,26.696774,23.341935,82.137097,,
82141,31/08/1961,0000,5,3.064516,5,97.3,,,300.8,0.472043,11,54.5,,1011.8,30.890323,27.320645,24.425806,78.58871,,
82141,30/09/1961,0000,5,3.733333,5,118.9,,,289.8,0.437778,1,2.8,,,31.306667,27.59,24.85,74.991667,,
82141,31/10/1961,0000,5,3.741935,5,135.4,,,276,0.43871,6,36.1,,,31.783871,27.989032,25.183871,74.282258,,
82141,30/11/1961,0000,5,3.2,5,113.6,,,274.7,0.445556,6,64,,1009.06,31.75,27.736667,24.66,76.425,,
82141,31/12/1961,0000,5,3.354839,5,111,,,251.4,0.476344,11,90.1,,,31.170968,27.552903,24.816129,77.233871,,
82141,31/01/1962,0000,5,2.688172,5,89.7,,,209.2,0.536559,19,303.1,,,31.032258,27.073548,23.958065,80.354839,,
82141,28/02/1962,0000,5,1.940476,4,46,,,106.7,0.661905,24,554.9,,1009.975,29.371429,26.092143,23.525,87.839286,,
82141,31/03/1962,0000,5,1.731183,4,55.8,,,128.7,0.644086,29,686.5,,,29.874194,26.000645,23.025806,87.137097,,
82141,30/04/1962,0000,5,1.244444,4,38.4,,,92.8,0.702222,25,770.1,,1010.18,29.563333,25.858,23.013333,89.491667,,
82141,31/05/1962,0000,5,1.522581,3,63.4,,,188.5,0.601075,27,357.9,,,30.970968,26.829677,23.767742,84.83871,,
82141,30/06/1962,0000,5,2.122222,4,81.6,,,251.4,0.475556,15,103.1,,1010.98,31.4,27.034,23.666667,80.583333,,
82141,31/07/1962,0000,5,1.936559,4,86.7,,,259.5,0.465591,18,143.3,,,31.387097,26.989032,23.706452,81.129032,,
82141,31/08/1962,0000,5,2.623656,4,99.4,,,283.7,0.445161,8,80.9,,,31.477419,27.563226,24.506452,77.862903,,
82141,30/09/1962,0000,5,2.9,4,122.5,,,287.9,0.481111,5,63.4,,,31.766667,27.817333,25.02,74.95,,
82141,31/10/1962,0000,5,2.225806,4,130.6,,,301,0.426882,5,16.5,,,32.080645,28.030968,25.2,73.516129,,
82141,30/11/1962,0000,5,2.311111,4,116,,,251.1,0.465556,8,140.7,,,32.093333,27.887333,24.923333,75.116667,,
82141,31/12/1962,0000,5,2.27957,4,103.4,,,249.3,0.462366,11,124.1,,,31.790323,27.890323,24.848387,77.475806,,
82141,31/01/1963,0000,5,1.645161,4,70.7,,,183.8,0.567742,21,209.4,,,30.945161,26.590323,23.474194,83.169355,,
82141,28/02/1963,0000,5,1.25,3,47.1,,,116.6,0.633333,26,468.5,,,30.842857,26.187143,22.964286,86.589286,,
82141,31/03/1963,0000,5,1.11828,3,42.7,,,101.9,0.668817,25,729.8,,,30.316129,25.712258,22.758065,89.516129,,
82141,30/04/1963,0000,5,1.277778,4,46,,,127,0.618889,23,430.7,,,30.876667,26.342667,23.183333,87.758333,,
82141,31/05/1963,0000,5,1.774194,4,70.8,,,216.4,0.56129,19,250.1,,,31.677419,27.070323,23.787097,83.282258,,
82141,30/06/1963,0000,5,1.933333,4,78.2,,,253.8,0.512222,19,168.1,,,31.706667,27.14,23.79,82.341667,,
82141,31/07/1963,0000,5,1.741935,3,87.8,,,283.9,0.48172,15,90.9,,,31.777419,27.263226,23.851613,80.258065,,
82141,31/08/1963,0000,5,2.16129,4,104.8,,,293.6,0.44086,7,26.5,,,31.658065,27.714839,24.677419,77.137097,,
82141,30/09/1963,0000,5,2.655556,4,115.8,,,267.1,0.406667,8,21.3,,,31.893333,27.864667,24.87,75.7,,
82141,31/10/1963,0000,5,2.784946,4,128.4,,,276.6,0.377419,3,7.2,,,32.425806,28.297419,25.348387,73.653226,,
82141,30/11/1963,0000,5,2.211111,4,119.3,,,243.5,0.4,7,250.3,,,32.326667,28.168,25.26,74.916667,,
82141,31/01/1964,0000,5,1.108696,3,41.2,,,115.8,0.625,24,876.3,,,29.703226,26.067097,23.348387,88.491935,,
82141,29/02/1964,0000,5,1.333333,3,40,,,,0.665517,24,1025.6,,,29.996552,26.015172,23.203448,89.293103,,
82141,31/03/1964,0000,5,1.172043,3,41.5,,,,0.656989,29,845.6,,,31.03871,26.203871,23.070968,89.443548,,
82141,30/04/1964,0000,5,1.1,3,35.1,,,,0.668889,30,812.5,,,30.956667,25.981333,22.89,89.608333,,
82141,31/05/1964,0000,5,1.204301,3,48.3,,,,0.594624,23,523,,,31.535484,26.447742,23.193548,87.395161,,
82141,30/06/1964,0000,5,1.555556,4,76.5,,,,0.518889,19,165.3,,,31.93,26.906667,23.41,82.083333,,
82141,31/08/1964,0000,5,2.208791,4,96.8,,,,0.481522,12,71.6,,,32.067742,27.327742,23.903226,79.072581,,
82141,30/09/1964,0000,5,3.2,4,111.4,,,,0.472222,8,68.5,,,31.953333,27.672,24.733333,76.791667,,
82141,31/10/1964,0000,5,3.032258,4,131.9,,,282.7,0.413978,3,3.7,,,29.774194,27.390968,24.822581,71.733871,,
82141,30/11/1964,0000,5,2.822222,4,131.3,,,278.1,0.407778,2,0.8,,,32.47,28.068,24.956667,71.691667,,
82141,31/12/1964,0000,5,2.741935,5,118.6,,,255.9,0.460215,7,143.3,,,32.280645,27.970968,24.883871,74.532258,,
82141,31/01/1965,0000,5,2.182796,4,84,,,180.4,0.558065,21,350.8,,,31.274194,26.875484,23.816129,81.854839,,
82141,28/02/1965,0000,5,1.892857,4,67.6,,,162.7,0.553571,21,422,,,30.696429,26.567857,23.725,82.973214,,
82141,31/03/1965,0000,5,1.268817,4,40.7,,,82.8,0.673118,30,816.5,,,30.083871,25.761935,22.819355,88.766129,,
82141,30/04/1965,0000,5,1.144444,4,34.6,,,96.7,0.667778,27,924.3,,1010.3,30.156667,25.682,22.69,89.35,,
