Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82361,31/10/1970,0000,0,0.705435,5,113.9,,,,0.622826,5,18.2,,,,,21.148387,78.153226,,
82361,30/11/1970,0000,0,0.483333,2.4,66.7,,,,0.681111,11,41.5,,,,,20.203333,83.091667,,
82361,31/12/1970,0000,0,0.532258,2.4,79.6,,,,0.719355,0,0,,998.735484,32.351613,26.074194,20.574194,83.879032,,
82361,31/01/1971,0000,0,0.629032,2.4,64.4,,,,0.743011,,,,998.073118,,,19.119355,86.346774,,
82361,28/02/1971,0000,0,0.780952,4.4,61,,,,0.744048,,,,997.522619,,,18.407143,88.0625,,
82361,31/03/1971,0000,0,0.963441,4.4,63.1,,,,0.806452,,,,996.962366,,,18.741935,87.193548,,
82361,30/04/1971,0000,0,0.657778,6.7,54.7,,,,0.736667,,47.9,,,,,19.04,89.125,,
82361,31/05/1971,0000,0,0.805376,4.4,63.9,,,,0.680645,17,230.7,,,,,22.425806,83.677419,,
82361,30/06/1971,0000,0,0.814444,4.4,66.1,,,,0.57,15,180.9,,1009.88,,,21.726667,82.725,,
82361,31/07/1971,0000,0,0.770968,2.4,85.4,,,,0.513978,,51.8,,,,,20.780645,80.435484,,
82361,31/08/1971,0000,0,0.951613,9.3,100.6,,,,0.527957,,39.3,,,,,20.766667,78.314516,,
82361,30/09/1971,0000,0,0.88,2.4,,,,,0.593421,,41.1,,,,,21.591667,78.74,,
82361,31/10/1971,0000,0,0.748387,2.4,100.6,,,,0.644086,,114.5,,1017.08172,,,22.254839,79.209677,,
82361,30/11/1971,0000,0,0.676667,2.4,92.4,,,,0.663333,,36.4,,,,,22.14,79.625,,
82361,31/12/1971,0000,0,0.722581,2.4,91.9,,,,0.584946,,77.7,,,34.317857,26.46,21.729032,78.66129,,
82361,31/01/1972,0000,0,0.56129,2.4,70.6,,,,0.727957,23,262.3,,,32.845161,25.872258,21.93871,83.451613,,
82361,29/02/1972,0000,0,0.588506,12.3,60.1,,,,0.742529,22,287.6,,,33.275862,25.865517,21.572414,83.465517,,
82361,31/03/1972,0000,0,0.590323,12.3,59,,,,0.758065,27,356.6,,,33.83871,26.092258,21.470968,84.758065,,
82361,30/04/1972,0000,0,0.41,0.9,55.9,,,,0.734444,24,310.4,,1015.45,34.07,26.108667,21.455172,84.791667,,
82361,31/05/1972,0000,0,0.280645,0.9,63.4,,,,0.621505,23,137.2,,,35.003226,26.742581,21.280645,84.024194,,
82361,30/06/1972,0000,0,0.473333,2.4,67.6,,,,0.522222,19,122.4,,,34.833333,26.406667,20.47,82.908333,,
82361,31/07/1972,0000,0,0.596774,2.4,83.8,,,,0.527957,,48.6,,1016.31828,34.348387,26.019355,20.329032,81.459677,,
82361,31/08/1972,0000,0,0.396774,0.9,82.7,,,,0.531183,,33.2,,,34.835484,26.196774,20.293548,80.862903,,
82361,30/09/1972,0000,0,0.446667,2.4,91.3,,,,0.585556,,13.8,,,35.446667,26.688,20.86,77.358333,,
82361,31/10/1972,0000,0,0.564516,2.4,105.1,,,,0.612903,,44.1,,,35.816129,27.179355,21.106452,75.193548,,
82361,30/11/1972,0000,0,0.383333,2.4,100.4,,,,0.581111,,186.4,,,35.943333,27.215333,20.9,76.1,,
82361,31/12/1972,0000,0,0.280645,0.9,75.8,,,,0.649462,,184.9,,,34.803226,26.872903,20.867742,82.024194,,
82361,31/01/1973,0000,0,0.276344,4.4,59.4,,,,0.719355,25,307,,,33.903226,26.181935,19.551613,84.75,,
82361,28/02/1973,0000,0,0.264286,2.4,51.9,,,,0.714286,23,347.3,,,33.964286,26.01,19.103571,85.544643,,
82361,31/03/1973,0000,0,0.212903,0.9,55.2,,,,0.729032,28,499.2,,,34.490323,26.067097,18.919355,85.677419,,
82361,30/04/1973,0000,0,0.246667,2.4,49.5,,,,0.724444,23,558,,,33.556667,26.628667,22.786667,86.616667,,
82361,31/05/1973,0000,0,0.3,0.9,62.8,,,,0.66129,23,282,,,34.383871,26.757419,22.196774,83.009259,,
82361,30/06/1973,0000,0,0.3,0.9,69,,,,0.566667,19,137.9,,,34.77,26.852,21.866667,,,
82361,31/07/1973,0000,0,0.348387,0.9,72.7,,,,0.534409,,243.3,,,34.574194,26.488387,21.232258,,,
82361,31/08/1973,0000,0,0.470968,2.4,86.6,,,,0.43871,,41.7,,,35.377419,26.596129,20.293548,,,
82361,30/09/1973,0000,0,0.566667,2.4,81.6,,,,0.551111,,61.3,,,35.056667,26.677333,20.583333,,,
82361,31/10/1973,0000,0,0.454839,2.4,92.2,,,,0.6,,74.2,,,35.116129,26.800645,20.745161,,,
82361,30/11/1973,0000,0,0.413333,2.4,83,,,,0.6,,90.5,,,34.663333,26.896,20.82,,,
82361,31/12/1973,0000,0,0.306452,2.4,63.2,,,,0.678495,20,241.2,,,33.03871,25.546452,19.174194,85.516129,,
82361,31/01/1974,0000,0,0.345161,2.4,71.3,,,,0.694624,18,451.5,,,33.241935,25.701935,19.8,83.491935,,
82361,28/02/1974,0000,0,0.257143,0.9,52.2,,,,0.742857,24,470.1,,,33.121429,25.895,21.35,85.482143,,
82361,31/03/1974,0000,0,0.435484,2.4,48.5,,,,0.81828,28,604.5,,,31.948387,25.231613,20.683871,88.346774,,
82361,30/04/1974,0000,0,0.366667,2.4,50.3,,,,0.743333,25,436,,,32.11,25.406,20.293333,88.625,,
82361,31/05/1974,0000,0,0.316129,2.4,56.2,,,,0.651613,26,349.1,,,33.016129,25.484516,19.293548,86.096774,,
82361,30/06/1974,0000,0,0.4,0.9,79.3,,,,0.575556,,98.3,,,33.573333,25.672667,19.153333,81.8,,
82361,31/07/1974,0000,0,0.490323,2.4,119.1,,,,0.449462,,16.1,,,34.190323,25.596129,19.070968,75.596774,,
82361,30/09/1974,0000,0,0.576404,2.4,88.3,,,,0.595506,,43.2,,,34.7,26.511333,20.91,78.233333,,
82361,31/10/1974,0000,0,0.629032,2.4,82.6,,,,0.626882,,28.8,,,35.154839,26.925161,21.080645,76.556452,,
82361,30/11/1974,0000,0,0.49,0.9,77.6,,,,0.674444,,63.5,,,34.52,26.512,20.076667,80.233333,,
82361,31/12/1974,0000,0,0.290323,0.9,62.7,,,,0.725806,19,262.4,,,33.351613,25.683871,19.083871,83.137097,,
82361,31/01/1975,0000,0,0.383871,2.4,60.5,,,,0.77957,26,301.1,,,33.283871,25.350968,19.177419,86.266129,,
82361,28/02/1975,0000,0,0.489286,2.4,54.1,,,,0.786905,23,474.5,,,32.782143,25.672857,21.057143,86.339286,,
82361,31/03/1975,0000,0,0.458065,2.4,52.4,,,,0.786022,31,513.1,,,32.877419,25.778065,20.887097,87.483871,,
82361,30/04/1975,0000,0,0.426667,2.4,52.2,,,,0.792222,24,461.3,,,31.203333,25.862667,22.026667,87.3,,
82361,31/05/1975,0000,0,0.377419,0.9,61.1,,,,0.876344,18,268.6,,,32.203226,26.268387,22.577419,85.677419,,
82361,30/06/1975,0000,0,0.556667,2.4,72,,,,0.683333,15,152,,,34.01,26.37,21.51,84.25,,
82361,31/07/1975,0000,0,0.493548,0.9,84.4,,,,0.545161,,40.7,,,33.593548,25.464516,19.751613,81.919355,,
82361,31/08/1975,0000,0,0.619355,0.9,111,,,,0.558065,,29.7,,,35.083871,25.833548,18.664516,78.709677,,
82361,30/09/1975,0000,0,0.61,0.9,90.8,,,,0.631111,,11,,,34.683333,25.902667,18.666667,81.516667,,
82361,31/10/1975,0000,0,0.503226,0.9,93.6,,,,0.736559,,21.6,,,35.419355,27.098065,21.125806,77.475806,,
82361,30/11/1975,0000,0,0.43,2.4,87.8,,,,0.786667,,206.4,,,34.883333,26.968667,21.873333,77.5,,
82361,31/12/1975,0000,0,0.435484,2.4,70.1,,,,0.725806,18,158.7,,,34.151613,26.246452,20.377419,83.5,,
82361,31/01/1976,0000,0,0.34086,3,45.3,,,,0.78172,24,334.5,,,31.087097,25.470323,21.829032,87.282258,,
82361,29/02/1976,0000,0,1.344828,5,40.9,,,134.4,0.811494,22,389.4,,,30.475862,25.234483,21.748276,87.706897,,
82361,31/03/1976,0000,0,1.268817,5,41.2,,,171.4,0.758065,27,350,,,30.951613,25.598065,22.441935,88.459677,,
82361,30/04/1976,0000,0,1.4,4,41,,,188.7,0.708889,24,433.4,,1007.77,31.256667,25.683333,22.296667,88.041667,,
82361,31/05/1976,0000,0,1.301075,5,48.8,,,219.4,0.610753,16,70,,,31.86129,26.143871,22.245161,85.258065,,
82361,30/06/1976,0000,0,1.477778,6,56.9,,,253.7,0.521111,,69.6,,,31.623333,25.753333,21.763333,83.041667,,
82361,31/07/1976,0000,0,1.795699,9,67.5,,,276.7,0.496774,,37.6,,,32.051613,25.377419,20.716129,80.774194,,
82361,31/08/1976,0000,5,1.924731,6,67.8,,,244.6,0.521505,,22.1,,,32.570968,25.688387,21.258065,79.435484,,
82361,30/09/1976,0000,5,1.911111,5,74.8,,,184.6,0.686667,,3.3,,,32.95,26.325333,22.166667,77.266667,,
82361,31/10/1976,0000,5,1.870968,7,76.4,,,156.6,0.754839,,26.6,,,33.064516,27.022581,22.848387,76.758065,,
82361,31/12/1976,0000,0,1.521739,5,65.3,,,188.5,0.668478,,227.2,,,32.532258,26.665806,22.712903,81.016129,,
82361,31/01/1977,0000,36,1.548387,9,44.6,,,125.1,0.797849,27,550,,,30.945161,25.594194,22.019355,86.741935,,
82361,28/02/1977,0000,14,1.571429,8,34,,,124.8,0.832143,27,609.6,,,30.507143,25.301429,22.135714,88.294643,,
82361,31/03/1977,0000,5,1.655914,12,39,,,133.6,0.791398,29,538.2,,1007.58172,31.351613,25.941935,22.593548,88.330645,,
82361,30/04/1977,0000,0,1.144444,5,35.4,,,132.3,0.812222,28,602.3,,,31.16,25.932667,22.276667,88.366667,,
82361,31/05/1977,0000,0,1.258065,6,43,,,180.5,0.674194,26,319,,,31.409677,25.707742,21.43871,87.112903,,
82361,30/06/1977,0000,36,1.444444,5,54.1,,,230.6,0.575556,12,72.9,,,32.106667,26.31,23.133333,83.65,,
82361,31/07/1977,0000,27,1.483871,5,72.4,,,246.8,0.524731,7,37.1,,,32.212903,25.705161,20.748387,79.854839,,
82361,31/08/1977,0000,5,2.032258,5,71.3,,,243.6,0.572043,4,3.2,,1008.91828,32.648387,26.264516,21.677419,78.927419,,
82361,30/09/1977,0000,5,2.133333,5,73.1,,,188.6,0.647778,6,29,,,33.113333,26.883333,22.446667,77.491667,,
82361,31/10/1977,0000,36,1.688172,8,70.2,,,160,0.730108,10,95.4,,1007.88172,33.016129,26.868387,21.574194,78.91129,,
82361,30/11/1977,0000,36,1.788889,6,69.9,,,147.2,0.707778,9,16.9,,,32.983333,26.976,22.393333,78.508333,,
82361,31/01/1978,0000,0,1.402174,8,43.4,,,116,0.76413,25,375.8,,,31.087097,25.856774,21.919355,86.395161,,
82361,28/02/1978,0000,0,1.559524,12,43.8,,,109.5,0.757143,23,269.2,,,31.478571,26.464286,22.846429,86.321429,,
82361,31/03/1978,0000,0,1.311828,7,43.7,,,114,0.75914,26,408.1,,1008.28172,31.296774,25.879355,22.480645,87.25,,
82361,30/04/1978,0000,32,1.411111,7,39.4,,,126.3,0.742222,26,555.1,,,30.793333,25.922,22.253333,87.758333,,
82361,31/05/1978,0000,0,1.086022,5,47.4,,,171.9,0.708602,26,357.7,,,30.457692,26.108462,22.696774,86.508065,,
82361,30/06/1978,0000,14,1.366667,5,66.2,,,251.1,0.543333,10,100,,,32.11,26.126667,21.88,81.025,,
82361,31/07/1978,0000,0,1.290323,5,55.5,,,226.1,0.610753,14,116.3,,1008.85914,32.116129,25.974839,22.009677,83.241935,,
82361,31/08/1978,0000,27,1.849462,7,75.6,,,238.6,0.575269,6,10,,,32.635484,25.923226,21.23871,78.798387,,
82361,30/09/1978,0000,5,1.733333,5,70.4,,,172.4,0.686667,3,15.9,,,32.6,26.678,22.593333,78.591667,,
82361,31/10/1978,0000,5,1.645161,5,74.3,,,170.8,0.692473,9,51.4,,,32.793548,26.89871,22.509677,77.475806,,
82361,31/12/1978,0000,0,1.054348,6,63.2,,,102.2,0.751087,,109.9,,,31.887097,26.78129,23.222581,91.870968,,
82361,31/01/1979,0000,0,1.107527,5,,,,,5.634409,18,180.6,,,31.359091,26.234545,23.063636,93.988636,,
82361,28/02/1979,0000,0,1.190476,8,,,,,7.122619,23,249.5,,,30.983333,25.9175,22.829167,93.760417,,
82361,31/03/1979,0000,0,1.354839,7,38.5,,,127.6,6.687097,23,391.3,,,31.675862,26.337931,23.127586,93.435185,,
82361,30/04/1979,0000,0,1.577778,10,50.1,,,150.8,6.852222,18,166.7,,1000.81,32.224138,26.971034,23.596552,91.982759,,
82361,31/05/1979,0000,0,1.129032,4,47.4,,,177.3,6.002151,22,168.9,,,32.023333,26.566,23.29,93.724138,,
82361,30/06/1979,0000,14,1.933333,7,80.6,,,253.4,5,,78.9,,,32.016667,26.224667,21.84,86.733333,,
82361,31/07/1979,0000,,1.795699,7,,,,,2.215054,,2.7,,,32.190476,26.077143,21.271429,,,
82361,31/08/1979,0000,5,1.604301,7,66.3,,,175.4,5.441935,,101.7,,,32.989286,26.647143,22.528571,89.675926,,
82361,30/09/1979,0000,5,1.344444,7,59,,,166.5,6.314444,16,47.9,,,32.632143,26.797857,22.832143,90.75,,
82361,31/10/1979,0000,,1.548387,5,,,,,3.502151,,78.9,,,33.279167,27.413333,23.583333,,,
82361,30/11/1979,0000,0,1.285556,9,,,,,4.614444,,84.2,,,31.92,26.9392,23.232,92.203125,,
82361,31/12/1979,0000,,1.25,5,,,,,3.734722,,194.1,,,31.175,26.3075,22.75,,,
82361,31/01/1980,0000,0,1.129032,7,39.4,,,114.1,5.608602,23,308.8,,,,,22.814815,94.6,,
82361,29/02/1980,0000,,1.137931,7,,,,,3.037931,25,468.9,,,29.708,25.3032,22.664,,,
82361,31/03/1980,0000,,1.537634,9,,,,,1.767742,19,264.1,,,31.06087,25.883478,22.786957,,,
82361,30/04/1980,0000,,1.622222,17,,,,,2.861111,15,168.5,,1007.56,31.366667,26.378095,23.685714,,,
82361,31/05/1980,0000,,1.215054,5,,,,,2.674194,,134.3,,,32.7,27.148,23.28,,,
82361,30/06/1980,0000,,1.422222,7,64,,,241.5,0.571111,,20.4,,,32.283333,26.672,22.71,,,
82361,31/07/1980,0000,,2.086022,6,74.6,,,274.4,0.508602,,12.4,,,32.977419,26.552903,21.777419,,,
82361,31/08/1980,0000,,2,8,85.2,,,222.9,0.656989,,7.9,,,33.348387,26.876129,22.290323,,,
82361,30/09/1980,0000,,2.377778,6,,,,,0.993333,,6,,,34.192308,27.751538,23.246154,,,
82361,31/10/1980,0000,,1.924731,9,78.3,,,140.8,3.980645,,43.6,,,33.796429,27.767143,23.492857,,,
82361,30/11/1980,0000,36,1.911111,5,74.6,,,139.8,5.608889,16,83.5,,1006.93,32.903448,27.328276,23.262069,86.558824,,
82361,31/12/1980,0000,0,1.741935,5,68.9,,,144,4.445161,,112.4,,,32.323333,27.025333,23.406667,86.533333,,
82361,31/01/1981,0000,,1.795699,5,47,,,132.6,0.792473,20,255.1,,,31.006452,26.20129,22.870968,,,
82361,28/02/1981,0000,,1.654762,8,38.7,,,138.9,0.8,25,342.3,,,31.2,26.169286,22.771429,,,
82361,31/03/1981,0000,,1.623656,6,51.7,,,160.4,0.763441,25,338.5,,,31.335484,26.563226,23.293548,,,
82361,30/04/1981,0000,,1.311111,5,47.2,,,198.6,0.647778,16,198.8,,,32.103333,26.872667,23.16,,,
82361,31/05/1981,0000,,1.354839,5,57.7,,,192.8,0.652688,,127.4,,,32.2,26.727742,22.764516,,,
82361,30/06/1981,0000,,1.266667,5,60.5,,,241.5,0.542222,,38.6,,,32.59,26.289333,21.686667,,,
82361,31/07/1981,0000,,1.215054,5,70.9,,,239.4,0.504301,,58.5,,1009.73871,32.609677,26.210968,21.435484,,,
82361,31/08/1981,0000,,1.247312,5,71.7,,,236,0.608602,,12.9,,,33.683871,26.909032,22.132258,,,
