Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82696,31/01/1961,0000,,,,,,,,,8,225.9,,942.913043,,,,,,
82696,28/02/1961,0000,9,3.219277,4.4,,,,,7.277108,17,94.4,,943.836905,,,,,,
82696,31/03/1961,0000,14,3.134409,6.7,,,,,7.258065,16,169.9,,943.187097,,,,,,
82696,30/04/1961,0000,14,3.2,4.4,,,,,7.044444,16,195.8,,943.053333,,,,,,
82696,31/05/1961,0000,9,2.706452,4.4,,,,,7.27957,18,182.8,,944.74086,,,,,,
82696,30/06/1961,0000,,,,,,,,,1,0.6,,,,,,,,
82696,31/08/1961,0000,9,2.486957,4.4,,,,,7.945652,16,111,,947.08587,,,,,,
82696,30/09/1961,0000,9,2.58,4.4,,,,,7.044444,13,137.4,,945.421111,,,,,,
82696,31/10/1961,0000,9,2.615054,4.4,,,,,6.516129,17,75.6,,945.004301,,,,,,
82696,30/11/1961,0000,9,2.673333,4.4,,,,,5.666667,1,0.2,,943.626667,,,,,,
82696,31/12/1961,0000,,,,,,,,,1,0.3,,,,,,,,
82696,31/01/1962,0000,9,2.986957,4.4,,,,,4.336957,,0,,944.397826,,,,,,
82696,28/02/1962,0000,9,2.566667,4.4,,,,,6.047619,4,21.8,,944.20119,,,,,,
82696,31/03/1962,0000,9,2.464516,4.4,,,,,7.290323,11,221.6,,943.747312,,,,,,
82696,30/04/1962,0000,9,2.533333,4.4,,,,,6.311111,4,54.8,,944.308889,,,,,,
82696,31/05/1962,0000,9,2.851613,4.4,,,,,7.344086,14,136.9,,944.337634,,,,,,
82696,30/06/1962,0000,,,,,,,,,1,1.8,,,,,,,,
82696,30/09/1962,0000,9,3.074157,4.4,,,,,6.921348,9,275.4,,945.620225,,,,,,
82696,31/10/1962,0000,14,3.066667,4.4,,,,,5.354839,0,0,,944.588172,,,,,,
82696,30/11/1962,0000,9,2.733333,4.4,,,,,5.022222,0,0,,943.281111,,,,,,
82696,31/12/1962,0000,9,2.67957,4.4,,,,,5.107527,2,7.5,,943.145161,,,,,,
82696,31/01/1963,0000,,,,,,,,5.935484,5,20.3,,943.049462,,,,,,
82696,28/02/1963,0000,,,,,,,,5.714286,3,88.4,,943.672619,,,,,,
82696,31/03/1963,0000,,,,,,,,7.548387,8,124.3,,943.303226,,,,,,
82696,30/04/1963,0000,,,,,,,,7.3,10,97.3,,943.287778,,,,,,
82696,31/05/1963,0000,,,,,,,,7.548387,10,170.1,,944.221505,,,,,,
82696,30/06/1963,0000,,,,,,,,7.311111,7,103,,945.597778,,,,,,
82696,31/07/1963,0000,,,,,,,,8.16129,11,148.1,,945.802151,,,,,,
82696,31/08/1963,0000,,,,,,,,7.72043,10,119.7,,946.13871,,,,,,
82696,31/10/1963,0000,,,,,,,,6.478261,3,6.8,,945.057609,,,,,,
82696,30/11/1963,0000,,,,,,,,6.211111,2,63,,944.202222,,,,,,
82696,31/12/1963,0000,,,,,,,,6.408602,2,99.9,,944.170968,,,,,,
82696,31/01/1964,0000,9,2.395652,2.4,,,,,7.946237,12,183.7,,943.182796,,,,,,
