Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82890,28/02/1973,0000,14,4.00241,7,219.6,,,,5.915663,1,2,,,32.739286,25.835,20.482143,58.473214,,
82890,31/03/1973,0000,9,3.492473,6.6,183.4,,,,6.172043,9,91.2,,,31.929032,25.785806,21.329032,63.532258,,
82890,30/04/1973,0000,14,3.095556,6,123.1,,,,6.722222,10,103.2,,935.122222,28.816667,24.002667,20.433333,73.008333,,
82890,31/05/1973,0000,14,3.375269,5.8,150.6,,,,5.548387,5,19,,936.247312,29.354839,23.385161,19.441935,71.16129,,
82890,30/06/1973,0000,14,3.545556,7.3,117.6,,,,6.166667,8,48.4,,936.651111,27.57,22.201333,18.816667,76.991667,,
82890,31/07/1973,0000,14,4.064516,7.5,146.7,,,,5.956989,17,29,,937.644086,27.645161,21.691613,18.054839,73.064516,,
82890,31/08/1973,0000,14,4.490323,7.3,204.3,,,,4.666667,4,5.3,,937.686022,28.9,22.324516,17.854839,66.556452,,
82890,30/09/1973,0000,14,4.425556,7.3,165.6,,,,5.044444,6,60,,937.544444,29.163333,22.82,18.476667,67.266667,,
82890,31/10/1973,0000,14,4.497849,9.1,176,,,,4.698925,5,32,,934.764516,30.706452,23.612258,18.590323,64.548387,,
82890,30/11/1973,0000,5,4.364444,8.6,195.8,,,,4.522222,2,27.2,,934.496667,32.546667,25.370667,19.31,54.316667,,
82890,31/12/1973,0000,14,4.117204,8.1,183.5,,,,4.526882,2,1.6,,934.341935,32.812903,25.597419,19.764516,54.5,,
82890,31/01/1974,0000,14,4.03871,8,170.8,,,,5.784946,7,130.5,,933.824731,31.045161,24.613548,19.351613,59.685484,,
82890,28/02/1974,0000,14,2.907143,6.1,81.7,,,,6.261905,12,102.9,,933.697619,29.164286,23.532143,19.217857,71.4375,,
82890,31/03/1974,0000,14,2.619355,5.3,70,,,,6.258065,18,212.4,,934.023656,28.06129,22.870667,19.286667,80.072581,,
82890,30/04/1974,0000,14,2.483333,5.1,53.4,,,,6.688889,18,201.4,,935.11,27.25,22.498667,19.166667,83.258333,,
82890,31/05/1974,0000,14,3.095699,5.8,49.1,,,,5.924731,15,124,,936.519355,26.445161,21.624,18.11,82.419355,,
82890,30/06/1974,0000,14,3.553333,6.8,42.6,,,,6.666667,17,114.9,,936.937778,24.823333,20.253103,17.041379,85.033333,,
82890,31/07/1974,0000,14,3.901075,6.1,53.7,,,,6.903226,21,73.7,,939.266667,24.112903,19.067097,15.535484,82.306452,,
82890,31/08/1974,0000,14,3.816129,6.3,100.9,,,278,4.870968,10,38.5,,937.982796,26.909677,20.21871,15.390323,73.524194,,
82890,30/09/1974,0000,14,4.394444,7,147.9,,,267.2,5.111111,5,12.9,,937.16,29.126667,22.031333,17.21,65.316667,,
82890,31/10/1974,0000,5,4.156989,9.5,232,,,322.5,3.591398,0,0,,935.152688,32.141935,24.565161,18.677419,54.919355,,
82890,30/11/1974,0000,14,3.912222,8.6,176.9,,,249.5,5.277778,9,135.7,,934.401111,29.903333,23.531333,18.656667,64.483333,,
82890,31/12/1974,0000,5,3.967742,8.3,184.6,,,295.8,4.72043,5,12,,934.451613,31.309677,24.201935,18.780645,63.153226,,
82890,31/01/1975,0000,14,4.266667,9.8,201.4,,,244.6,5.387097,6,25,,934.703226,30.877419,24.360645,19.248387,62.306452,,
82890,28/02/1975,0000,9,3.367857,6.6,153.7,,,227.8,5.297619,5,54.1,,934.447619,31.742857,24.856429,19.396429,60.401786,,
82890,31/03/1975,0000,14,3.234409,6.1,127,,,246.2,5.946237,11,113.5,,934.972043,30.087097,24.068387,19.445161,69.459677,,
82890,30/04/1975,0000,14,2.992222,5.6,88.3,,,240.5,6.122222,15,161.2,,934.518889,29.6,23.797333,19.41,72.991667,,
82890,31/05/1975,0000,14,3.58172,6.5,40.1,,,150.1,7.172043,20,133.9,,935.96129,25.148387,21.092903,18.129032,85.975806,,
82890,30/06/1975,0000,14,3.492222,6.6,40.7,,,180.8,6.666667,18,77.4,,937.556667,24.906667,20.69,17.593333,85.291667,,
82890,31/07/1975,0000,14,3.652688,7.1,44.4,,,127.7,7.322581,26,228,,937.998925,23.896774,19.536129,16.7,86.080645,,
82890,31/08/1975,0000,14,4.082796,6.5,74.3,,,260.2,5.494624,8,16.6,,938.404301,25.596774,19.906452,15.877419,82.475806,,
82890,30/09/1975,0000,14,4.225556,7.5,96.6,,,261.5,4.888889,13,24.4,,937.787778,27.786667,21.234667,17.056667,76.341667,,
82890,31/10/1975,0000,9,4.095699,8.6,152.9,,,305.8,3.709677,1,1.2,,935.295699,31.745161,24.077419,18.16129,61.717742,,
82890,30/11/1975,0000,14,4.692222,9.1,181.1,,,296.7,3.777778,1,7.2,,934.841111,32.206667,24.488667,18.386667,56.991667,,
82890,31/12/1975,0000,14,4.211828,7.1,136.5,,,231.5,5.44086,5,31.4,,934.650538,30.877419,23.897419,18.787097,65.637097,,
82890,31/01/1976,0000,14,4.37957,7.5,153.3,,,309.3,4.376344,3,15.9,,933.655914,31.729032,24.239355,18.845161,62.782258,,
82890,29/02/1976,0000,9,3.342529,6.8,108.3,,,235.5,5.563218,7,109.1,,933.858621,29.941379,23.575172,18.986207,71.715517,,
82890,31/03/1976,0000,14,3.508602,7.5,115.3,,,237.4,4.989247,10,94.4,,933.755914,29.483871,23.207742,18.903226,77.25,,
82890,30/04/1976,0000,14,3.301111,6,68.4,,,237.4,5.366667,13,87,,935.338889,27.62,22.320667,18.296667,79.283333,,
82890,31/05/1976,0000,14,3.215054,7,80.3,,,247.5,4.924731,13,74.4,,936.333333,27.96129,22.167742,17.790323,79.806452,,
82890,30/06/1976,0000,14,3.803333,7.5,102.2,,,241.4,4.411111,10,33,,937.33,26.786667,20.762,16.62,80.158333,,
82890,31/07/1976,0000,14,4.160215,8,108.5,,,251.5,4.795699,13,60.7,,939.22043,26.783871,20.337419,16.003226,76.774194,,
