Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82893,31/12/1963,0000,14,2.967391,6,138.5,,,178.3,7.369565,10,166,,914.636957,27.245161,21.406452,17.896774,86.016129,,
82893,31/01/1964,0000,9,2.623656,7,122,,,228.3,7.053763,12,57.8,,914.784946,26.996774,21.785161,18.683871,83.137097,,
82893,29/02/1964,0000,9,2.701149,5,98.5,,,191,7.770115,13,83,,913.916092,27.034483,21.609655,18.624138,85.965517,,
82893,31/03/1964,0000,9,2.946237,5,90.5,,,188.3,7.505376,15,70.4,,915.12043,26.403333,21.338,18.274194,85.475806,,
82893,30/04/1964,0000,9,3.066667,5,65,,,161.8,8.3,19,151,,914.761111,,,18.38,89.633333,,
82893,31/05/1964,0000,14,2.860215,6,51.6,,,154.8,8.344086,22,124.7,,915.5,,,17.916129,91.83871,,
82893,30/06/1964,0000,18,3.077778,7,34.8,,,130.6,8.688889,24,171.6,,915.976667,,,16.486667,94.141667,,
82893,31/07/1964,0000,18,3.11828,7,50.2,,,160.9,8.666667,24,121.4,,916.605376,21.729032,18.003226,15.858065,93.653226,,
82893,31/08/1964,0000,18,3.150538,6,45.2,,,143.4,8.752688,30,138.3,,917.234409,,,15.541935,93.5,,
82893,30/09/1964,0000,14,3.377778,6,55.3,,,166,8.566667,20,76,,917.127778,,,15.43,89.9,,
82893,31/10/1964,0000,9,3.193548,8,144.5,,,272.9,6.430108,4,3.9,,915.394624,,,16.290323,77.887097,,
82893,30/11/1964,0000,5,3.666667,12,204.4,,,296.3,5.8,3,19.8,,914.476667,,,16.86,73.125,,
82893,31/12/1964,0000,14,3.376344,12,190.8,,,276.8,6.129032,6,19.1,,913.17957,28.474194,21.2,16.954839,76.975806,,
82893,31/01/1965,0000,14,2.946237,9,144.9,,,223.1,7.72043,6,36.6,,913.644086,27.654839,20.929677,17.277419,78.798387,,
82893,28/02/1965,0000,14,3.095238,7,175.2,,,246.4,5.821429,3,9.9,,913.353571,29.675,22.265,17.925,74.714286,,
82893,31/03/1965,0000,9,3.193548,5,153.9,,,239.1,7.032258,4,31.4,,914.127957,29.419355,22.446452,18.564516,77.362903,,
82893,30/04/1965,0000,14,3.088889,7,77.1,,,188.8,8.044444,19,101.7,,913.904444,26.516667,21.235333,18.363333,85.458333,,
82893,31/05/1965,0000,14,3.236559,5,59.2,,,168.8,8.526882,23,86.7,,915.122581,23.912903,19.728387,17.367742,90.209677,,
82893,30/06/1965,0000,14,3.666667,5,26.3,,,103.8,9.133333,28,152.7,,917.22,21.683333,18.464,16.65,94.275,,
82893,31/07/1965,0000,14,3.505376,9,45.9,,,182.6,8.139785,25,104.5,,917.545161,21.941935,17.943871,15.645161,90.895161,,
82893,31/08/1965,0000,14,3.27957,6,59.4,,,209.3,7.924731,17,55.9,,917.002151,22.693548,17.932903,15.322581,88.685484,,
82893,30/09/1965,0000,14,3.544444,5,74.2,,,219.9,7.222222,19,45.8,,916.817778,24.013333,18.646,15.623333,85.8,,
82893,31/10/1965,0000,9,3.322581,7,117.6,,,234.7,7.387097,8,211.9,,915.230108,26.454839,20.51871,17.067742,81.983871,,
82893,30/11/1965,0000,9,4.366667,7,163.4,,,256.1,6.722222,7,20.5,,914.636667,27.343333,20.971333,17.28,77.758333,,
82893,31/12/1965,0000,14,3.193548,7,147.9,,,236.8,6.419355,5,22.2,,914.511828,27.474194,20.991613,17.383871,76.532258,,
82893,31/01/1966,0000,9,3.763441,9,137.7,,,241.1,7.83871,8,59.3,,914.267742,27.925806,21.607097,18.006452,79.919355,,
82893,28/02/1966,0000,9,2.940476,6,63.8,,,143.6,8.52381,15,91.5,,914.692857,25.275,20.507857,17.8,88.205357,,
82893,31/03/1966,0000,14,2.903226,6,89.6,,,200,8.268817,12,56.3,,914.207527,26.122581,20.741935,17.816129,86.33871,,
82893,30/04/1966,0000,14,2.733333,8,78,,,156.7,8.711111,23,257.7,,914.125556,25.9,20.943333,18.136667,89.208333,,
82893,31/05/1966,0000,14,2.548387,7,48.3,,,187.4,8.11828,18,105.5,,915.452688,23.858065,19.865806,17.493548,91.096774,,
82893,30/06/1966,0000,14,2.855556,7,30.3,,,142.8,8.844444,26,121.9,,916.455556,21.933333,18.567333,16.546667,93.766667,,
82893,31/07/1966,0000,14,3.129032,7,19.6,,,100.8,9.344086,31,205.9,,917.134409,20.73871,17.624516,15.706452,96.516129,,
82893,31/08/1966,0000,14,3.623656,7,59.5,,,168.6,8.247312,24,56.8,,917.286022,21.758065,17.353548,14.877419,91.354839,,
82893,30/09/1966,0000,14,3.514444,7,60.9,,,158.7,7.822222,20,89.3,,917.071111,23.123333,18.506,15.876667,89.508333,,
82893,31/10/1966,0000,5,3.827957,7,142.7,,,296,6.419355,4,3.9,,915.496774,27.232258,20.555484,16.477419,77.145161,,
82893,30/11/1966,0000,14,3.122222,5,134.8,,,225.9,7.966667,7,43.2,,913.688889,27.426667,20.976667,17.313333,77.45,,
82893,31/12/1966,0000,14,3.193548,9,154,,,,7.107527,3,2.3,,,28.690323,22.156129,18.029032,74.41129,,
82893,31/01/1967,0000,14,3.129032,6,173,,,,6.483871,1,9.8,,918.493548,29.341935,22.190968,18.03871,73.572581,,
82893,28/02/1967,0000,14,2.892857,7,137.6,,,,8.059524,8,56.2,,918.552381,29.2,22.504286,18.617857,75.464286,,
82893,31/03/1967,0000,14,3.032258,5,129.4,,,,7.774194,11,33.8,,918.277419,28.174194,22.121935,18.567742,79.354839,,
82893,30/04/1967,0000,14,2.433333,5,71.7,,,,8.266667,17,87,,919.185556,26.136667,21.419333,18.433333,86.625,,
82893,31/05/1967,0000,14,2.602151,5,44,,,148,8.634409,23,125,,920.310753,24.116129,20.314839,17.909677,90.879032,,
82893,30/06/1967,0000,14,3.266667,7,51.8,,,181.2,8.088889,24,58.7,,921.341111,23.176667,18.996,16.483333,88.6,,
82893,31/07/1967,0000,14,3.154839,7,42,,,157,8.290323,25,153.3,,922.3,21.725806,17.785806,15.593548,90.741935,,
82893,31/08/1967,0000,14,3.376344,7,62.2,,,206.7,7.870968,21,79.1,,923.008602,22.464516,17.824516,15.022581,87.766129,,
82893,30/09/1967,0000,14,3.377778,7,82.3,,,215.2,7.511111,11,53.9,,922.115556,24.39,19.134,15.97,84.1,,
82893,31/10/1967,0000,14,4.182796,7,100,,,229.7,7.483871,16,30.5,,921.473118,24.848387,19.313548,16.070968,83.459677,,
82893,30/11/1967,0000,9,2.955556,7,144,,,272.1,6.8,0,0,,917.972222,27.876667,21.16,16.52,73.508333,,
82893,31/12/1967,0000,14,2.913978,5,152.1,,,245.1,6.623656,8,65,,918.754839,27.86129,21.238065,16.812903,74.951613,,
