Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82983,31/12/1962,0000,14,10,259.6,,,,7.290698,8,32.3,,,35.137931,27.272414,22.510345,60.362069,,
82983,31/01/1963,0000,0,10,277.1,,,,5.451613,4,82,,,37.693548,28.834839,23.806452,57.354839,,
82983,28/02/1963,0000,0,8,177,,,,5.904762,7,61,,,36.569231,28.716923,25.1,64.991071,,
82983,31/03/1963,0000,14,7,212.4,,,,5.580645,2,6.5,,,37.925806,29.906452,25.764516,54.967742,,
82983,30/04/1963,0000,14,12,,,,,6.222222,4,51.3,,,37.933333,29.233571,25.125,59.8,,
82983,31/05/1963,0000,14,14,,,,,5.408602,0,0,,,35.919355,26.163871,20.696774,56.201613,,
82983,30/06/1963,0000,14,14,,,,,4.844444,0,0,,,34.85,25.224138,19.341379,52.466667,,
82983,31/07/1963,0000,14,14,,,,,3.860215,1,1.8,,,34.651613,24.356129,17.977419,50.032258,,
82983,31/08/1963,0000,14,14,,,,,3.301075,0,0,,,35.564516,25.336129,18.222581,42.846774,,
82983,30/09/1963,0000,14,14,,,,,2.922222,0,0,,,36.783333,27.018667,20.19,39.65,,
82983,31/10/1963,0000,14,14,,,,,2.215054,1,4.4,,,,,21.651613,37.209677,,
82983,30/11/1963,0000,14,14,,,,,4.255556,4,39.3,,,38.953333,29.131333,22.903333,47.216667,,
82983,31/12/1963,0000,18,9,,,,,6.139785,15,76.6,,,36.174194,27.264516,22.203226,61.943548,,
82983,31/01/1964,0000,14,10,,,,,6.129032,16,243.7,,,35.977419,26.854839,22.222581,73.806452,,
82983,29/02/1964,0000,14,14,,,,,5.091954,16,307.9,,,35.417241,26.524138,22.068966,77.068966,,
82983,31/03/1964,0000,14,14,,,,,5.602151,12,64.6,,,34.525,26.02,21.822581,75.879032,,
82983,30/04/1964,0000,14,14,,,,,5.211111,12,104.9,,,35.084615,25.887692,21.473333,73.925,,
82983,31/05/1964,0000,14,14,,,,,5.956989,6,6.5,,,,,20.6,69.129032,,
82983,30/06/1964,0000,14,14,,,,,5.344444,2,3.4,,,,,19.21,63.6,,
82983,31/07/1964,0000,14,14,,,,,6.193548,3,1,,,34.416129,24.470968,18.641935,60.080645,,
82983,31/08/1964,0000,14,14,,,,,5.258065,3,4.7,,,34.434483,24.690345,18.929032,56.370968,,
82983,30/09/1964,0000,14,14,,,,,4.422222,1,3.4,,,36.49,26.013333,19.196667,49.475,,
82983,31/10/1964,0000,14,14,,,,,4.139785,2,9.6,,,38.180645,27.953548,21.248387,45.120968,,
