Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82797,31/01/1961,0000,9,8,,,,,6.032609,8,154.8,,,,,,68.935484,,
82797,28/02/1961,0000,9,6,,,,,6.166667,6,30.2,,,,,,73.75,,
82797,31/03/1961,0000,9,8,,,,,6.290323,11,119.8,,,,,,70.548387,,
82797,30/04/1961,0000,9,6,,,,,6.288889,14,85.8,,,,,,77.358333,,
82797,31/05/1961,0000,14,6,,,,,6.075269,12,68.5,,,,,,79.443548,,
82797,30/06/1961,0000,14,6,,,,,6.588889,14,81.8,,,,,,80.408333,,
82797,31/07/1961,0000,14,6,,,,,6.043011,13,69.3,,,,,,79.282258,,
82797,31/08/1961,0000,14,7,,,,,5.903226,10,24.7,,,26.8375,22.458333,17.475,72.564516,,
82797,30/09/1961,0000,14,7,,,,,6.066667,6,12.2,,,28.81,23.438667,17.3,67.975,,
82797,31/10/1961,0000,14,7,,,,,6.623656,13,20.5,,,28.606452,23.307097,17.735484,73.274194,,
82797,30/11/1961,0000,9,8,,,,,6.111111,2,2.3,,,31.11,24.662,18.666667,63.408333,,
82797,31/12/1961,0000,9,8,,,,,6.634409,1,3,,,32.212903,25.369677,19.990323,63.612903,,
82797,31/01/1962,0000,9,8,,,,,5.817204,0,0,,,33.796774,26.370968,18.058065,57.435484,,
82797,28/02/1962,0000,9,10,,,,,6.190476,2,32.2,,,32.682143,25.997143,21.042857,64.714286,,
82797,31/03/1962,0000,14,8,,,,,6.784946,5,18.1,,,31.503226,25.597419,20.874194,70.604839,,
82797,30/04/1962,0000,14,8,,,,,6.388889,6,27.4,,,30.996667,25.319333,20.45,69.125,,
82797,31/05/1962,0000,18,8,,,,,6.311828,10,95.4,,,28.790323,23.675484,19.619355,75.185484,,
82797,30/06/1962,0000,18,8,,,,,7.244444,13,155.4,,,26.226667,22.089333,18.716667,85.425,,
82797,31/07/1962,0000,18,8,,,,,6.806452,11,91.3,,,25.993548,21.656774,17.703226,85.233871,,
82797,31/08/1962,0000,18,8,,,,,6.569892,12,26.8,,,26.996774,21.803871,17.022581,79.814516,,
82797,30/09/1962,0000,14,10,,,,,6.188889,5,32.8,,,28.65,22.746,17.816667,76.141667,,
82797,31/10/1962,0000,18,8,,,,,5.72043,1,1.8,,,31.222581,24.454194,18.796774,67.58871,,
82797,30/11/1962,0000,9,10,,,,,6.977778,1,1.1,,,31.756667,24.765333,19.196667,66.75,,
82797,31/12/1962,0000,9,7,,,,,6.935484,3,15.8,,,31.445161,24.903226,19.919355,69.887097,,
82797,31/01/1963,0000,0,6,,,,,6.655914,4,15.7,,,32.654839,25.554194,20.425806,65.887097,,
82797,28/02/1963,0000,9,8,,,,,6.654762,3,30.7,,,32.314286,25.759286,20.646429,65.660714,,
82797,31/03/1963,0000,9,6,,,,,7.978495,11,109.2,,,29.7,24.361935,20.303226,73.887097,,
