Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82789,31/01/1961,0000,18,8,186.5,,,,5.130435,8,169.5,,,29.209677,23.212258,17.970968,65.241935,,
82789,28/02/1961,0000,18,8,106.1,,,,6.714286,14,79.5,,,27,21.921429,18.117857,75.223214,,
82789,31/03/1961,0000,18,8,100.3,,,,6.967742,19,205.8,,,28.212903,22.410968,18.403226,78.766129,,
82789,30/04/1961,0000,18,6,84,,,,6.033333,9,142.1,,,26.27,21.129333,17.62,81.566667,,
82789,31/05/1961,0000,18,8,100,,,,6.129032,14,95.8,,,26.180645,20.74,17.016129,79.266129,,
82789,30/06/1961,0000,18,8,101.5,,,,6.166667,12,80,,,25.086667,19.438,15.946667,80.341667,,
82789,31/07/1961,0000,18,8,108.7,,,,4.290323,12,185,,,23.951613,18.218065,14.432258,79.201613,,
82789,31/08/1961,0000,18,8,154.7,,,,3.376344,7,9.1,,,25.974194,19.22129,14.509677,69.354839,,
82789,30/09/1961,0000,18,8,180.2,,,,3,2,2,,,28.38,21.458,15.456667,58.833333,,
82789,31/10/1961,0000,18,9,211.1,,,,3.516129,6,58.5,,,28.993548,21.924516,15.906452,62.435484,,
82789,30/11/1961,0000,18,8,201.5,,,,2.444444,1,0.8,,,30.56,23.352,16.616667,55.083333,,
82789,31/12/1961,0000,18,8,204.5,,,,4.784946,8,23.4,,,30.509677,23.728387,17.948387,62.177419,,
82789,31/01/1962,0000,36,8,158.8,,,,4.526882,10,257.7,,,30.26129,23.734839,18.280645,68.612903,,
82789,28/02/1962,0000,27,6,127.5,,,,4.797619,12,110.5,,,29.010714,22.987857,18.4,72.321429,,
82789,31/03/1962,0000,18,7,111.9,,,,5.795699,15,287.9,,,28.222581,22.239355,18.067742,77.604839,,
82789,30/04/1962,0000,18,8,114.5,,,,5.377778,9,83.4,,,27.816667,21.967333,17.843333,71.883333,,
82789,31/05/1962,0000,18,7,89.6,,,,6.354839,15,215.9,,,26.229032,20.514194,16.8,79.217742,,
82789,30/06/1962,0000,18,8,72.4,,,,7.855556,23,182.9,,,23.536667,18.821333,15.903333,84.916667,,
82789,31/07/1962,0000,18,6,89.9,,,,5.494624,12,207.6,,,23.658065,18.434839,14.919355,79.564516,,
82789,31/08/1962,0000,18,6,,,,,4.355263,6,20.8,,,25.58,19.2904,14.74,70.08,,
82789,31/10/1962,0000,,8,,,,,,,0,,,29.535294,22.838824,16.358824,53.294118,,
82789,30/11/1962,0000,14,8,168.9,,,247.5,4.544444,7,30.3,,,29.646667,23.258667,17.773333,64.3,,
82789,31/12/1962,0000,36,7,191.2,,,246.7,4.677419,8,52.2,,,29.070968,23.26129,18.196774,64.580645,,
82789,31/01/1963,0000,18,8,139.5,,,242.4,5.462366,8,101.6,,,28.593548,22.846452,18.309677,70.483871,,
82789,28/02/1963,0000,18,9,104.9,,,196.3,6.130952,15,240.2,,,27.775,22.344286,18.346429,77.4375,,
82789,31/03/1963,0000,18,9,80.7,,,179.9,6.935484,18,388,,,25.812903,21.165161,17.935484,83.322581,,
82789,30/04/1963,0000,18,8,65.4,,,208,6.5,16,170.7,,,26.14,21.439333,18.15,83.033333,,
82789,31/05/1963,0000,18,14,71.4,,,176.7,6.741935,18,130.7,,,24.23871,19.682581,16.387097,82.887097,,
82789,30/06/1963,0000,18,10,84.1,,,196.4,5.611111,16,206.8,,,23.933333,18.802,15.436667,81.766667,,
82789,31/07/1963,0000,18,10,106.2,,,227.3,4.526882,7,24.6,,,23.509677,18.109677,14.345161,77.91129,,
82789,31/08/1963,0000,18,9,131.1,,,244.4,3.602151,4,8.6,,,25.709677,19.229032,14.283871,69.927419,,
82789,30/09/1963,0000,18,10,165.2,,,254.9,2.811111,5,19.7,,,27.593333,21.000667,15.493333,63.5,,
