Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82975,30/04/1971,0000,,,,,,,,,,48.2,,,,,,,,
82975,31/05/1971,0000,0,2.408602,10,169.4,,,288.2,4.473118,,0.1,,,31.345161,,,75.16129,,
82975,30/06/1971,0000,0,2.322222,10,220.2,,,297,3.3,,3.7,,,32.456667,,,73.791667,,
82975,31/07/1971,0000,14,2.731183,9,303.3,,,328.6,2.989247,,0,,,33.080645,25.962581,19.754839,71.137097,,
82975,31/08/1971,0000,23,3.086022,8,363.7,,,324.7,4.064516,,23.2,,,33.854839,26.767742,20.251613,46.306452,,
82975,30/09/1971,0000,14,3.322222,8,376,,,268.1,6.177778,,4.5,,,35.41,28.528667,22.073333,44.958333,,
82975,31/10/1971,0000,32,3.516129,8,310.2,,,222.5,7.774194,,75.4,,,34.367742,27.816129,22.73871,59.16129,,
82975,30/11/1971,0000,0,2.1,7,151.8,,,191.8,8.055556,17,106.4,,,31.689655,25.993103,21.57,79.116667,,
82975,31/12/1971,0000,32,2.709677,12,162.8,,,229.6,7.408602,,83.6,,,32.193333,26.060667,20.926667,78.048387,,
82975,31/01/1973,0000,32,1.945652,7,151.8,,,244,6.336957,15,74,,973.331522,32.729032,26.327857,21.206452,,,
82975,28/02/1973,0000,0,1.72619,7,105.9,,,158.2,8.654762,15,134.9,,972.659524,32.064286,26.371429,22.032143,,,
82975,31/03/1973,0000,32,1.666667,5,96.8,,,191.8,7.419355,18,243.6,,972.62043,31.493548,25.834483,21.829032,,,
82975,30/04/1973,0000,23,1.955556,9,102.9,,,225.9,7.133333,,95.8,,972.833333,31.483333,,21.246667,,,
82975,31/05/1973,0000,18,2.096774,5,148.9,,,264.6,7.064516,,26.6,,973.765591,32.016129,,20.735484,,,
82975,30/06/1973,0000,18,1.988889,6,216.6,,,274.6,5.588889,,7.2,,973.537778,33.546667,26.738667,20.76,,,
82975,31/07/1973,0000,14,2.483871,7,299.1,,,279.7,5.27957,,21.9,,974.458065,33.545161,26.77871,20.551613,,,
82975,31/08/1973,0000,18,2.225806,6,361.9,,,311.6,5.021505,,12.3,,973.621505,35.3,27.911304,21.265217,,,
