Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82474,31/01/1979,0000,23,1.55814,5,126.1,,,178.7,7.5,11,166.1,,,33.472414,26.786207,22.224138,79.810345,,
82474,28/02/1979,0000,23,1.666667,5,,,,156.2,7.628205,12,112.8,,,32.211538,26.242308,22.484615,82.25,,
82474,31/03/1979,0000,0,1.47619,7,56.4,,,192.7,7.02381,15,143.1,,,32.589286,26.400714,22.246429,83.6875,,
82474,30/04/1979,0000,0,1.517241,7,60.1,,,211,6.563218,11,125.4,,,32.617241,26.592414,22.282759,82.431034,,
82474,31/05/1979,0000,0,1.246914,5,64.3,,,204.3,6.864198,11,124.1,,,31.811111,25.963704,21.62963,83.638889,,
82474,30/06/1979,0000,14,2.066667,7,124.1,,,253.9,5.1,3,2.6,,,32.79,25.229333,19.286667,74.066667,,
82474,31/07/1979,0000,,,,,,,,,1,1,,,,,,,,
82474,31/08/1979,0000,,,9,,,,,,1,1.3,,,,,,,,
82474,30/09/1979,0000,,,7,,,,,,,0,,,36.99375,28.6825,21.2625,52.46875,,
82474,31/10/1979,0000,36,2.655172,7,,,,,5.258621,3,69.4,,,37.578947,28.532632,20.642105,57.526316,,
82474,30/11/1979,0000,9,2.463768,7,,,,,5.478261,5,26.5,,,36.673913,28.285217,21.647826,61.793478,,
82474,31/12/1979,0000,,,7,,,,,,5,21,,,,,,,,
82474,31/01/1980,0000,0,2.373333,7,,,,175.8,5.666667,11,161.6,,,34.164,,,72.7,,
82474,29/02/1980,0000,0,1.333333,7,,,,,6.216667,15,294.1,,,31.105,25.346,21.735,86.6,,
82474,31/03/1980,0000,0,1.266667,7,,,,,5,7,109.2,,,31.415,25.893,21.875,84.3625,,
82474,30/04/1980,0000,0,0.824561,5,,,,,5.912281,8,52.2,,,32.563158,26.273684,22.3,86.394737,,
82474,31/05/1980,0000,0,1.616667,5,,,,,5.833333,7,35.6,,,33.385,26.67,21.775,79.25,,
82474,30/06/1980,0000,0,1.235294,5,,,,,6.568627,2,4.3,,,34.023529,26.895294,21,71.161765,,
82474,31/07/1980,0000,,,5,,,,,,,0,,,35.073333,27.521333,20.026667,57.266667,,
82474,31/08/1980,0000,18,2.280702,7,,,,,5.754386,2,14.8,,,36.768421,28.02,19.852632,51.342105,,
82474,30/09/1980,0000,9,2.053571,7,,,,,6.642857,1,2.3,,,37.273684,28.628421,20.373684,54.605263,,
82474,31/10/1980,0000,9,2.463768,7,,,,,7.028986,1,2.5,,,37.73913,29.076522,20.995652,52.434783,,
82474,30/11/1980,0000,36,1.888889,7,,,,,6.851852,4,19.9,,,36.544444,28.662222,21.372222,57.847222,,
