Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,EvaporacaoPiche,EvapoBHPotencial,EvapoBHReal,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,PressaoNivelMarMedia,PressaoMedia,TempMaximaMedia,TempCompensadaMedia,TempMinimaMedia,UmidadeRelativaMedia,VisibilidadeMedia,Nada
82976,31/10/1975,0000,9,2.482558,7.6,251.5,,,217,4.918605,,71.5,,950.82093,32.624138,25.32069,18.07931,58.836207,,
82976,30/11/1975,0000,9,2.491111,7.5,234,,,247.7,5.077778,,43.5,,950.671111,32.066667,24.909333,18.6,62.433333,,
82976,31/12/1975,0000,9,2.347312,5.1,198.8,,,213.7,6.301075,,89.2,,950.193548,31.619355,24.843871,20.048387,67.16129,,
82976,31/01/1976,0000,9,2.562366,5.6,249.4,,,239.6,6.655914,,29.6,,950.24086,32.922581,,,59.274194,,
82976,29/02/1976,0000,9,1.832184,4.6,107.4,,,192.1,7.091954,,99.5,,951.33908,29.031034,,,79.896552,,
82976,31/03/1976,0000,9,2.502151,5.5,209.8,,,261.4,6.333333,,54.8,,950.489247,31.816129,,,65.532258,,
82976,30/04/1976,0000,9,2.194444,6.3,177.8,,,264,5.488889,,96.5,,951.805556,31.63,,,68.5,,
82976,31/01/1977,0000,14,2.861957,11.1,169.7,,,144.9,8.630435,20,153.4,,950.990217,29.470968,24.155333,20.33,72.798387,,
82976,28/02/1977,0000,14,2.428571,6.1,120,,,181,6.904762,6,15.3,,952.359524,29.228571,23.475714,19.635714,76.767857,,
82976,31/03/1977,0000,9,2.325806,9.6,132.8,,,231.6,6.16129,11,142.7,,951.122581,31.045161,24.339355,19.658065,73.169355,,
82976,30/04/1977,0000,9,1.761111,5,86.3,,,184.6,6.955556,13,187.3,,951.591111,29.64,23.986,20.283333,79.766667,,
82976,31/05/1977,0000,9,2.091398,5.3,83.6,,,259.1,6.11828,4,17.9,,952.798925,29.870968,23.54,19.145161,72.903226,,
82976,30/06/1977,0000,9,2.716667,6.6,190.4,,,268.5,4.755556,1,0.8,,953.8,30.866667,23.372667,17.043333,61.408333,,
82976,31/07/1977,0000,14,3.132258,7,302.3,,,278.4,4.290323,3,0.9,,954.431183,30.651613,23.085161,16.722581,53.935484,,
82976,31/08/1977,0000,14,3.536559,10,361.4,,,318.6,2.247312,,0,,953.219355,32.625806,24.339355,17.393548,48.5,,
82976,30/09/1977,0000,9,3.591011,8.6,320.3,,,262.7,4.011111,3,16.6,,952.994444,32.773333,25.602,19.596667,50.325,,
82976,31/10/1977,0000,9,3.019355,7.3,337.6,,,218.7,6.688172,3,12.7,,951.973118,33.032258,,,55.959677,,
82976,30/11/1977,0000,9,3.184444,7.3,292.6,,,233.9,6.277778,11,108.1,,950.097778,33.553333,,,58.083333,,
82976,31/12/1977,0000,9,2.097849,6.6,145.5,,,189.2,6.892473,12,286.9,,951.004301,29.406452,,,76.814516,,
82976,31/01/1978,0000,5,2.060215,5.3,92.5,,,268.5,5.193548,9,92.7,,952.137634,29.341935,,,81.120968,,
82976,28/02/1978,0000,9,2.327381,6.6,75.7,,,154.7,7.25,12,123.7,,951.45,28.742857,,,83.267857,,
82976,31/03/1978,0000,9,2.083871,5.5,80.5,,,154.7,7.817204,13,190.7,,952.409677,27.632258,,,84.532258,,
82976,30/04/1978,0000,14,2.067778,5.3,75.8,,,205.7,7.144444,9,84.6,,951.538889,28.453333,,,82.433333,,
82976,31/05/1978,0000,9,1.675269,3.6,64.2,,,200.8,6.182796,11,49.2,,952.352688,28.264516,,,85.419355,,
82976,30/06/1978,0000,14,2.602222,7.1,171.5,,,246,4.488889,1,2,,954.936667,28.48,,,80.175,,
82976,31/07/1978,0000,14,2.85914,7,213.9,,,250.8,4.666667,0,0,,953.710753,30.058065,22.132258,15.893548,80.395161,,
82976,31/08/1978,0000,14,3.134409,6.6,308,,,304.3,2.365591,0,0,,954.751613,31.341935,22.548387,14.864516,69.217742,,
82976,30/09/1978,0000,9,3.448889,8.3,404.2,,,283.9,3.544444,0,0,,952.963333,32.823333,24.773333,17.55,62.608333,,
82976,31/10/1978,0000,9,3.162366,8.8,335.2,,,229.1,5.817204,5,20.4,,951.174194,33.496774,26.369677,19.674194,61.798387,,
82976,30/11/1978,0000,14,3.268889,8.6,282.5,,,230.9,5.822222,8,55.9,,950.618889,32.42,25.61,19.83,66.691667,,
82976,31/01/1979,0000,9,2.111268,6,79,,,141.4,7.830986,,147.5,,943.878873,29.296296,23.8325,19.885185,81.958333,,
82976,28/02/1979,0000,5,1.605797,6.6,23.6,,,124.7,7.695652,17,270.2,,944.930435,27.814815,23.057391,19.807407,86.804348,,
82976,31/03/1979,0000,,,5.6,43.8,,,237.1,5.428571,,80.1,,944.483333,29.425806,23.496429,19.209677,81.428571,,
82976,30/04/1979,0000,,,,,,,173.8,4.982759,,95.2,,944.822414,29.008,23.484211,18.904,80.644737,,
